,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,2.103B,2.103B,1.467B,635.61M,324.31M,,,9.14M,,,,-19.00M,305.31M,330.30M,,,,9.14M,,255.72M,90.88M,164.84M,29.86M,0.40M,,195.10M,158.95M,330.30M,,330.30M,0.08,0.048,0.0,,0.0723,0.24,0.08,0.0436,0.0255,,0.0728,0.23,764.41M,814.13M,0.14
2002-09,2.447B,2.447B,1.666B,780.50M,368.85M,,,-181.22M,,,,166.00M,534.85M,245.65M,,,,-181.22M,,169.37M,52.67M,116.70M,6.10M,,,122.80M,241.56M,245.65M,,245.65M,0.24,0.01,,,0.4924,0.25,0.22,0.01,,,0.4593,0.23,494.70M,521.90M,0.135
2002-06,2.314B,2.314B,1.550B,764.35M,369.25M,,,-16.20M,,,,,369.25M,395.10M,,,,-16.20M,,324.70M,110.40M,214.30M,,,,214.30M,224.99M,395.10M,,395.10M,0.45,0.0,,,0.4725,0.45,0.43,0.0,,,0.4515,0.43,476.22M,498.37M,0.135
2002-03,2.10B,2.10B,1.454B,645.95M,355.35M,,,-7.90M,,,,,355.35M,290.60M,,,,-7.90M,,227.60M,77.40M,150.20M,,,,150.20M,155.41M,290.60M,,290.60M,0.32,0.0,,,0.3311,0.32,0.31,0.0,,,0.3208,0.31,469.38M,484.52M,0.135
2001-12,2.115B,2.115B,1.510B,605.10M,368.30M,23.20M,,31.77M,,,,,391.50M,213.60M,,,,37.93M,,191.50M,64.00M,127.50M,,,,127.50M,106.35M,413.09M,199.49M,213.60M,0.2777,,,,0.2317,0.2777,0.2,,,,0.1751,0.2,459.05M,848.57M,0.135
2001-09,2.247B,2.247B,1.530B,716.70M,361.90M,23.90M,,-551.10M,,,,,385.80M,330.90M,,,,-551.10M,,-281.80M,-98.80M,-183.00M,,,,-183.00M,174.88M,354.80M,23.90M,330.90M,-0.39,0.0,,,0.3727,-0.39,-0.39,0.0,,,0.3727,-0.39,469.23M,469.23M,0.13
2001-06,2.064B,2.064B,1.435B,629.00M,333.38M,23.10M,,0.88M,,,,,356.48M,272.52M,,,,0.88M,,214.00M,75.00M,139.00M,,,,139.00M,138.43M,295.62M,23.10M,272.52M,0.31,0.0,,,0.3087,0.31,0.3,0.0,,,0.2988,0.3,451.00M,462.80M,0.13
2001-03,1.911B,1.911B,1.338B,573.50M,333.70M,23.00M,,18.50M,,,,,356.70M,216.80M,,,,18.50M,,177.00M,62.00M,115.00M,,,,115.00M,102.98M,239.80M,23.00M,216.80M,0.25,0.0,,,0.2239,0.25,0.25,0.0,,,0.2239,0.25,460.00M,460.00M,0.13
2000-12,1.733B,1.733B,1.188B,545.47M,168.24M,,,-107.02M,,,,,358.77M,186.70M,,,,-107.02M,,25.50M,-19.40M,44.90M,,,,44.90M,109.11M,377.23M,190.53M,186.70M,0.1,0.0,,,0.2448,0.1,0.1,0.0,,,0.2424,0.1,443.37M,451.02M,0.13
2000-09,1.893B,1.893B,1.216B,677.10M,359.20M,,,48.00M,,,,,376.90M,300.20M,,,,48.00M,,297.50M,110.10M,187.40M,,,,187.40M,157.16M,317.90M,17.70M,300.20M,0.42,0.0,,,0.3522,0.42,0.41,0.0,,,0.3438,0.41,446.19M,457.07M,0.12
2000-06,1.871B,1.871B,1.244B,626.80M,309.60M,15.90M,,40.80M,,,,,325.50M,301.30M,,,,40.80M,,294.40M,109.00M,185.40M,,,,185.40M,159.71M,317.20M,15.90M,301.30M,0.42,0.0,,,0.3618,0.42,0.41,0.0,,,0.3529,0.41,441.50M,450.20M,0.0
2000-03,1.746B,1.746B,1.126B,620.10M,337.40M,,,46.30M,,,,,351.60M,268.50M,,,,46.30M,,276.00M,102.00M,174.00M,,,,174.00M,144.81M,282.70M,14.20M,268.50M,0.4,0.0,,,0.3329,0.4,0.39,0.0,,,0.3246,0.39,435.00M,446.15M,0.12
1999-12,1.645B,1.645B,916.50M,728.50M,313.00M,,,37.30M,,,,,463.10M,265.40M,,,,37.30M,,268.70M,90.00M,178.70M,,,,178.70M,153.89M,415.50M,150.10M,265.40M,0.41,0.0,,,0.3531,0.41,0.4,0.0,,,0.3446,0.4,436.24M,447.39M,0.24
1999-09,1.704B,1.704B,1.082B,622.00M,463.60M,,,-0.40M,,,,,476.70M,145.30M,,,,-0.40M,,113.20M,48.30M,64.90M,,,,64.90M,65.14M,158.70M,13.40M,145.30M,0.15,0.0,,,0.1506,0.15,0.15,0.0,,,0.1505,0.15,435.30M,445.90M,0.11
1999-06,1.269B,1.269B,812.60M,456.40M,241.30M,,,39.90M,,,,,251.40M,205.00M,,,,39.90M,,219.90M,81.30M,138.60M,,,,138.60M,113.45M,215.10M,10.00M,205.00M,0.42,0.0,,,0.3622,0.42,0.41,0.0,,,0.3536,0.41,435.00M,446.10M,0.0
1999-03,1.391B,1.391B,874.40M,516.60M,273.50M,,,35.10M,,,,,281.80M,234.80M,,,,35.10M,,243.30M,91.40M,151.90M,,,,151.90M,129.99M,243.10M,8.30M,234.80M,0.37,0.0,,,0.3166,0.37,0.36,0.0,,,0.3081,0.36,410.54M,421.94M,0.11
1998-12,1.327B,1.327B,735.50M,591.50M,253.50M,,,39.70M,,,,,389.60M,201.90M,,,,39.70M,,212.60M,74.80M,137.80M,,,,137.80M,112.07M,338.00M,136.10M,201.90M,0.32,0.0,,,0.2603,0.32,0.31,0.0,,,0.2503,0.31,430.71M,430.71M,0.22
1998-09,1.38B,1.38B,869.60M,510.40M,269.20M,,,39.20M,,,,,276.70M,233.70M,,,,39.20M,,241.80M,89.00M,152.80M,,,,152.80M,128.03M,241.50M,7.80M,233.70M,0.35,0.0,,,0.2933,0.35,0.34,0.0,,,0.2833,0.34,436.57M,436.57M,0.11
1998-06,1.085B,1.085B,691.40M,393.60M,213.00M,,,35.70M,,,,,219.80M,173.80M,,,,35.70M,,188.80M,71.80M,117.00M,,,,117.00M,94.88M,180.60M,6.80M,173.80M,0.35,0.0,,,0.2838,0.35,0.34,0.0,,,0.2757,0.34,334.29M,344.12M,0.0
