,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.346B,58.00M,1.404B,3.343B,,3.343B,528.00M,200.00M,1.235B,,1.963B,,,400.00M,7.11B,,,,,,,6.749B,-3.887B,2.862B,4.10B,2.132B,6.232B,270.00M,351.00M,719.00M,10.43B,17.54B,,,,,,3.924B,,,19.00M,,19.00M,87.00M,4.03B,5.199B,,5.199B,471.00M,471.00M,,1.392B,121.00M,985.00M,8.047B,12.08B,969.00M,17.46B,761.00M,11.84B,,,-2.005B,5.346B
2017-12,1.436B,55.00M,1.491B,2.559B,339.00M,2.903B,470.00M,177.00M,1.083B,,1.73B,,,353.00M,6.477B,0.0,487.00M,1.488B,3.432B,958.00M,229.00M,6.594B,-3.77B,2.824B,3.942B,2.045B,5.987B,268.00M,305.00M,677.00M,10.06B,16.54B,2.582B,100.00M,,2.682B,1.021B,3.703B,,,12.00M,,12.00M,102.00M,3.895B,4.134B,,4.134B,442.00M,442.00M,,1.428B,115.00M,967.00M,6.971B,10.87B,969.00M,17.14B,756.00M,11.25B,,,-2.057B,5.557B
2017-09,2.287B,41.00M,2.328B,3.155B,,3.155B,485.00M,184.00M,1.136B,,1.805B,,,350.00M,7.638B,,,,,,,6.467B,-3.737B,2.73B,3.881B,2.099B,5.98B,261.00M,421.00M,585.00M,9.977B,17.62B,,,,,,3.895B,,,616.00M,,616.00M,107.00M,4.618B,4.089B,,4.089B,445.00M,445.00M,,1.525B,108.00M,928.00M,6.987B,11.60B,969.00M,17.11B,745.00M,10.86B,,,-2.063B,5.902B
2017-06,1.569B,48.00M,1.617B,3.191B,,3.191B,466.00M,186.00M,1.114B,,1.766B,,,394.00M,7.145B,,,,,,,6.339B,-3.629B,2.71B,3.845B,2.118B,5.963B,256.00M,321.00M,582.00M,9.832B,16.98B,,,,,,3.653B,,,619.00M,,619.00M,169.00M,4.441B,3.998B,,3.998B,390.00M,390.00M,,1.503B,105.00M,910.00M,6.801B,11.24B,969.00M,16.61B,723.00M,10.62B,,,-2.059B,5.63B
2017-03,1.349B,40.00M,1.389B,3.057B,,3.057B,451.00M,173.00M,1.103B,,1.727B,,,439.00M,6.646B,,,,,,,6.775B,-3.969B,2.806B,3.72B,2.08B,5.80B,175.00M,139.00M,588.00M,9.508B,16.15B,,,,,,3.573B,,,604.00M,,604.00M,96.00M,4.273B,3.817B,,3.817B,400.00M,400.00M,,1.439B,94.00M,939.00M,6.595B,10.87B,969.00M,16.21B,711.00M,10.63B,,,-2.076B,5.192B
2016-12,1.82B,43.00M,1.863B,2.288B,364.00M,2.654B,402.00M,165.00M,947.00M,,1.514B,,,320.00M,6.574B,0.0,451.00M,1.324B,3.076B,774.00M,380.00M,6.005B,-3.397B,2.608B,3.572B,1.983B,5.555B,179.00M,186.00M,669.00M,9.197B,15.77B,2.142B,94.00M,,2.236B,1.10B,3.336B,,,629.00M,,629.00M,164.00M,4.253B,3.787B,,3.787B,417.00M,417.00M,,1.464B,87.00M,935.00M,6.603B,10.86B,969.00M,15.98B,707.00M,10.47B,,,-2.356B,4.828B
2016-09,929.00M,46.00M,975.00M,2.962B,,2.962B,435.00M,178.00M,1.063B,,1.676B,,,361.00M,6.417B,,,,,,,6.784B,-3.921B,2.863B,3.701B,2.073B,5.774B,328.00M,516.00M,592.00M,10.07B,16.49B,,,,,,3.567B,,,652.00M,,652.00M,241.00M,4.46B,3.752B,,3.752B,521.00M,521.00M,,1.812B,90.00M,824.00M,6.909B,11.37B,969.00M,15.74B,683.00M,9.824B,,,-2.541B,5.031B
2016-06,1.605B,64.00M,1.669B,3.108B,,3.108B,476.00M,179.00M,1.148B,,1.803B,,,379.00M,7.107B,,,,,,,7.304B,-4.354B,2.95B,3.602B,2.073B,5.675B,322.00M,540.00M,654.00M,10.14B,17.25B,,,,,,3.577B,,,686.00M,,686.00M,112.00M,4.375B,4.426B,,4.426B,546.00M,546.00M,,1.631B,87.00M,837.00M,7.44B,11.82B,969.00M,16.03B,668.00M,9.576B,,,-2.749B,5.346B
2016-03,909.00M,121.00M,1.03B,3.106B,,3.106B,497.00M,179.00M,1.187B,,1.863B,,,719.00M,6.718B,,,,,,,7.595B,-4.557B,3.038B,3.743B,2.17B,5.913B,370.00M,648.00M,628.00M,10.60B,17.32B,,,,,,3.616B,,,38.00M,,38.00M,902.00M,4.556B,4.226B,,4.226B,479.00M,479.00M,,1.699B,87.00M,1.107B,7.511B,12.07B,969.00M,15.77B,648.00M,9.583B,,,-2.643B,5.161B
2015-12,1.311B,144.00M,1.455B,2.343B,362.00M,2.709B,443.00M,161.00M,1.055B,,1.659B,,,604.00M,6.712B,0.0,482.00M,1.453B,3.684B,797.00M,333.00M,6.749B,-3.927B,2.822B,3.669B,2.178B,5.847B,367.00M,711.00M,617.00M,10.36B,17.08B,2.118B,106.00M,,2.224B,1.064B,3.288B,,,281.00M,,281.00M,995.00M,4.695B,4.026B,,4.026B,460.00M,460.00M,,1.71B,86.00M,1.116B,7.312B,12.01B,969.00M,15.52B,635.00M,9.44B,,,-2.702B,4.983B
2015-09,1.015B,399.00M,1.414B,3.062B,,3.062B,494.00M,165.00M,1.182B,,1.841B,,386.00M,589.00M,7.292B,,,,,,,7.352B,-4.433B,2.919B,3.643B,2.224B,5.867B,453.00M,374.00M,669.00M,10.28B,17.57B,,,,,,3.611B,,,302.00M,,302.00M,857.00M,4.77B,4.25B,,4.25B,506.00M,506.00M,,1.778B,85.00M,1.074B,7.608B,12.38B,969.00M,15.30B,624.00M,9.192B,,,-2.592B,5.111B
2015-06,707.00M,475.00M,1.182B,3.286B,,3.286B,499.00M,160.00M,1.202B,,1.861B,,394.00M,651.00M,7.374B,,,,,,,7.319B,-4.402B,2.917B,3.621B,2.26B,5.881B,459.00M,404.00M,561.00M,10.22B,17.60B,,,,,,3.59B,,,293.00M,,293.00M,942.00M,4.825B,4.222B,,4.222B,501.00M,501.00M,,1.798B,85.00M,994.00M,7.515B,12.34B,969.00M,14.97B,612.00M,9.044B,,,-2.332B,5.171B
2015-03,735.00M,435.00M,1.17B,2.961B,,2.961B,500.00M,156.00M,1.225B,,1.881B,,373.00M,699.00M,7.084B,,,,,,,7.24B,-4.275B,2.965B,3.541B,2.277B,5.818B,449.00M,450.00M,602.00M,10.28B,17.37B,,,,,,3.329B,,,621.00M,,621.00M,823.00M,4.773B,4.023B,,4.023B,624.00M,624.00M,,1.781B,80.00M,1.009B,7.437B,12.21B,484.00M,14.73B,1.073B,8.898B,,,-2.309B,5.078B
2014-12,686.00M,497.00M,1.183B,2.366B,439.00M,2.815B,499.00M,157.00M,1.169B,,1.825B,,0.00,620.00M,6.443B,0.0,489.00M,1.563B,4.284B,751.00M,383.00M,7.47B,-4.378B,3.092B,3.801B,2.411B,6.212B,443.00M,875.00M,470.00M,11.09B,17.54B,2.183B,61.00M,,2.244B,1.209B,3.453B,,,481.00M,,481.00M,847.00M,4.875B,3.533B,,3.533B,666.00M,666.00M,,2.127B,85.00M,1.069B,7.395B,12.27B,484.00M,14.50B,1.028B,8.714B,,,-2.116B,5.18B
2014-09,2.468B,570.00M,3.038B,2.968B,,2.968B,526.00M,165.00M,1.214B,,1.905B,,421.00M,566.00M,8.898B,,,,,,,7.183B,-4.463B,2.72B,2.898B,1.274B,4.172B,449.00M,252.00M,596.00M,8.189B,17.09B,,,,,,3.687B,,,394.00M,,394.00M,815.00M,4.896B,2.954B,,2.954B,241.00M,241.00M,,1.725B,84.00M,1.066B,5.986B,10.88B,484.00M,14.51B,1.001B,8.423B,,,-1.447B,6.121B
2014-06,1.986B,927.00M,2.913B,3.184B,,3.184B,529.00M,171.00M,1.264B,,1.964B,,430.00M,544.00M,9.035B,,,,,,,7.522B,-4.745B,2.777B,2.978B,1.304B,4.282B,381.00M,230.00M,595.00M,8.265B,17.30B,,,,,,3.691B,,,425.00M,,425.00M,846.00M,4.962B,2.958B,,2.958B,271.00M,271.00M,,1.747B,89.00M,1.041B,6.017B,10.98B,484.00M,14.23B,983.00M,8.281B,,,-1.181B,6.232B
2014-03,2.559B,480.00M,3.039B,3.016B,,3.016B,516.00M,168.00M,1.245B,,1.929B,,433.00M,471.00M,8.888B,,,,,,,7.42B,-4.696B,2.724B,2.969B,1.326B,4.295B,380.00M,270.00M,560.00M,8.229B,17.12B,,,,,,3.712B,,,19.00M,,19.00M,835.00M,4.566B,3.373B,,3.373B,281.00M,281.00M,,1.724B,97.00M,1.084B,6.462B,11.03B,484.00M,13.93B,989.00M,8.185B,,,-1.23B,5.992B
2013-12,1.116B,629.00M,1.745B,2.449B,277.00M,2.736B,508.00M,160.00M,1.156B,,1.824B,,425.00M,484.00M,7.214B,0.0,473.00M,1.593B,4.513B,743.00M,359.00M,7.681B,-4.805B,2.876B,3.008B,1.339B,4.347B,393.00M,491.00M,542.00M,8.649B,15.86B,2.015B,80.00M,,2.095B,1.077B,3.172B,,,34.00M,,34.00M,836.00M,4.135B,3.372B,,3.372B,249.00M,249.00M,,1.735B,266.00M,1.174B,6.53B,10.66B,484.00M,12.76B,953.00M,8.002B,,,-1.26B,4.932B
2013-09,1.562B,687.00M,2.249B,3.122B,,3.122B,549.00M,160.00M,1.169B,,1.878B,,424.00M,447.00M,8.12B,,,,,,,7.449B,-4.762B,2.687B,3.023B,1.371B,4.394B,404.00M,629.00M,404.00M,8.518B,16.64B,,,,,,3.503B,,,27.00M,,27.00M,832.00M,4.362B,3.368B,,3.368B,216.00M,216.00M,,2.029B,270.00M,1.182B,6.795B,11.16B,484.00M,12.59B,936.00M,7.329B,,,-1.469B,5.211B
2013-06,1.243B,538.00M,1.781B,3.223B,,3.223B,535.00M,157.00M,1.17B,,1.862B,,,844.00M,7.71B,,,,,,,7.273B,-4.636B,2.637B,2.937B,1.374B,4.311B,402.00M,,1.006B,8.356B,16.07B,,,,,,3.343B,,,24.00M,,24.00M,739.00M,4.106B,3.355B,,3.355B,224.00M,224.00M,,2.03B,259.00M,1.05B,6.659B,10.76B,484.00M,12.45B,907.00M,7.16B,,,-1.639B,5.042B
2013-03,2.021B,359.00M,2.38B,2.824B,,2.824B,512.00M,153.00M,1.033B,,1.698B,,,824.00M,7.726B,,,,,,,7.042B,-4.581B,2.461B,2.694B,1.033B,3.727B,418.00M,,1.044B,7.65B,15.38B,,,,,,2.949B,,,48.00M,,48.00M,730.00M,3.727B,3.353B,,3.353B,235.00M,235.00M,,1.977B,254.00M,1.043B,6.608B,10.34B,484.00M,12.20B,888.00M,7.173B,,,-1.608B,4.787B
2012-12,1.306B,1.087B,2.393B,2.568B,223.00M,2.813B,563.00M,144.00M,980.00M,,1.687B,,430.00M,392.00M,7.715B,0.0,504.00M,1.568B,5.952B,735.00M,271.00M,9.03B,-6.142B,2.888B,2.761B,1.085B,3.846B,422.00M,669.00M,338.00M,8.163B,15.88B,1.832B,71.00M,,1.903B,1.055B,2.958B,,,642.00M,,642.00M,758.00M,4.461B,3.368B,,3.368B,231.00M,231.00M,,2.344B,259.00M,1.152B,7.095B,11.56B,484.00M,9.871B,870.00M,5.496B,,,-1.666B,4.063B
2012-09,1.392B,619.00M,2.011B,3.19B,,3.19B,595.00M,159.00M,1.023B,,1.777B,,,799.00M,7.777B,,,,,,,8.851B,-6.092B,2.759B,2.706B,1.066B,3.772B,424.00M,,874.00M,7.829B,15.61B,,,,,,3.105B,,,636.00M,,636.00M,749.00M,4.49B,3.365B,,3.365B,263.00M,263.00M,,2.218B,271.00M,1.138B,6.984B,11.47B,484.00M,9.734B,851.00M,5.504B,,,-1.704B,3.861B
2012-06,1.017B,230.00M,1.247B,3.31B,,3.31B,571.00M,157.00M,1.047B,,1.775B,,,819.00M,7.151B,,,,,,,8.725B,-6.006B,2.719B,2.644B,1.067B,3.711B,419.00M,,817.00M,7.666B,14.82B,,,,,,3.16B,,,647.00M,,647.00M,758.00M,4.565B,2.964B,,2.964B,241.00M,241.00M,,2.213B,214.00M,1.159B,6.577B,11.14B,484.00M,9.486B,815.00M,5.531B,,,-1.793B,3.461B
2012-03,978.00M,56.00M,1.034B,3.236B,,3.236B,575.00M,163.00M,1.092B,,1.83B,,,844.00M,6.944B,,,,,,,8.808B,-6.023B,2.785B,2.729B,1.132B,3.861B,426.00M,,818.00M,7.89B,14.83B,,,,,,3.133B,,,669.00M,,669.00M,756.00M,4.558B,2.988B,,2.988B,262.00M,262.00M,961.00M,1.312B,223.00M,1.237B,6.76B,11.32B,484.00M,9.213B,797.00M,5.548B,,,-1.653B,3.293B
2011-12,1.457B,25.00M,1.482B,2.512B,290.00M,2.83B,528.00M,144.00M,935.00M,,1.607B,,473.00M,302.00M,6.694B,0.0,482.00M,1.482B,5.736B,694.00M,220.00M,8.614B,-5.893B,2.721B,2.66B,1.125B,3.785B,387.00M,,795.00M,7.688B,14.38B,1.813B,51.00M,,1.864B,1.024B,2.888B,,,108.00M,,108.00M,598.00M,3.702B,3.574B,,3.574B,272.00M,272.00M,,2.275B,197.00M,1.113B,7.234B,10.94B,484.00M,9.288B,783.00M,5.506B,,,-1.80B,3.249B
2011-09,1.301B,37.00M,1.338B,3.088B,,3.088B,573.00M,157.00M,1.007B,,1.737B,,,777.00M,6.94B,,,,,,,8.537B,-5.868B,2.669B,2.698B,1.174B,3.872B,400.00M,,662.00M,7.603B,14.54B,,,,,,3.105B,,,102.00M,,102.00M,581.00M,3.788B,3.59B,,3.59B,286.00M,286.00M,,1.828B,244.00M,1.145B,6.849B,10.64B,484.00M,9.159B,771.00M,5.288B,,,-1.464B,3.662B
2011-06,982.00M,263.00M,1.245B,,,3.345B,604.00M,164.00M,1.053B,,1.821B,,,828.00M,7.239B,,,,,,,8.706B,-5.947B,2.759B,2.871B,1.28B,4.151B,405.00M,,713.00M,8.028B,15.27B,,,,,,3.199B,,,111.00M,,111.00M,612.00M,3.922B,3.613B,,3.613B,305.00M,305.00M,707.00M,1.162B,234.00M,1.27B,7.057B,10.98B,484.00M,8.938B,759.00M,5.044B,,,-1.083B,4.054B
2011-03,796.00M,587.00M,1.383B,,,3.126B,573.00M,154.00M,1.028B,,1.755B,,,820.00M,7.084B,,,,,,,8.562B,-5.866B,2.696B,2.814B,1.283B,4.097B,554.00M,,672.00M,8.019B,15.10B,,,,,,3.045B,,,96.00M,,96.00M,608.00M,3.749B,3.993B,,3.993B,302.00M,302.00M,675.00M,1.159B,229.00M,1.23B,7.359B,11.11B,484.00M,8.687B,742.00M,4.96B,,,-1.187B,3.766B
2010-12,1.341B,637.00M,1.978B,,,2.778B,411.00M,136.00M,912.00M,114.00M,1.573B,,451.00M,278.00M,7.058B,0.0,477.00M,1.467B,5.587B,652.00M,232.00M,8.415B,-5.729B,2.686B,2.719B,1.268B,3.987B,550.00M,,694.00M,7.917B,14.98B,1.626B,56.00M,,1.682B,1.32B,3.002B,,,28.00M,,28.00M,595.00M,3.625B,4.043B,,4.043B,293.00M,293.00M,819.00M,1.151B,195.00M,1.211B,7.517B,11.14B,484.00M,8.548B,725.00M,4.708B,,,-1.411B,3.638B
2010-09,930.00M,,930.00M,,,2.958B,558.00M,142.00M,938.00M,,1.638B,,,779.00M,6.305B,,,,,,,8.314B,-5.694B,2.62B,2.725B,1.297B,4.022B,536.00M,,637.00M,7.815B,14.12B,,,,,,2.86B,,,69.00M,,69.00M,594.00M,3.523B,3.066B,,3.066B,316.00M,316.00M,770.00M,1.05B,228.00M,1.293B,6.495B,10.02B,484.00M,8.433B,679.00M,4.442B,,,-1.28B,3.874B
2010-06,784.00M,,784.00M,,,2.781B,524.00M,137.00M,880.00M,,1.541B,,,780.00M,5.886B,,,,,,,8.014B,-5.481B,2.533B,2.526B,1.238B,3.764B,525.00M,,658.00M,7.48B,13.37B,,,,,,2.724B,,,59.00M,,59.00M,590.00M,3.373B,3.017B,,3.017B,301.00M,301.00M,904.00M,1.045B,189.00M,1.087B,6.354B,9.727B,484.00M,8.262B,597.00M,4.29B,,,-1.603B,3.45B
2010-03,689.00M,,689.00M,,,2.809B,524.00M,138.00M,937.00M,,1.599B,,,825.00M,5.922B,,,,,,,8.209B,-5.549B,2.66B,2.687B,1.343B,4.03B,503.00M,,641.00M,7.834B,13.76B,,,,,,2.685B,,,112.00M,,112.00M,621.00M,3.418B,3.051B,,3.051B,319.00M,319.00M,914.00M,1.016B,197.00M,1.249B,6.549B,9.967B,484.00M,8.08B,580.00M,4.199B,,,-1.353B,3.592B
2009-12,1.057B,7.00M,1.064B,,,2.628B,390.00M,125.00M,918.00M,115.00M,1.548B,,485.00M,256.00M,5.981B,0.0,478.00M,1.476B,5.507B,689.00M,163.00M,8.313B,-5.559B,2.754B,2.784B,1.416B,4.20B,499.00M,,806.00M,8.259B,14.24B,1.384B,33.00M,,1.417B,1.231B,2.648B,,,272.00M,,272.00M,657.00M,3.577B,3.074B,,3.074B,328.00M,328.00M,944.00M,1.01B,169.00M,1.385B,6.741B,10.32B,484.00M,8.139B,609.00M,4.218B,,,-1.261B,3.753B
2009-09,898.00M,,898.00M,,,2.853B,526.00M,139.00M,991.00M,,1.656B,,,841.00M,6.248B,,,,,,,8.279B,-5.514B,2.765B,2.798B,1.456B,4.254B,506.00M,,796.00M,8.321B,14.57B,,,,,,2.72B,,,455.00M,,455.00M,694.00M,3.869B,3.082B,,3.082B,336.00M,336.00M,993.00M,1.095B,196.00M,1.46B,6.966B,10.84B,484.00M,8.088B,562.00M,4.165B,,,-1.431B,3.538B
2009-06,1.052B,,1.052B,,,2.847B,511.00M,139.00M,1.022B,,1.672B,,,851.00M,6.422B,,,,,,,8.156B,-5.411B,2.745B,2.696B,1.446B,4.142B,499.00M,,757.00M,8.143B,14.56B,,,,,,2.513B,,,896.00M,,896.00M,693.00M,4.102B,3.306B,,3.306B,293.00M,293.00M,1.086B,1.088B,193.00M,1.322B,7.095B,11.20B,484.00M,8.017B,522.00M,4.235B,,,-1.613B,3.175B
2009-03,531.00M,,531.00M,,,2.713B,501.00M,137.00M,1.039B,,1.677B,,,849.00M,5.77B,,,,,,,7.90B,-5.242B,2.658B,2.544B,1.388B,3.932B,493.00M,,750.00M,7.833B,13.60B,,,,,,2.414B,,,869.00M,,869.00M,687.00M,3.97B,2.986B,,2.986B,277.00M,277.00M,1.075B,1.078B,173.00M,1.214B,6.63B,10.60B,484.00M,7.958B,514.00M,4.249B,,,-1.877B,2.83B
2008-12,1.021B,,1.021B,,,2.804B,523.00M,134.00M,1.045B,,1.702B,,515.00M,306.00M,6.348B,0.0,453.00M,1.416B,5.338B,604.00M,232.00M,8.043B,-5.245B,2.798B,2.641B,1.472B,4.113B,509.00M,,930.00M,8.35B,14.70B,1.402B,62.00M,,1.464B,1.26B,2.724B,,,903.00M,,903.00M,583.00M,4.21B,3.009B,,3.009B,425.00M,425.00M,1.25B,1.072B,156.00M,1.243B,6.999B,11.21B,484.00M,8.156B,580.00M,4.259B,,,-1.628B,3.333B
2008-09,516.00M,,516.00M,3.453B,,3.453B,452.00M,152.00M,1.101B,113.00M,1.818B,42.00M,,750.00M,6.579B,,,,,,,8.099B,-5.266B,2.833B,2.711B,1.561B,4.272B,,,1.362B,8.467B,15.05B,3.128B,,,3.128B,,3.128B,,,726.00M,,726.00M,615.00M,4.469B,3.221B,,3.221B,495.00M,495.00M,,,166.00M,2.491B,6.207B,10.68B,484.00M,8.172B,573.00M,4.259B,,,-766.00M,4.204B
2008-06,266.00M,,266.00M,3.907B,,3.907B,493.00M,170.00M,1.313B,148.00M,2.124B,12.00M,,782.00M,7.091B,,,,,,,9.736B,-6.373B,3.363B,2.874B,1.725B,4.599B,,,1.154B,9.116B,16.21B,3.316B,,,3.316B,,3.316B,,,816.00M,,816.00M,613.00M,4.745B,3.44B,,3.44B,618.00M,618.00M,,,194.00M,2.586B,6.644B,11.39B,484.00M,8.141B,561.00M,4.262B,,,-300.00M,4.624B
