,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,264.07M,264.07M,195.92M,68.15M,24.14M,,0.255M,,,,32.44M,35.70M,,,0.255M,,28.30M,10.03M,18.27M,,,18.27M,18.11M,46.96M,11.26M,35.70M,0.083,0.0,,,0.0822,0.083,0.0815,0.0,,,0.0807,0.0815,220.21M,224.39M,0.0089
2000-12,258.25M,258.25M,188.34M,69.91M,23.61M,,-0.05M,,,,35.78M,34.13M,,,-0.05M,,26.41M,9.17M,17.24M,,,17.24M,17.27M,46.30M,12.17M,34.13M,0.0785,0.0,,,0.0787,0.0785,0.0785,0.0,,,0.0787,0.0785,218.04M,220.90M,0.0089
2000-09,255.10M,255.10M,186.76M,68.34M,24.24M,,0.249M,,,,34.23M,34.11M,,,0.249M,,26.52M,9.198M,17.32M,,,17.32M,17.16M,44.10M,9.989M,34.11M,0.08,0.0,,,0.0792,0.08,0.0785,0.0,,,0.0778,0.0785,216.93M,219.57M,0.0089
2000-06,255.50M,255.50M,187.97M,67.53M,23.47M,,-0.069M,,,,33.76M,33.77M,,,-0.069M,,27.04M,9.813M,17.22M,,,17.22M,17.27M,44.06M,10.29M,33.77M,0.08,0.0,,,0.0802,0.08,0.0785,0.0,,,0.0787,0.0785,216.53M,219.05M,0.0089
2000-03,255.81M,255.81M,189.97M,65.84M,23.83M,,-0.679M,,,,31.96M,33.89M,,,-0.679M,,26.18M,9.425M,16.75M,,,16.75M,17.19M,44.69M,10.80M,33.89M,0.077,0.0,,,0.079,0.077,0.077,0.0,,,0.079,0.077,216.03M,218.89M,0.0089
1999-12,236.02M,236.02M,169.35M,66.67M,19.52M,,-0.145M,,,,37.12M,29.55M,,,-0.145M,,23.10M,8.056M,15.05M,,,15.05M,15.14M,47.15M,11.28M,29.55M,0.068,0.0,,,0.0685,0.068,0.0666,0.0,,,0.067,0.0666,217.89M,221.90M,0.0089
1999-09,226.26M,226.26M,167.15M,59.11M,21.45M,,0.182M,,,,28.59M,30.52M,,,0.182M,,24.19M,8.594M,15.59M,,,15.59M,15.48M,40.11M,9.591M,30.52M,0.0711,0.0,,,0.0706,0.0711,0.0697,0.0,,,0.0691,0.0697,219.04M,223.74M,0.0089
1999-06,231.64M,231.64M,174.92M,56.72M,19.78M,,0.683M,,,,27.13M,29.58M,,,0.683M,,24.41M,8.842M,15.56M,,,15.56M,15.13M,39.02M,9.438M,29.58M,0.0711,0.0,,,0.0692,0.0711,0.0697,0.0,,,0.0677,0.0697,218.11M,223.34M,0.0089
1999-03,230.88M,230.88M,175.57M,55.31M,18.65M,,-0.32M,,,,26.16M,29.15M,,,-0.32M,,22.80M,8.207M,14.60M,,,14.60M,14.80M,38.44M,9.286M,29.15M,0.0667,0.0,,,0.0676,0.0667,0.0667,0.0,,,0.0676,0.0667,217.07M,220.69M,0.0089
1998-12,206.83M,206.83M,150.25M,56.57M,20.78M,,-7.159M,,,,36.53M,20.05M,,,-7.159M,,7.733M,1.656M,6.077M,,,6.087M,11.70M,35.80M,9.296M,20.05M,0.031,0.0385,,-0.0002,0.0569,0.0296,0.0281,0.0385,,-0.0002,0.0534,0.0281,217.25M,221.90M,0.0089
1998-09,232.59M,232.59M,178.38M,54.21M,19.83M,,0.982M,,,,27.24M,26.98M,,,0.982M,,21.81M,7.756M,14.05M,,,5.34M,13.42M,36.48M,9.504M,26.98M,0.0637,-0.04,,-0.0394,0.0609,0.0237,0.0623,-0.04,,-0.0394,0.0595,0.0237,221.27M,227.63M,0.0089
1998-06,246.10M,246.10M,186.50M,59.60M,21.10M,,1.90M,,,,30.80M,28.80M,,,1.90M,,24.10M,8.70M,15.40M,,,15.40M,14.19M,38.50M,9.70M,28.80M,0.0697,0.0,,,0.0642,0.0697,0.0667,0.0,,,0.0614,0.0667,221.06M,230.88M,0.0089
