,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,508.00M,,,,,390.00M,,0.00,133.00M,-107.00M,-187.00M,219.00M,,,,-75.00M,,956.00M,,-565.00M,74.00M,74.00M,-148.00M,,-424.00M,-1.063B,,,,,,0.00,0.00,-158.00M,-158.00M,,7.00M,-151.00M,,2.332B,-258.00M,-16.00M,2.058B,,,,,0.00,50.00M,142.00M,,AOR,Restated
2018-03,47.00M,,,,,394.00M,,265.00M,-46.00M,-245.00M,-119.00M,276.00M,,,,-88.00M,,572.00M,,-501.00M,47.00M,47.00M,,,80.00M,-374.00M,,,,,,,,-158.00M,-158.00M,,-21.00M,-179.00M,,2.337B,19.00M,-24.00M,2.332B,,,,,,85.00M,144.00M,,AOR,Restated
2017-12,-825.00M,,,,,393.00M,,385.00M,448.00M,-286.00M,20.00M,142.00M,,,,-124.00M,,1.011B,,-439.00M,47.00M,47.00M,0.00,10.00M,-38.00M,-420.00M,,-8.00M,,-8.00M,,0.00,158.00M,-157.00M,-157.00M,,-144.00M,-151.00M,,1.898B,440.00M,-1.00M,2.337B,,,,-8.00M,0.00,,139.00M,,AOR,Restated
2017-09,361.00M,,,,,394.00M,,0.00,631.00M,-449.00M,-44.00M,213.00M,,,,-280.00M,,1.106B,,-342.00M,35.00M,35.00M,-628.00M,0.00,-27.00M,-962.00M,,-10.00M,,-10.00M,,0.00,0.00,-157.00M,-157.00M,,-202.00M,-369.00M,,2.139B,-225.00M,-16.00M,1.898B,,,,-10.00M,0.00,-176.00M,137.00M,,AOR,Restated
2017-06,28.00M,,,,,386.00M,,262.00M,-76.00M,-437.00M,13.00M,170.00M,,,,-254.00M,,346.00M,,-327.00M,35.00M,35.00M,0.00,-10.00M,-6.00M,-308.00M,,-57.00M,,-57.00M,,,,-156.00M,-156.00M,,231.00M,18.00M,,2.107B,56.00M,-24.00M,2.139B,,,,-57.00M,,99.00M,145.00M,,AOR,Restated
2017-03,-32.00M,,,,,383.00M,,,-378.00M,-178.00M,-18.00M,228.00M,,,,32.00M,,5.00M,,-265.00M,41.00M,41.00M,,,-13.00M,-237.00M,,-1.566B,,-1.566B,,,,-156.00M,-156.00M,,63.00M,-1.659B,,4.009B,-1.891B,-11.00M,2.107B,,,,-1.566B,,77.00M,173.00M,,AOR,Restated
2016-12,-153.00M,,,,,386.00M,-420.00M,168.00M,455.00M,217.00M,164.00M,242.00M,,,,623.00M,,1.059B,,-173.00M,46.00M,46.00M,-31.00M,,-34.00M,-188.00M,,-22.00M,,-22.00M,,,,-155.00M,-155.00M,,-98.00M,-89.00M,,3.289B,782.00M,-62.00M,4.009B,,,,-22.00M,,20.00M,-1.175B,,AOR,Restated
2016-09,7.00M,,,,,375.00M,435.00M,0.00,-313.00M,313.00M,175.00M,49.00M,,,,537.00M,,1.041B,,-178.00M,62.00M,62.00M,0.00,,-13.00M,-129.00M,,-624.00M,-13.00M,-637.00M,,,,-156.00M,-156.00M,,74.00M,-719.00M,,3.108B,193.00M,-12.00M,3.289B,,,-13.00M,-624.00M,,-280.00M,172.00M,,AOR,Restated
2016-06,-3.205B,,,,,396.00M,-659.00M,423.00M,-567.00M,141.00M,179.00M,-340.00M,,,,-20.00M,,-3.632B,,-213.00M,64.00M,64.00M,,,-36.00M,-185.00M,,-2.525B,13.00M,-2.512B,,,,-155.00M,-155.00M,,12.00M,-2.655B,,9.593B,-6.472B,-13.00M,3.108B,,,13.00M,-2.525B,,159.00M,180.00M,,AOR,Restated
2016-03,-2.418B,,,,,346.00M,-857.00M,2.766B,-100.00M,228.00M,34.00M,-170.00M,,,,92.00M,,-171.00M,,-234.00M,50.00M,50.00M,,,-24.00M,-208.00M,,0.00,,0.00,,,,-154.00M,-154.00M,,77.00M,-77.00M,,10.08B,-456.00M,-28.00M,9.593B,,,,0.00,,121.00M,164.00M,,AOR,Restated
2015-12,-26.00M,,,,,402.00M,187.00M,-22.00M,230.00M,72.00M,176.00M,-134.00M,,,,114.00M,,885.00M,,-436.00M,35.00M,35.00M,,,-28.00M,-468.00M,,7.44B,,7.44B,,,,-154.00M,-154.00M,,-50.00M,7.403B,,2.249B,7.82B,8.00M,10.08B,,,,0.00,,-84.00M,25.00M,,AOR,Restated
2015-09,-53.00M,,,,,417.00M,112.00M,381.00M,-869.00M,-144.00M,94.00M,88.00M,,,,38.00M,,26.00M,,-525.00M,50.00M,50.00M,,,-14.00M,-489.00M,,0.00,,0.00,,,,-154.00M,-154.00M,,75.00M,-79.00M,,2.76B,-542.00M,31.00M,2.249B,,,,0.00,,124.00M,164.00M,,AOR,Restated
2015-06,53.00M,,,,,456.00M,-114.00M,306.00M,-71.00M,777.00M,15.00M,-239.00M,,,,553.00M,,1.183B,,-519.00M,29.00M,29.00M,,,-63.00M,-553.00M,,-8.00M,,-8.00M,,,,-153.00M,-153.00M,,20.00M,-141.00M,,2.294B,489.00M,-23.00M,2.76B,,,,-8.00M,,465.00M,358.00M,,AOR,Restated
2015-03,-641.00M,,,,,560.00M,-409.00M,1.208B,-219.00M,763.00M,-132.00M,-318.00M,,,,313.00M,,812.00M,,-704.00M,54.00M,54.00M,,,-32.00M,-682.00M,,,,,,,,-153.00M,-153.00M,,51.00M,-102.00M,,2.291B,28.00M,-25.00M,2.294B,,,,,,-135.00M,-167.00M,,AOR,Restated
2014-12,905.00M,,,,,557.00M,81.00M,101.00M,-337.00M,-42.00M,48.00M,-164.00M,,,,-158.00M,,1.149B,,-999.00M,,,-1.00M,-90.00M,-54.00M,-806.00M,,,,,,0.00,332.00M,-152.00M,-152.00M,,-336.00M,-160.00M,,2.029B,183.00M,79.00M,2.291B,,,,,0.00,259.00M,27.00M,,AOR,Restated
2014-09,1.205B,,,,,535.00M,-535.00M,0.00,181.00M,-745.00M,-101.00M,298.00M,,,,-548.00M,,838.00M,,-909.00M,,,-230.00M,1.00M,326.00M,-812.00M,,,,,,-300.00M,-300.00M,-127.00M,-127.00M,,81.00M,-346.00M,,2.36B,-320.00M,-11.00M,2.029B,,,,,-300.00M,668.00M,166.00M,,AOR,Restated
2014-06,775.00M,,,,,524.00M,,0.00,159.00M,-419.00M,-113.00M,195.00M,,,,-337.00M,,1.121B,,-732.00M,,,,94.00M,-208.00M,-846.00M,,,,,,0.00,0.00,-127.00M,-127.00M,,117.00M,-10.00M,,2.123B,265.00M,-28.00M,2.36B,,,,,0.00,342.00M,24.00M,,AOR,Restated
2014-03,616.00M,,,,,510.00M,,0.00,-52.00M,-175.00M,-105.00M,160.00M,,,,-120.00M,,954.00M,,-643.00M,,,,-5.00M,-26.00M,-674.00M,,,,,,-500.00M,-500.00M,-127.00M,-127.00M,,113.00M,-514.00M,,2.356B,-234.00M,1.00M,2.123B,,,,,-500.00M,,167.00M,,AOR,Restated
2013-12,795.00M,,,,,497.00M,141.00M,,-129.00M,407.00M,103.00M,84.00M,,,,594.00M,,1.898B,,-859.00M,,,-82.00M,-99.00M,-204.00M,-1.003B,,0.00,,0.00,,0.00,0.00,-128.00M,-128.00M,,-236.00M,-87.00M,,1.491B,808.00M,57.00M,2.356B,,,0.00,,0.00,347.00M,24.00M,,AOR,Restated
2013-09,708.00M,,,,,481.00M,-273.00M,,445.00M,-243.00M,-56.00M,16.00M,,,,-283.00M,,1.078B,,-679.00M,,,-12.00M,4.00M,11.00M,-676.00M,,2.968B,,2.968B,,-3.341B,-3.341B,-106.00M,-106.00M,,141.00M,-338.00M,,1.412B,64.00M,15.00M,1.491B,,,2.968B,,-3.341B,176.00M,123.00M,,AOR,Restated
2013-06,648.00M,,,,,474.00M,,,222.00M,-207.00M,-84.00M,69.00M,,,,-222.00M,,1.122B,,-711.00M,,,,141.00M,30.00M,-540.00M,,,,,,-965.00M,-965.00M,-115.00M,-115.00M,,-104.00M,-1.184B,,2.029B,-602.00M,-15.00M,1.412B,,,,,-965.00M,253.00M,23.00M,,AOR,Restated
2013-03,-16.00M,,,,,448.00M,,,235.00M,-406.00M,-70.00M,158.00M,,,,-318.00M,,349.00M,,-685.00M,,,,-19.00M,53.00M,-651.00M,,,,,,-50.00M,-50.00M,-116.00M,-116.00M,,21.00M,-145.00M,,2.484B,-447.00M,-8.00M,2.029B,,,,,-50.00M,137.00M,123.00M,,AOR,Restated
2012-12,672.00M,,,,,431.00M,,,-98.00M,94.00M,357.00M,-97.00M,,,,354.00M,,1.741B,,-1.047B,,,,-327.00M,-37.00M,-1.23B,,0.00,,0.00,,0.00,0.00,-83.00M,-83.00M,,-78.00M,-54.00M,,2.032B,457.00M,-5.00M,2.484B,,,0.00,,0.00,66.00M,25.00M,,AOR,Restated
2012-09,604.00M,,,,,406.00M,,,178.00M,-174.00M,-244.00M,8.00M,,,,-410.00M,,778.00M,,-868.00M,,,,-21.00M,-52.00M,-941.00M,,0.00,,0.00,,0.00,0.00,-83.00M,-83.00M,,107.00M,24.00M,,2.172B,-139.00M,-1.00M,2.032B,,,0.00,,0.00,135.00M,123.00M,,AOR,Restated
2012-06,739.00M,,,,,406.00M,,,-182.00M,-369.00M,-378.00M,185.00M,,,,-562.00M,,401.00M,,-869.00M,,,,50.00M,29.00M,-790.00M,,,,,,0.00,0.00,-84.00M,-84.00M,,-9.00M,-93.00M,,2.655B,-482.00M,-1.00M,2.172B,,,,,0.00,732.00M,24.00M,,AOR,Restated
2012-03,630.00M,,,,,385.00M,,,194.00M,-233.00M,-346.00M,104.00M,,,,-475.00M,,734.00M,,-782.00M,,,,50.00M,5.00M,-727.00M,,,,,,,,-83.00M,-83.00M,,34.00M,-49.00M,,2.698B,-42.00M,-1.00M,2.655B,,,,,,165.00M,122.00M,,AOR,Restated
2011-12,-7.872B,,,,,512.00M,,,,1.887B,1.02B,-817.00M,,,-130.00M,1.96B,,-4.069B,,1.366B,,,,-250.00M,-139.00M,1.168B,,,,,,,,,-373.00M,,-168.00M,-3.452B,,1.775B,-6.353B,-92.00M,4.009B,,,,,,-871.00M,399.00M,,AOR,Restated
2011-09,851.00M,,,,,340.00M,,,,-405.00M,-178.00M,201.00M,,,169.00M,-213.00M,,978.00M,,-741.00M,,,,70.00M,36.00M,-635.00M,,,,,,,,,-82.00M,,79.00M,-3.00M,,1.438B,340.00M,-3.00M,1.775B,,,,,,335.00M,124.00M,,AOR,Restated
2011-06,741.00M,,,,,331.00M,,,,-305.00M,-131.00M,177.00M,,,10.00M,-249.00M,,823.00M,,-719.00M,,,,393.00M,,-326.00M,,,,,,,,,-83.00M,-66.00M,73.00M,-76.00M,,1.03B,421.00M,-13.00M,1.438B,,,,,,440.00M,2.00M,,AOR,Restated
2011-03,511.00M,,,,,320.00M,,,,-278.00M,-159.00M,220.00M,,,-49.00M,-266.00M,,565.00M,,-704.00M,,,,-213.00M,,-917.00M,,,,,,,,,-82.00M,66.00M,7.00M,-9.00M,,1.398B,-361.00M,-7.00M,1.03B,,,,,,96.00M,134.00M,,AOR,Restated
2010-12,627.00M,,,142.00M,,302.00M,,,70.00M,-186.00M,-51.00M,44.00M,,,-222.00M,-415.00M,,850.00M,,-657.00M,,,-140.00M,225.00M,-155.00M,-500.00M,,,,,,,,,-82.00M,24.00M,171.00M,-818.00M,,1.875B,-468.00M,-9.00M,1.398B,,,,,,275.00M,21.00M,,AOR,Restated
2010-09,485.00M,,,-48.00M,,284.00M,,,,-169.00M,-118.00M,-10.00M,,,130.00M,-167.00M,,554.00M,,-557.00M,,,-193.00M,1.05B,40.00M,340.00M,,,,,,,,,-82.00M,38.00M,-134.00M,-178.00M,,1.16B,716.00M,-1.00M,1.875B,,,,,,168.00M,134.00M,,AOR,
2010-06,690.00M,,,-47.00M,,272.00M,,,-207.00M,-283.00M,-108.00M,109.00M,,,65.00M,-217.00M,,491.00M,,-451.00M,,,-77.00M,-179.00M,82.00M,-625.00M,,,,,,,,,-82.00M,6.00M,-5.00M,-81.00M,,1.383B,-215.00M,-8.00M,1.16B,,,,,,265.00M,22.00M,,AOR,Restated
2010-03,,,,-47.00M,,261.00M,,,207.00M,-264.00M,-54.00M,187.00M,,,27.00M,-104.00M,,317.00M,,-404.00M,,,-113.00M,-453.00M,,-970.00M,,,,,,,,,-81.00M,34.00M,10.00M,-37.00M,,2.082B,-690.00M,-9.00M,1.383B,,,,,,96.00M,133.00M,,AOR,Restated
2009-12,253.00M,,,,,254.00M,110.00M,,369.00M,132.00M,118.00M,-7.00M,,,-36.00M,207.00M,,776.00M,,-474.00M,,,-18.00M,198.00M,61.00M,-233.00M,,-31.00M,,-31.00M,,,,,-81.00M,,9.00M,-120.00M,,1.675B,423.00M,-16.00M,2.082B,,,0.00,,,48.00M,25.00M,,AOR,Restated
2009-09,266.00M,,,,,238.00M,11.00M,,337.00M,98.00M,116.00M,39.00M,,,-493.00M,-240.00M,,612.00M,,-440.00M,,,-23.00M,0.00,31.00M,-432.00M,,0.00,,0.00,,,,162.00M,-81.00M,,11.00M,-70.00M,,1.568B,110.00M,-3.00M,1.675B,,,0.00,,,93.00M,135.00M,,AOR,Restated
2009-06,265.00M,,,,,224.00M,153.00M,,-432.00M,267.00M,63.00M,-132.00M,,,229.00M,427.00M,,637.00M,,-432.00M,,,-14.00M,-1.571B,62.00M,-1.955B,,-1.00M,,-1.00M,,,,-162.00M,-81.00M,,5.00M,-77.00M,,2.967B,-1.395B,-4.00M,1.568B,,,-1.00M,,,216.00M,25.00M,,AOR,Restated
2009-03,380.00M,,,,,215.00M,,,-274.00M,372.00M,-65.00M,-18.00M,,,-229.00M,60.00M,,381.00M,,-518.00M,,,0.00,53.00M,,-465.00M,,1.976B,,1.976B,,,,,-81.00M,,42.00M,1.937B,,1.124B,1.853B,-10.00M,2.967B,,,1.976B,,,128.00M,66.00M,,AOR,Restated
2008-12,866.00M,,,,,203.00M,-14.00M,,,-42.00M,-3.00M,-43.00M,,,60.00M,-28.00M,,1.027B,,-519.00M,191.00M,191.00M,-244.00M,41.00M,-96.00M,-627.00M,,-154.00M,,-154.00M,,-3.00M,-3.00M,,-80.00M,,-1.00M,-238.00M,,973.00M,162.00M,-11.00M,1.124B,,,-2.00M,-152.00M,-3.00M,319.00M,26.00M,,AOR,Restated
2008-09,675.00M,,,,,193.00M,113.00M,,,-218.00M,-88.00M,24.00M,,,-37.00M,-319.00M,,662.00M,,-468.00M,,,-258.00M,-58.00M,96.00M,-688.00M,,-707.00M,,-707.00M,,-123.00M,-123.00M,,-81.00M,,41.00M,-870.00M,,1.88B,-896.00M,-11.00M,973.00M,,,1.189B,-1.896B,-123.00M,265.00M,45.00M,,,Restated
2008-06,517.00M,36.00M,,36.00M,,178.00M,-19.00M,-23.00M,-23.00M,-296.00M,-80.00M,43.00M,,,104.00M,-229.00M,,460.00M,,-445.00M,-43.00M,-43.00M,-150.00M,74.00M,,-564.00M,,0.00,,0.00,,-13.00M,-13.00M,,-78.00M,-35.00M,116.00M,-10.00M,,1.994B,-114.00M,0.00,1.88B,,,,,-13.00M,378.00M,26.00M,,,Restated
2008-03,580.00M,-36.00M,,-36.00M,,164.00M,174.00M,23.00M,23.00M,-114.00M,-197.00M,137.00M,,,-206.00M,-380.00M,,525.00M,,-392.00M,43.00M,43.00M,,372.00M,,23.00M,,0.00,,0.00,,-368.00M,-368.00M,,-80.00M,35.00M,8.00M,-405.00M,,1.847B,143.00M,4.00M,1.994B,,,,,-368.00M,95.00M,46.00M,,,Restated
2007-12,-285.00M,,,-1.00M,-417.00M,166.00M,-58.00M,,,-8.00M,102.00M,-32.00M,,,33.00M,95.00M,1.045B,962.00M,,-1.082B,79.00M,1.143B,-944.00M,744.00M,21.00M,-1.182B,,,,-2.00M,-92.00M,-71.00M,-163.00M,,-79.00M,,15.00M,-119.00M,,735.00M,-339.00M,-10.00M,1.847B,,-92.00M,,,-71.00M,,,,,Restated
2007-09,727.00M,,,-1.00M,146.00M,146.00M,-77.00M,,,-93.00M,-57.00M,-49.00M,,,143.00M,-56.00M,0.00,739.00M,,-382.00M,40.00M,-342.00M,-322.00M,-216.00M,-57.00M,-937.00M,,,,-2.00M,39.00M,-377.00M,-338.00M,,-78.00M,,4.00M,-414.00M,,1.348B,-612.00M,-1.00M,735.00M,,39.00M,,,-377.00M,,,,,
2007-06,1.53B,,,-49.00M,140.00M,140.00M,-18.00M,,,-161.00M,-69.00M,83.00M,,,-24.00M,-171.00M,-848.00M,584.00M,,-379.00M,45.00M,-334.00M,55.00M,-8.00M,39.00M,-248.00M,,,,-11.00M,15.00M,-918.00M,-903.00M,,-82.00M,,7.00M,-989.00M,,3.473B,-653.00M,-11.00M,1.348B,,15.00M,,,-918.00M,,,,,
2007-03,552.00M,,,-1.00M,131.00M,131.00M,13.00M,,,-64.00M,-194.00M,75.00M,,,95.00M,-88.00M,-166.00M,441.00M,,-303.00M,39.00M,-264.00M,-180.00M,-834.00M,-3.00M,-1.294B,,,,8.00M,38.00M,-8.00M,30.00M,,-75.00M,,7.00M,-48.00M,,4.379B,-901.00M,-5.00M,3.473B,,38.00M,,,-8.00M,,,,,
2006-12,658.00M,,,33.00M,124.00M,124.00M,100.00M,,879.00M,-229.00M,-57.00M,-48.00M,,,57.00M,-352.00M,-55.00M,1.387B,,-265.00M,142.00M,-123.00M,-34.00M,,-10.00M,-195.00M,,,,0.00,13.00M,-283.00M,-270.00M,,-75.00M,,61.00M,219.00M,,2.528B,1.411B,50.00M,4.379B,,13.00M,,,-283.00M,,,,,
2006-09,611.00M,,,-79.00M,122.00M,122.00M,187.00M,,,-78.00M,-88.00M,108.00M,,,89.00M,31.00M,332.00M,1.204B,,-230.00M,44.00M,-186.00M,0.00,,-4.00M,-195.00M,,,,-279.00M,29.00M,-866.00M,-837.00M,,-76.00M,,-1.00M,-1.22B,,2.743B,-211.00M,-4.00M,2.528B,,29.00M,,,-866.00M,,,,,
2006-06,591.00M,,,-3.00M,117.00M,117.00M,231.00M,,107.00M,-75.00M,-43.00M,-30.00M,,,-146.00M,-294.00M,237.00M,986.00M,,-201.00M,33.00M,-168.00M,-6.00M,,-6.00M,80.00M,,,,-44.00M,28.00M,-144.00M,-116.00M,,-78.00M,,-2.00M,-226.00M,,1.908B,840.00M,-5.00M,2.743B,,28.00M,,,-144.00M,,,,,
2006-03,488.00M,,,-17.00M,117.00M,117.00M,140.00M,,-107.00M,-112.00M,-121.00M,66.00M,,,,-167.00M,-374.00M,80.00M,,-138.00M,31.00M,-107.00M,13.00M,,,-116.00M,,,,-14.00M,89.00M,-46.00M,43.00M,,-77.00M,,,-53.00M,,2.001B,-89.00M,-4.00M,1.908B,,89.00M,,,-46.00M,,,,,
2005-12,1.102B,,,1.349B,71.00M,71.00M,-452.00M,,-946.00M,-921.00M,21.00M,672.00M,,,-4.00M,-271.00M,,812.00M,,-101.00M,-48.00M,-149.00M,-108.00M,-15.00M,-9.00M,-262.00M,,,,-228.00M,39.00M,-2.00M,37.00M,,-64.00M,,4.00M,-275.00M,,2.124B,275.00M,-8.00M,2.391B,,39.00M,,,-2.00M,,,,,
2005-09,499.00M,,,-42.00M,125.00M,125.00M,83.00M,,-115.00M,107.00M,-31.00M,-91.00M,,,17.00M,2.00M,,552.00M,,-185.00M,307.00M,122.00M,-201.00M,15.00M,-7.00M,-71.00M,,,,-43.00M,177.00M,-1.00M,176.00M,,-64.00M,,0.00,69.00M,,1.575B,550.00M,-1.00M,2.124B,,177.00M,,,-1.00M,,,,,
2005-06,392.00M,,,15.00M,127.00M,127.00M,47.00M,,,350.00M,-52.00M,-512.00M,,,11.00M,-203.00M,,378.00M,,-147.00M,-164.00M,-311.00M,201.00M,0.00,-11.00M,-121.00M,,,,-460.00M,37.00M,-3.00M,34.00M,,-63.00M,,-2.00M,-491.00M,,1.812B,-234.00M,-3.00M,1.575B,,37.00M,,,-3.00M,,,,,
2005-03,365.00M,,,-1.424B,125.00M,125.00M,79.00M,,,-106.00M,-89.00M,33.00M,,,-24.00M,-186.00M,,-1.041B,,-142.00M,223.00M,81.00M,,891.00M,-8.00M,964.00M,,,,-40.00M,89.00M,-6.00M,83.00M,,-63.00M,,-3.00M,-23.00M,,1.917B,-100.00M,-5.00M,1.812B,,89.00M,,,-6.00M,,,,,
2004-12,-203.00M,,,250.00M,135.00M,135.00M,24.00M,,-47.00M,-193.00M,32.00M,-165.00M,,,118.00M,-208.00M,,-49.00M,,-153.00M,90.00M,-63.00M,-25.00M,1.372B,-94.00M,1.19B,,,,-4.00M,15.00M,-1.00M,14.00M,,-56.00M,,-17.00M,-63.00M,,823.00M,1.078B,16.00M,1.917B,,15.00M,,,-1.00M,,,,,
2004-09,-44.00M,,,153.00M,118.00M,118.00M,-80.00M,,47.00M,380.00M,-15.00M,303.00M,,,-65.00M,603.00M,,797.00M,,-138.00M,146.00M,8.00M,22.00M,-1.031B,-14.00M,-1.015B,,,,-5.00M,25.00M,-1.00M,24.00M,,-55.00M,,-3.00M,-39.00M,,1.089B,-257.00M,-9.00M,823.00M,,25.00M,,,-1.00M,,,,,
2004-06,-667.00M,,,621.00M,124.00M,124.00M,-42.00M,,,296.00M,0.00,1.00M,,,23.00M,320.00M,,356.00M,,-154.00M,25.00M,-129.00M,0.00,-6.00M,83.00M,-52.00M,,,,-12.00M,3.00M,-1.00M,2.00M,,-55.00M,,8.00M,-57.00M,,841.00M,247.00M,1.00M,1.089B,,3.00M,,,-1.00M,,,,,
