,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,3.862B,3.862B,2.660B,1.202B,402.90M,,18.20M,,,,-45.90M,357.00M,845.20M,,,,25.30M,,731.20M,233.70M,497.50M,,,,,497.50M,485.12M,1.098B,252.70M,845.20M,0.39,0.0,,0.3803,0.39,0.39,0.0,,0.3804,0.39,1.273B,1.291B,0.0
2002-03,3.597B,3.597B,2.512B,1.085B,384.90M,,-79.00M,,,,58.90M,443.80M,641.30M,,,,-70.70M,,537.20M,185.50M,351.70M,,-98.60M,,,253.10M,403.42M,895.30M,254.00M,641.30M,0.28,-0.08,0.0,0.3205,0.2,0.27,-0.08,-0.0772,0.31,0.2,1.277B,1.293B,0.0
2001-12,3.772B,3.772B,-271.30M,4.043B,3.335B,,-247.00M,,,,225.50M,3.560B,482.70M,,,,-234.90M,,369.50M,97.60M,271.90M,,,,,271.90M,453.66M,759.40M,276.70M,482.70M,0.2179,,,0.3586,0.2179,0.21,0.0,,0.3501,0.21,1.292B,1.297B,0.225
2001-09,3.879B,3.879B,2.644B,1.235B,415.90M,,28.30M,,,,72.60M,488.50M,746.60M,,,,41.90M,,750.50M,205.00M,545.50M,,,,,545.50M,524.93M,1.018B,270.90M,746.60M,0.42,0.0,,0.404,0.42,0.42,0.0,,0.4042,0.42,1.286B,1.306B,0.0
2001-06,3.708B,3.708B,2.540B,1.168B,414.60M,,-7.80M,,,,-19.10M,395.50M,772.50M,,,,17.40M,,653.70M,212.80M,440.90M,,,,,440.90M,446.16M,1.041B,268.80M,772.50M,0.34,0.0,,0.3441,0.34,0.34,0.0,,0.344,0.34,1.290B,1.311B,0.0
2001-03,3.512B,3.512B,2.440B,1.071B,397.80M,,-8.60M,,,,-21.60M,376.20M,695.20M,,,,3.30M,,556.00M,177.70M,378.30M,,,,,378.30M,384.15M,965.10M,269.90M,695.20M,0.29,0.0,,0.2945,0.29,0.29,0.0,,0.2944,0.29,1.301B,1.325B,0.0
2000-12,3.590B,3.590B,553.60M,3.036B,3.097B,,51.20M,,,,,2.318B,718.20M,,,,51.20M,,657.50M,205.50M,452.00M,,,,,452.00M,416.80M,949.40M,231.20M,718.20M,0.34,0.0,,0.3131,0.34,0.34,0.0,,0.3136,0.34,1.307B,1.333B,0.215
2000-09,3.749B,3.749B,2.239B,1.510B,409.20M,,50.30M,,,,,659.40M,850.20M,,,,50.30M,,789.10M,240.60M,548.50M,,,,,548.50M,513.54M,1.100B,250.20M,850.20M,0.42,0.0,,0.3934,0.42,0.41,0.0,,0.384,0.41,1.316B,1.346B,0.0
2000-06,3.561B,3.561B,2.068B,1.492B,393.40M,,53.60M,,,,,666.90M,825.60M,,,,53.60M,,773.00M,247.10M,525.90M,,,,,525.90M,489.43M,1.099B,273.50M,825.60M,0.4,0.0,,0.3725,0.4,0.39,0.0,,0.3633,0.39,1.327B,1.366B,0.0
2000-03,3.344B,3.344B,1.971B,1.373B,377.60M,,23.80M,,,,,633.40M,739.30M,,,,23.80M,,662.70M,211.80M,450.90M,,,,,450.90M,434.71M,995.10M,255.80M,739.30M,0.34,0.0,,0.3279,0.34,0.33,0.0,,0.3183,0.33,1.343B,1.384B,0.0
1999-12,3.373B,3.373B,-451.70M,3.825B,2.822B,,42.30M,,,,,3.058B,766.20M,,,,42.30M,,710.30M,224.10M,486.20M,,,,,486.20M,457.25M,1.002B,235.90M,766.20M,0.36,0.0,,0.3386,0.36,0.35,0.0,,0.3293,0.35,1.354B,1.401B,0.0488
1999-09,3.444B,3.444B,1.954B,1.490B,368.00M,,21.90M,,,,,616.60M,873.80M,,,,21.90M,,800.30M,259.40M,540.90M,,,,,540.90M,526.10M,1.122B,248.60M,873.80M,0.4,0.0,,0.3891,0.4,0.39,0.0,,0.3795,0.39,1.355B,1.403B,0.0488
1999-06,3.407B,3.407B,1.928B,1.479B,365.50M,,-5.70M,,,,,603.20M,876.00M,,,,-5.70M,,772.80M,254.70M,518.10M,,,,,518.10M,521.92M,1.114B,237.70M,876.00M,0.38,0.0,,0.3828,0.38,0.37,0.0,,0.3727,0.37,1.356B,1.406B,0.0488
1999-03,3.035B,3.035B,1.763B,1.272B,339.90M,,7.50M,,,,,574.00M,698.40M,,,,7.50M,,600.70M,198.00M,402.70M,,,,,402.70M,397.67M,932.50M,234.10M,698.40M,0.3,0.0,,0.2963,0.3,0.29,0.0,,0.2864,0.29,1.357B,1.409B,0.045
1998-12,3.221B,3.221B,-385.40M,3.606B,2.612B,,-143.00M,,,,,2.845B,760.90M,,,,-143.00M,,516.10M,167.60M,348.50M,,,,,348.50M,445.06M,993.70M,232.80M,760.90M,0.26,0.0,,0.3308,0.26,0.24,0.0,,0.3075,0.24,1.365B,1.431B,0.045
1998-09,3.215B,3.215B,1.812B,1.403B,358.50M,,3.80M,,,,,586.30M,816.30M,,,,3.80M,,717.30M,235.10M,482.20M,,,,,482.20M,479.65M,1.044B,227.80M,816.30M,0.36,0.0,,0.3581,0.36,0.35,0.0,,0.3481,0.35,1.339B,1.378B,0.045
1998-06,3.181B,3.181B,1.794B,1.387B,364.90M,,-165.50M,,,,,581.50M,805.70M,,,,-165.50M,,533.80M,176.60M,357.20M,,,,,357.20M,467.95M,1.022B,216.60M,805.70M,0.26,0.0,,0.3406,0.26,0.25,0.0,,0.3275,0.25,1.374B,1.429B,0.045
