,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,3.783B,3.783B,2.356B,1.427B,,,16.00M,6.00M,-10.00M,1.198B,1.198B,229.00M,6.00M,16.00M,-10.00M,,-10.00M,219.00M,55.00M,164.00M,,164.00M,164.00M,375.00M,140.00M,235.00M,0.42,,0.42,0.42,0.42,,0.42,0.42,389.00M,393.00M,0.2425
2018-01,4.778B,4.778B,3.019B,1.759B,,,21.00M,8.00M,-13.00M,1.363B,1.363B,396.00M,8.00M,21.00M,-13.00M,,-13.00M,383.00M,178.00M,205.00M,,205.00M,205.00M,545.00M,141.00M,404.00M,0.53,,0.53,0.53,0.52,,0.52,0.52,387.00M,393.00M,0.23
2017-10,3.838B,3.838B,2.313B,1.525B,,,18.00M,4.00M,-14.00M,1.147B,1.147B,378.00M,4.00M,18.00M,-14.00M,,-14.00M,364.00M,135.00M,229.00M,,229.00M,229.00M,521.00M,139.00M,382.00M,0.59,,0.59,0.59,0.58,,0.58,0.58,391.00M,393.00M,0.23
2017-07,3.799B,3.799B,2.32B,1.479B,,,16.00M,4.00M,-12.00M,1.028B,1.028B,451.00M,4.00M,16.00M,-12.00M,,-12.00M,439.00M,168.00M,271.00M,,271.00M,271.00M,596.00M,141.00M,455.00M,0.69,,0.69,0.69,0.68,,0.68,0.68,395.00M,396.00M,0.23
2017-04,3.44B,3.44B,2.137B,1.303B,,,19.00M,3.00M,-16.00M,1.049B,1.049B,254.00M,3.00M,19.00M,-16.00M,,-16.00M,238.00M,95.00M,143.00M,,143.00M,143.00M,395.00M,138.00M,257.00M,0.36,,0.36,0.36,0.36,,0.36,0.36,399.00M,400.00M,0.23
2017-01,4.429B,4.429B,2.928B,1.501B,,,18.00M,2.00M,-16.00M,1.20B,1.20B,301.00M,2.00M,18.00M,-16.00M,,-16.00M,285.00M,65.00M,220.00M,,220.00M,220.00M,447.00M,144.00M,303.00M,0.55,,0.55,0.55,0.55,,0.55,0.55,402.00M,402.00M,0.23
2016-10,3.798B,3.798B,2.305B,1.493B,,,20.00M,3.00M,-17.00M,1.104B,1.104B,389.00M,3.00M,20.00M,-17.00M,,-17.00M,372.00M,168.00M,204.00M,,204.00M,204.00M,538.00M,146.00M,392.00M,0.51,,0.51,0.51,0.51,,0.51,0.51,399.00M,400.00M,0.23
2016-07,3.851B,3.851B,2.414B,1.437B,,,18.00M,2.00M,-16.00M,1.158B,1.158B,279.00M,2.00M,18.00M,-16.00M,,-16.00M,263.00M,138.00M,125.00M,,125.00M,125.00M,436.00M,155.00M,281.00M,0.31,,0.31,0.31,0.31,,0.31,0.31,398.00M,399.00M,0.23
2016-04,3.438B,3.438B,2.229B,1.209B,,,19.00M,1.00M,-18.00M,987.00M,987.00M,222.00M,1.00M,19.00M,-18.00M,,-18.00M,204.00M,77.00M,127.00M,,127.00M,127.00M,371.00M,148.00M,223.00M,0.32,,0.32,0.32,0.32,,0.32,0.32,398.00M,399.00M,0.23
2016-01,4.385B,4.385B,2.945B,1.44B,,,18.00M,3.00M,-15.00M,1.085B,1.085B,355.00M,3.00M,18.00M,-15.00M,,-15.00M,340.00M,126.00M,214.00M,,214.00M,214.00M,512.00M,154.00M,358.00M,0.54,,0.54,0.54,0.53,,0.53,0.53,399.00M,401.00M,0.23
2015-10,3.857B,3.857B,2.417B,1.44B,,,19.00M,1.00M,-18.00M,1.026B,1.026B,414.00M,1.00M,19.00M,-18.00M,,-18.00M,396.00M,148.00M,248.00M,,248.00M,248.00M,559.00M,144.00M,415.00M,0.61,,0.61,0.61,0.61,,0.61,0.61,406.00M,408.00M,0.23
2015-07,3.898B,3.898B,2.44B,1.458B,,,17.00M,1.00M,-16.00M,1.089B,1.089B,369.00M,1.00M,17.00M,-16.00M,,-16.00M,353.00M,134.00M,219.00M,,219.00M,219.00M,516.00M,146.00M,370.00M,0.53,,0.53,0.53,0.52,,0.52,0.52,417.00M,418.00M,0.23
2015-04,3.657B,3.657B,2.275B,1.382B,,,5.00M,1.00M,-4.00M,996.00M,996.00M,386.00M,1.00M,5.00M,-4.00M,,-4.00M,382.00M,143.00M,239.00M,,239.00M,239.00M,535.00M,148.00M,387.00M,0.57,,0.57,0.57,0.56,,0.56,0.56,421.00M,424.00M,0.23
2015-01,4.708B,4.708B,3.05B,1.658B,,,20.00M,3.00M,-17.00M,1.139B,1.139B,519.00M,3.00M,20.00M,-17.00M,,-17.00M,502.00M,183.00M,319.00M,,319.00M,319.00M,674.00M,152.00M,522.00M,0.75,,0.75,0.75,0.75,,0.75,0.75,423.00M,428.00M,0.22
2014-10,3.972B,3.972B,2.376B,1.596B,,,19.00M,1.00M,-18.00M,1.042B,1.042B,554.00M,1.00M,19.00M,-18.00M,,-18.00M,536.00M,185.00M,351.00M,,351.00M,351.00M,696.00M,141.00M,555.00M,0.81,,0.81,0.81,0.8,,0.8,0.8,432.00M,437.00M,0.22
2014-07,3.981B,3.981B,2.412B,1.569B,,,19.00M,1.00M,-18.00M,1.002B,1.002B,567.00M,1.00M,19.00M,-18.00M,,-18.00M,549.00M,217.00M,332.00M,,332.00M,332.00M,706.00M,138.00M,568.00M,0.76,,0.76,0.76,0.75,,0.75,0.75,439.00M,443.00M,0.22
2014-04,3.774B,3.774B,2.308B,1.466B,,,17.00M,0.00,-17.00M,1.023B,1.023B,443.00M,0.00,17.00M,-17.00M,,-17.00M,426.00M,166.00M,260.00M,,260.00M,260.00M,576.00M,133.00M,443.00M,0.58,,0.58,0.58,0.58,,0.58,0.58,445.00M,451.00M,0.22
2014-01,4.575B,4.575B,2.982B,1.593B,,,20.00M,2.00M,-18.00M,1.071B,1.071B,522.00M,2.00M,20.00M,-18.00M,,-18.00M,504.00M,197.00M,307.00M,,307.00M,307.00M,662.00M,138.00M,524.00M,0.69,,0.69,0.69,0.68,,0.68,0.68,449.00M,455.00M,0.2
2013-10,3.976B,3.976B,2.387B,1.589B,,,21.00M,1.00M,-20.00M,1.013B,1.013B,576.00M,1.00M,21.00M,-20.00M,,-20.00M,556.00M,219.00M,337.00M,,337.00M,337.00M,708.00M,131.00M,577.00M,0.73,,0.73,0.73,0.72,,0.72,0.72,463.00M,468.00M,0.2
2013-07,3.868B,3.868B,2.301B,1.567B,,,19.00M,1.00M,-18.00M,1.046B,1.046B,521.00M,1.00M,19.00M,-18.00M,,-18.00M,503.00M,200.00M,303.00M,,303.00M,303.00M,655.00M,133.00M,522.00M,0.65,,0.65,0.65,0.64,,0.64,0.64,468.00M,473.00M,0.15
2013-04,3.729B,3.729B,2.185B,1.544B,,,1.00M,1.00M,0.00,1.014B,1.014B,530.00M,1.00M,1.00M,0.00,,0.00,530.00M,197.00M,333.00M,,333.00M,333.00M,665.00M,134.00M,531.00M,0.72,,0.72,0.72,0.71,,0.71,0.71,464.00M,471.00M,0.15
2013-01,4.725B,4.725B,2.949B,1.776B,,,20.00M,2.00M,-18.00M,1.174B,1.174B,602.00M,2.00M,20.00M,-18.00M,,-18.00M,584.00M,233.00M,351.00M,,351.00M,351.00M,742.00M,138.00M,604.00M,0.74,,0.74,0.74,0.73,,0.73,0.73,473.00M,479.00M,0.125
2012-10,3.864B,3.864B,2.271B,1.593B,,,22.00M,1.00M,-21.00M,1.073B,1.073B,520.00M,1.00M,22.00M,-21.00M,,-21.00M,499.00M,191.00M,308.00M,,308.00M,308.00M,657.00M,136.00M,521.00M,0.64,,0.64,0.64,0.63,,0.63,0.63,481.00M,488.00M,0.125
2012-07,3.575B,3.575B,2.148B,1.427B,,,22.00M,2.00M,-20.00M,1.002B,1.002B,425.00M,2.00M,22.00M,-20.00M,,-20.00M,405.00M,162.00M,243.00M,,243.00M,243.00M,568.00M,141.00M,427.00M,0.5,,0.5,0.5,0.49,,0.49,0.49,486.00M,491.00M,0.125
2012-04,3.487B,3.487B,2.112B,1.375B,,,23.00M,1.00M,-22.00M,980.00M,980.00M,395.00M,1.00M,23.00M,-22.00M,,-22.00M,373.00M,140.00M,233.00M,,233.00M,233.00M,540.00M,144.00M,396.00M,0.48,,0.48,0.48,0.47,,0.47,0.47,489.00M,494.00M,0.125
2012-01,4.283B,4.283B,2.878B,1.405B,,,24.00M,2.00M,-22.00M,1.033B,1.033B,372.00M,2.00M,24.00M,-22.00M,,-22.00M,350.00M,132.00M,218.00M,,218.00M,218.00M,522.00M,148.00M,374.00M,0.44,,0.44,0.44,0.44,,0.44,0.44,490.00M,491.00M,0.1125
2011-10,3.585B,3.585B,2.271B,1.314B,,,22.00M,1.00M,-21.00M,968.00M,968.00M,346.00M,1.00M,22.00M,-21.00M,,-21.00M,325.00M,132.00M,193.00M,,193.00M,193.00M,495.00M,148.00M,347.00M,0.38,,0.38,0.38,0.38,,0.38,0.38,503.00M,505.00M,0.1125
2011-07,3.386B,3.386B,2.135B,1.251B,,,22.00M,1.00M,-21.00M,917.00M,917.00M,334.00M,1.00M,22.00M,-21.00M,,-21.00M,313.00M,124.00M,189.00M,,189.00M,189.00M,480.00M,145.00M,335.00M,0.35,,0.35,0.35,0.35,,0.35,0.35,542.00M,545.00M,0.1125
2011-04,3.295B,3.295B,1.991B,1.304B,,,6.00M,1.00M,-5.00M,918.00M,918.00M,386.00M,1.00M,6.00M,-5.00M,,-5.00M,381.00M,148.00M,233.00M,,233.00M,233.00M,538.00M,151.00M,387.00M,0.4,,0.4,0.4,0.4,,0.4,0.4,583.00M,588.00M,0.1125
2011-01,4.364B,4.364B,2.695B,1.669B,,,,4.00M,4.00M,,1.076B,593.00M,4.00M,,4.00M,,4.00M,597.00M,232.00M,365.00M,,365.00M,365.00M,739.00M,156.00M,583.00M,0.59,,0.59,0.59,0.59,,0.59,0.59,606.00M,611.00M,0.1
2010-10,3.654B,3.654B,2.149B,1.505B,,,3.00M,1.00M,-2.00M,,1.001B,504.00M,1.00M,3.00M,-2.00M,,-2.00M,502.00M,199.00M,303.00M,,303.00M,303.00M,665.00M,160.00M,505.00M,0.49,0.0,0.49,0.49,0.48,0.0,0.48,0.48,622.00M,626.00M,0.1
2010-07,3.317B,3.317B,2.003B,1.314B,,,1.00M,2.00M,1.00M,,917.00M,397.00M,2.00M,1.00M,1.00M,,1.00M,398.00M,164.00M,234.00M,,234.00M,234.00M,565.00M,166.00M,399.00M,0.36,0.0,0.36,0.36,0.36,0.0,0.36,0.36,646.00M,651.00M,0.1
2010-04,3.329B,3.329B,1.928B,1.401B,,,0.00,11.00M,11.00M,,927.00M,474.00M,11.00M,0.00,11.00M,,11.00M,485.00M,183.00M,302.00M,,302.00M,302.00M,651.00M,166.00M,485.00M,0.45,0.0,0.45,0.45,0.45,0.0,0.45,0.45,668.00M,676.00M,0.1
2010-01,4.236B,4.236B,2.563B,1.673B,,,2.00M,2.00M,0.00,,1.086B,587.00M,2.00M,2.00M,0.00,,0.00,587.00M,235.00M,352.00M,,352.00M,352.00M,753.00M,164.00M,589.00M,0.51,0.0,0.51,0.51,0.51,0.0,0.51,0.51,685.00M,693.00M,0.085
2009-10,3.589B,3.589B,2.065B,1.524B,,,1.00M,1.00M,0.00,,1.024B,500.00M,1.00M,1.00M,0.00,,0.00,500.00M,193.00M,307.00M,,307.00M,307.00M,669.00M,168.00M,501.00M,0.44,0.0,0.44,0.44,0.44,0.0,0.44,0.44,698.00M,704.00M,0.085
2009-07,3.245B,3.245B,1.957B,1.288B,,0.00,1.00M,2.00M,1.00M,,913.00M,375.00M,2.00M,1.00M,1.00M,,1.00M,376.00M,148.00M,228.00M,,228.00M,228.00M,538.00M,161.00M,377.00M,0.33,0.0,0.33,0.33,0.33,0.0,0.33,0.33,697.00M,700.00M,0.085
2009-04,3.127B,3.127B,1.888B,1.239B,,,2.00M,2.00M,0.00,,886.00M,353.00M,2.00M,2.00M,0.00,,0.00,353.00M,138.00M,215.00M,,215.00M,215.00M,517.00M,162.00M,355.00M,0.31,0.0,0.31,0.31,0.31,0.0,0.31,0.31,695.00M,697.00M,0.085
2009-01,3.753B,3.753B,2.087B,1.666B,,,,,,1.001B,1.001B,665.00M,,,,,,633.00M,255.00M,378.00M,,378.00M,378.00M,905.00M,233.00M,672.00M,0.58,,0.58,0.58,0.58,,0.58,0.58,616.00M,627.00M,0.085
2008-10,3.561B,3.561B,2.183B,1.378B,0.00,,,,,984.00M,984.00M,394.00M,,,,,,398.00M,152.00M,246.00M,,246.00M,246.00M,493.00M,99.00M,394.00M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,709.00M,712.00M,0.085
2008-07,3.499B,3.499B,2.161B,1.338B,,,6.00M,10.00M,4.00M,,965.00M,373.00M,10.00M,6.00M,4.00M,,4.00M,377.00M,148.00M,229.00M,,229.00M,229.00M,567.00M,184.00M,383.00M,0.32,0.0,0.32,0.32,0.32,0.0,0.32,0.32,717.00M,719.00M,0.085
2008-04,3.384B,3.384B,2.042B,1.342B,,,12.00M,13.00M,1.00M,,959.00M,383.00M,13.00M,12.00M,1.00M,,1.00M,408.00M,159.00M,249.00M,,249.00M,249.00M,559.00M,139.00M,420.00M,0.34,0.0,0.34,0.34,0.34,0.0,0.34,0.34,733.00M,736.00M,0.085
2008-01,4.675B,4.675B,3.049B,1.626B,0.00,,,,,1.208B,1.208B,418.00M,,,,,,433.00M,168.00M,265.00M,0.00,265.00M,265.00M,558.00M,140.00M,418.00M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,746.00M,749.00M,0.08
2007-10,3.854B,3.854B,2.407B,1.447B,0.00,,,,,1.079B,1.079B,368.00M,,,,,,395.00M,156.00M,239.00M,-1.00M,238.00M,239.00M,508.00M,140.00M,368.00M,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,788.00M,791.00M,0.08
2007-07,3.685B,3.685B,2.421B,1.264B,0.00,,,,,1.039B,1.039B,225.00M,,,,,,251.00M,93.00M,158.00M,-6.00M,152.00M,158.00M,358.00M,133.00M,225.00M,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.19,813.74M,816.76M,0.08
2007-04,3.549B,3.549B,2.194B,1.355B,0.00,,,,,1.051B,1.051B,304.00M,,,,,,327.00M,122.00M,205.00M,-27.00M,178.00M,205.00M,438.00M,134.00M,304.00M,0.25,-0.03,0.25,0.22,0.25,-0.03,0.25,0.22,815.00M,819.00M,0.08
2007-01,4.919B,4.919B,3.314B,1.605B,0.00,,,,,1.238B,1.238B,367.00M,,,,,,391.00M,161.00M,230.00M,-11.00M,219.00M,230.00M,493.00M,126.00M,367.00M,0.28,-0.01,0.28,0.27,0.28,-0.01,0.28,0.27,810.00M,810.00M,0.08
2006-10,3.851B,3.851B,2.409B,1.442B,0.00,,,,,1.161B,1.161B,281.00M,,,,,,305.00M,108.00M,197.00M,-8.00M,189.00M,197.00M,410.00M,129.00M,281.00M,0.24,-0.01,0.24,0.23,0.24,-0.01,0.24,0.23,825.00M,832.00M,0.08
2006-07,3.714B,3.714B,2.489B,1.225B,0.00,,,,,1.031B,1.031B,194.00M,,,,,,215.00M,81.00M,134.00M,-6.00M,128.00M,134.00M,334.00M,140.00M,194.00M,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,835.06M,841.94M,0.08
2006-04,3.441B,3.441B,2.059B,1.382B,1.009B,,,,,,1.009B,373.00M,,,,,,394.00M,152.00M,242.00M,,242.00M,242.00M,508.00M,135.00M,373.00M,0.28,0.0,0.28,0.28,0.28,0.0,0.28,0.28,852.74M,860.68M,0.08
2006-01,4.817B,4.817B,3.171B,1.646B,0.00,,,,,1.104B,1.104B,542.00M,,,,,,561.00M,205.00M,356.00M,,338.00M,356.00M,743.00M,201.00M,542.00M,0.41,-0.02,0.41,0.39,0.4,-0.02,0.4,0.38,864.18M,869.68M,0.045
2005-10,3.86B,3.86B,2.497B,1.363B,0.00,,,,,1.023B,1.023B,340.00M,,,,,,351.00M,139.00M,212.00M,,212.00M,212.00M,491.00M,151.00M,340.00M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,875.09M,881.71M,0.045
2005-07,3.716B,3.716B,2.331B,1.385B,0.00,,,,,957.00M,957.00M,428.00M,,,,,,443.00M,171.00M,272.00M,,272.00M,272.00M,555.00M,127.00M,428.00M,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,895.82M,905.19M,0.045
2005-04,3.626B,3.626B,2.145B,1.481B,1.016B,,,,,,1.016B,465.00M,,,,,,467.00M,176.00M,291.00M,,291.00M,291.00M,611.00M,146.00M,465.00M,0.33,0.0,0.33,0.33,0.31,0.0,0.31,0.31,888.92M,951.86M,0.045
2005-01,4.898B,4.898B,3.094B,1.804B,0.00,0.00,,,,1.183B,1.183B,621.00M,,,,0.00,,607.00M,229.00M,378.00M,,378.00M,378.00M,779.00M,158.00M,621.00M,0.43,0.0,0.43,0.43,0.4,0.0,0.4,0.4,869.90M,967.55M,0.0444
2004-10,3.98B,3.98B,2.414B,1.566B,0.00,-10.00M,,,,1.099B,1.099B,467.00M,,,,-10.00M,,434.00M,169.00M,265.00M,,265.00M,271.11M,620.00M,153.00M,467.00M,0.29,0.0,0.2968,0.29,0.28,0.0,0.2861,0.28,902.04M,997.62M,0.0222
2004-07,3.721B,3.721B,2.289B,1.432B,1.016B,-65.00M,,,,,1.016B,416.00M,,,,-65.00M,,319.00M,124.00M,195.00M,,195.00M,234.73M,565.00M,149.00M,416.00M,0.22,0.0,0.2641,0.22,0.21,0.0,0.2496,0.21,901.98M,1.003B,0.0222
2004-04,3.668B,3.668B,2.088B,1.58B,998.00M,-30.00M,,,,,998.00M,582.00M,,,,-30.00M,,511.00M,200.00M,312.00M,,312.00M,330.26M,737.00M,155.00M,582.00M,0.35,0.0,0.3703,0.35,0.33,0.0,0.3483,0.33,898.08M,996.33M,0.0222
2004-01,4.886B,4.886B,3.049B,1.838B,0.00,,,,,1.217B,1.217B,620.78M,,,,,,577.52M,221.86M,355.65M,,355.65M,355.65M,795.61M,174.84M,620.78M,0.39,0.0,0.39,0.39,0.37,0.0,0.37,0.37,895.99M,995.23M,0.0222
2003-10,3.929B,3.929B,2.402B,1.527B,1.054B,,,,,,1.054B,473.76M,,,,,,430.44M,167.87M,262.57M,,262.57M,262.57M,629.92M,156.16M,473.76M,0.29,0.0,0.29,0.29,0.28,0.0,0.28,0.28,893.71M,990.02M,0.0222
2003-07,3.685B,3.685B,2.36B,1.325B,930.00M,,,,,,930.00M,395.00M,,,,,,343.00M,134.00M,209.00M,,209.00M,209.00M,568.00M,173.00M,395.00M,0.23,0.0,0.23,0.23,0.22,0.0,0.22,0.22,891.70M,987.51M,0.0222
2003-04,3.353B,3.353B,2.076B,1.277B,889.00M,,,,,,889.00M,388.00M,,,,,,332.00M,129.00M,202.00M,,202.00M,202.00M,559.00M,171.00M,388.00M,0.23,0.0,0.23,0.23,0.22,0.0,0.22,0.22,888.81M,979.61M,0.0222
2003-01,4.651B,4.651B,3.023B,1.628B,0.00,,,,,1.203B,1.203B,424.67M,,,,,,369.44M,120.17M,248.27M,,248.27M,248.27M,549.08M,124.41M,424.67M,0.29,0.0,0.29,0.29,0.28,0.0,0.28,0.28,853.61M,899.85M,0.0222
2002-10,3.645B,3.645B,2.329B,1.316B,1.009B,,,,,,1.009B,306.22M,,,,,,248.31M,113.04M,135.27M,,135.27M,135.27M,498.72M,192.51M,306.22M,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,879.28M,968.16M,0.0222
2002-07,3.268B,3.268B,2.178B,1.091B,922.08M,,,,,,922.08M,168.46M,,,,,,111.33M,54.55M,56.78M,,56.78M,56.78M,369.65M,201.20M,168.46M,0.07,0.0,0.07,0.07,0.06,0.0,0.06,0.06,869.52M,876.61M,0.0222
2002-04,2.891B,2.891B,2.012B,879.08M,766.42M,,,,,,766.42M,112.66M,,,,,,71.92M,35.24M,36.68M,,36.68M,36.68M,300.54M,187.88M,112.66M,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,866.69M,874.01M,0.0222
2002-01,4.090B,4.090B,3.063B,1.027B,0.00,,,,,1.066B,1.066B,-39.31M,,,,,,-66.98M,-32.82M,-34.16M,,-34.16M,-34.16M,181.55M,220.86M,-39.31M,-0.06,0.0,-0.06,-0.06,-0.06,0.0,-0.06,-0.06,864.60M,864.60M,0.0222
2001-10,3.333B,3.333B,2.383B,950.64M,946.88M,,,,,,946.88M,3.757M,,,,,,-14.58M,164.25M,-178.84M,,-178.84M,-178.84M,211.22M,207.46M,3.757M,-0.21,0.0,-0.21,-0.21,-0.21,0.0,-0.21,-0.21,862.42M,862.42M,0.0222
2001-07,3.245B,3.245B,2.204B,1.041B,872.77M,,,,,,872.77M,168.31M,,,,,,141.34M,51.59M,89.75M,,89.75M,89.75M,354.33M,186.02M,168.31M,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,859.67M,883.66M,0.0222
2001-04,3.180B,3.180B,2.054B,1.125B,920.41M,,,,,,920.41M,204.76M,,,,,,181.86M,66.38M,115.48M,,115.48M,115.48M,400.91M,196.15M,204.76M,0.14,0.0,0.14,0.14,0.13,0.0,0.13,0.13,854.33M,875.87M,0.0222
2001-01,4.579B,4.579B,2.836B,1.743B,0.00,,,,,1.126B,1.293B,449.68M,,,,,,427.96M,156.20M,271.75M,,271.75M,271.75M,616.71M,167.03M,449.68M,0.32,0.0,0.32,0.32,0.31,0.0,0.31,0.31,850.52M,874.80M,0.0222
2000-10,3.415B,3.415B,2.005B,1.410B,943.26M,,,,,,1.096B,313.94M,,,,,,293.46M,107.11M,186.35M,,186.35M,186.35M,466.84M,152.90M,313.94M,0.22,0.0,0.22,0.22,0.21,0.0,0.21,0.21,848.75M,871.57M,0.0222
2000-07,2.948B,2.948B,1.699B,1.249B,809.29M,,,,,,947.71M,301.36M,,,,,,289.64M,105.72M,183.92M,,183.92M,183.92M,439.78M,138.42M,301.36M,0.22,0.0,0.22,0.22,0.21,0.0,0.21,0.21,849.64M,880.12M,0.0222
2000-04,2.732B,2.732B,1.470B,1.262B,750.30M,,,,,,882.32M,379.78M,,,,,,370.83M,135.35M,235.48M,,235.48M,235.48M,511.80M,132.02M,379.78M,0.28,0.0,0.28,0.28,0.27,0.0,0.27,0.27,850.33M,888.02M,0.0222
2000-01,3.859B,3.859B,2.123B,1.736B,-2.106B,,,,,,1.071B,665.10M,,,,,,651.80M,237.90M,413.90M,,413.90M,413.90M,798.80M,133.70M,665.10M,0.49,0.0,0.49,0.49,0.47,0.0,0.47,0.47,837.62M,869.74M,0.0222
1999-10,3.045B,3.045B,1.634B,1.411B,797.60M,,,,,,904.20M,506.70M,,,,,,496.10M,181.10M,315.00M,,315.00M,315.00M,613.30M,106.60M,506.70M,0.37,0.0,0.37,0.37,0.35,0.0,0.35,0.35,851.35M,900.00M,0.0222
