,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2017-09,630.74M,0.00,630.74M,714.35M,,714.35M,1.041B,26.17M,670.12M,,1.420B,32.13M,,,2.797B,,,,,,,6.175B,-1.739B,4.437B,2.214B,461.78M,2.676B,,238.88M,,,2017-09,1.102B,64.26M,1.166B,235.09M,1.401B,,,,,,,1.401B,2.237B,,2.237B,842.12M,842.12M,616.91M,202.93M,3.282B,2017-09,2.56M,2.885B,4.068B,2.137B,,2017-09,AOR,Restated
2017-06,460.33M,0.00,460.33M,602.35M,,603.78M,992.22M,21.70M,606.37M,,1.192B,37.69M,,,2.294B,,,,,,,6.119B,-1.675B,4.444B,2.205B,448.89M,2.654B,,251.34M,,,2017-06,1.009B,24.43M,1.034B,186.89M,1.220B,,,,,,,1.220B,2.228B,,2.228B,745.05M,745.05M,628.18M,207.50M,3.181B,2017-06,2.56M,2.671B,4.059B,2.137B,,2017-06,AOR,Restated
2017-03,129.51M,0.00,129.51M,601.12M,,688.50M,1.029B,23.24M,610.10M,,1.317B,33.33M,,,2.169B,,,,,,,6.059B,-1.606B,4.454B,2.198B,455.55M,2.654B,,265.96M,,,2017-03,953.93M,0.288M,954.22M,187.44M,1.142B,,,,,,,1.142B,2.232B,,2.232B,737.17M,737.17M,629.72M,208.79M,3.178B,2017-03,2.56M,2.672B,4.046B,2.135B,,2017-03,AOR,Restated
2016-12,710.58M,424.15M,1.135B,479.20M,,547.57M,1000.00M,2.767M,465.43M,,1.136B,33.04M,,,2.851B,326.10M,,,4.794B,153.46M,273.19M,5.547B,-1.538B,4.008B,2.022B,36.50M,2.059B,,217.34M,299.90M,,2016-12,935.39M,0.00,935.39M,147.84M,1.083B,,,,,,,1.083B,2.235B,,2.235B,620.41M,620.41M,620.59M,194.90M,3.050B,2016-12,2.56M,2.777B,4.027B,2.135B,,2016-12,AOR,Restated
2016-09,366.32M,111.84M,478.16M,395.94M,,438.62M,983.52M,3.416M,534.03M,,1.091B,23.89M,,,2.031B,,,,,,,5.461B,-1.477B,3.984B,2.022B,336.56M,2.359B,,221.61M,,,2016-09,803.03M,0.00,803.03M,163.79M,966.82M,,,,,,,966.82M,1.666B,0.00,1.666B,546.91M,546.91M,558.19M,196.72M,2.409B,2016-09,2.56M,2.782B,4.027B,2.157B,,2016-09,AOR,Restated
2016-06,451.99M,81.33M,533.32M,481.51M,,531.51M,968.58M,5.186M,477.12M,,1.021B,32.25M,,,2.118B,,,,,,,5.368B,-1.414B,3.954B,2.022B,336.76M,2.359B,,228.35M,,,2016-06,913.46M,0.00,913.46M,135.10M,1.049B,,,,,,,1.049B,1.678B,0.00,1.678B,532.66M,532.66M,561.54M,202.47M,2.413B,2016-06,2.56M,2.766B,4.019B,2.157B,,2016-06,AOR,Restated
2016-03,111.02M,0.00,111.02M,430.91M,,463.73M,832.14M,5.558M,622.58M,,891.94M,32.58M,,,1.499B,,,,,,,5.625B,-1.429B,4.196B,2.332B,303.21M,2.635B,,263.77M,,,2016-03,731.27M,0.00,731.27M,154.34M,885.61M,,,,,,,885.61M,1.308B,0.00,1.308B,544.31M,544.31M,556.37M,213.00M,2.065B,2016-03,2.56M,3.234B,4.012B,2.157B,,2016-03,AOR,Restated
2015-12,66.53M,144.02M,210.55M,351.98M,,351.98M,858.28M,4.477M,603.57M,,841.87M,43.67M,,,1.448B,305.71M,,,4.176B,158.40M,850.26M,5.490B,-1.375B,4.116B,2.332B,38.50M,2.370B,,231.87M,222.42M,,2015-12,716.49M,8.142M,724.63M,135.98M,860.62M,,,,,,,860.62M,1.009B,31.29M,1.040B,497.91M,497.91M,556.36M,179.96M,1.718B,2015-12,2.56M,3.271B,4.011B,2.027B,,2015-12,AOR,Restated
2015-09,239.73M,387.05M,626.78M,522.35M,,522.35M,846.70M,7.275M,663.96M,,1.037B,73.10M,48.42M,,2.308B,,,,,,,5.309B,-1.332B,3.977B,2.332B,222.60M,2.554B,,232.32M,,,2015-09,926.62M,39.54M,966.16M,126.29M,1.092B,,,,,,,1.092B,951.07M,31.78M,982.85M,636.44M,636.44M,560.52M,178.22M,1.798B,2015-09,2.56M,3.375B,4.022B,1.786B,,2015-09,AOR,Restated
2015-06,233.36M,392.86M,626.22M,626.11M,,634.46M,822.47M,4.903M,618.00M,,1.190B,68.94M,,,2.520B,,,,,,,5.157B,-1.288B,3.868B,2.332B,173.67M,2.505B,,251.90M,,,2015-06,1.050B,7.569M,1.058B,113.25M,1.171B,,,,69.28M,69.28M,,1.240B,900.90M,32.26M,933.16M,627.54M,627.54M,564.90M,176.14M,1.737B,2015-06,2.56M,3.241B,3.956B,1.610B,,2015-06,AOR,Restated
2015-03,594.09M,414.51M,1.009B,526.85M,,526.85M,887.50M,4.563M,614.55M,,1.116B,64.65M,,,2.716B,,,,,,,5.012B,-1.231B,3.781B,2.332B,178.77M,2.511B,,254.64M,,,2015-03,930.91M,112.02M,1.043B,112.98M,1.156B,,,,16.50M,16.50M,,1.172B,1.045B,32.72M,1.077B,631.03M,631.03M,572.66M,181.82M,1.890B,2015-03,2.56M,2.943B,4.010B,1.344B,,2015-03,AOR,Restated
2014-12,567.98M,474.11M,1.042B,589.90M,,601.62M,897.06M,4.028M,531.52M,,1.035B,104.15M,,,2.783B,255.26M,,,3.897B,136.54M,564.10M,4.852B,-1.182B,3.671B,2.332B,40.50M,2.372B,,257.15M,147.08M,,2014-12,1.108B,19.64M,1.128B,106.21M,1.234B,,,,,,,1.234B,1.021B,33.17M,1.054B,664.28M,664.28M,577.14M,176.76M,1.895B,2014-12,2.56M,2.779B,4.004B,1.289B,,2014-12,AOR,Restated
2014-09,856.03M,623.48M,1.480B,690.25M,,723.14M,882.93M,3.858M,692.68M,,1.579B,111.62M,,,3.894B,,,,,,,4.680B,-1.120B,3.560B,2.332B,178.20M,2.510B,,217.80M,,,2014-09,1.441B,,1.441B,122.93M,1.564B,,,,222.70M,222.70M,,1.787B,1.006B,33.60M,1.039B,659.67M,659.67M,586.69M,135.11M,1.834B,2014-09,2.56M,3.162B,4.011B,1.272B,,2014-09,AOR,Restated
2014-06,1.118B,679.67M,1.798B,780.18M,,799.06M,890.91M,4.47M,609.45M,,1.505B,134.27M,,,4.236B,,,,,,,4.563B,-1.070B,3.493B,2.332B,174.66M,2.507B,,222.93M,,,2014-06,1.625B,,1.625B,125.76M,1.751B,,,,216.98M,216.98M,,1.968B,993.86M,34.03M,1.028B,657.46M,657.46M,593.09M,138.72M,1.824B,2014-06,2.56M,3.150B,4.005B,1.159B,,2014-06,AOR,Restated
2014-03,1.075B,709.47M,1.784B,688.34M,,700.77M,910.68M,3.993M,675.62M,,1.590B,110.34M,,,4.186B,,,,,,,4.443B,-1.000B,3.442B,2.332B,175.36M,2.507B,6.05M,239.42M,,,2014-03,1.571B,,1.571B,121.00M,1.692B,,,,224.53M,224.53M,,1.917B,988.62M,34.44M,1.023B,644.33M,644.33M,603.42M,148.16M,1.816B,2014-03,2.56M,3.137B,3.999B,1.147B,,2014-03,AOR,Restated
2013-12,940.10M,725.16M,1.665B,708.80M,,818.18M,831.11M,3.504M,519.63M,,1.354B,58.76M,,,3.896B,235.62M,,,3.710B,116.80M,281.33M,4.344B,-949.26M,3.395B,2.332B,42.50M,2.374B,,258.44M,132.84M,,2013-12,1.325B,0.00,1.325B,125.12M,1.450B,,,,224.00M,224.00M,,1.674B,962.68M,34.84M,997.52M,616.84M,616.84M,609.78M,158.49M,1.773B,2013-12,2.56M,3.144B,3.991B,1.139B,,2013-12,AOR,Restated
2013-09,1.294B,656.75M,1.951B,755.67M,,829.96M,848.49M,5.682M,694.00M,,1.548B,80.77M,,,4.410B,,,,,,,4.208B,-895.62M,3.312B,2.338B,175.45M,2.514B,5.415M,257.09M,,,2013-09,1.616B,,1.616B,144.04M,1.760B,,,,133.94M,133.94M,,1.894B,964.66M,35.22M,999.88M,658.14M,658.14M,621.99M,150.52M,1.809B,2013-09,2.56M,3.242B,3.991B,1.097B,,2013-09,AOR,Restated
2013-06,1.349B,632.72M,1.982B,770.80M,,833.24M,801.77M,6.848M,741.82M,,1.550B,82.34M,,,4.448B,,,,,,,4.101B,-843.57M,3.258B,2.338B,178.04M,2.516B,3.393M,268.22M,,,2013-06,1.593B,,1.593B,135.03M,1.728B,,,,151.29M,151.29M,,1.880B,954.64M,35.60M,990.24M,579.87M,579.87M,633.94M,144.76M,1.715B,2013-06,2.56M,3.320B,3.982B,1.072B,,2013-06,AOR,Restated
2013-03,1.872B,665.69M,2.538B,656.52M,,694.43M,768.89M,4.398M,697.51M,,1.471B,59.95M,,,4.763B,,,,,,,4.009B,-794.60M,3.214B,2.338B,178.01M,2.516B,5.00M,197.36M,,,2013-03,1.339B,151.40M,1.491B,127.00M,1.618B,,,,149.13M,149.13M,,1.767B,1.247B,35.96M,1.283B,554.10M,554.10M,643.25M,162.82M,2.000B,2013-03,2.56M,3.225B,3.974B,918.94M,,2013-03,AOR,Restated
2012-12,1.758B,630.59M,2.388B,634.23M,,709.19M,730.51M,3.514M,585.61M,,1.320B,53.16M,,,4.470B,198.61M,,,3.405B,105.08M,234.65M,3.943B,-748.41M,3.195B,2.338B,44.50M,2.383B,5.116M,151.76M,124.35M,,2012-12,1.314B,,1.314B,195.08M,1.509B,,,,145.22M,145.22M,,1.654B,1.300B,36.31M,1.336B,536.67M,536.67M,589.70M,158.99M,2.032B,2012-12,2.56M,3.055B,3.911B,907.30M,,2012-12,AOR,Restated
2012-09,2.057B,280.41M,2.338B,736.87M,,777.42M,732.49M,,752.96M,,1.485B,31.23M,,,4.632B,,,,,,,3.824B,-703.80M,3.120B,2.338B,166.68M,2.505B,5.519M,,83.58M,,2012-09,1.531B,150.90M,1.682B,219.98M,1.902B,,,,175.57M,175.57M,,2.077B,1.346B,,1.346B,399.20M,399.20M,595.22M,163.85M,1.909B,2012-09,2.56M,2.806B,3.904B,886.26M,,2012-09,AOR,Restated
2012-06,1.372B,266.48M,1.639B,603.73M,,697.37M,689.03M,2.943M,617.85M,,1.310B,59.82M,,,3.706B,,,,,,,3.751B,-663.08M,3.088B,2.338B,168.01M,2.506B,9.765M,,72.46M,,2012-06,1.096B,162.26M,1.258B,,1.258B,,,,169.39M,169.39M,133.82M,1.562B,1.295B,,1.295B,416.03M,416.03M,618.16M,162.03M,1.873B,2012-06,2.56M,2.440B,3.766B,885.08M,,2012-06,AOR,Restated
2012-03,1.660B,241.93M,1.901B,733.15M,,826.80M,788.15M,,557.01M,,1.345B,54.17M,,,4.128B,,,,,,,3.694B,-622.34M,3.071B,2.335B,162.17M,2.497B,26.06M,,64.18M,,2012-03,1.641B,152.21M,1.793B,126.38M,1.920B,26.28M,,26.28M,172.40M,172.40M,,2.118B,1.286B,,1.286B,400.99M,400.99M,625.27M,191.04M,1.878B,2012-03,2.56M,2.081B,3.858B,759.28M,,2012-03,AOR,Restated
2011-12,1.579B,211.64M,1.791B,708.86M,,796.13M,599.66M,1.18M,513.78M,,1.115B,219.45M,,,3.921B,168.11M,,,3.059B,97.68M,306.82M,3.632B,-578.88M,3.053B,2.337B,46.50M,2.383B,50.07M,57.06M,112.46M,,2011-12,1.505B,40.37M,1.545B,169.94M,1.715B,,,,175.68M,175.68M,,1.891B,1.177B,37.62M,1.215B,463.72M,463.72M,631.89M,171.20M,1.850B,2011-12,2.563M,1.965B,3.859B,700.45M,,2011-12,AOR,Restated
2011-09,1.583B,133.44M,1.716B,1.342B,,1.342B,632.50M,42.03M,590.99M,,1.266B,55.58M,,,4.379B,,,,,,,3.533B,-536.78M,2.997B,2.318B,118.00M,2.436B,43.05M,,62.04M,,2011-09,2.103B,140.09M,2.243B,137.84M,2.381B,,,,,,,2.381B,1.225B,,1.225B,511.08M,511.08M,605.86M,138.76M,1.875B,2011-09,2.56M,1.867B,3.896B,697.42M,,2011-09,AOR,Restated
2011-06,426.69M,65.85M,492.54M,1.004B,,1.004B,264.32M,22.58M,208.41M,,495.30M,33.60M,,,2.025B,,,,,,,2.363B,-503.32M,1.860B,81.60M,98.78M,180.38M,24.80M,,75.38M,,2011-06,1.451B,23.00M,1.474B,,1.474B,,,,,,83.95M,1.558B,838.87M,,838.87M,128.46M,128.46M,598.72M,81.19M,1.049B,2011-06,0.763M,1.467B,193.41M,674.85M,,2011-06,AOR,Restated
2011-03,224.11M,48.95M,273.06M,1.152B,,1.154B,179.14M,22.53M,271.79M,,473.46M,14.94M,,,1.916B,,,,,,,2.283B,-481.08M,1.802B,81.60M,101.89M,183.50M,19.55M,,69.41M,,2011-03,1.499B,,1.499B,76.73M,1.575B,,,,,,,1.575B,834.21M,,834.21M,131.70M,131.70M,594.16M,80.66M,1.047B,2011-03,0.763M,1.283B,193.12M,677.25M,,2011-03,AOR,Restated
2010-12,229.10M,1.343M,230.44M,993.12M,,1.044B,189.58M,22.51M,188.27M,,400.37M,28.47M,,,1.703B,539.04M,91.17M,,1.279B,,306.46M,2.216B,-459.14M,1.757B,81.60M,90.21M,171.82M,,,69.53M,,2010-12,1.317B,,1.317B,72.41M,1.390B,,,,,,,1.390B,810.56M,,810.56M,131.94M,131.94M,590.72M,80.98M,1.023B,2010-12,0.763M,1.206B,194.38M,677.80M,,2010-12,AOR,Restated
2010-09,271.92M,1.171M,273.09M,718.47M,,744.74M,167.72M,,223.03M,23.26M,414.02M,43.26M,,,1.475B,,,,,,,2.131B,-433.30M,1.697B,81.60M,92.34M,173.94M,,,50.95M,,2010-09,1.044B,,1.044B,69.07M,1.113B,157.00M,,157.00M,,,,1.270B,650.91M,,650.91M,129.68M,129.68M,578.35M,80.97M,861.55M,2010-09,0.764M,1.200B,191.03M,677.91M,,2010-09,AOR,Restated
2010-06,140.21M,1.216M,141.43M,762.77M,,762.77M,45.59M,,375.56M,,421.15M,59.78M,,,1.385B,,,,,,,2.082B,-411.91M,1.670B,81.60M,94.38M,175.99M,,,52.82M,,2010-06,1.010B,,1.010B,55.40M,1.065B,,,,,,,1.065B,805.34M,,805.34M,107.78M,107.78M,577.87M,84.21M,997.33M,2010-06,0.764M,1.156B,189.27M,678.09M,,2010-06,AOR,Restated
2010-03,93.29M,1.467M,94.76M,883.54M,,913.79M,196.60M,,202.18M,22.25M,421.02M,81.38M,,,1.511B,,,,,,,2.033B,-393.63M,1.639B,81.60M,94.56M,176.16M,,,56.23M,,2010-03,1.156B,,1.156B,57.55M,1.213B,,,,,,,1.213B,820.60M,,820.60M,102.87M,102.87M,580.15M,82.29M,1.006B,2010-03,0.764M,1.098B,188.02M,678.48M,,2010-03,AOR,Restated
2009-12,124.60M,1.223M,125.82M,762.46M,,800.53M,124.76M,22.82M,155.92M,,303.51M,50.96M,,2.195M,1.283B,478.52M,73.97M,,1.083B,,366.46M,2.002B,-371.88M,1.630B,81.60M,97.89M,179.50M,,,53.46M,,2009-12,975.16M,,975.16M,49.96M,1.025B,,,,,,,1.025B,707.46M,,707.46M,124.58M,124.58M,588.74M,81.00M,913.05M,2009-12,0.764M,1.134B,195.56M,685.93M,,2009-12,AOR,Restated
2009-09,98.53M,1.026M,99.55M,615.83M,,621.22M,35.14M,,183.54M,79.61M,298.28M,26.76M,,,1.046B,,,,,,,1.827B,-357.56M,1.469B,27.54M,98.19M,125.74M,0.00,,57.53M,,2009-09,820.64M,,820.64M,47.33M,867.97M,,,,,,,867.97M,605.83M,,605.83M,95.64M,95.64M,460.03M,81.30M,782.78M,2009-09,0.737M,1.183B,123.89M,685.93M,,2009-09,AOR,Restated
2009-06,108.69M,0.791M,109.48M,604.70M,,610.54M,26.40M,,168.17M,69.48M,264.05M,26.39M,,,1.010B,,,,,,,1.764B,-339.26M,1.425B,27.54M,98.33M,125.87M,0.00,,59.91M,,2009-06,804.62M,,804.62M,46.47M,851.09M,,,,,,,851.09M,578.02M,,578.02M,88.40M,88.40M,456.99M,77.36M,743.78M,2009-06,0.738M,1.167B,121.82M,685.93M,,2009-06,AOR,Restated
2009-03,53.88M,0.587M,54.46M,303.69M,,309.53M,17.41M,,145.51M,,162.92M,18.28M,,,545.20M,,,,,,,1.605B,-319.26M,1.285B,27.54M,95.60M,123.15M,0.00,,60.28M,,2009-03,415.59M,,415.59M,41.99M,457.58M,55.00M,,55.00M,,,,512.58M,411.48M,,411.48M,71.33M,71.33M,392.32M,67.39M,550.20M,2009-03,0.735M,1.160B,119.36M,685.93M,,2009-03,AOR,Restated
2008-12,39.24M,49.19M,88.44M,288.62M,,294.97M,17.92M,,107.81M,,125.74M,18.78M,,2.706M,530.62M,,,,,,,,,1.173B,27.54M,70.42M,97.96M,6.009M,,66.71M,,2008-12,390.44M,,390.44M,41.78M,432.22M,29.00M,,29.00M,,,0.935M,462.16M,341.91M,,341.91M,69.49M,69.49M,394.79M,64.33M,475.74M,2008-12,0.735M,1.145B,121.30M,690.80M,,2008-12,AOR,Restated
2008-09,136.01M,78.37M,214.38M,629.20M,1.809M,631.00M,16.86M,,,123.98M,140.83M,13.76M,,,999.97M,,,,,,,1.418B,-293.78M,1.125B,,65.80M,65.80M,,,50.06M,,2008-09,848.22M,,848.22M,41.84M,890.05M,24.00M,,24.00M,,,,914.05M,340.85M,,340.85M,40.07M,40.07M,404.35M,31.18M,412.10M,2008-09,0.736M,1.102B,117.85M,690.95M,,2008-09,,
2008-06,154.77M,116.31M,271.08M,841.53M,10.03M,851.56M,16.12M,,,143.27M,159.39M,9.825M,,,1.292B,,,,,,,1.326B,-279.35M,1.047B,,68.28M,68.28M,,,36.00M,,2008-06,1.079B,,1.079B,36.06M,1.115B,20.00M,,20.00M,,,,1.135B,339.91M,,339.91M,44.43M,44.43M,405.09M,37.82M,422.16M,2008-06,0.736M,1.060B,114.81M,676.72M,,2008-06,,Restated
2008-03,180.55M,205.97M,386.52M,669.96M,13.45M,683.41M,16.26M,,,118.85M,135.12M,8.707M,,,1.214B,,,,,,,1.200B,-266.07M,934.22M,,68.76M,68.76M,,,59.98M,,2008-03,914.32M,,914.32M,34.18M,948.50M,10.00M,,10.00M,,,,958.50M,341.42M,,341.42M,36.42M,36.42M,398.02M,42.33M,420.18M,2008-03,0.735M,1.056B,112.78M,648.81M,,2008-03,,Restated
2007-12,94.37M,158.23M,252.60M,614.77M,,631.12M,22.32M,,118.31M,,140.63M,10.26M,,,1.035B,71.63M,24.34M,,535.54M,,171.31M,802.82M,-271.97M,530.85M,0.00,12.59M,12.59M,77.18M,,8.705M,,2007-12,782.98M,,782.98M,35.10M,818.08M,,,,,,,818.08M,,,,38.93M,38.93M,8.333M,204.80M,243.74M,2007-12,0.733M,1.055B,109.12M,551.96M,,2007-12,,Restated
2007-09,39.03M,184.78M,223.82M,583.42M,12.31M,595.72M,14.70M,,,165.11M,179.80M,12.95M,,,1.012B,,,,,,,755.04M,-263.14M,491.90M,,13.13M,13.13M,,,94.38M,,2007-09,681.65M,,681.65M,51.45M,733.10M,,,,,,,733.10M,,,,31.28M,31.28M,,182.26M,213.54M,2007-09,0.724M,1.012B,84.37M,419.86M,,2007-09,,
2007-06,107.14M,249.54M,356.68M,404.34M,,404.34M,15.23M,,,128.46M,143.70M,15.39M,,,920.10M,,,,,,,714.77M,-254.92M,459.85M,,13.77M,13.77M,,,63.76M,,2007-06,516.07M,,516.07M,48.00M,564.07M,,,,,,34.77M,598.84M,,,,20.73M,20.73M,,197.91M,218.64M,2007-06,0.724M,959.99M,75.95M,383.86M,,2007-06,,
