,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2006-06,3.579B,3.579B,2.293B,1.287B,602.22M,24.66M,25.70M,,,,626.88M,659.76M,,,25.70M,,666.45M,200.60M,465.85M,,,465.85M,447.89M,761.52M,101.75M,2006-06,0.82,0.00,,0.7883,2006-06,0.81,0.00,,0.7786,2006-06,567.45M,571.95M,2006-06,,
2006-03,3.297B,3.297B,2.120B,1.177B,601.42M,35.97M,10.16M,,,,637.39M,539.97M,,,10.16M,,531.23M,164.70M,366.53M,,,366.53M,359.52M,649.71M,109.74M,2006-03,0.325,0.00,,0.3188,2006-03,0.325,0.00,,0.3188,2006-03,1.128B,1.135B,2006-03,,
2005-12,3.252B,3.252B,2.100B,1.152B,568.54M,26.87M,40.38M,,,,595.41M,557.08M,,,40.38M,,572.38M,171.80M,400.58M,,,400.58M,372.32M,657.74M,100.66M,2005-12,0.7132,,,0.6629,2005-12,0.7132,,,0.6629,2005-12,561.63M,561.63M,2005-12,,
2005-09,3.200B,3.200B,2.078B,1.122B,541.41M,15.77M,55.45M,,,,557.18M,565.22M,,,55.45M,,600.20M,192.00M,408.20M,,,408.20M,370.49M,659.20M,93.98M,2005-09,0.36,0.00,,0.3267,2005-09,0.36,0.00,,0.3269,2005-09,1.131B,1.140B,2005-09,,
2005-06,3.286B,3.286B,2.154B,1.132B,557.06M,15.21M,6.827M,,,-5.04B,-4.468B,5.600B,,,6.827M,,546.38M,172.60M,373.78M,,,373.78M,369.11M,5.690B,89.81M,2005-06,0.325,0.00,,0.3209,2005-06,0.32,0.00,,0.3160,2005-06,1.152B,1.160B,2005-06,,
2005-03,3.074B,3.074B,2.022B,1.052B,548.08M,25.99M,3.444M,,,,574.06M,477.89M,,,3.444M,,462.61M,150.30M,312.31M,,,312.31M,309.98M,576.52M,98.63M,2005-03,0.535,0.00,,0.5310,2005-03,0.53,0.00,,0.5260,2005-03,582.79M,587.20M,2005-03,,
2004-12,2.903B,2.903B,1.961B,942.10M,528.96M,11.43M,136.34M,,,,540.39M,401.71M,,,136.34M,,513.88M,154.70M,359.18M,-1.082M,,358.10M,263.88M,499.15M,97.44M,2004-12,-0.50,0.00,,-0.6561,2004-12,-0.50,0.00,,-0.6549,2004-12,610.44M,615.31M,2004-12,,
2004-09,2.967B,2.967B,1.935B,1.032B,509.48M,10.62M,6.325M,,,,520.10M,512.24M,,,6.325M,,500.05M,170.00M,330.05M,,,330.05M,325.88M,602.56M,90.33M,2004-09,0.55,0.00,,0.5431,2004-09,0.545,0.00,,0.5381,2004-09,602.78M,607.93M,2004-09,,
2004-06,3.002B,3.002B,1.930B,1.072B,502.88M,8.052M,3.505M,,,,510.93M,561.54M,,,3.505M,,546.05M,185.70M,360.35M,,,360.35M,358.04M,659.55M,98.02M,2004-06,0.585,0.00,,0.5812,2004-06,0.58,0.00,,0.5763,2004-06,616.17M,621.28M,2004-06,,
2004-03,2.710B,2.710B,1.750B,960.01M,483.34M,29.02M,7.665M,,,,512.36M,447.64M,,,7.665M,,439.42M,149.40M,290.02M,0.171M,,290.20M,284.97M,547.65M,100.01M,2004-03,0.47,0.00,,0.4618,2004-03,0.465,0.00,,0.4569,2004-03,616.64M,620.82M,2004-03,,
2003-12,2.626B,2.626B,1.720B,905.51M,468.50M,5.301M,-22.69M,,,,473.80M,431.72M,,,-22.69M,,417.21M,130.30M,286.91M,-3.612M,,283.30M,302.51M,511.03M,79.32M,2003-12,0.47,-0.005,,0.4952,2003-12,0.465,-0.005,,0.4902,2003-12,618.11M,618.11M,2003-12,,
2003-09,2.532B,2.532B,1.634B,897.83M,466.34M,4.818M,4.526M,,,,471.15M,426.68M,,,4.526M,,415.08M,145.30M,269.78M,-0.874M,,268.90M,266.83M,501.07M,74.40M,2003-09,0.44,0.00,,0.4352,2003-09,0.435,0.00,,0.4302,2003-09,614.28M,617.99M,2003-09,,
2003-06,2.564B,2.564B,1.659B,904.59M,445.68M,4.847M,2.007M,,,,450.52M,454.07M,,,2.007M,,436.94M,152.90M,284.04M,-7.941M,,276.10M,282.74M,529.72M,75.66M,2003-06,0.465,-0.015,,0.4629,2003-06,0.46,-0.015,,0.4579,2003-06,613.58M,616.42M,2003-06,,
2003-03,2.314B,2.314B,1.514B,800.00M,469.69M,9.31M,3.316M,,,,479.00M,321.00M,,,3.316M,,306.88M,107.40M,199.48M,-4.107M,,195.38M,197.33M,398.18M,77.18M,2003-03,0.325,-0.005,,0.3215,2003-03,0.325,-0.005,,0.3215,2003-03,613.24M,615.54M,2003-03,,
2002-12,2.427B,2.427B,1.601B,826.30M,443.59M,12.79M,-1.366M,,,,456.37M,369.93M,,,-1.366M,,350.68M,122.75M,227.93M,-4.945M,0.00,222.99M,228.82M,447.58M,77.65M,2002-12,0.37,0.355,0.00,0.3715,2002-12,0.37,0.355,-0.0003,0.3714,2002-12,610.40M,619.29M,2002-12,,
2002-09,2.401B,2.401B,1.562B,839.49M,437.53M,5.028M,-6.524M,,,,442.55M,396.94M,,,-6.524M,,375.76M,131.50M,244.26M,1.276M,,245.54M,248.50M,473.97M,77.03M,2002-09,0.40,0.00,,0.4069,2002-09,0.395,0.00,,0.4019,2002-09,612.82M,615.79M,2002-09,,
