,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,117.80M,117.80M,81.40M,36.40M,,24.40M,,-5.50M,,,,5.50M,29.90M,6.50M,,,,-5.00M,,4.60M,1.30M,3.80M,,,,3.80M,7.746M,14.60M,8.10M,6.50M,0.065,0.0,,0.1331,0.065,0.065,0.0,,0.1331,0.065,57.92M,57.92M,0.05
2002-12,100.50M,100.50M,70.70M,29.80M,,6.70M,,-1.20M,,,,0.40M,7.10M,22.70M,,,,-1.40M,,19.50M,6.10M,13.10M,-9.70M,,,3.40M,13.92M,29.50M,6.80M,22.70M,0.23,-0.165,,0.2442,0.065,0.23,-0.165,,0.2442,0.065,58.16M,58.16M,0.05
2002-09,104.10M,104.10M,77.80M,26.30M,,19.10M,,-9.50M,,,,0.40M,19.50M,6.80M,,,,-9.90M,,-4.80M,-2.80M,-2.00M,5.90M,,,3.90M,3.70M,15.00M,8.20M,6.80M,-0.035,0.0975,,0.0635,0.0625,-0.035,0.0975,,0.0635,0.0625,57.85M,57.85M,0.0475
2002-06,107.70M,107.70M,76.70M,31.00M,,21.80M,,0.60M,,,,-0.60M,21.20M,9.80M,,,,0.70M,,7.40M,2.20M,5.30M,,,,5.30M,4.878M,18.10M,8.30M,9.80M,0.0925,0.0,,0.0852,0.0925,0.0925,0.0,,0.0852,0.0925,57.72M,58.03M,0.0475
2002-03,103.70M,103.70M,72.30M,31.40M,,20.50M,,1.80M,,,,-1.80M,18.70M,12.70M,,,,2.00M,,10.30M,4.00M,6.50M,-0.40M,,,6.10M,5.399M,20.60M,7.90M,12.70M,0.1125,-0.0075,,0.0933,0.105,0.1125,-0.0075,,0.0934,0.105,57.46M,57.59M,0.0475
2001-12,46.00M,46.00M,21.50M,24.50M,,14.30M,,-1.50M,,,,,15.20M,9.30M,,,,-1.00M,,7.60M,2.30M,5.30M,,,0.00,-19.60M,6.346M,13.40M,4.10M,9.30M,0.14,-0.485,,0.1582,-0.345,0.14,-0.485,,0.1582,-0.345,57.38M,57.42M,0.0475
2001-09,112.90M,112.90M,84.90M,28.00M,,19.40M,,2.30M,,,,-0.60M,18.80M,9.20M,,,,2.30M,,7.60M,1.70M,5.90M,,,,5.90M,4.114M,18.30M,9.10M,9.20M,0.1025,0.0,,0.0714,0.1025,0.1025,0.0,,0.0714,0.1025,57.37M,57.41M,0.045
2001-06,100.50M,100.50M,70.90M,29.60M,,18.00M,,-4.90M,,,,0.40M,18.40M,11.20M,,,,-4.70M,,3.70M,1.10M,2.80M,0.30M,,,3.10M,6.243M,21.90M,10.70M,11.20M,0.05,0.005,,0.11,0.055,0.05,0.005,,0.11,0.055,57.34M,57.42M,0.045
2001-03,99.30M,99.30M,69.80M,29.50M,,18.20M,,-0.10M,,,,0.10M,18.30M,11.20M,,,,0.20M,,7.90M,2.80M,5.30M,,,-0.10M,5.30M,5.365M,19.20M,8.00M,11.20M,0.0925,0.0025,,0.0936,0.095,0.0925,0.0025,,0.0936,0.095,57.28M,57.29M,0.045
2000-12,44.90M,44.90M,18.40M,26.50M,,8.60M,,-8.40M,,,,2.10M,10.70M,15.80M,,,,-7.20M,,8.80M,3.90M,5.30M,,,0.00,-13.10M,10.34M,15.80M,,15.80M,0.2,-0.43,,0.288,-0.23,0.2,-0.43,,0.288,-0.23,57.27M,57.28M,0.045
2000-09,105.30M,105.30M,80.70M,24.60M,,16.50M,,0.20M,,,,-0.20M,16.30M,8.30M,,,,0.20M,,5.10M,0.50M,4.60M,,,,4.60M,4.420M,8.30M,,8.30M,0.08,0.0,,0.0769,0.08,0.08,0.0,,0.0769,0.08,57.35M,57.35M,0.0425
2000-06,113.60M,113.60M,85.40M,28.20M,,17.00M,,0.30M,,,,,17.00M,11.20M,,,,0.30M,,8.00M,3.00M,5.00M,,,-0.10M,5.00M,4.812M,11.20M,,11.20M,0.0875,0.0,,0.0843,0.0875,0.0875,0.0,,0.0843,0.0875,57.85M,57.86M,0.0425
2000-03,108.70M,108.70M,80.50M,28.20M,,17.40M,,0.10M,,,,,17.40M,10.80M,,,,0.10M,,7.80M,2.70M,5.10M,,,-0.10M,5.10M,5.035M,10.80M,,10.80M,0.0875,0.0,,0.0864,0.0875,0.0875,0.0,,0.0864,0.0875,58.18M,58.25M,0.0425
1999-12,115.40M,115.40M,43.90M,71.50M,,22.00M,,,,,,,57.70M,13.80M,,,,,,12.10M,1.90M,10.20M,,,-0.10M,10.20M,10.20M,13.80M,,13.80M,0.17,0.0,,0.17,0.17,0.17,0.0,,0.17,0.17,59.57M,59.82M,0.0425
1999-09,115.10M,115.10M,80.80M,34.30M,,19.20M,,0.30M,,,,,19.20M,15.10M,,,,0.30M,,12.60M,4.00M,8.60M,,,,8.60M,8.395M,15.10M,,15.10M,0.145,0.0,,0.1415,0.145,0.1425,0.0,,0.1391,0.1425,59.31M,60.35M,0.04
1999-06,124.40M,124.40M,84.60M,39.80M,,19.70M,,-0.30M,,,,,19.70M,20.10M,,,,-0.30M,,17.00M,6.60M,10.40M,,,,10.40M,10.58M,20.10M,,20.10M,0.175,0.0,,0.1781,0.175,0.1725,0.0,,0.1755,0.1725,59.43M,60.29M,0.04
1999-03,114.20M,114.20M,79.80M,34.40M,,17.00M,,0.10M,,,,,17.00M,17.40M,,,,0.10M,,15.40M,5.90M,9.50M,,,0.10M,9.50M,9.438M,17.40M,,17.40M,0.1575,0.0,,0.1565,0.1575,0.1575,0.0,,0.1565,0.1575,60.32M,60.32M,0.04
1998-12,114.80M,114.80M,46.80M,68.00M,,18.00M,,-27.70M,,,,,22.10M,45.90M,,,,-27.70M,,15.90M,5.90M,10.00M,,,0.00,10.00M,27.42M,45.90M,,45.90M,0.1525,0.0,,0.4207,0.1525,0.15,0.0,,0.4137,0.15,64.96M,66.06M,0.04
1998-09,113.90M,113.90M,80.50M,33.40M,,17.30M,,-3.70M,,,,,17.30M,16.10M,,,,-3.70M,,10.60M,4.10M,6.50M,,,,6.50M,8.769M,16.10M,,16.10M,0.095,0.0,,0.1282,0.095,0.095,0.0,,0.1282,0.095,68.42M,68.42M,0.0375
1998-06,115.80M,115.80M,81.00M,34.80M,,18.40M,,1.30M,,,,,18.40M,16.40M,,,,1.30M,,15.70M,5.80M,9.90M,,,-0.10M,9.90M,9.080M,16.40M,,16.40M,0.145,0.0,,0.133,0.145,0.145,0.0,,0.133,0.145,68.28M,68.28M,0.0375
