,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-03,465.00M,465.00M,,,4.499B,,,,,2.095B,,,917.00M,7.976B,,,,,,,7.973B,-4.265B,3.708B,,237.00M,237.00M,,,,4.877B,8.822B,16.80B,,2.835B,,2.835B,,2.835B,,,,1.673B,1.673B,,,,1.242B,5.75B,4.314B,,4.314B,21.00M,21.00M,,,,3.532B,7.867B,13.62B,,,2.261B,,,,,,3.181B,,,
1994-12,419.00M,419.00M,,,4.29B,,,,,1.835B,,,865.00M,7.409B,,,,,,,8.23B,-4.454B,3.776B,,237.00M,237.00M,,,,4.828B,8.841B,16.25B,,2.624B,,2.624B,,2.624B,,,,1.633B,1.633B,,,,1.241B,5.498B,4.27B,,4.27B,23.00M,23.00M,,,,3.548B,7.841B,13.34B,,,1.961B,,,,,,2.911B,,,
1994-09,333.00M,333.00M,4.176B,,4.176B,853.00M,,878.00M,,1.731B,,817.00M,,7.057B,,,,,,,,,3.697B,,353.00M,353.00M,441.00M,2.674B,1.358B,333.00M,8.856B,15.91B,,2.504B,0.00,2.504B,,2.504B,,,,1.788B,1.788B,,190.00M,190.00M,,5.455B,3.892B,,3.892B,28.00M,28.00M,3.739B,,,,7.659B,13.11B,,867.00M,1.763B,,-40.00M,209.00M,,169.00M,2.799B,,,
1994-06,173.00M,173.00M,,,4.041B,,,,,1.672B,,,805.00M,6.691B,,,,,,,7.856B,-4.138B,3.718B,,353.00M,353.00M,,,,4.683B,8.754B,15.44B,,2.347B,,2.347B,,2.347B,,,,1.593B,1.593B,,,,1.21B,5.15B,3.946B,,3.946B,26.00M,26.00M,,,,3.751B,7.723B,12.87B,,,1.621B,,,,,,2.572B,,,
1994-03,64.00M,64.00M,,,4.121B,,,,,1.678B,,,807.00M,6.67B,,,,,,,7.907B,-4.138B,3.769B,,352.00M,352.00M,,,,4.406B,8.527B,15.20B,,2.311B,,2.311B,,2.311B,,,,1.06B,1.06B,,,,1.716B,5.087B,3.971B,,3.971B,24.00M,24.00M,,,,3.762B,7.757B,12.84B,,,1.411B,,,,,,2.353B,,,
1993-12,83.00M,83.00M,,,3.625B,,,,,1.525B,,,838.00M,6.071B,,,,,,,7.965B,-4.138B,3.827B,,353.00M,353.00M,,,,4.556B,8.736B,14.81B,,2.055B,,2.055B,,2.055B,,,,1.533B,1.533B,,,,1.083B,4.671B,3.895B,,3.895B,24.00M,24.00M,,,,4.018B,7.937B,12.61B,,,1.234B,,,,,,2.199B,,,
1993-09,86.00M,86.00M,,,3.839B,,,,,1.515B,,,832.00M,6.272B,,,,,,,4.556B,-789.00M,3.767B,,359.00M,359.00M,,,,4.427B,8.553B,14.82B,,1.956B,,1.956B,,1.956B,,,,1.871B,1.871B,,,,979.00M,4.806B,3.867B,,3.867B,23.00M,23.00M,,,,3.986B,7.876B,12.68B,,,1.202B,,,,,,2.143B,,,
1993-06,77.00M,77.00M,,,3.504B,,,,,1.566B,,,710.00M,5.857B,,,,,,,7.723B,-3.888B,3.835B,,361.00M,361.00M,,,,4.306B,8.502B,14.36B,,1.883B,,1.883B,,1.883B,,,,1.552B,1.552B,,,,995.00M,4.43B,4.237B,,4.237B,24.00M,24.00M,,,,3.995B,8.256B,12.69B,,,714.00M,,,,,,1.673B,,,
1993-03,86.00M,86.00M,,,3.299B,,,,,1.654B,,,800.00M,5.839B,,,,,,,7.763B,-3.888B,3.875B,,361.00M,361.00M,,,,4.092B,8.328B,14.17B,,1.899B,,1.899B,,1.899B,,,,1.677B,1.677B,,,,940.00M,4.516B,4.035B,,4.035B,23.00M,23.00M,,,,3.995B,8.053B,12.57B,,,677.00M,,,,,,1.598B,,,
1992-12,119.00M,119.00M,,,2.948B,,,,,1.675B,,,795.00M,5.537B,,,,,,,7.842B,-3.888B,3.954B,,357.00M,357.00M,,,,4.087B,8.398B,13.94B,,1.772B,,1.772B,,1.772B,,,,1.553B,1.553B,,,,902.00M,4.227B,4.119B,,4.119B,19.00M,19.00M,,,,3.995B,8.133B,12.36B,,,643.00M,,,,,,1.575B,,,
1992-09,123.00M,123.00M,,,3.011B,,,,,1.76B,,,860.00M,5.754B,,,,,,,4.691B,-774.00M,3.917B,,116.00M,116.00M,,,,2.528B,6.561B,12.32B,,1.852B,,1.852B,,1.852B,,,,1.296B,1.296B,,,,790.00M,3.938B,4.262B,,4.262B,247.00M,247.00M,,,,,4.509B,8.447B,,,2.946B,,,,,,3.868B,,,
1992-06,75.00M,75.00M,,,2.823B,,,,,1.755B,,,912.00M,5.565B,,,,,,,4.738B,-774.00M,3.964B,,119.00M,119.00M,,,,2.434B,6.517B,12.08B,,1.758B,,1.758B,,1.758B,,,,1.378B,1.378B,,,,835.00M,3.971B,4.039B,,4.039B,245.00M,245.00M,,,,,4.284B,8.255B,,,2.923B,,,,,,3.827B,,,
1992-03,97.00M,97.00M,,,2.549B,,,,,1.843B,,,899.00M,5.388B,,,,,,,4.793B,-774.00M,4.019B,,122.00M,122.00M,,,,2.389B,6.53B,11.92B,,1.697B,,1.697B,,1.697B,,,,1.356B,1.356B,,,,818.00M,3.871B,3.865B,,3.865B,253.00M,253.00M,,,,,4.118B,7.989B,,,3.006B,,,,,,3.929B,,,
1991-12,104.00M,104.00M,,,2.673B,,,,,1.921B,,,872.00M,5.57B,,,,,,,4.823B,-774.00M,4.049B,,120.00M,120.00M,,,,2.303B,6.472B,12.04B,,1.662B,,1.662B,,1.662B,,,,1.355B,1.355B,,,,842.00M,3.859B,3.892B,,3.892B,247.00M,247.00M,,,,,4.139B,7.998B,,,3.138B,,,,,,4.044B,,,
1991-09,100.00M,100.00M,,,2.951B,,,,,2.106B,,,763.00M,5.92B,,,,,,,4.656B,-661.00M,3.995B,,169.00M,169.00M,,,,2.194B,6.358B,12.28B,,1.65B,,1.65B,,1.65B,,,,1.717B,1.717B,,,,683.00M,4.05B,3.57B,,3.57B,263.00M,263.00M,,,,,3.833B,7.883B,,,3.502B,,,,,,4.395B,,,
1991-06,100.00M,100.00M,,,3.029B,,,,,2.133B,,,744.00M,6.006B,,,,,,,4.668B,-661.00M,4.007B,,171.00M,171.00M,,,,2.058B,6.236B,12.24B,,1.595B,,1.595B,,1.595B,,,,1.693B,1.693B,,,,734.00M,4.022B,3.522B,,3.522B,269.00M,269.00M,,,,,3.791B,7.813B,,,3.539B,,,,,,4.429B,,,
1991-03,85.00M,85.00M,,,3.004B,,,,,2.133B,,,719.00M,5.941B,,,,,,,4.62B,-661.00M,3.959B,,174.00M,174.00M,,,,1.996B,6.129B,12.07B,,1.621B,,1.621B,,1.621B,,,,1.766B,1.766B,,,,712.00M,4.099B,3.196B,,3.196B,262.00M,262.00M,,,,,3.458B,7.557B,,,3.616B,,,,,,4.513B,,,
1990-12,110.00M,110.00M,,,2.965B,,,,,2.105B,,,721.00M,5.901B,,,,,,,4.647B,-661.00M,3.986B,,176.00M,176.00M,,,,1.888B,6.05B,11.95B,,1.685B,,1.685B,,1.685B,,,,1.831B,1.831B,,,,743.00M,4.259B,2.89B,,2.89B,262.00M,262.00M,,,,,3.152B,7.411B,,,3.648B,,,,,,4.54B,,,
1990-09,109.00M,109.00M,,,3.113B,,,,,1.976B,,,646.00M,5.844B,,,,,,,4.395B,-633.00M,3.762B,,138.00M,138.00M,,,,1.731B,5.631B,11.48B,,1.607B,,1.607B,,1.607B,,,,1.905B,1.905B,,,,628.00M,4.14B,2.518B,,2.518B,256.00M,256.00M,,,,,2.774B,6.914B,,,3.698B,,,,,,4.561B,,,
1990-06,82.00M,82.00M,,,3.129B,,,,,2.022B,,,648.00M,5.881B,,,,,,,4.303B,-633.00M,3.67B,,140.00M,140.00M,,,,1.658B,5.468B,11.35B,,1.452B,,1.452B,,1.452B,,,,2.114B,2.114B,,,,683.00M,4.249B,2.323B,,2.323B,258.00M,258.00M,,,,,2.581B,6.83B,,,3.64B,,,,,,4.519B,,,
1990-03,91.00M,91.00M,,,3.028B,,,,,2.072B,,,636.00M,5.827B,,,,,,,4.181B,-633.00M,3.548B,,142.00M,142.00M,,,,1.619B,5.309B,11.14B,,1.50B,,1.50B,,1.50B,,,,1.53B,1.53B,,,,1.031B,4.061B,2.249B,,2.249B,261.00M,261.00M,,,,,2.51B,6.571B,,,3.628B,,,,,,4.565B,,,
1989-12,148.00M,148.00M,,,2.813B,,,,,2.12B,,,627.00M,5.708B,,,,,,,4.138B,-633.00M,3.505B,,147.00M,147.00M,,,,1.566B,5.218B,10.93B,,1.55B,,1.55B,,1.55B,,,,1.706B,1.706B,,,,648.00M,3.904B,2.288B,,2.288B,260.00M,260.00M,,,,,2.548B,6.452B,,,3.56B,,,,,,4.474B,,,
1989-09,95.00M,95.00M,,,2.773B,,,,,2.105B,,,671.00M,5.644B,,,,,,,3.79B,-596.00M,3.194B,,197.00M,197.00M,,,,1.515B,4.906B,10.55B,,1.426B,,1.426B,,1.426B,,,,1.561B,1.561B,,,,654.00M,3.641B,2.178B,,2.178B,323.00M,323.00M,,,,,2.501B,6.142B,,,3.514B,,,,,,4.408B,,,
1989-06,85.00M,85.00M,,,2.924B,,,,,2.077B,,,614.00M,5.70B,,,,,,,3.642B,-596.00M,3.046B,,198.00M,198.00M,,,,1.495B,4.739B,10.44B,,1.411B,,1.411B,,1.411B,,,,1.438B,1.438B,,,,724.00M,3.573B,2.21B,,2.21B,326.00M,326.00M,,,,,2.536B,6.109B,,,3.405B,,,,,,4.33B,,,
1988-12,74.00M,74.00M,,,2.669B,,,,,1.986B,,,588.00M,5.317B,,,,,,,6.492B,-3.583B,2.909B,,71.00M,71.00M,,,,1.389B,4.369B,9.686B,,,,,,,,,,1.307B,1.307B,,,,2.128B,3.435B,1.953B,,1.953B,185.00M,185.00M,,,,,2.138B,5.573B,,,3.184B,,,,,,4.113B,,,
1987-12,103.00M,103.00M,,,2.033B,,,,,1.323B,,,354.00M,3.813B,,,,,,,6.249B,-3.785B,2.464B,,47.00M,47.00M,,,,542.00M,3.053B,6.866B,,,,,,,,,,584.00M,584.00M,,,,1.808B,2.392B,900.00M,,900.00M,9.00M,9.00M,,,,,909.00M,3.301B,,,2.656B,,,,,,3.565B,,,
1986-12,124.00M,124.00M,,,1.728B,,,,,1.211B,,,300.00M,3.363B,,,,,,,6.285B,-3.852B,2.433B,,60.00M,60.00M,,,,432.00M,2.925B,6.288B,,,,,,,,,,619.00M,619.00M,,,,1.561B,2.18B,963.00M,,963.00M,-4.00M,-4.00M,,,,,959.00M,3.139B,,,2.363B,,,,,,3.149B,,,
1985-12,282.00M,282.00M,,,1.244B,,,,,1.139B,,,317.00M,2.982B,,,,,,,6.233B,-3.581B,2.652B,,77.00M,77.00M,,,,305.00M,3.034B,6.016B,,,,,,,,,,227.00M,227.00M,,,,1.515B,1.742B,1.177B,,1.177B,29.00M,29.00M,,,,,1.206B,2.948B,,,2.349B,,,,,,3.068B,,,
1984-12,62.00M,62.00M,,,1.168B,,,,,1.246B,,,439.00M,2.915B,,,,,,,6.233B,-3.288B,2.945B,,96.00M,96.00M,,,,267.00M,3.308B,6.223B,,,,,,,,,,477.00M,477.00M,,,,1.462B,1.939B,1.384B,,1.384B,48.00M,48.00M,,,,,1.432B,3.371B,,,2.20B,,,,,,2.852B,,,
