,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,4.435B,4.435B,3.397B,1.038B,434.90M,0.00,,,,,434.90M,603.20M,,,,13.00M,,616.20M,162.50M,453.70M,,0.10M,453.80M,453.80M,616.70M,13.50M,603.20M,,1.20,,,1.20,1.20,,1.18,,,1.18,1.18,,377.40M,383.40M,0.125,,AOR,Restated
2018-03,3.795B,3.795B,2.962B,833.10M,400.90M,1.10M,,,,,400.90M,432.20M,,,,12.60M,,444.80M,94.00M,350.80M,,0.20M,351.00M,350.13M,449.10M,16.90M,432.20M,,0.93,,,0.9277,0.93,,0.91,,,0.9077,0.91,,376.80M,383.90M,0.125,,AOR,Restated
2017-12,3.333B,3.333B,2.580B,752.60M,384.20M,13.40M,,,,,384.20M,368.40M,,,,22.80M,,391.20M,202.40M,188.80M,,0.50M,189.30M,181.26M,384.60M,16.20M,368.40M,,0.50,,,0.4786,0.50,,0.49,,,0.4691,0.49,,375.80M,383.80M,0.125,,AOR,Restated
2017-09,4.159B,4.159B,3.264B,895.20M,416.10M,,,,,,416.10M,479.10M,,,,6.50M,,485.60M,172.30M,313.30M,,,313.30M,313.30M,493.40M,14.30M,479.10M,,0.84,,,0.84,0.84,,0.82,,,0.82,0.82,,374.90M,380.10M,0.10,,AOR,Restated
2017-06,3.776B,3.776B,2.961B,815.30M,374.50M,,,,,,374.50M,440.80M,,,,3.70M,,444.50M,155.50M,289.00M,,,289.00M,289.00M,453.90M,13.10M,440.80M,,0.77,,,0.77,0.77,,0.76,,,0.76,0.76,,374.80M,379.40M,0.10,,AOR,Restated
2017-03,3.251B,3.251B,2.550B,701.40M,355.20M,0.00,,,,,355.20M,346.20M,,,,7.70M,,353.90M,124.70M,229.20M,,0.00,229.20M,229.20M,359.10M,12.90M,346.20M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,374.40M,378.90M,0.10,,AOR,Restated
2016-12,2.904B,2.904B,2.268B,636.30M,325.90M,,,,,,325.90M,310.40M,,,,7.70M,,318.10M,111.20M,206.90M,,,206.90M,206.90M,324.80M,14.40M,310.40M,,0.55,,,0.55,0.55,,0.55,,,0.55,0.55,,373.30M,377.40M,0.10,,AOR,Restated
2016-09,3.741B,3.741B,2.918B,822.90M,384.80M,,,,,,384.80M,438.10M,,,,7.80M,,433.10M,149.40M,283.70M,,,283.70M,283.70M,457.70M,19.60M,438.10M,,0.76,,,0.76,0.76,,0.75,,,0.75,0.75,,372.80M,377.20M,0.08,,AOR,Restated
2016-06,3.232B,3.232B,2.523B,708.90M,336.80M,,,4.60M,4.60M,,336.80M,372.10M,4.60M,,4.60M,1.90M,4.60M,378.60M,128.80M,249.80M,,,249.80M,249.80M,385.90M,13.80M,372.10M,,0.67,,,0.67,0.67,,0.66,,,0.66,0.66,,371.80M,375.90M,0.08,,AOR,Restated
2016-03,2.768B,2.768B,2.169B,598.60M,309.20M,,,3.50M,3.50M,,309.20M,289.40M,3.50M,,3.50M,7.60M,3.50M,300.50M,105.40M,195.10M,,,195.10M,195.10M,303.40M,14.00M,289.40M,,0.53,,,0.53,0.53,,0.52,,,0.52,0.52,,370.20M,373.70M,0.08,,AOR,Restated
2015-12,2.416B,2.416B,1.892B,524.20M,289.40M,,,4.80M,4.80M,,289.40M,234.80M,4.80M,,4.80M,1.70M,4.80M,241.30M,83.60M,157.70M,,,157.70M,157.70M,248.40M,13.60M,234.80M,,0.43,,,0.43,0.43,,0.42,,,0.42,0.42,,369.30M,373.50M,0.08,,AOR,Restated
2015-09,3.172B,3.172B,2.509B,663.60M,323.20M,,,14.30M,14.30M,,323.20M,340.40M,14.30M,,14.30M,-15.90M,14.30M,338.80M,99.90M,238.90M,,,238.90M,238.90M,354.80M,14.40M,340.40M,,0.65,,,0.65,0.65,,0.64,,,0.64,0.64,,367.50M,371.30M,0.0625,,AOR,Restated
2015-06,2.951B,2.951B,2.320B,630.40M,303.80M,,,3.30M,3.30M,,303.80M,326.60M,3.30M,,3.30M,3.90M,3.30M,333.80M,112.40M,221.40M,,,221.40M,221.40M,340.90M,14.30M,326.60M,,0.60,,,0.60,0.60,,0.60,,,0.60,0.60,,366.80M,370.30M,0.0625,,AOR,Restated
2015-03,2.398B,2.398B,1.892B,506.00M,283.10M,,,2.70M,2.70M,,283.10M,222.90M,2.70M,,2.70M,4.50M,2.70M,230.10M,82.20M,147.90M,,,147.90M,147.90M,236.00M,13.10M,222.90M,,0.40,,,0.40,0.40,,0.40,,,0.40,0.40,,365.80M,369.40M,0.0625,,AOR,Restated
2014-12,2.303B,2.303B,1.814B,488.20M,275.80M,,,2.80M,2.80M,,275.80M,212.40M,2.80M,,2.80M,5.50M,2.80M,220.70M,78.20M,142.50M,,,142.50M,142.50M,224.70M,12.30M,212.40M,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,364.90M,368.10M,0.0625,,AOR,Restated
2014-09,2.472B,2.472B,1.950B,522.70M,278.50M,,,10.30M,10.30M,,278.50M,244.20M,10.30M,,10.30M,-3.70M,10.30M,250.80M,84.60M,166.20M,,,166.20M,166.20M,256.00M,11.80M,244.20M,,0.46,,,0.46,0.46,,0.45,,,0.45,0.45,,364.80M,367.80M,0.0625,,AOR,Restated
2014-06,2.147B,2.147B,1.726B,421.50M,255.70M,,,2.90M,2.90M,,255.70M,165.80M,2.90M,,2.90M,3.10M,2.90M,171.80M,58.70M,113.10M,,,113.10M,113.10M,175.70M,9.90M,165.80M,,0.32,,,0.32,0.32,,0.32,,,0.32,0.32,,349.70M,367.80M,0.0375,,AOR,Restated
2014-03,1.735B,1.735B,1.320B,415.20M,218.10M,,,2.00M,2.00M,,218.10M,197.10M,2.00M,,2.00M,2.80M,2.00M,201.90M,70.90M,131.00M,,,131.00M,131.00M,206.00M,8.90M,197.10M,,0.40,,,0.40,0.40,,0.38,,,0.38,0.38,,324.30M,366.30M,0.0375,,AOR,Restated
2013-12,1.671B,1.671B,1.274B,397.00M,213.20M,,,2.60M,2.60M,,213.20M,183.80M,2.60M,,2.60M,3.30M,2.60M,189.70M,66.50M,123.20M,,,123.20M,123.20M,191.60M,7.80M,183.80M,,0.38,,,0.38,0.38,,0.3381,,,0.3381,0.3381,,323.10M,364.40M,0.00,,AOR,Restated
2013-09,1.860B,1.860B,1.446B,413.40M,218.10M,,0.00,2.80M,2.80M,,218.10M,195.30M,2.80M,0.00,2.80M,4.60M,2.80M,202.70M,63.20M,139.50M,,,139.50M,139.50M,209.40M,6.70M,202.70M,,0.43,,,0.43,0.43,,0.40,,,0.40,0.40,,323.00M,364.60M,0.00,,AOR,Restated
2013-06,1.693B,1.693B,1.295B,397.40M,198.80M,,0.00,2.70M,2.70M,,198.80M,198.60M,2.70M,0.00,2.70M,3.80M,2.70M,205.10M,59.10M,146.00M,,,146.00M,146.00M,211.00M,5.90M,205.10M,,0.45,,,0.45,0.45,,0.3993,,,0.3993,0.3993,,322.60M,365.60M,0.00,,AOR,Restated
2013-03,1.432B,1.432B,1.109B,322.40M,183.10M,,1.90M,1.50M,-0.40M,,183.10M,139.30M,1.50M,1.90M,-0.40M,3.20M,-0.40M,142.10M,31.10M,111.00M,,,111.00M,111.00M,149.30M,5.30M,144.00M,,0.35,,,0.35,0.35,,0.3038,,,0.3038,0.3038,,321.70M,365.40M,0.00,,AOR,Restated
2012-12,1.275B,1.275B,1.002B,272.80M,166.50M,,3.20M,1.50M,-1.70M,,166.50M,106.30M,1.50M,3.20M,-1.70M,3.30M,-1.70M,107.90M,41.60M,66.30M,,,66.30M,66.30M,115.90M,4.80M,111.10M,,0.21,,,0.21,0.21,,0.1821,,,0.1821,0.1821,,321.10M,364.10M,0.0375,,AOR,Restated
2012-09,1.336B,1.336B,1.066B,269.80M,171.40M,,4.90M,1.70M,-3.20M,,171.40M,98.40M,1.70M,4.90M,-3.20M,4.00M,-3.20M,99.20M,-0.90M,100.10M,,,100.10M,100.10M,108.50M,4.40M,104.10M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,319.60M,362.90M,0.0375,,AOR,Restated
2012-06,1.15B,1.15B,917.90M,232.10M,157.90M,,6.20M,1.60M,-4.60M,,157.90M,74.20M,1.60M,6.20M,-4.60M,2.60M,-4.60M,72.20M,-715.60M,787.80M,,,787.80M,787.80M,83.00M,4.60M,78.40M,,2.47,,,2.47,2.47,,2.188,,,2.188,2.188,,318.80M,360.00M,0.0375,,AOR,Restated
2012-03,961.20M,961.20M,771.20M,190.00M,147.10M,0.00,6.30M,2.50M,-3.80M,,147.10M,42.90M,2.50M,6.30M,-3.80M,3.20M,-3.80M,42.30M,1.70M,40.60M,,,40.60M,40.60M,53.40M,4.80M,48.60M,,0.13,,,0.13,0.13,,0.1268,,,0.1268,0.1268,,317.60M,320.10M,0.0375,,AOR,Restated
2011-12,906.60M,906.60M,737.00M,169.60M,137.90M,0.10M,7.80M,3.00M,-4.80M,,137.90M,31.70M,3.00M,7.80M,-4.80M,2.30M,-4.80M,29.20M,1.50M,27.70M,,,27.70M,27.61M,42.00M,5.00M,37.00M,,0.09,,,0.0897,0.09,,0.0875,,,0.0872,0.0875,,316.30M,316.50M,0.0375,,AOR,Restated
2011-09,1.098B,1.098B,914.10M,184.20M,144.10M,-6.90M,8.80M,1.50M,-7.30M,,144.10M,40.10M,1.50M,8.80M,-7.30M,1.10M,-7.30M,33.90M,-1.90M,35.80M,,,35.80M,40.28M,47.70M,5.00M,42.70M,,0.11,0.00,,0.1242,0.11,,0.11,0.00,,0.1242,0.11,,316.20M,316.20M,0.0375,,AOR,Restated
2011-06,999.20M,999.20M,824.10M,175.10M,133.00M,-5.30M,10.40M,2.50M,-7.90M,,133.00M,42.10M,2.50M,10.40M,-7.90M,-5.30M,-7.90M,28.90M,0.20M,28.70M,,,28.70M,33.96M,44.30M,5.00M,39.30M,,0.09,0.00,,0.1065,0.09,,0.09,0.00,,0.1065,0.09,,318.70M,319.00M,0.0375,,AOR,Restated
2011-03,751.10M,751.10M,628.30M,122.80M,159.40M,3.40M,14.80M,1.90M,-12.90M,,159.40M,-36.60M,1.90M,14.80M,-12.90M,3.40M,-12.90M,-30.80M,-58.60M,27.80M,,,27.80M,25.59M,-11.00M,5.00M,-16.00M,,0.09,0.00,,0.0831,0.09,,0.09,0.00,,0.0831,0.09,,319.20M,319.50M,0.0375,,AOR,Restated
2010-12,788.20M,788.20M,656.80M,131.40M,137.90M,0.80M,16.50M,2.30M,-14.20M,,137.90M,-6.50M,2.30M,16.50M,-14.20M,0.80M,-14.20M,-19.90M,0.50M,-20.40M,,,-20.40M,-20.92M,1.50M,4.90M,-3.40M,,-0.06,0.00,,-0.0616,-0.06,,-0.06,0.00,,-0.0616,-0.06,,319.10M,319.10M,0.0375,,AOR,Restated
2010-09,948.50M,948.50M,798.00M,150.50M,146.90M,3.00M,17.50M,2.50M,-15.00M,,140.20M,10.30M,2.50M,17.50M,-15.00M,3.00M,-15.00M,-1.70M,7.10M,-8.80M,,,-8.80M,-10.75M,20.60M,4.80M,15.80M,,-0.03,0.00,,-0.0361,-0.03,,-0.03,0.00,,-0.0361,-0.03,,318.40M,318.82M,0.0375,,AOR,Restated
2010-06,1.406B,1.406B,1.172B,234.60M,164.70M,2.00M,20.30M,3.00M,-17.30M,8.30M,173.00M,61.60M,3.00M,20.30M,-17.30M,2.00M,-17.30M,46.30M,-4.20M,50.50M,,,50.50M,49.20M,70.90M,4.30M,66.60M,,0.16,0.00,,0.1559,0.16,,0.16,0.00,,0.1559,0.16,,318.20M,319.10M,0.0375,,AOR,Restated
2010-03,913.50M,913.50M,737.60M,175.90M,146.40M,3.60M,22.90M,1.90M,-21.00M,,146.40M,29.50M,1.90M,22.90M,-21.00M,3.60M,-21.00M,12.10M,0.70M,11.40M,,,11.40M,8.008M,39.40M,4.40M,35.00M,,0.04,0.00,,0.0293,0.04,,0.04,0.00,,0.0294,0.04,,318.10M,319.00M,0.0375,,AOR,Restated
2009-12,1.132B,1.132B,920.60M,211.60M,147.10M,3.10M,27.40M,2.60M,-24.80M,,147.10M,64.50M,2.60M,27.40M,-24.80M,3.10M,-24.80M,42.80M,-149.20M,192.00M,,,192.00M,189.98M,75.10M,4.90M,70.20M,,0.60,0.00,,0.5937,0.60,,0.56,0.00,,0.5543,0.56,,317.70M,356.10M,0.0375,,AOR,Restated
2009-09,1.029B,1.029B,1.079B,-50.60M,154.40M,,30.10M,2.40M,-27.70M,,137.70M,-188.30M,2.40M,30.10M,-27.70M,,-27.70M,-229.10M,5.80M,-234.90M,,,-234.90M,-234.90M,-194.00M,5.00M,-199.00M,,-0.74,0.00,,-0.74,-0.74,,-0.74,0.00,,-0.74,-0.74,,317.20M,317.20M,0.0375,,AOR,Restated
2009-06,932.90M,932.90M,922.50M,10.40M,152.40M,-1.70M,22.00M,2.30M,-19.70M,,152.40M,-142.00M,2.30M,22.00M,-19.70M,-1.70M,-19.70M,-163.40M,-19.60M,-143.80M,,,-143.80M,-142.30M,-135.40M,6.00M,-141.40M,,-0.45,0.00,,-0.4453,-0.45,,-0.45,0.00,,-0.4453,-0.45,,316.90M,316.90M,0.0375,,AOR,Restated
2009-03,778.00M,778.00M,720.30M,57.70M,144.10M,4.40M,23.40M,2.40M,-21.00M,,144.10M,-86.40M,2.40M,23.40M,-21.00M,4.40M,-21.00M,-103.00M,5.60M,-108.60M,,,-108.60M,-111.46M,-75.10M,4.50M,-79.60M,,-0.34,0.00,,-0.3490,-0.34,,-0.34,0.00,,-0.3490,-0.34,,316.80M,316.80M,0.0375,,AOR,Restated
2008-12,918.00M,918.00M,816.60M,101.40M,150.20M,-10.50M,26.30M,3.30M,-23.00M,,150.20M,-48.80M,3.30M,26.30M,-23.00M,-10.50M,-23.00M,-61.30M,1.30M,-62.60M,,,-62.60M,-55.78M,-24.80M,10.20M,-35.00M,,-0.20,0.00,,-0.1784,-0.20,,-0.20,0.00,,-0.1784,-0.20,,316.70M,316.70M,0.0375,,,Restated
2008-09,1.782B,1.782B,2.657B,-874.30M,199.40M,-77.30M,17.10M,2.90M,-14.20M,,199.40M,-1.074B,2.90M,17.10M,-14.20M,-77.30M,-14.20M,-1.165B,-365.40M,-799.80M,,,-799.80M,-746.74M,-1.137B,11.10M,-1.148B,,-2.53,0.00,,-2.362,-2.53,,-2.53,0.00,,-2.362,-2.53,,316.30M,316.30M,0.075,,,Restated
2008-06,1.464B,1.464B,1.616B,-152.10M,217.80M,0.90M,12.30M,2.20M,-10.10M,,217.80M,-369.90M,2.20M,12.30M,-10.10M,0.90M,-10.10M,-379.10M,20.20M,-399.30M,,,-399.30M,-399.88M,-357.30M,9.50M,-366.80M,,-1.26,0.00,,-1.262,-1.26,,-1.26,0.00,,-1.262,-1.26,,316.00M,316.00M,0.075,,,Restated
2008-03,1.657B,1.657B,2.303B,-645.90M,231.10M,,12.00M,2.60M,-9.40M,-1.80M,229.30M,-875.20M,2.60M,12.00M,-9.40M,,-9.40M,-884.60M,421.00M,-1.306B,,,-1.306B,-1.306B,-856.50M,16.10M,-872.60M,,-4.14,0.00,,-4.14,-4.14,,-4.14,0.00,,-4.14,-4.14,,315.40M,315.40M,0.15,,,Restated
2007-12,1.743B,1.743B,1.706B,36.60M,243.60M,1.70M,,,,,243.60M,-207.00M,,,,1.70M,,-202.90M,-74.10M,-128.80M,,,-128.80M,-129.88M,-190.50M,16.50M,-207.00M,,-0.41,0.00,,-0.4134,-0.41,,-0.41,0.00,,-0.4134,-0.41,,314.15M,314.15M,0.15,,,
2007-09,3.172B,3.172B,2.906B,265.90M,317.10M,-50.20M,,,,,317.10M,-51.20M,,,,-50.20M,,-100.20M,-50.00M,-50.20M,,,-50.20M,-17.57M,-483.70M,11.20M,-494.90M,,-0.16,0.00,,-0.0563,-0.16,,-0.16,0.00,,-0.0563,-0.16,,314.74M,314.74M,0.15,,,Restated
2007-06,2.598B,2.598B,2.976B,-378.30M,303.50M,-433.80M,,,,,303.50M,-681.80M,,,,-433.80M,,-1.111B,-287.60M,-823.80M,,,-823.80M,-502.26M,-664.00M,17.80M,-681.80M,,-2.62,0.00,,-1.597,-2.62,,-2.62,0.00,,-1.597,-2.62,,314.43M,314.43M,0.15,,,
2007-03,2.658B,2.658B,2.245B,413.40M,334.40M,0.60M,,,,,334.40M,79.00M,,,,0.60M,,83.40M,31.70M,51.70M,,,51.70M,51.33M,97.10M,18.10M,79.00M,,0.16,0.00,,0.1588,0.16,,0.16,0.00,,0.1588,0.16,,323.12M,323.12M,0.15,,,
2006-12,2.868B,2.868B,2.358B,510.50M,340.30M,1.10M,,,,,340.30M,170.20M,,,,1.10M,,176.90M,67.20M,109.70M,,,109.70M,109.02M,187.50M,17.30M,170.20M,,0.35,0.00,,0.3478,0.35,,0.35,0.00,,0.3478,0.35,,313.43M,313.43M,0.15,,,
2006-09,4.883B,4.883B,3.972B,911.30M,464.30M,-60.70M,,,,,464.30M,447.00M,,,,-60.70M,,445.80M,168.10M,277.70M,,,277.70M,315.51M,464.40M,17.40M,447.00M,,0.88,0.00,,1.0000,0.88,,0.88,0.00,,0.9998,0.88,,315.22M,315.65M,0.15,,,
2006-06,3.668B,3.668B,2.795B,872.40M,407.20M,15.70M,,,,,407.20M,465.20M,,,,15.70M,,472.20M,179.40M,292.80M,,,292.80M,283.06M,480.80M,15.60M,465.20M,,0.94,0.00,,0.9087,0.94,,0.93,0.00,,0.8991,0.93,,311.49M,314.84M,0.10,,,
2006-03,3.598B,3.598B,2.615B,982.70M,414.30M,19.00M,,,,,414.30M,568.40M,,,,19.00M,,569.00M,216.20M,352.80M,,,352.80M,341.02M,583.30M,14.90M,568.40M,,1.13,0.00,,1.092,1.13,,1.11,0.00,,1.073,1.11,,312.21M,317.84M,0.10,,,
2005-12,2.903B,2.903B,2.036B,866.70M,373.00M,19.10M,,,,,373.00M,493.70M,,,,19.10M,,500.10M,190.00M,310.10M,,,310.10M,298.26M,507.50M,13.80M,493.70M,,0.99,0.00,,0.9521,0.99,,0.98,0.00,,0.9427,0.98,,312.90M,317.60M,0.09,,,
2005-09,5.097B,5.097B,3.755B,1.342B,442.40M,-22.10M,,,,,442.40M,899.30M,,,,-22.10M,,904.40M,340.60M,563.80M,,,563.80M,577.58M,914.10M,14.80M,899.30M,,1.80,0.00,,1.844,1.80,,1.77,0.00,,1.813,1.77,,314.09M,318.74M,0.09,,,
2005-06,3.370B,3.370B,2.431B,939.50M,340.50M,9.50M,,,,,340.50M,599.00M,,,,9.50M,,604.40M,232.70M,371.70M,,,371.70M,365.86M,612.40M,13.40M,599.00M,,1.19,0.00,,1.171,1.19,,1.17,0.00,,1.152,1.17,,312.35M,317.69M,0.09,,,
2005-03,2.877B,2.877B,2.107B,769.30M,300.90M,12.20M,,,,,300.90M,468.40M,,,,12.20M,,478.00M,184.00M,294.00M,,,294.00M,286.50M,482.30M,13.90M,468.40M,,0.94,0.00,,0.9160,0.94,,0.92,0.00,,0.8965,0.92,,312.77M,319.57M,0.0675,,,
2004-12,2.520B,2.520B,1.847B,673.00M,290.40M,11.60M,,,,,290.40M,382.60M,,,,11.60M,,391.80M,150.80M,241.00M,,,241.00M,233.86M,397.60M,15.00M,382.60M,,0.5775,0.00,,0.5603,0.5775,,0.5700,0.00,,0.5531,0.5700,,415.06M,422.66M,0.0600,,,
2004-09,3.511B,3.511B,2.635B,875.68M,316.67M,8.828M,,,,,316.67M,559.01M,,,,8.828M,,565.88M,216.25M,349.63M,,,349.63M,344.18M,575.16M,16.15M,559.01M,,0.3375,0.00,,0.3199,0.3375,,0.3375,0.00,,0.3202,0.3375,,310.28M,315.95M,0.0600,,,
2004-06,2.790B,2.790B,2.116B,674.52M,276.44M,12.14M,,,,,276.44M,398.09M,,,,12.14M,,408.61M,157.32M,251.30M,,,251.30M,243.83M,411.50M,13.42M,398.09M,,0.8100,0.00,,0.7860,0.8100,,0.7950,0.00,,0.7714,0.7950,,310.73M,316.11M,0.0600,,,
2004-03,2.335B,2.335B,1.776B,559.09M,248.89M,0.61M,,,,,248.89M,310.20M,,,,0.61M,,306.60M,118.04M,188.56M,,,188.56M,188.18M,324.40M,14.20M,310.20M,,0.6075,0.00,,0.6063,0.6075,,0.6000,0.00,,0.5988,0.6000,,310.41M,316.12M,0.0600,,,
2003-12,2.205B,2.205B,1.670B,534.21M,238.01M,7.125M,,,,,238.01M,296.20M,,,,7.125M,,301.81M,116.20M,185.61M,,,185.61M,181.23M,307.93M,11.73M,296.20M,,0.4000,0.00,,0.3906,0.4000,,0.3900,0.00,,0.3808,0.3900,,464.56M,473.42M,0.0350,,,
2003-09,2.862B,2.862B,2.214B,648.22M,271.33M,0.506M,,,,,271.33M,376.89M,,,,0.506M,,372.14M,141.41M,230.73M,,,230.73M,230.41M,386.86M,9.972M,376.89M,,0.7454,,,0.7444,0.7454,,0.7454,,,0.7444,0.7454,,309.52M,309.52M,0.0350,,,
2003-06,2.212B,2.212B,1.727B,485.56M,233.32M,2.104M,,,,,233.32M,252.24M,,,,2.104M,,250.91M,95.34M,155.56M,,,155.56M,154.26M,265.79M,13.55M,252.24M,,0.3550,0.00,,0.3520,0.3550,,0.3300,0.00,,0.3272,0.3300,,437.98M,472.42M,0.0350,,,
2003-03,1.909B,1.909B,1.496B,412.14M,209.52M,5.053M,,,,,209.52M,202.62M,,,,5.053M,,206.19M,78.35M,127.84M,,,127.84M,124.70M,214.22M,11.60M,202.62M,,0.4350,0.00,,0.4243,0.4350,,0.4300,0.00,,0.4194,0.4300,,292.65M,296.43M,0.0350,,,
2002-12,1.745B,1.745B,1.369B,376.39M,201.19M,6.133M,,,,,201.19M,175.21M,,,,6.133M,,178.92M,67.10M,111.83M,,,111.83M,107.99M,185.95M,10.75M,175.21M,,0.3800,0.00,,0.3669,0.3800,,0.3750,0.00,,0.3621,0.3750,,293.04M,297.00M,0.0300,,,
2002-09,2.170B,2.170B,1.721B,449.81M,221.35M,-7.427M,,,,,221.35M,228.46M,,,,-7.427M,,218.23M,81.84M,136.39M,,,136.39M,141.03M,244.49M,16.03M,228.46M,,0.4750,0.00,,0.4908,0.4750,,0.4650,0.00,,0.4806,0.4650,,294.13M,298.26M,0.0300,,,
2002-06,1.808B,1.808B,1.442B,366.49M,195.24M,0.872M,,,,,195.24M,171.25M,,,,0.872M,,169.50M,63.56M,105.94M,,,105.94M,105.39M,180.36M,9.112M,171.25M,,0.3600,0.00,,0.3582,0.3600,,0.3350,0.00,,0.3333,0.3350,,294.27M,316.23M,0.0300,,,
