,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2005-03,864.00M,255.00M,1.119B,890.00M,,890.00M,114.00M,216.00M,256.00M,2.595B,,,,,,26.71B,-6.239B,20.47B,1.525B,893.00M,22.89B,25.49B,1.098B,227.00M,,1.325B,,1.325B,,557.00M,,557.00M,295.00M,2.177B,7.125B,,7.125B,6.618B,,6.618B,,,1.313B,15.06B,17.23B,425.00M,7.043B,833.00M,20.00M,-2.00M,8.254B
2004-12,579.00M,90.00M,669.00M,767.00M,,767.00M,104.00M,187.00M,240.00M,1.967B,,,,,,26.76B,-6.239B,20.53B,805.00M,1.452B,22.78B,24.75B,1.012B,210.00M,,1.222B,,1.222B,,662.00M,,662.00M,317.00M,2.201B,6.863B,,6.863B,6.55B,,6.55B,448.00M,,698.00M,14.56B,16.76B,421.00M,6.893B,728.00M,20.00M,-24.00M,7.99B
2004-09,475.00M,55.00M,530.00M,806.00M,,806.00M,102.00M,191.00M,177.00M,1.806B,,,,,,26.18B,-5.812B,20.37B,793.00M,1.462B,22.62B,24.43B,1.004B,245.00M,,1.249B,,1.249B,,529.00M,,529.00M,344.00M,2.122B,7.019B,,7.019B,6.484B,,6.484B,,,1.116B,14.62B,16.74B,417.00M,6.669B,620.00M,20.00M,11.00M,7.688B
2004-06,203.00M,,203.00M,782.00M,,782.00M,100.00M,191.00M,155.00M,1.431B,,,,,,17.73B,-5.812B,11.92B,6.293B,1.19B,19.40B,20.83B,931.00M,201.00M,,1.132B,,1.132B,,511.00M,,511.00M,299.00M,1.942B,6.336B,,6.336B,3.327B,,3.327B,,,1.869B,11.53B,13.47B,415.00M,6.421B,571.00M,20.00M,-21.00M,7.355B
2004-03,107.00M,,107.00M,765.00M,,765.00M,97.00M,197.00M,156.00M,1.322B,,,,,,17.63B,-5.812B,11.82B,6.275B,1.176B,19.27B,20.59B,884.00M,233.00M,,1.117B,,1.117B,,210.00M,,210.00M,359.00M,1.686B,6.671B,,6.671B,3.263B,,3.263B,,,1.85B,11.78B,13.47B,413.00M,6.239B,539.00M,20.00M,-37.00M,7.122B
2003-12,284.00M,2.00M,286.00M,695.00M,,695.00M,92.00M,189.00M,163.00M,1.425B,,,,,,17.59B,-5.812B,11.78B,6.259B,1.133B,19.17B,20.60B,948.00M,199.00M,,1.147B,,1.147B,,360.00M,,360.00M,294.00M,1.801B,6.80B,,6.80B,3.223B,,3.223B,410.00M,,1.386B,11.82B,13.62B,412.00M,6.112B,521.00M,20.00M,-44.00M,6.976B
2003-09,158.00M,3.00M,161.00M,779.00M,,779.00M,92.00M,198.00M,54.00M,1.284B,,,,,,17.54B,-5.717B,11.82B,6.229B,1.225B,19.28B,20.56B,938.00M,222.00M,,1.16B,,1.16B,,363.00M,,363.00M,331.00M,1.854B,6.823B,,6.823B,3.199B,,3.199B,,50.00M,1.718B,11.74B,13.59B,412.00M,6.091B,507.00M,20.00M,-69.00M,6.915B
2003-06,110.00M,,110.00M,800.00M,,800.00M,102.00M,202.00M,92.00M,1.306B,,,,,,17.54B,-5.717B,11.82B,6.215B,1.194B,19.23B,20.54B,923.00M,229.00M,696.00M,1.848B,,1.848B,,613.00M,,613.00M,-392.00M,2.069B,6.848B,,6.848B,3.141B,,3.141B,,50.00M,1.621B,11.61B,13.68B,411.00M,5.985B,504.00M,20.00M,-64.00M,6.809B
2003-03,128.00M,,128.00M,789.00M,,789.00M,101.00M,193.00M,120.00M,1.331B,,,,,,17.49B,-5.717B,11.77B,6.199B,1.132B,19.10B,20.43B,904.00M,275.00M,672.00M,1.851B,,1.851B,,616.00M,,616.00M,-296.00M,2.171B,6.873B,,6.873B,3.075B,,3.075B,,51.00M,1.577B,11.52B,13.70B,411.00M,5.876B,496.00M,20.00M,-68.00M,6.687B
2002-12,184.00M,,184.00M,683.00M,,683.00M,97.00M,187.00M,148.00M,1.299B,,,,,,17.09B,-5.717B,11.37B,6.178B,1.109B,18.66B,19.96B,908.00M,269.00M,,1.177B,,1.177B,,358.00M,,358.00M,318.00M,1.853B,7.006B,,7.006B,3.01B,,3.01B,,45.00M,1.542B,11.56B,13.41B,410.00M,5.694B,481.00M,20.00M,-65.00M,6.50B
2002-09,132.00M,,132.00M,685.00M,,685.00M,91.00M,167.00M,69.00M,1.144B,,,,,,16.77B,-5.435B,11.33B,6.19B,1.128B,18.65B,19.79B,886.00M,250.00M,,1.136B,,1.136B,,356.00M,,356.00M,343.00M,1.835B,7.027B,,7.027B,2.942B,,2.942B,,45.00M,1.52B,11.49B,13.32B,410.00M,5.593B,475.00M,20.00M,-33.00M,6.425B
2002-06,94.00M,,94.00M,523.00M,,523.00M,100.00M,166.00M,75.00M,958.00M,,,,,,16.74B,-5.435B,11.30B,6.178B,1.083B,18.57B,19.52B,845.00M,277.00M,475.00M,1.597B,,1.597B,,106.00M,,106.00M,-185.00M,1.518B,7.338B,,7.338B,2.866B,,2.866B,,45.00M,1.445B,11.65B,13.17B,410.00M,5.494B,469.00M,20.00M,-41.00M,6.312B
2002-03,164.00M,,164.00M,615.00M,,615.00M,94.00M,169.00M,100.00M,1.142B,,,,,,16.72B,-5.435B,11.28B,6.167B,1.052B,18.50B,19.64B,828.00M,271.00M,450.00M,1.549B,,1.549B,,410.00M,,410.00M,-76.00M,1.883B,7.246B,,7.246B,2.828B,,2.828B,,45.00M,1.428B,11.50B,13.38B,409.00M,5.397B,465.00M,20.00M,-40.00M,6.211B
2001-12,204.00M,,204.00M,,,475.00M,90.00M,162.00M,116.00M,1.047B,,,,,,16.64B,-5.435B,11.21B,,7.163B,18.37B,19.42B,848.00M,312.00M,,1.16B,,1.16B,,978.00M,,978.00M,248.00M,2.386B,7.027B,,7.027B,2.781B,,2.781B,,45.00M,1.089B,10.90B,13.28B,407.00M,5.335B,423.00M,20.00M,,6.09B
2001-09,134.00M,0.00,134.00M,456.00M,,456.00M,89.00M,170.00M,44.00M,893.00M,,,,,,16.49B,-5.214B,11.28B,6.188B,1.028B,18.49B,19.38B,869.00M,259.00M,,1.128B,,1.128B,,604.00M,,604.00M,651.00M,2.383B,7.064B,,7.064B,2.781B,,2.781B,,45.00M,1.079B,10.92B,13.31B,407.00M,5.244B,416.00M,20.00M,-14.00M,6.033B
2001-06,47.00M,0.00,47.00M,430.00M,,430.00M,96.00M,175.00M,63.00M,811.00M,,,,,,16.46B,-5.214B,11.25B,6.18B,999.00M,18.43B,19.24B,861.00M,265.00M,,1.126B,,1.126B,,629.00M,,629.00M,536.00M,2.291B,7.072B,,7.072B,2.746B,,2.746B,,45.00M,1.108B,10.93B,13.22B,407.00M,5.188B,412.00M,20.00M,-10.00M,5.977B
2001-03,54.00M,1.00M,55.00M,440.00M,,440.00M,93.00M,171.00M,95.00M,854.00M,,,,,,16.48B,-5.214B,11.27B,6.166B,952.00M,18.39B,19.24B,866.00M,246.00M,,1.112B,,1.112B,,306.00M,,306.00M,548.00M,1.966B,7.535B,,7.535B,2.703B,,2.703B,,46.00M,1.108B,11.35B,13.31B,406.00M,5.104B,399.00M,20.00M,-7.00M,5.882B
2000-12,0.00,2.00M,2.00M,411.00M,,411.00M,91.00M,182.00M,163.00M,849.00M,,,,,,16.32B,-5.214B,11.10B,6.154B,868.00M,18.13B,18.98B,925.00M,251.00M,,1.176B,,1.176B,,297.00M,,297.00M,414.00M,1.887B,7.339B,,7.339B,2.745B,,2.745B,,50.00M,1.131B,11.22B,13.10B,405.00M,5.053B,392.00M,20.00M,-6.00M,5.824B
2000-09,151.00M,1.00M,152.00M,469.00M,,469.00M,116.00M,169.00M,97.00M,1.003B,,,,,,16.15B,-5.138B,11.01B,6.146B,927.00M,18.09B,19.09B,962.00M,247.00M,,1.209B,,1.209B,,296.00M,,296.00M,484.00M,1.989B,7.352B,,7.352B,2.72B,,2.72B,,49.00M,1.091B,11.16B,13.15B,405.00M,5.124B,385.00M,20.00M,-6.00M,5.888B
2000-06,45.00M,5.00M,50.00M,426.00M,,426.00M,136.00M,160.00M,136.00M,908.00M,,,,,,16.06B,-5.052B,11.01B,6.143B,817.00M,17.97B,18.88B,887.00M,206.00M,,1.093B,,1.093B,,103.00M,,103.00M,366.00M,1.562B,7.596B,,7.596B,2.698B,,2.698B,,49.00M,1.114B,11.41B,12.97B,405.00M,5.102B,382.00M,20.00M,-9.00M,5.86B
2000-03,60.00M,12.00M,72.00M,855.00M,,855.00M,120.00M,151.00M,150.00M,1.348B,,,,,,15.99B,-5.011B,10.98B,6.143B,742.00M,17.86B,19.21B,876.00M,169.00M,,1.045B,,1.045B,,503.00M,,503.00M,544.00M,2.092B,7.493B,,7.493B,2.662B,,2.662B,,49.00M,1.099B,11.25B,13.35B,405.00M,5.063B,377.00M,20.00M,-9.00M,5.816B
1999-12,37.00M,14.00M,51.00M,857.00M,,857.00M,100.00M,134.00M,229.00M,1.371B,,,,,,15.88B,-4.929B,10.96B,6.132B,791.00M,17.88B,19.25B,818.00M,163.00M,,981.00M,,981.00M,,503.00M,,503.00M,440.00M,1.924B,7.556B,,7.556B,2.687B,,2.687B,,50.00M,1.101B,11.34B,13.27B,404.00M,5.187B,372.00M,20.00M,-11.00M,5.932B
1999-09,41.00M,15.00M,56.00M,,,906.00M,77.00M,143.00M,134.00M,1.316B,,,,,,15.73B,-4.831B,10.90B,,6.898B,17.80B,19.12B,896.00M,178.00M,,1.074B,,1.074B,,655.00M,,655.00M,325.00M,2.054B,7.329B,,7.329B,2.653B,,2.653B,,51.00M,1.105B,11.09B,13.14B,402.00M,5.231B,324.00M,20.00M,,5.925B
1999-06,105.00M,17.00M,122.00M,,,716.00M,54.00M,137.00M,158.00M,1.187B,,,,,,15.63B,-4.757B,10.87B,,6.818B,17.69B,18.87B,810.00M,199.00M,,1.009B,,1.009B,,571.00M,,571.00M,239.00M,1.819B,7.393B,,7.393B,2.554B,,2.554B,,51.00M,1.076B,11.02B,12.84B,402.00M,5.289B,320.00M,20.00M,,5.981B
1999-03,86.00M,17.00M,103.00M,,,569.00M,55.00M,140.00M,132.00M,999.00M,,,,,,15.26B,-4.639B,10.62B,,6.863B,17.48B,18.48B,577.00M,177.00M,,754.00M,,754.00M,,147.00M,,147.00M,291.00M,1.192B,7.66B,,7.66B,2.554B,,2.554B,,49.00M,1.058B,11.27B,12.46B,401.00M,5.288B,307.00M,20.00M,,5.967B
1998-12,5.00M,58.00M,63.00M,519.00M,,519.00M,59.00M,141.00M,131.00M,913.00M,,,,,,15.06B,-4.586B,10.48B,6.21B,580.00M,17.27B,18.18B,600.00M,151.00M,,751.00M,,751.00M,,141.00M,,141.00M,225.00M,1.117B,7.483B,,7.483B,2.545B,,2.545B,,49.00M,1.065B,11.09B,12.21B,401.00M,5.252B,296.00M,20.00M,-8.00M,5.921B
1998-09,107.00M,84.00M,191.00M,,,544.00M,57.00M,124.00M,87.00M,1.003B,,,,,,14.87B,-4.538B,10.33B,,6.685B,17.01B,18.02B,613.00M,166.00M,,779.00M,,779.00M,,67.00M,,67.00M,290.00M,1.136B,7.508B,,7.508B,2.473B,,2.473B,,49.00M,1.008B,10.99B,12.12B,401.00M,5.173B,288.00M,20.00M,,5.842B
1998-06,86.00M,99.00M,185.00M,,,535.00M,61.00M,98.00M,98.00M,977.00M,,,,,,14.73B,-4.485B,10.24B,,6.527B,16.77B,17.75B,602.00M,175.00M,,777.00M,,777.00M,,64.00M,,64.00M,174.00M,1.015B,7.539B,,7.539B,2.468B,,2.468B,,48.00M,916.00M,10.92B,11.94B,401.00M,5.092B,287.00M,20.00M,,5.76B
