,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.622B,1.622B,892.00M,730.00M,0.00,122.00M,128.00M,1.00M,-127.00M,,428.00M,302.00M,1.00M,128.00M,-127.00M,-58.00M,-127.00M,117.00M,-10.00M,127.00M,-6.00M,,,52.00M,121.00M,127.73M,551.00M,306.00M,245.00M,,0.14,-0.01,,,0.1413,0.13,,0.14,-0.01,,,0.1413,0.13,,545.00M,548.00M,0.15,,AOR,
2020-06,1.575B,1.575B,914.00M,661.00M,0.00,129.00M,135.00M,1.00M,-134.00M,,426.00M,235.00M,1.00M,135.00M,-134.00M,63.00M,-134.00M,164.00M,29.00M,135.00M,-30.00M,,,46.00M,105.00M,135.82M,596.00M,297.00M,299.00M,,0.17,-0.06,,,0.1716,0.11,,0.17,-0.06,,,0.1715,0.11,,528.00M,531.00M,0.15,,AOR,
2020-03,2.167B,2.167B,1.347B,820.00M,-185.00M,136.00M,147.00M,1.00M,-146.00M,,418.00M,402.00M,1.00M,147.00M,-146.00M,-1.656B,-146.00M,-1.40B,-347.00M,-1.053B,-146.00M,,,29.00M,-1.199B,-907.50M,-970.00M,283.00M,-1.253B,,-2.15,-0.29,,,-1.860,-2.44,,-2.15,-0.29,,,-1.860,-2.44,,502.00M,502.00M,0.29,,AOR,
2019-12,6.756B,6.756B,5.804B,952.00M,-48.00M,126.00M,147.00M,,-167.00M,,475.00M,477.00M,,147.00M,-167.00M,-1.00M,-167.00M,309.00M,63.00M,246.00M,,,,29.00M,157.00M,284.21M,805.00M,305.00M,456.00M,,0.25,,,,0.3261,0.25,,0.25,,,,0.3257,0.25,,502.00M,505.00M,0.2875,,AOR,
2019-09,1.658B,1.658B,872.00M,786.00M,0.00,113.00M,143.00M,4.00M,-139.00M,,429.00M,357.00M,4.00M,143.00M,-139.00M,79.00M,-139.00M,297.00M,46.00M,251.00M,19.00M,,,29.00M,270.00M,253.54M,781.00M,341.00M,440.00M,,0.44,0.04,,,0.4451,0.48,,0.44,0.03,,,0.4450,0.47,,502.00M,505.00M,0.2875,,AOR,Restated
2019-06,1.658B,1.658B,994.00M,664.00M,0.00,113.00M,144.00M,2.00M,-142.00M,,435.00M,229.00M,2.00M,144.00M,-142.00M,79.00M,-142.00M,166.00M,15.00M,151.00M,44.00M,,,30.00M,195.00M,154.64M,653.00M,343.00M,310.00M,,0.24,0.09,,,0.2473,0.33,,0.24,0.09,,,0.2472,0.33,,502.00M,505.00M,0.2875,,AOR,Restated
2019-03,2.229B,2.229B,1.592B,637.00M,0.00,126.00M,133.00M,14.00M,-119.00M,,426.00M,211.00M,14.00M,133.00M,-119.00M,65.00M,-119.00M,157.00M,14.00M,143.00M,26.00M,,,29.00M,169.00M,145.73M,612.00M,322.00M,290.00M,,0.23,0.05,,,0.2354,0.28,,0.23,0.05,,,0.2354,0.28,,502.00M,504.00M,0.2875,,AOR,Restated
2018-12,3.036B,3.036B,2.509B,527.00M,,99.00M,115.00M,,-115.00M,,360.00M,167.00M,,115.00M,-115.00M,129.00M,-115.00M,181.00M,61.00M,120.00M,,,,30.00M,120.00M,122.65M,557.00M,261.00M,296.00M,,0.18,,,,0.1853,0.18,,0.18,,,,0.1853,0.18,,503.00M,503.00M,0.2775,,AOR,Restated
2018-09,2.212B,2.212B,1.565B,647.00M,,95.00M,106.00M,,-106.00M,,421.00M,226.00M,,106.00M,-106.00M,89.00M,-106.00M,209.00M,51.00M,158.00M,,,,5.00M,158.00M,158.76M,641.00M,326.00M,315.00M,,0.35,,,,0.3518,0.35,,0.35,,,,0.3517,0.35,,432.00M,435.00M,0.2775,,AOR,Restated
2018-06,2.186B,2.186B,1.556B,630.00M,,101.00M,105.00M,,-105.00M,,443.00M,187.00M,,105.00M,-105.00M,-170.00M,-105.00M,-88.00M,-13.00M,-75.00M,,,,,-75.00M,122.73M,359.00M,342.00M,17.00M,,-0.17,,,,0.2877,-0.17,,-0.17,,,,0.2877,-0.17,,432.00M,432.00M,0.2775,,AOR,Restated
