,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.853B,5.853B,3.273B,2.58B,1.515B,234.00M,-45.00M,163.00M,20.00M,-143.00M,,1.749B,831.00M,20.00M,163.00M,-143.00M,-54.00M,-143.00M,634.00M,55.00M,579.00M,,,,579.00M,620.10M,1.372B,575.00M,797.00M,1.44,,,,1.5419999999999998,1.44,1.43,,,,1.531,1.43,402.00M,406.00M,0.17
2017-12,6.047B,6.047B,3.376B,2.671B,1.479B,233.00M,-2.00M,166.00M,20.00M,-146.00M,,1.712B,959.00M,20.00M,166.00M,-146.00M,7.00M,-146.00M,820.00M,290.00M,530.00M,-2.00M,,,528.00M,531.29M,1.56B,574.00M,986.00M,1.32,0.0,,,1.3230000000000002,1.32,1.31,-0.01,,,1.3130000000000002,1.3,404.00M,404.00M,0.15
2017-09,5.116B,5.116B,2.816B,2.30B,1.40B,217.00M,-49.00M,157.00M,25.00M,-132.00M,,1.617B,683.00M,25.00M,157.00M,-132.00M,-71.00M,-132.00M,480.00M,-54.00M,534.00M,0.00,,,534.00M,563.40M,1.154B,517.00M,637.00M,1.35,0.0,,,1.4240000000000002,1.35,1.34,0.0,,,1.4140000000000001,1.34,396.00M,400.00M,0.15
2017-06,4.99B,4.99B,2.706B,2.284B,1.291B,222.00M,-22.00M,134.00M,18.00M,-116.00M,,1.513B,771.00M,18.00M,134.00M,-116.00M,-29.00M,-116.00M,626.00M,13.00M,613.00M,-1.00M,,,612.00M,634.54M,1.237B,477.00M,760.00M,1.57,0.0,,,1.625,1.57,1.56,0.0,,,1.615,1.56,390.00M,393.00M,0.15
2017-03,4.765B,4.765B,2.572B,2.193B,1.334B,215.00M,-24.00M,135.00M,18.00M,-117.00M,,1.549B,644.00M,18.00M,135.00M,-117.00M,-24.00M,-117.00M,503.00M,-48.00M,551.00M,,,,551.00M,565.40M,1.103B,465.00M,638.00M,1.41,,,,1.4469999999999998,1.41,1.4,,,,1.4369999999999998,1.4,391.00M,394.00M,0.15
2016-12,4.953B,4.953B,2.671B,2.282B,1.260B,211.80M,-48.10M,130.70M,13.60M,-117.10M,,1.472B,809.50M,13.60M,130.70M,-117.10M,-40.40M,-117.10M,652.00M,19.60M,632.40M,-2.70M,,,629.70M,679.05M,1.256B,473.80M,782.70M,1.6,0.0,,,1.7180000000000002,1.6,1.59,0.0,,,1.7080000000000002,1.59,395.60M,395.60M,0.15
2016-09,4.491B,4.491B,2.437B,2.054B,1.275B,183.30M,-54.90M,113.30M,10.40M,-102.90M,,1.458B,596.00M,10.40M,113.30M,-102.90M,-65.20M,-102.90M,427.90M,-45.60M,473.50M,0.00,,,473.50M,506.44M,974.20M,433.00M,541.20M,1.2,0.0,,,1.2830000000000001,1.2,1.19,0.0,,,1.273,1.19,394.70M,397.40M,0.15
2016-06,4.535B,4.535B,2.457B,2.078B,1.223B,182.40M,-35.40M,118.80M,13.20M,-105.60M,,1.406B,673.00M,13.20M,118.80M,-105.60M,-46.30M,-105.60M,521.10M,4.30M,516.80M,-0.20M,,,516.60M,551.92M,1.075B,435.10M,639.90M,1.31,0.0,,,1.399,1.31,1.3,0.0,,,1.389,1.3,393.90M,396.70M,0.15
2016-03,4.295B,4.295B,2.337B,1.958B,1.213B,176.50M,-50.60M,106.20M,10.80M,-95.40M,,1.389B,568.50M,10.80M,106.20M,-95.40M,-50.10M,-95.40M,423.00M,20.70M,402.30M,-0.10M,,,402.20M,450.42M,945.30M,416.10M,529.20M,1.02,0.0,,,1.1420000000000001,1.02,1.01,0.0,,,1.131,1.01,395.80M,398.70M,0.15
2015-12,4.652B,4.652B,2.544B,2.108B,1.190B,180.00M,-48.10M,103.10M,9.10M,-94.00M,,1.370B,738.10M,9.10M,103.10M,-94.00M,-61.80M,-94.00M,582.30M,-23.70M,606.00M,-3.80M,,,602.20M,634.86M,1.110B,424.30M,685.40M,1.52,-0.01,,,1.5919999999999999,1.51,1.51,-0.01,,,1.5819999999999999,1.5,400.80M,402.90M,0.15
2015-09,4.123B,4.123B,2.240B,1.883B,1.133B,171.60M,-15.50M,100.60M,7.20M,-93.40M,,1.305B,578.40M,7.20M,100.60M,-93.40M,-16.90M,-93.40M,468.10M,-9.20M,477.30M,-1.20M,,,476.10M,486.60M,996.40M,427.70M,568.70M,1.2,-0.01,,,1.2229999999999999,1.19,1.19,-0.01,,,1.213,1.18,399.00M,402.00M,0.15
2015-06,4.271B,4.271B,2.329B,1.942B,1.151B,174.60M,-20.40M,102.90M,7.70M,-95.20M,,1.326B,616.20M,7.70M,102.90M,-95.20M,-17.40M,-95.20M,503.60M,-8.00M,511.60M,0.00,,,511.60M,523.84M,1.026B,419.70M,606.50M,1.28,0.0,,,1.311,1.28,1.27,0.0,,,1.3,1.27,398.40M,401.50M,0.15
2015-03,3.919B,3.919B,2.096B,1.822B,1.137B,165.80M,-32.00M,108.40M,7.00M,-101.40M,,1.303B,519.30M,7.00M,108.40M,-101.40M,-35.90M,-101.40M,382.00M,-3.10M,385.10M,0.00,,,385.10M,404.30M,906.70M,416.30M,490.40M,0.97,0.0,,,1.018,0.97,0.96,0.0,,,1.008,0.96,397.80M,401.40M,0.15
2014-12,4.493B,4.493B,2.401B,2.092B,1.237B,182.50M,-33.70M,116.20M,9.30M,-106.90M,,1.419B,672.80M,9.30M,116.20M,-106.90M,-28.80M,-106.90M,537.10M,-66.90M,604.00M,-2.80M,,,601.20M,625.90M,1.082B,428.70M,653.30M,1.51,0.0,,,1.565,1.51,1.5,0.0,,,1.554,1.49,400.30M,404.10M,0.15
2014-09,4.171B,4.171B,2.238B,1.934B,1.229B,175.20M,110.60M,116.80M,10.50M,-106.30M,,1.404B,529.70M,10.50M,116.80M,-106.30M,115.80M,-106.30M,539.20M,69.30M,469.90M,1.70M,,,471.60M,373.51M,1.112B,455.70M,656.00M,1.17,0.01,,,0.929,1.18,1.16,0.01,,,0.9212,1.17,399.90M,403.70M,0.15
2014-06,4.322B,4.322B,2.475B,1.846B,1.254B,183.70M,-60.90M,129.10M,16.00M,-113.10M,,1.438B,409.00M,16.00M,129.10M,-113.10M,-59.40M,-113.10M,236.50M,-42.00M,278.50M,,,,278.50M,318.08M,800.40M,434.80M,365.60M,0.7,,,,0.7991,0.7,0.69,,,,0.7882,0.69,399.40M,403.10M,0.15
2014-03,3.904B,3.904B,2.284B,1.62B,1.177B,149.70M,582.20M,117.80M,11.90M,-105.90M,,1.327B,293.30M,11.90M,117.80M,-105.90M,587.00M,-105.90M,774.40M,231.30M,543.10M,,,,543.10M,134.98M,1.258B,365.60M,892.20M,1.38,,,,0.3423,1.38,1.36,,,,0.3356,1.36,393.30M,398.40M,0.15
2013-12,3.467B,3.467B,1.985B,1.482B,898.70M,104.70M,-23.30M,69.00M,6.60M,-62.40M,,1.003B,478.30M,6.60M,69.00M,-62.40M,-38.30M,-62.40M,377.60M,34.60M,343.00M,-0.90M,,,342.10M,364.16M,695.90M,249.30M,446.60M,0.95,0.0,,,1.008,0.95,0.92,0.0,,,0.9771,0.92,361.80M,370.90M,0.15
2013-09,3.192B,3.192B,1.844B,1.348B,848.50M,95.90M,-11.40M,64.30M,7.10M,-57.20M,,944.40M,403.50M,7.10M,64.30M,-57.20M,-27.30M,-57.20M,319.00M,1.30M,317.70M,-0.10M,,,317.60M,329.05M,633.70M,250.40M,383.30M,0.88,0.0,,,0.9114,0.88,0.86,0.0,,,0.8909,0.86,361.20M,367.30M,0.15
2013-06,3.240B,3.240B,1.877B,1.363B,869.60M,96.70M,-21.50M,64.40M,7.10M,-57.30M,,966.30M,396.90M,7.10M,64.40M,-57.30M,-59.60M,-57.30M,280.00M,2.40M,277.60M,-0.20M,,,277.40M,298.91M,593.60M,249.20M,344.40M,0.77,0.0,,,0.8292,0.77,0.76,0.0,,,0.8186,0.76,360.00M,363.50M,0.15
2013-03,3.192B,3.192B,1.855B,1.336B,829.50M,98.20M,-21.50M,64.40M,7.20M,-57.20M,,927.70M,408.60M,7.20M,64.40M,-57.20M,-8.50M,-57.20M,342.90M,2.10M,340.80M,-4.60M,,,336.20M,362.17M,658.30M,251.00M,407.30M,0.95,-0.01,,,1.01,0.94,0.94,-0.01,,,0.9991,0.93,358.10M,361.70M,0.15
2012-12,3.259B,3.259B,1.873B,1.386B,856.60M,98.50M,-30.40M,66.20M,6.20M,-60.00M,,955.10M,431.00M,6.20M,66.20M,-60.00M,-27.50M,-60.00M,343.50M,-42.30M,385.80M,-9.40M,,,376.40M,405.56M,664.10M,254.40M,409.70M,1.07,-0.03,,,1.125,1.05,1.06,-0.03,,,1.115,1.03,358.40M,361.80M,0.15
2012-09,3.086B,3.086B,1.787B,1.298B,839.00M,92.00M,-15.20M,60.30M,5.90M,-54.40M,,931.00M,367.40M,5.90M,60.30M,-54.40M,-16.60M,-54.40M,296.40M,-3.00M,299.40M,-9.00M,,,290.40M,309.28M,601.90M,245.20M,356.70M,0.83,-0.02,,,0.8572,0.8,0.82,-0.02,,,0.847,0.79,362.60M,365.40M,0.13
2012-06,3.108B,3.108B,1.787B,1.321B,835.00M,94.20M,-24.30M,57.40M,6.70M,-50.70M,,929.20M,392.10M,6.70M,57.40M,-50.70M,-23.00M,-50.70M,318.40M,26.00M,292.40M,-58.60M,,,233.80M,314.71M,617.40M,241.60M,375.80M,0.8,-0.16,,,0.8608,0.64,0.79,-0.16,,,0.8504,0.63,367.00M,369.20M,0.13
2012-03,3.057B,3.057B,1.767B,1.290B,824.30M,91.70M,-12.20M,57.70M,6.40M,-51.30M,,916.00M,373.70M,6.40M,57.70M,-51.30M,-11.30M,-51.30M,311.10M,30.30M,280.80M,-3.50M,,,277.30M,291.82M,611.30M,242.50M,368.80M,0.76,-0.01,,,0.79,0.76,0.76,-0.01,,,0.7898,0.75,367.30M,370.10M,0.13
2011-12,3.089B,3.089B,1.792B,1.298B,824.90M,95.50M,-45.10M,59.10M,8.40M,-50.70M,,920.40M,377.40M,8.40M,59.10M,-50.70M,-14.60M,-50.70M,312.10M,19.60M,292.50M,-3.60M,,,288.90M,334.77M,616.80M,245.60M,371.20M,0.78,-0.01,,,0.8932,0.77,0.77,-0.01,,,0.8824,0.77,373.30M,376.10M,0.0
2011-09,2.933B,2.933B,1.714B,1.219B,804.50M,86.80M,-18.50M,49.50M,6.80M,-42.70M,,891.30M,327.60M,6.80M,49.50M,-42.70M,-18.50M,-42.70M,266.40M,0.10M,266.30M,-0.90M,,,265.40M,284.79M,544.70M,228.80M,315.90M,0.7,0.0,,,0.7487,0.7,0.7,-0.01,,,0.7483,0.69,379.50M,382.70M,0.0
2011-06,2.854B,2.854B,1.693B,1.161B,772.90M,83.20M,-17.80M,38.90M,6.60M,-32.30M,,856.10M,304.90M,6.60M,38.90M,-32.30M,-17.80M,-32.30M,254.80M,37.70M,217.10M,306.30M,,,523.40M,232.27M,494.60M,200.90M,293.70M,0.57,0.8,,,0.6097,1.37,0.56,0.8,,,0.5993,1.36,381.90M,385.90M,0.0
2011-03,2.721B,2.721B,1.601B,1.120B,708.70M,74.80M,-15.00M,27.80M,5.00M,-22.80M,,783.50M,336.80M,5.00M,27.80M,-22.80M,-15.00M,-22.80M,299.00M,51.80M,247.20M,5.00M,,,252.20M,259.60M,511.10M,184.30M,326.80M,0.64,0.01,,,0.6719,0.65,0.63,0.01,,,0.6614,0.64,388.60M,394.60M,0.0
2010-12,2.542B,2.542B,1.457B,1.085B,680.30M,77.20M,-3.70M,19.50M,3.70M,-15.80M,,757.50M,327.20M,3.70M,19.50M,-15.80M,-31.80M,-15.80M,279.60M,5.60M,274.00M,23.50M,,,297.50M,277.63M,483.80M,184.70M,299.10M,0.7,0.05,,,0.7092,0.75,0.69,0.05,,,0.6991,0.74,393.70M,398.90M,0.0
2010-09,2.629B,2.629B,1.567B,1.062B,677.00M,71.50M,-10.00M,19.10M,3.40M,-15.70M,,748.50M,313.00M,3.40M,19.10M,-15.70M,-10.00M,-15.70M,287.30M,28.50M,258.80M,9.70M,,,268.50M,267.81M,488.80M,182.40M,306.40M,0.65,0.02,,,0.6725,0.67,0.64,0.02,,,0.6623,0.66,400.70M,404.50M,0.0
2010-06,2.596B,2.596B,1.547B,1.049B,673.20M,69.60M,-24.10M,23.80M,2.90M,-20.90M,,742.80M,306.10M,2.90M,23.80M,-20.90M,-24.10M,-20.90M,261.10M,32.40M,228.70M,8.60M,,,237.30M,249.81M,470.20M,185.30M,284.90M,0.56,0.02,,,0.6116,0.58,0.55,0.02,,,0.6008,0.57,409.30M,415.90M,0.0
2010-03,2.627B,2.627B,1.560B,1.066B,698.30M,66.10M,-22.40M,22.30M,2.40M,-19.90M,,764.40M,302.00M,2.40M,22.30M,-19.90M,-22.40M,-19.90M,259.70M,35.10M,224.60M,7.70M,,,232.30M,243.97M,475.60M,193.60M,282.00M,0.55,0.02,,,0.5973,0.57,0.54,0.02,,,0.5863,0.56,409.60M,418.20M,0.0
2009-12,2.839B,2.839B,1.701B,1.138B,720.90M,69.30M,-41.70M,29.10M,3.60M,-25.50M,,790.20M,348.10M,3.60M,29.10M,-25.50M,-41.70M,-25.50M,280.90M,6.60M,274.30M,-1.00M,,,273.30M,315.02M,517.20M,207.20M,310.00M,0.67,0.0,,,0.7696,0.67,0.65,0.0,,,0.7464,0.65,408.80M,422.20M,0.0
2009-09,2.531B,2.531B,1.520B,1.011B,662.10M,60.50M,-15.00M,29.20M,2.50M,-26.70M,,722.60M,288.60M,2.50M,29.20M,-26.70M,-15.00M,-26.70M,246.90M,25.70M,221.20M,0.00,,,221.20M,234.64M,471.60M,195.50M,276.10M,0.54,0.0,,,0.5729,0.54,0.53,0.0,,,0.562,0.53,407.90M,420.20M,0.0
2009-06,2.484B,2.484B,1.496B,988.30M,660.90M,58.10M,-12.30M,29.60M,4.70M,-24.90M,,719.00M,269.30M,4.70M,29.60M,-24.90M,-12.30M,-24.90M,232.10M,25.20M,206.90M,0.00,,,206.90M,217.86M,456.00M,194.30M,261.70M,0.5,0.0,,,0.5264,0.5,0.49,0.0,,,0.5159,0.49,415.30M,423.70M,0.0
2009-03,2.255B,2.255B,1.368B,886.90M,625.00M,58.20M,-11.60M,30.20M,5.30M,-24.90M,,683.20M,203.70M,5.30M,30.20M,-24.90M,-11.60M,-24.90M,167.20M,18.30M,148.90M,0.00,,,148.90M,159.23M,387.70M,190.30M,197.40M,0.36,0.0,,,0.3847,0.36,0.35,0.0,,,0.3743,0.35,417.70M,425.30M,0.0
2008-12,2.646B,2.646B,1.579B,1.067B,663.10M,60.90M,-19.90M,34.00M,11.60M,-22.40M,,724.00M,343.00M,11.60M,34.00M,-22.40M,-25.50M,-22.40M,295.10M,7.60M,287.50M,-0.50M,,,287.00M,306.89M,523.50M,194.40M,329.10M,0.69,-0.01,,,0.7364,0.68,0.67,-0.01,,,0.7154,0.67,418.20M,427.50M,0.0
2008-09,2.588B,2.588B,1.555B,1.033B,669.30M,61.80M,-18.30M,39.70M,14.90M,-24.80M,,731.10M,301.70M,14.90M,39.70M,-24.80M,-18.30M,-24.80M,258.60M,43.70M,214.90M,3.20M,,,218.10M,230.11M,498.00M,199.70M,298.30M,0.51,0.01,,,0.5463,0.52,0.49,0.01,,,0.5247,0.5,419.00M,438.30M,0.0
2008-06,2.710B,2.710B,1.622B,1.088B,698.90M,64.40M,4.20M,,,,,763.30M,324.80M,,,,4.20M,,307.50M,61.20M,246.30M,3.20M,,,249.50M,242.94M,524.60M,199.80M,324.80M,0.59,0.01,,,0.582,0.6,0.56,0.01,,,0.5523,0.57,418.00M,437.20M,0.0
2008-03,2.554B,2.554B,1.536B,1.018B,661.10M,62.00M,2.60M,,,,,723.10M,295.30M,,,,2.60M,,277.60M,44.20M,233.40M,-0.40M,,,233.00M,231.21M,494.10M,198.80M,295.30M,0.56,0.0,,,0.5548,0.56,0.54,-0.01,,,0.535,0.53,417.50M,436.20M,0.0
2007-12,2.621B,2.621B,1.581B,1.040B,675.80M,61.40M,-23.80M,,,,,737.20M,302.70M,,,,-21.20M,,258.00M,23.70M,234.30M,5.50M,,,239.80M,255.91M,499.50M,196.80M,302.70M,0.56,0.02,,,0.6118,0.58,0.53,0.02,,,0.579,0.55,417.60M,440.70M,0.0
2007-09,2.401B,2.401B,1.453B,948.10M,626.50M,58.80M,-8.60M,,,,,685.30M,262.80M,,,,-8.60M,,235.30M,16.70M,218.60M,-0.10M,,,218.50M,226.59M,450.40M,187.60M,262.80M,0.52,-0.01,,,0.5388,0.51,0.49,-0.01,,,0.5079,0.49,424.30M,446.60M,0.0
2007-06,2.386B,2.386B,1.449B,936.60M,626.60M,58.70M,-6.40M,,,,,685.30M,251.30M,,,,-6.40M,,222.30M,34.40M,187.90M,-24.00M,,,163.90M,193.31M,438.40M,187.10M,251.30M,0.44,-0.05,,,0.4528,0.39,0.42,-0.05,,,0.4321,0.37,424.00M,446.50M,0.0
2007-03,2.338B,2.338B,1.458B,879.90M,620.30M,59.80M,-5.80M,,,,,680.10M,199.80M,,,,-5.80M,,165.70M,26.90M,138.80M,0.10M,,,138.90M,143.66M,385.10M,185.30M,199.80M,0.33,0.0,,,0.3416,0.33,0.31,0.0,,,0.321,0.31,420.10M,441.10M,0.0
2006-12,1.669B,1.669B,1.075B,594.06M,482.90M,52.18M,-33.42M,,,,,535.09M,58.97M,,,,-31.59M,,7.17M,-17.75M,24.92M,0.419M,,,25.34M,44.97M,183.54M,124.57M,58.97M,0.0598,0.001,,,0.1079,0.0608,0.0598,0.001,,,0.1079,0.0608,416.61M,416.61M,0.0
2006-09,724.90M,724.90M,388.10M,336.80M,217.90M,38.60M,-4.50M,,,,,256.50M,80.30M,,,,-4.50M,,69.30M,20.50M,48.80M,,,,48.80M,51.97M,120.06M,39.76M,80.30M,0.31,0.0,,,0.3301,0.31,0.3,0.0,,,0.3195,0.3,157.70M,162.20M,0.0
2006-06,713.47M,713.47M,388.98M,324.49M,206.92M,40.62M,-3.622M,,,,,247.54M,76.95M,,,,-3.622M,,68.79M,19.85M,48.94M,-1.063M,,,47.88M,51.52M,116.07M,39.12M,76.95M,0.3,0.0,,,0.316,0.3,0.3,-0.01,,,0.3156,0.29,161.29M,165.52M,0.0
2006-03,684.30M,684.30M,371.70M,312.60M,202.50M,38.70M,-3.10M,,,,-0.045M,241.16M,71.44M,,,,-3.10M,,64.10M,20.50M,43.60M,3.30M,,,46.90M,45.71M,108.76M,37.32M,71.44M,0.27,0.02,,,0.2829,0.29,0.26,0.02,,,0.2726,0.28,163.00M,167.00M,0.0
2005-12,740.79M,740.79M,398.23M,342.56M,211.37M,38.23M,-3.765M,,,,,249.60M,92.96M,,,,-3.597M,,84.84M,29.48M,55.36M,1.044M,,,56.40M,57.82M,130.89M,37.93M,92.96M,0.34,0.01,,,0.3551,0.35,0.34,0.01,,,0.3548,0.34,162.34M,166.31M,0.0
2005-09,679.41M,679.41M,373.71M,305.70M,194.32M,38.78M,-7.124M,,,,,233.11M,72.59M,,,,-7.124M,,59.36M,18.76M,40.60M,17.14M,,,57.73M,45.47M,110.50M,37.91M,72.59M,0.25,0.11,,,0.2801,0.36,0.25,0.1,,,0.2794,0.35,161.79M,165.64M,0.0
2005-06,653.62M,653.62M,366.17M,287.46M,192.59M,39.43M,27.98M,,,,0.09M,232.12M,55.34M,,,,27.98M,,78.72M,21.96M,56.76M,3.463M,,,60.22M,36.58M,85.21M,29.87M,55.34M,0.35,0.02,,,0.2249,0.37,0.35,0.02,,,0.2275,0.37,161.26M,164.66M,0.0
2005-03,559.21M,559.21M,299.97M,259.23M,163.50M,36.33M,3.394M,,,,,199.83M,59.40M,,,,3.394M,,62.98M,17.40M,45.58M,3.273M,,,48.86M,43.13M,76.97M,17.57M,59.40M,0.28,0.02,,,0.2647,0.3,0.28,0.02,,,0.2651,0.3,160.96M,164.73M,0.0
2004-12,613.34M,613.34M,329.56M,283.78M,175.97M,34.94M,-1.684M,,,,,210.91M,72.87M,,,,-0.951M,,72.01M,-13.47M,85.48M,35.62M,,,121.10M,86.49M,91.62M,18.75M,72.87M,0.53,0.22,,,0.5363,0.75,0.52,0.22,,,0.5261,0.74,160.24M,164.48M,0.0
2004-09,542.32M,542.32M,291.36M,250.96M,153.42M,32.87M,-2.346M,,,,,186.30M,64.66M,,,,-2.346M,,62.09M,19.45M,42.64M,64.84M,,,107.48M,44.25M,80.94M,16.28M,64.66M,0.26,0.4,,,0.27,0.66,0.26,0.39,,,0.2697,0.65,161.51M,165.57M,0.0
2004-06,525.31M,525.31M,286.42M,238.88M,146.51M,32.59M,10.88M,,,,,179.10M,59.78M,,,,10.88M,,69.64M,19.06M,50.58M,40.50M,,,91.08M,42.68M,76.21M,16.43M,59.78M,0.31,0.24,,,0.2623,0.55,0.3,0.24,,,0.2537,0.54,165.57M,170.52M,0.0
2004-03,525.03M,525.03M,284.17M,240.86M,150.56M,34.27M,0.253M,,,,,184.83M,56.03M,,,,0.253M,,55.48M,15.81M,39.66M,3.457M,,,43.12M,39.48M,70.72M,14.68M,56.03M,0.24,0.0,,,0.2389,0.24,0.24,0.0,,,0.2389,0.24,165.21M,170.00M,0.0
2003-12,528.92M,528.92M,285.44M,243.47M,138.60M,32.23M,-13.50M,,,,,170.84M,72.63M,,,,-13.01M,,58.98M,11.50M,47.49M,10.24M,,,57.73M,58.35M,84.62M,11.98M,72.63M,0.29,0.09,,,0.3565,0.38,0.28,0.09,,,0.3447,0.37,163.43M,167.81M,0.0
2003-09,448.57M,448.57M,239.82M,208.74M,122.63M,30.44M,-2.735M,,,,,153.08M,55.66M,,,,-2.735M,,52.38M,13.39M,39.00M,9.52M,,,48.52M,41.03M,61.34M,5.679M,55.66M,0.24,0.06,,,0.2525,0.3,0.24,0.05,,,0.252,0.29,162.53M,169.16M,0.0
