,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-09,2.398B,,2.398B,,,2.398B,,,,,,,,,614.00M,,,1.195B,64.65B,1.405B,-1.928B,61.32B,10.54B,82.06B,84.46B,,,,,,2.707B,2.707B,2.707B,7.511B,15.34B,,15.34B,48.74B,,,64.08B,77.48B,492.00M,6.732B,1.454B,1.718B,,17.00M,6.977B
2003-06,3.249B,,3.249B,,,3.249B,,,,,,,,,606.00M,,,1.173B,63.21B,1.405B,,61.81B,10.50B,82.23B,85.48B,,,,,,3.403B,3.403B,3.403B,7.169B,14.43B,,14.43B,49.87B,,1.258B,64.30B,77.23B,492.00M,6.633B,1.452B,1.667B,,79.00M,6.989B
2003-03,3.074B,,3.074B,,,3.074B,,,,,,,,,623.00M,,,1.176B,64.53B,1.421B,-1.813B,61.30B,12.39B,83.42B,86.49B,,,,,,2.551B,2.551B,2.551B,6.272B,16.27B,,16.27B,50.46B,,,66.72B,79.59B,492.00M,6.536B,1.449B,1.621B,,42.00M,6.898B
2002-12,3.364B,,3.364B,,,3.364B,,,,,,,,,644.00M,,,1.177B,64.23B,1.452B,-1.776B,61.00B,11.18B,81.84B,85.20B,,,,,,2.823B,2.823B,2.823B,6.685B,16.86B,,16.86B,49.35B,,,66.21B,78.37B,492.00M,6.448B,1.449B,1.593B,,39.00M,6.835B
2002-09,3.039B,,3.039B,,,3.039B,,,,,,,,,651.00M,,,1.105B,64.76B,1.489B,-1.808B,61.46B,9.597B,80.48B,83.52B,,,,,,2.908B,2.908B,2.908B,9.258B,17.56B,,17.56B,44.61B,,,62.17B,76.86B,492.00M,6.33B,1.382B,1.569B,,19.00M,6.654B
2002-06,2.929B,,2.929B,,,2.929B,,,,,,,,,659.00M,,,1.105B,65.63B,1.539B,-1.746B,62.34B,8.939B,79.85B,82.78B,,,,,,3.39B,3.39B,3.39B,8.50B,18.14B,,18.14B,44.80B,,,62.94B,76.19B,492.00M,6.214B,1.383B,1.53B,,33.00M,6.592B
2002-03,2.483B,,2.483B,,,2.483B,,,,,,,,,663.00M,,,1.101B,65.76B,1.607B,-1.803B,62.35B,8.426B,78.88B,81.36B,,,,,,3.174B,3.174B,3.174B,10.51B,16.53B,,16.53B,43.23B,,,59.76B,74.96B,492.00M,6.096B,1.385B,1.551B,,-20.00M,6.402B
2001-12,2.891B,,2.891B,,,2.891B,,,,,,,,,687.00M,,,1.132B,65.09B,1.677B,-1.778B,61.63B,8.363B,78.05B,80.94B,,,,,,5.549B,5.549B,5.549B,9.284B,15.84B,,15.84B,44.80B,,,60.64B,74.78B,492.00M,5.856B,1.39B,1.585B,,2.00M,6.155B
2001-09,2.803B,,2.803B,,,2.803B,,,,,,,,,682.00M,,,1.155B,64.51B,1.174B,,63.33B,9.437B,81.62B,84.42B,,,,,,6.04B,6.04B,6.04B,10.41B,15.11B,,15.11B,45.37B,,1.329B,60.49B,76.52B,492.00M,6.282B,1.393B,1.599B,,7.00M,6.575B
2001-06,2.781B,,2.781B,,,2.781B,,,,,,,,,694.00M,,,1.177B,66.69B,1.231B,,65.46B,9.838B,83.06B,85.84B,,,,,,7.128B,7.128B,7.128B,13.05B,14.68B,,14.68B,45.74B,,1.279B,60.42B,78.09B,492.00M,6.159B,1.395B,1.56B,,-19.00M,6.467B
2001-03,2.484B,,2.484B,,,2.484B,,,,,,,,,703.00M,,,1.351B,68.81B,1.001B,-1.783B,66.03B,10.00B,83.97B,86.46B,,,,,,8.721B,8.721B,8.721B,13.18B,14.50B,,14.50B,45.96B,,1.308B,60.46B,78.45B,492.00M,6.444B,1.399B,1.573B,,-60.00M,6.702B
2000-12,3.189B,,3.189B,,,3.189B,,,,,,,,,717.00M,,,1.368B,66.90B,1.001B,,65.90B,10.41B,84.08B,87.27B,,,,,,6.957B,6.957B,6.957B,11.89B,14.16B,,14.16B,48.65B,,1.243B,62.81B,79.40B,492.00M,6.352B,1.402B,1.60B,,-23.00M,6.623B
2000-09,2.691B,,2.691B,,,2.691B,,,,,,,,,711.00M,,,1.387B,66.30B,1.001B,,65.30B,9.487B,82.81B,85.50B,,,,,,6.407B,6.407B,6.407B,11.73B,13.80B,,13.80B,47.81B,,1.243B,61.61B,77.74B,492.00M,6.205B,1.402B,1.502B,,-77.00M,6.52B
2000-06,3.178B,,3.178B,,,3.178B,,,,,,,,,726.00M,,,1.409B,65.61B,979.00M,,64.63B,9.136B,81.54B,84.72B,,,,,,5.998B,5.998B,5.998B,9.509B,14.10B,,14.10B,49.08B,,1.243B,63.17B,76.97B,492.00M,6.203B,1.405B,1.421B,,-172.00M,6.507B
2000-03,2.757B,,2.757B,,,2.757B,,,,,,,,,761.00M,,,1.434B,64.06B,979.00M,,63.08B,9.889B,80.75B,83.50B,,,,,,8.015B,8.015B,8.015B,10.64B,14.78B,,14.78B,46.04B,,1.243B,60.82B,75.77B,492.00M,6.077B,1.406B,1.301B,,-181.00M,6.493B
1999-12,2.816B,,2.816B,,,2.816B,,,,,,,,,797.00M,,,1.449B,64.22B,930.00M,,63.29B,9.511B,80.58B,83.40B,,,,,,8.439B,8.439B,8.439B,12.62B,15.88B,,15.88B,43.23B,,1.243B,59.11B,75.76B,492.00M,5.833B,1.412B,1.197B,,-151.00M,6.389B
1999-09,3.018B,,3.018B,,,3.018B,,,,,,,,,818.00M,,,1.486B,63.18B,930.00M,,62.25B,9.65B,79.56B,82.58B,,,,,,8.551B,8.551B,8.551B,12.06B,15.82B,,15.82B,43.47B,,1.243B,59.28B,74.94B,,5.686B,,,,-111.00M,6.397B
1999-06,3.06B,,3.06B,,,3.06B,,,,,,,,,846.00M,,,1.514B,61.97B,930.00M,,61.04B,9.126B,77.83B,80.89B,,,,,,7.344B,7.344B,7.344B,12.07B,15.17B,,15.17B,43.02B,,994.00M,58.18B,73.66B,,5.533B,,,,,6.235B
1999-03,2.981B,,2.981B,,,2.981B,,,,,,,,,863.00M,,,1.507B,62.52B,930.00M,-1.479B,60.12B,9.413B,77.01B,79.99B,,,,,,8.242B,8.242B,8.242B,12.58B,15.46B,,15.46B,41.32B,,1.244B,56.78B,72.64B,,5.369B,,,,,6.105B
1998-12,3.296B,,3.296B,,,3.296B,,,,,,,,,902.00M,,,1.509B,62.01B,900.00M,,61.11B,8.228B,76.72B,80.02B,,,,,,9.728B,9.728B,9.728B,14.20B,12.97B,,12.97B,42.58B,,997.00M,55.55B,72.86B,,5.192B,,,,,6.167B
1998-09,2.75B,,2.75B,,,2.75B,,,,,,,,,876.00M,,,1.121B,60.85B,900.00M,-1.404B,58.54B,9.124B,74.94B,77.69B,,,,,,7.576B,7.576B,7.576B,14.23B,11.35B,,11.35B,42.60B,,997.00M,53.95B,71.14B,,5.038B,,,,41.00M,5.553B
1998-06,3.05B,,3.05B,,,3.05B,,,,,,,,,894.00M,,,1.116B,59.08B,900.00M,-1.313B,56.87B,9.172B,72.73B,75.78B,,,,,,7.855B,7.855B,7.855B,14.68B,10.20B,,10.20B,41.79B,,997.00M,51.99B,69.26B,,4.889B,,,,28.00M,5.525B
