,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-03,3.996B,,,,,206.00M,1.788B,1.788B,344.00M,-232.00M,-330.00M,-108.00M,60.00M,-850.00M,,896.00M,,-332.00M,5.77B,,-2.567B,54.00M,-2.513B,,33.00M,12.00M,-2.468B,,,,-726.00M,,-956.00M,-956.00M,,-996.00M,,-13.00M,-2.691B,,10.04B,611.00M,49.00M,10.70B,,,,,-956.00M,,,,,
2005-12,4.144B,,,,,-591.00M,1.725B,1.725B,660.00M,-669.00M,3.543B,402.00M,144.00M,-3.155B,,-924.00M,,678.00M,5.947B,,-3.173B,191.00M,-2.982B,0.00,73.00M,-52.00M,-2.961B,,,,-971.00M,,-727.00M,-727.00M,,-1.098B,,66.00M,-2.73B,,9.808B,256.00M,-21.00M,10.04B,,,,,-727.00M,,,,,
2005-09,3.594B,,,,,22.00M,1.534B,1.534B,219.00M,,-1.257B,-32.00M,-92.00M,1.904B,,-113.00M,-234.00M,176.00M,5.545B,,-2.354B,1.897B,-457.00M,-5.934B,-23.00M,19.00M,-6.395B,,,,-97.00M,,-495.00M,-495.00M,,-1.008B,,-38.00M,-1.638B,,12.32B,-2.488B,-21.00M,9.808B,,,,,-495.00M,,,,,
2005-06,3.684B,,,,,-255.00M,1.32B,1.32B,339.00M,-176.00M,-1.183B,-257.00M,129.00M,631.00M,,407.00M,234.00M,-39.00M,4.873B,,-1.87B,9.00M,-1.861B,,286.00M,53.00M,-1.522B,,,,97.00M,,-807.00M,-807.00M,,-908.00M,,-28.00M,-1.646B,,10.69B,1.705B,-75.00M,12.32B,,,,,-807.00M,,,,,
2005-03,2.677B,,,,,-284.00M,1.334B,1.334B,175.00M,176.00M,-1.294B,-113.00M,-181.00M,620.00M,,630.00M,,-338.00M,3.74B,,-1.304B,584.00M,-720.00M,,,37.00M,-683.00M,,,,-84.00M,,-708.00M,-708.00M,,-862.00M,,,-1.654B,,9.291B,1.403B,-7.00M,10.69B,,,,,-708.00M,,,,,
2004-12,3.44B,,,,,-750.00M,1.283B,1.283B,-36.00M,2.00M,327.00M,8.00M,99.00M,-111.00M,,-721.00M,,-398.00M,3.541B,,-1.944B,578.00M,-1.366B,,-446.00M,-569.00M,-2.381B,,,,-575.00M,,-608.00M,-608.00M,,-882.00M,,16.00M,-2.049B,,10.04B,-889.00M,143.00M,9.291B,,,,,-608.00M,,,,,
2004-09,3.201B,,,,,-1.262B,1.199B,1.199B,-482.00M,-2.00M,-904.00M,257.00M,-211.00M,1.224B,,198.00M,,564.00M,3.218B,,-1.392B,1.593B,201.00M,,-7.00M,84.00M,278.00M,,,,-323.00M,,-632.00M,-632.00M,,-842.00M,,-16.00M,-1.813B,,8.339B,1.683B,15.00M,10.04B,,,,,-632.00M,,,,,
2004-06,4.125B,,,,,-1.422B,1.263B,1.263B,52.00M,381.00M,-506.00M,-309.00M,58.00M,176.00M,,636.00M,,55.00M,4.454B,,-1.62B,1.119B,-501.00M,,25.00M,61.00M,-415.00M,,,,-242.00M,-43.00M,-423.00M,-466.00M,,-776.00M,,,-1.484B,,5.858B,2.555B,-74.00M,8.339B,,-43.00M,,,-423.00M,,,,,
2004-03,2.562B,,,,,-345.00M,1.19B,1.19B,242.00M,-381.00M,-1.432B,-254.00M,-22.00M,886.00M,,1.031B,,209.00M,3.477B,,-1.354B,381.00M,-973.00M,,-22.00M,14.00M,-981.00M,,,,-144.00M,43.00M,,43.00M,,-777.00M,,,-878.00M,,4.266B,1.618B,-26.00M,5.858B,,43.00M,,,,,,,,
2003-12,1.735B,,,,,-137.00M,1.264B,1.264B,164.00M,-194.00M,-69.00M,66.00M,22.00M,862.00M,-49.00M,-1.112B,,-280.00M,2.552B,,-1.714B,616.00M,-1.098B,,-386.00M,239.00M,-1.245B,,,,-705.00M,9.00M,1.00M,10.00M,,-782.00M,,,-1.477B,,4.383B,-170.00M,53.00M,4.266B,,9.00M,,,1.00M,,,,,
2003-09,1.975B,,,,,-535.00M,1.409B,1.409B,-124.00M,-169.00M,4.00M,213.00M,198.00M,-356.00M,49.00M,-6.00M,,102.00M,2.658B,,-1.289B,326.00M,-963.00M,,236.00M,54.00M,-673.00M,,,,165.00M,9.00M,-76.00M,-67.00M,,-778.00M,,,-680.00M,,3.092B,1.305B,-14.00M,4.383B,,9.00M,,,-76.00M,,,,,
2003-06,1.60B,,,,,-37.00M,1.411B,1.411B,142.00M,363.00M,500.00M,-96.00M,126.00M,38.00M,,-274.00M,,294.00M,3.773B,,-1.321B,94.00M,-1.227B,,-83.00M,,-1.31B,,,,-2.47B,35.00M,,35.00M,,-764.00M,,,-3.199B,,3.804B,-736.00M,24.00M,3.092B,,35.00M,,,,,,,,
2003-03,1.92B,,,,,142.00M,1.242B,1.242B,-18.00M,,-700.00M,-68.00M,-85.00M,-302.00M,,1.201B,,46.00M,3.332B,,-1.301B,71.00M,-1.23B,,386.00M,,-844.00M,,,,-931.00M,4.00M,,4.00M,,-746.00M,,,-1.673B,,2.957B,815.00M,32.00M,3.804B,,4.00M,,,,,,,,
2002-12,904.00M,,,,,161.00M,1.209B,1.209B,173.00M,-118.00M,-203.00M,254.00M,141.00M,1.10B,110.00M,-532.00M,,870.00M,3.199B,,-2.039B,38.00M,-2.001B,,-15.00M,,-2.016B,,,,-255.00M,3.00M,,3.00M,,-744.00M,,,-996.00M,,2.767B,187.00M,3.00M,2.957B,,3.00M,,,,,,,,
2002-09,-904.00M,,,,,1.66B,1.514B,1.514B,-53.00M,560.00M,-220.00M,-73.00M,81.00M,409.00M,-110.00M,200.00M,,287.00M,3.064B,,-1.977B,105.00M,-1.872B,,-42.00M,,-1.914B,,,,-311.00M,0.00,,0.00,,-733.00M,,,-1.044B,,2.652B,106.00M,9.00M,2.767B,,0.00,,,,,,,,
2002-06,407.00M,,,,,925.00M,1.241B,1.241B,3.00M,-166.00M,99.00M,85.00M,-123.00M,-231.00M,,367.00M,,197.00M,2.607B,,-1.736B,21.00M,-1.715B,,44.00M,,-1.671B,,,,-1.07B,17.00M,,17.00M,,-765.00M,,,-1.818B,,3.525B,-882.00M,9.00M,2.652B,,17.00M,,,,,,,,
2002-03,725.00M,,,,,-148.00M,1.205B,1.205B,-204.00M,-276.00M,-811.00M,-81.00M,-7.00M,567.00M,,103.00M,,-229.00M,1.073B,,-1.845B,2.177B,332.00M,,222.00M,,554.00M,,,,515.00M,21.00M,,21.00M,,-749.00M,,,-213.00M,,2.117B,1.414B,-6.00M,3.525B,,21.00M,,,,,,,,
2001-12,-804.00M,37.00M,,205.00M,,1.348B,,4.974B,-815.00M,19.00M,1.762B,-313.00M,-170.00M,-797.00M,,,,-100.00M,4.622B,,-6.497B,101.00M,-9.612B,,803.00M,-4.00M,-5.597B,,699.00M,-938.00M,1.147B,67.00M,,-696.00M,,-1.603B,,418.00M,-734.00M,,3.417B,-1.709B,-23.00M,2.117B,,67.00M,-972.00M,733.00M,,,,,,
2001-09,1.168B,-19.00M,,-89.00M,,-153.00M,,713.00M,-27.00M,-11.00M,433.00M,-11.00M,-13.00M,-119.00M,,,,290.00M,1.98B,,-882.00M,130.00M,130.00M,,-151.00M,-5.00M,-908.00M,,-135.00M,13.00M,-122.00M,0.00,,0.00,,-421.00M,,0.00,-543.00M,,2.895B,529.00M,-7.00M,3.417B,,0.00,18.00M,-140.00M,,,,,AOR,
2001-06,1.324B,20.00M,,-102.00M,,38.00M,,690.00M,-1.00M,5.00M,-124.00M,91.00M,170.00M,159.00M,,,,296.00M,2.352B,,-998.00M,22.00M,22.00M,,-52.00M,9.00M,-1.019B,,-57.00M,80.00M,23.00M,57.00M,,57.00M,,-417.00M,,-418.00M,-755.00M,,2.315B,578.00M,2.00M,2.895B,,57.00M,81.00M,-58.00M,,,,,AOR,
2001-03,1.60B,-38.00M,,-14.00M,,2.00M,,682.00M,75.00M,-13.00M,401.00M,-61.00M,-198.00M,15.00M,,,,157.00M,2.503B,,-1.336B,45.00M,45.00M,,-727.00M,,-2.018B,,-507.00M,845.00M,338.00M,16.00M,,16.00M,,-417.00M,,,-63.00M,,1.896B,422.00M,-3.00M,2.315B,,16.00M,873.00M,-535.00M,,,,,AOR,
2000-12,4.036B,80.00M,,247.00M,,181.00M,,3.17B,236.00M,-47.00M,-1.589B,179.00M,171.00M,-155.00M,,,,-661.00M,6.915B,,-4.731B,848.00M,-6.781B,,536.00M,-95.00M,-3.442B,,102.00M,1.722B,-1.378B,,-239.00M,-239.00M,,-1.517B,,,-3.134B,,1.342B,339.00M,-5.00M,2.328B,,,-25.00M,1.849B,-239.00M,,,,,
2000-09,1.531B,-39.00M,,-175.00M,,-305.00M,,801.00M,52.00M,65.00M,-89.00M,51.00M,-81.00M,689.00M,,,,570.00M,2.714B,,-1.02B,100.00M,100.00M,,-612.00M,857.00M,-675.00M,,-4.00M,-454.00M,-458.00M,,-921.00M,-921.00M,,-421.00M,,,-1.80B,,1.102B,239.00M,1.00M,1.342B,,,-14.00M,-444.00M,-921.00M,,,,AOR,Restated
2000-06,1.116B,-14.00M,,57.00M,,98.00M,,699.00M,139.00M,-48.00M,-159.00M,-64.00M,70.00M,660.00M,,,,507.00M,2.511B,,-966.00M,135.00M,135.00M,,-3.00M,5.00M,-829.00M,,-37.00M,-1.336B,-1.373B,,32.00M,32.00M,,-424.00M,,,-1.765B,,1.185B,-83.00M,0.00,1.102B,,,-48.00M,-1.325B,32.00M,,,,AOR,Restated
2000-03,1.044B,-27.00M,,-129.00M,,-167.00M,,651.00M,94.00M,30.00M,-325.00M,-46.00M,-87.00M,133.00M,,,,-325.00M,1.327B,,-912.00M,146.00M,146.00M,,75.00M,-5.00M,-696.00M,,-61.00M,68.00M,7.00M,,-370.00M,-370.00M,,-427.00M,,,-790.00M,,1.345B,-159.00M,-1.00M,1.185B,,,87.00M,-80.00M,-370.00M,,,,AOR,Restated
1999-12,1.988B,,,244.00M,,-192.00M,,2.968B,143.00M,662.00M,-1.582B,30.00M,82.00M,-596.00M,,,,-1.432B,4.137B,,-4.406B,995.00M,-6.90B,,525.00M,70.00M,-2.816B,,-259.00M,-127.00M,1.048B,3.00M,,3.00M,,-1.473B,,,-422.00M,,703.00M,899.00M,-32.00M,1.997B,,3.00M,-829.00M,443.00M,,,,,,
1999-09,582.00M,-28.00M,,-80.00M,,-121.00M,,767.00M,-62.00M,34.00M,-259.00M,-45.00M,-32.00M,780.00M,,,,444.00M,1.644B,,-1.848B,222.00M,222.00M,,193.00M,-14.00M,-1.447B,,644.00M,-504.00M,140.00M,10.00M,,10.00M,,-399.00M,,,-249.00M,,752.00M,-52.00M,3.00M,703.00M,,10.00M,150.00M,-10.00M,,,,,AOR,Restated
1999-06,350.00M,13.00M,,-62.00M,,-191.00M,,633.00M,-118.00M,-639.00M,-257.00M,13.00M,42.00M,1.366B,,,,1.164B,1.199B,,-844.00M,216.00M,216.00M,,-19.00M,76.00M,-571.00M,,-183.00M,147.00M,-36.00M,25.00M,,25.00M,,-401.00M,,,-412.00M,,538.00M,216.00M,-2.00M,752.00M,,25.00M,183.00M,-219.00M,,,,,AOR,Restated
1999-03,329.00M,15.00M,,-102.00M,,-195.00M,,566.00M,60.00M,-59.00M,41.00M,34.00M,-153.00M,168.00M,,,,90.00M,791.00M,,-797.00M,145.00M,145.00M,,-102.00M,-22.00M,-776.00M,,-202.00M,484.00M,282.00M,70.00M,,70.00M,,-399.00M,,,-47.00M,,569.00M,-32.00M,1.00M,538.00M,,70.00M,496.00M,-214.00M,,,,,AOR,Restated
1998-12,-206.00M,23.00M,,120.00M,,143.00M,,646.00M,-111.00M,676.00M,-331.00M,-5.00M,100.00M,548.00M,,,,-497.00M,651.00M,,-1.101B,-210.00M,-210.00M,,-230.00M,291.00M,-1.25B,,13.00M,,1.726B,,298.00M,37.00M,,-398.00M,,-1.339B,26.00M,,1.152B,-573.00M,-10.00M,569.00M,,,48.00M,-35.00M,298.00M,,,,AOR,Restated
1998-09,461.00M,0.00,,32.00M,,32.00M,,563.00M,146.00M,-98.00M,-69.00M,72.00M,88.00M,423.00M,,,,514.00M,1.618B,,-1.074B,116.00M,116.00M,,-83.00M,39.00M,-1.002B,,-11.00M,,-11.00M,,-159.00M,-159.00M,,-400.00M,,-82.00M,-652.00M,,1.185B,-36.00M,3.00M,1.152B,,,58.00M,-69.00M,-159.00M,,,,AOR,Restated
1998-06,577.00M,-39.00M,,-152.00M,,-117.00M,,557.00M,99.00M,35.00M,133.00M,-6.00M,-19.00M,-174.00M,,,,-66.00M,1.085B,,-975.00M,82.00M,82.00M,,-23.00M,-69.00M,-985.00M,,-168.00M,,-168.00M,,25.00M,25.00M,,-399.00M,,362.00M,-180.00M,,1.265B,-80.00M,0.00,1.185B,,,109.00M,-277.00M,25.00M,,,,AOR,Restated
1998-03,507.00M,16.00M,,,,-58.00M,,554.00M,132.00M,2.00M,267.00M,-61.00M,-169.00M,-797.00M,,,,-760.00M,377.00M,,-730.00M,12.00M,12.00M,,153.00M,-57.00M,-622.00M,,2.00M,,2.00M,,-164.00M,-164.00M,,-399.00M,,1.059B,498.00M,,1.015B,253.00M,-3.00M,1.265B,,,9.00M,-7.00M,-164.00M,,,,AOR,Restated
1997-12,875.00M,23.00M,,271.00M,,472.00M,,657.00M,322.00M,-1.002B,-131.00M,-38.00M,35.00M,-44.00M,,,,-268.00M,1.056B,,-1.23B,-379.00M,-379.00M,,21.00M,,-454.00M,,-29.00M,-163.00M,-192.00M,-67.00M,,-67.00M,,-382.00M,,54.00M,-587.00M,,991.00M,15.00M,9.00M,1.015B,,-67.00M,15.00M,-207.00M,,,,,AOR,
1997-09,727.00M,-8.00M,,-97.00M,,-96.00M,,548.00M,110.00M,-222.00M,570.00M,27.00M,24.00M,-641.00M,,,,183.00M,1.25B,,-1.009B,81.00M,81.00M,,-125.00M,,-1.053B,,-172.00M,-8.00M,-180.00M,148.00M,,148.00M,,-379.00M,,-54.00M,-465.00M,,1.28B,-268.00M,-21.00M,991.00M,,148.00M,-5.00M,-175.00M,,,,,AOR,Restated
1997-06,823.00M,-8.00M,,-174.00M,,-214.00M,,549.00M,22.00M,-45.00M,,,,,,,,112.00M,1.247B,,-948.00M,240.00M,240.00M,,-22.00M,,-730.00M,,-43.00M,-296.00M,-339.00M,92.00M,2.00M,94.00M,,-379.00M,,,-624.00M,,1.385B,-107.00M,2.00M,1.28B,,92.00M,-293.00M,-46.00M,2.00M,,,,AOR,Restated
1997-03,831.00M,-7.00M,,,,-162.00M,,546.00M,168.00M,-38.00M,,,,,,,,-315.00M,1.03B,,-712.00M,58.00M,58.00M,,328.00M,,-326.00M,,-151.00M,304.00M,153.00M,,-2.00M,-2.00M,,-353.00M,,,-202.00M,,892.00M,502.00M,-9.00M,1.385B,,,309.00M,-156.00M,-2.00M,,,,AOR,Restated
1996-12,,10.00M,,-66.00M,,-56.00M,,603.00M,116.00M,-2.067B,30.00M,60.00M,15.00M,369.00M,,,,807.00M,2.01B,,-1.06B,-514.00M,-514.00M,,-247.00M,,-1.087B,,-39.00M,-764.00M,-803.00M,,-4.00M,-4.00M,,-353.00M,,34.00M,-1.126B,,1.091B,-203.00M,4.00M,892.00M,,,18.00M,358.00M,-4.00M,,,,AOR,
1996-09,,-10.00M,,-42.00M,,-52.00M,,558.00M,1.00M,518.00M,310.00M,-19.00M,49.00M,-179.00M,,,,-5.00M,1.02B,,-831.00M,175.00M,175.00M,,1.00M,,-655.00M,,-28.00M,86.00M,58.00M,,3.00M,3.00M,,-352.00M,,-34.00M,-325.00M,,1.052B,40.00M,-1.00M,1.091B,,,3.00M,-446.00M,3.00M,,,,AOR,Restated
1996-06,,-6.00M,,108.00M,,171.00M,,524.00M,156.00M,930.00M,-55.00M,-196.00M,-43.00M,177.00M,,,,-117.00M,1.664B,,-877.00M,149.00M,149.00M,,8.00M,,-720.00M,,-247.00M,-296.00M,-543.00M,,-1.00M,-1.00M,,-327.00M,,,-871.00M,,980.00M,73.00M,-1.00M,1.052B,,,69.00M,-111.00M,-1.00M,,,,AOR,Restated
1996-03,,6.00M,,,,-63.00M,,531.00M,86.00M,593.00M,-255.00M,215.00M,-6.00M,2.00M,,,,-44.00M,1.103B,,-656.00M,190.00M,190.00M,,326.00M,,-140.00M,,-67.00M,-205.00M,-272.00M,,-2.00M,-2.00M,,-326.00M,,,-600.00M,,621.00M,363.00M,-4.00M,980.00M,,,5.00M,-277.00M,-2.00M,,,,AOR,Restated
1995-12,-418.00M,-53.00M,,,,-53.00M,,1.679B,-455.00M,147.00M,,,,,,,,444.00M,1.344B,,-1.101B,-515.00M,-515.00M,,51.00M,,-984.00M,,51.00M,50.00M,101.00M,,0.00,0.00,,-326.00M,,,-225.00M,,488.00M,135.00M,-2.00M,621.00M,,,66.00M,262.00M,0.00,,,,AOR,
1995-09,282.00M,53.00M,,,,53.00M,,560.00M,56.00M,-19.00M,,,,,,,,28.00M,960.00M,,-844.00M,161.00M,161.00M,,-285.00M,,-968.00M,,26.00M,-277.00M,-251.00M,,-4.00M,-4.00M,,-326.00M,,263.00M,-318.00M,,824.00M,-326.00M,-10.00M,488.00M,,,52.00M,-303.00M,-4.00M,,,,AOR,Restated
1995-06,607.00M,-31.00M,,,,114.00M,,566.00M,59.00M,-143.00M,,,,,,,,4.00M,1.207B,,-852.00M,111.00M,111.00M,,121.00M,,-620.00M,,383.00M,-191.00M,192.00M,,,,,-302.00M,,-261.00M,-371.00M,,608.00M,216.00M,0.00,824.00M,,,210.00M,-18.00M,,,,,AOR,Restated
1995-03,459.00M,31.00M,,,,-114.00M,,576.00M,82.00M,-3.00M,,,,,,,,-436.00M,564.00M,,-732.00M,243.00M,243.00M,,257.00M,,-232.00M,,-27.00M,191.00M,164.00M,,,,,-301.00M,,-2.00M,-139.00M,,413.00M,193.00M,2.00M,608.00M,,,208.00M,-44.00M,,,,,AOR,Restated
1994-12,623.00M,-38.00M,,,,-9.00M,,598.00M,-38.00M,75.00M,,,,,,,,47.00M,1.296B,,-1.296B,-324.00M,-324.00M,,-532.00M,,-1.421B,,38.00M,-466.00M,-428.00M,,0.00,0.00,,-302.00M,,,-730.00M,,1.275B,-855.00M,-7.00M,413.00M,,,-848.00M,-46.00M,0.00,,,,AOR,Restated
1994-09,425.00M,29.00M,,,,48.00M,,626.00M,72.00M,407.00M,,,,,,,,-991.00M,587.00M,,-702.00M,184.00M,184.00M,,-11.00M,,-529.00M,,268.00M,52.00M,320.00M,,-2.00M,-2.00M,,-302.00M,,,16.00M,,1.203B,74.00M,-2.00M,1.275B,,,400.00M,-80.00M,-2.00M,,,,AOR,Restated
1994-06,257.00M,11.00M,,,,34.00M,,615.00M,11.00M,-89.00M,,,,,,,,-315.00M,513.00M,,-738.00M,69.00M,69.00M,,-3.00M,,-672.00M,,-93.00M,561.00M,468.00M,,-1.00M,-1.00M,,-301.00M,,,166.00M,,1.201B,7.00M,-5.00M,1.203B,,,563.00M,-95.00M,-1.00M,,,,AOR,Restated
1994-03,388.00M,-2.00M,,,,-73.00M,,592.00M,65.00M,42.00M,,,,,,,,-514.00M,500.00M,,-669.00M,71.00M,71.00M,,1.00M,,-597.00M,,-365.00M,319.00M,-46.00M,,-2.00M,-2.00M,,-301.00M,,,-349.00M,,1.644B,-446.00M,3.00M,1.201B,,,321.00M,-367.00M,-2.00M,,,,AOR,Restated
1993-12,294.00M,-10.00M,,,,160.00M,,652.00M,139.00M,-111.00M,,,,,,,,837.00M,1.811B,,-1.096B,189.00M,189.00M,,30.00M,,-877.00M,,-135.00M,-190.00M,-325.00M,,-1.00M,-1.00M,,-285.00M,,,-611.00M,,1.316B,323.00M,5.00M,1.644B,,,-485.00M,-133.00M,-1.00M,,,,AOR,
1993-09,420.00M,2.00M,,,,-54.00M,,615.00M,98.00M,59.00M,,,,,,,,-119.00M,1.019B,,-817.00M,77.00M,77.00M,,-3.00M,,-743.00M,,-58.00M,61.00M,3.00M,,-1.00M,-1.00M,,-285.00M,,,-283.00M,,1.317B,-7.00M,6.00M,1.316B,,,61.00M,-58.00M,-1.00M,,,,AOR,
1993-06,50.00M,-23.00M,,,,-34.00M,,596.00M,-260.00M,304.00M,,,,,,,,210.00M,866.00M,,-793.00M,558.00M,558.00M,,3.00M,,-232.00M,,-334.00M,155.00M,-179.00M,,0.00,0.00,,-285.00M,,,-464.00M,,1.142B,170.00M,5.00M,1.317B,,,160.00M,-339.00M,0.00,,,,AOR,
1993-03,501.00M,4.00M,,,,-99.00M,,589.00M,23.00M,-24.00M,,,,,,,,-465.00M,525.00M,,-617.00M,84.00M,84.00M,,0.00,,-533.00M,,-128.00M,267.00M,139.00M,,-2.00M,-2.00M,,-284.00M,,,-147.00M,,1.292B,-155.00M,5.00M,1.142B,,,463.00M,-324.00M,-2.00M,,,,AOR,
