,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,2.156B,2.156B,1.506B,649.20M,,194.60M,14.50M,0.00,,30.40M,-30.40M,-15.30M,193.80M,455.40M,30.40M,-30.40M,54.80M,-30.40M,479.80M,56.20M,423.60M,0.00,,-7.20M,416.40M,240.00M,510.20M,,2018-03,1.90,,1.90,1.90,,2018-03,,,1.89,2018-03,219.40M,220.80M,1.10,,2018-03,AOR,Restated
2017-12,2.217B,2.217B,1.572B,644.80M,191.60M,191.60M,14.60M,0.00,,29.80M,-29.80M,-22.10M,184.10M,460.70M,29.80M,-29.80M,23.60M,-29.80M,454.50M,291.80M,162.70M,-1.00M,,-7.10M,154.60M,227.90M,484.30M,,2017-12,0.71,,0.71,0.71,,2017-12,,,0.70,2017-12,218.90M,220.40M,0.95,,2017-12,AOR,Restated
2017-09,2.203B,2.203B,1.545B,658.10M,,187.10M,13.20M,-48.40M,,30.80M,-30.80M,-48.00M,152.30M,505.80M,30.80M,-30.80M,4.20M,-30.80M,479.20M,-1.30M,480.50M,-5.50M,,-6.30M,468.70M,231.00M,510.00M,,2017-09,2.17,,2.303,2.15,,2017-09,,,2.282,2017-09,218.30M,219.80M,0.95,,2017-09,AOR,Restated
2017-06,2.122B,2.122B,1.486B,635.90M,184.10M,184.10M,14.60M,-204.80M,,29.80M,-29.80M,-26.30M,172.40M,463.50M,29.80M,-29.80M,-238.00M,-29.80M,195.70M,89.30M,106.40M,-2.30M,,-2.20M,101.90M,216.90M,225.50M,,2017-06,0.48,,1.043,0.47,,2017-06,,,1.029,2017-06,218.10M,219.80M,0.95,,2017-06,AOR,Restated
2017-03,1.980B,1.980B,1.404B,576.30M,177.60M,177.60M,14.80M,-10.30M,,30.50M,-30.50M,-22.00M,170.40M,405.90M,30.50M,-30.50M,29.20M,-30.50M,404.60M,94.50M,310.10M,1.826B,,-5.70M,2.13B,211.80M,435.10M,,2017-03,1.40,,1.436,9.78,,2017-03,,,1.426,2017-03,217.90M,219.70M,0.95,,2017-03,AOR,Restated
2016-12,1.882B,1.882B,1.317B,565.80M,164.70M,164.70M,15.00M,-82.50M,,29.50M,-29.50M,-24.70M,155.00M,410.80M,29.50M,-29.50M,-44.70M,-29.50M,336.60M,78.40M,258.20M,48.20M,,-6.60M,299.80M,206.10M,366.10M,,2016-12,1.16,,1.451,1.38,,2016-12,,,1.438,2016-12,217.70M,219.70M,0.86,,2016-12,AOR,Restated
2016-09,1.946B,1.946B,1.348B,597.30M,170.70M,170.70M,18.00M,-30.40M,,32.20M,-26.10M,-12.40M,176.30M,421.00M,32.20M,-26.10M,-3.70M,-26.10M,391.20M,96.80M,294.40M,106.50M,,-6.90M,394.00M,212.50M,423.40M,,2016-09,1.85,,1.955,1.81,,2016-09,,,1.944,2016-09,217.30M,219.20M,0.86,,2016-09,AOR,Restated
2016-06,1.914B,1.914B,1.320B,594.30M,169.40M,169.40M,18.70M,-22.70M,,35.10M,-35.10M,-11.10M,177.00M,417.30M,35.10M,-35.10M,19.40M,-35.10M,401.60M,145.90M,255.70M,98.40M,,-7.30M,346.80M,213.50M,436.70M,,2016-06,1.16,,1.227,1.60,,2016-06,,,1.216,2016-06,216.60M,218.50M,0.86,,2016-06,AOR,Restated
2016-03,1.777B,1.777B,1.213B,564.40M,169.80M,169.80M,18.20M,-18.10M,,25.70M,-25.70M,-13.30M,174.70M,389.70M,25.70M,-25.70M,14.20M,-25.70M,378.20M,93.50M,284.70M,-750.20M,,-7.80M,-473.30M,213.90M,403.90M,,2016-03,1.29,,1.353,-2.19,,2016-03,,,1.333,2016-03,216.10M,217.90M,0.86,,2016-03,AOR,Restated
2015-12,1.866B,1.866B,1.296B,570.40M,173.90M,173.90M,16.90M,-12.00M,,22.20M,-22.20M,-4.90M,185.90M,384.50M,22.20M,-22.20M,21.30M,-22.20M,383.60M,96.40M,287.20M,84.80M,,-8.40M,363.60M,214.70M,405.80M,,2015-12,1.30,,1.342,1.68,,2015-12,,,1.331,2015-12,215.80M,217.60M,0.81,,2015-12,AOR,Restated
2015-09,378.80M,378.80M,355.10M,23.70M,38.70M,38.70M,-27.80M,-21.90M,,22.10M,-17.90M,-10.10M,0.80M,22.90M,22.10M,-17.90M,-10.70M,-17.90M,-5.70M,1.30M,-7.00M,357.00M,,-5.50M,344.50M,156.70M,16.40M,,2015-09,1.60,,1.661,1.60,,2015-09,,,1.640,2015-09,215.20M,217.60M,0.81,,2015-09,AOR,Restated
2015-06,2.470B,2.470B,1.715B,755.00M,243.10M,243.10M,33.40M,-58.20M,,28.20M,-28.20M,-4.50M,272.00M,483.00M,28.20M,-28.20M,-15.80M,-28.20M,439.00M,104.10M,334.90M,-1.70M,,-14.40M,318.80M,233.00M,467.20M,,2015-06,1.49,,1.696,1.48,,2015-06,,,1.684,2015-06,215.20M,217.40M,0.81,,2015-06,AOR,Restated
2015-03,2.414B,2.414B,1.698B,716.30M,252.90M,252.90M,35.80M,-55.40M,,23.40M,-23.40M,-4.70M,284.00M,432.30M,23.40M,-23.40M,-22.40M,-23.40M,386.50M,87.70M,298.80M,-1.90M,,-6.90M,290.00M,233.30M,409.90M,,2015-03,1.36,,1.559,1.35,,2015-03,,,1.540,2015-03,214.90M,217.40M,0.81,,2015-03,AOR,Restated
2014-12,2.561B,2.561B,1.831B,729.80M,258.20M,258.20M,35.40M,-14.50M,,29.10M,-29.10M,-8.30M,285.30M,444.50M,29.10M,-29.10M,28.60M,-29.10M,444.00M,106.50M,337.50M,,,-12.90M,324.60M,235.50M,473.10M,,2014-12,1.52,,1.571,1.52,,2014-12,,,1.551,2014-12,214.20M,216.60M,0.77,,2014-12,AOR,Restated
2014-09,2.677B,2.677B,1.928B,749.30M,243.90M,243.90M,39.30M,-310.30M,,29.00M,-19.60M,2.50M,285.70M,463.60M,29.00M,-19.60M,-278.30M,-19.60M,165.70M,80.70M,85.00M,-6.00M,,25.00M,104.00M,254.60M,194.70M,,2014-09,0.48,,1.424,0.49,,2014-09,,,1.403,2014-09,213.60M,216.10M,0.77,,2014-09,AOR,Restated
2014-06,2.635B,2.635B,1.919B,715.90M,272.00M,272.00M,33.80M,0.00,,31.30M,-31.30M,-3.70M,302.10M,413.80M,31.30M,-31.30M,43.10M,-31.30M,425.60M,102.10M,323.50M,0.00,,-9.50M,314.00M,239.00M,456.90M,,2014-06,1.47,,1.47,1.47,,2014-06,,,1.46,2014-06,212.90M,215.40M,0.77,,2014-06,AOR,Restated
2014-03,2.582B,2.582B,1.918B,664.30M,263.40M,263.40M,33.20M,0.00,,31.50M,-31.50M,-17.00M,279.60M,384.70M,31.50M,-31.50M,30.40M,-31.50M,383.60M,92.10M,291.50M,0.00,,-8.00M,283.50M,229.10M,415.10M,,2014-03,1.33,,1.33,1.33,,2014-03,,,1.32,2014-03,212.40M,214.90M,0.77,,2014-03,AOR,Restated
2013-12,2.546B,2.546B,1.866B,679.60M,280.90M,280.90M,33.50M,0.00,,33.30M,-33.30M,-20.40M,294.00M,385.60M,33.30M,-33.30M,38.20M,-33.30M,390.50M,94.50M,296.00M,3.10M,,-8.90M,290.20M,234.20M,423.80M,,2013-12,1.36,,1.36,1.37,,2013-12,,,1.34,2013-12,211.80M,214.30M,0.71,,2013-12,AOR,Restated
2013-09,2.586B,2.586B,1.883B,703.60M,282.70M,282.70M,34.60M,,,35.40M,-29.00M,-1.30M,316.00M,387.60M,35.40M,-29.00M,-172.40M,-29.00M,186.20M,25.80M,160.40M,-13.10M,,-10.20M,137.10M,232.60M,221.60M,,2013-09,0.71,,0.71,0.65,,2013-09,,,0.70,2013-09,210.90M,213.50M,0.71,,2013-09,AOR,Restated
2013-06,2.547B,2.547B,1.876B,671.80M,271.30M,271.30M,33.50M,,,35.40M,-35.40M,-16.10M,288.70M,383.10M,35.40M,-35.40M,44.20M,-35.40M,391.90M,94.10M,297.80M,0.60M,,-10.00M,288.40M,229.70M,427.30M,,2013-06,1.38,,1.38,1.38,,2013-06,,,1.36,2013-06,209.40M,211.90M,0.71,,2013-06,AOR,Restated
2013-03,2.484B,2.484B,1.814B,670.60M,266.60M,266.60M,32.30M,,,35.20M,-35.20M,-18.00M,280.90M,389.70M,35.20M,-35.20M,39.80M,-35.20M,394.30M,95.80M,298.50M,1.10M,,-9.20M,290.40M,226.20M,429.50M,,2013-03,1.38,,1.38,1.39,,2013-03,,,1.37,2013-03,208.40M,211.00M,0.71,,2013-03,AOR,Restated
2012-12,2.562B,2.562B,1.900B,662.30M,268.20M,268.20M,33.30M,,,35.80M,-35.80M,-11.60M,289.90M,372.40M,35.80M,-35.80M,41.40M,-35.80M,378.00M,92.20M,285.80M,1.40M,,-8.90M,278.30M,218.50M,413.80M,,2012-12,1.32,,1.32,1.37,,2012-12,,,1.30,2012-12,210.00M,212.60M,0.64,,2012-12,AOR,Restated
2012-09,2.606B,2.606B,1.923B,682.80M,248.00M,248.00M,36.10M,-242.00M,,38.90M,-33.50M,5.30M,289.40M,393.40M,38.90M,-33.50M,-201.40M,-33.50M,158.50M,17.80M,140.70M,1.60M,,-3.60M,138.70M,220.30M,197.40M,,2012-09,0.65,,1.664,0.66,,2012-09,,,1.639,2012-09,211.80M,215.00M,0.64,,2012-09,AOR,Restated
2012-06,2.340B,2.340B,1.691B,649.30M,230.40M,230.40M,32.50M,85.90M,,26.00M,-26.00M,-10.50M,252.40M,396.90M,26.00M,-26.00M,127.60M,-26.00M,498.50M,133.30M,365.20M,127.30M,,-8.00M,484.50M,212.20M,524.50M,,2012-06,1.69,,1.392,2.29,,2012-06,,,1.367,2012-06,211.50M,214.70M,0.64,,2012-06,AOR,Restated
2012-03,2.344B,2.344B,1.716B,628.50M,237.30M,237.30M,29.80M,-86.80M,,29.40M,-29.40M,-13.30M,253.80M,374.70M,29.40M,-29.40M,-51.30M,-29.40M,294.00M,8.80M,285.20M,17.00M,,-6.20M,296.00M,205.30M,323.40M,,2012-03,1.32,,1.719,1.40,,2012-03,,,1.692,2012-03,211.10M,215.00M,0.64,,2012-03,AOR,Restated
2011-12,2.322B,2.322B,1.722B,599.20M,231.00M,231.00M,28.10M,,,29.40M,-29.40M,-13.70M,245.40M,353.80M,29.40M,-29.40M,37.10M,-29.40M,361.50M,127.40M,234.10M,22.20M,,-8.20M,248.10M,203.00M,390.90M,,2011-12,1.07,,1.07,1.18,,2011-12,,,1.06,2011-12,210.30M,213.90M,0.58,,2011-12,AOR,Restated
2011-09,2.506B,2.506B,1.855B,651.40M,,238.70M,32.40M,41.20M,,28.60M,-22.90M,,241.10M,410.30M,28.60M,-22.90M,87.70M,-22.90M,421.90M,103.40M,318.50M,20.60M,,-14.30M,324.80M,206.70M,450.50M,,2011-09,1.44,,1.293,1.54,,2011-09,,,1.275,2011-09,211.50M,215.20M,0.58,,2011-09,AOR,Restated
2011-06,2.472B,2.472B,1.826B,646.30M,,234.50M,29.30M,-5.20M,,26.50M,-26.50M,,263.80M,382.50M,26.50M,-26.50M,34.50M,-26.50M,400.90M,95.40M,305.50M,29.50M,,-8.50M,326.50M,212.30M,427.40M,,2011-06,1.40,,1.419,1.54,,2011-06,,,1.388,2011-06,212.50M,217.30M,0.58,,2011-06,AOR,Restated
2011-03,2.403B,2.403B,1.748B,654.80M,,242.00M,27.90M,-18.90M,,29.40M,-29.40M,,269.90M,384.90M,29.40M,-29.40M,12.80M,-29.40M,396.10M,103.20M,292.90M,18.60M,,-7.20M,304.30M,197.70M,425.50M,,2011-03,1.34,,1.405,1.42,,2011-03,,,1.374,2011-03,213.80M,218.80M,0.58,,2011-03,AOR,Restated
2010-12,2.392B,2.392B,1.720B,671.20M,,244.60M,29.20M,,,31.00M,-31.00M,50.20M,324.00M,347.20M,31.00M,-31.00M,27.80M,-31.00M,357.40M,81.50M,275.90M,,,-7.30M,268.60M,217.60M,388.40M,,2010-12,1.25,,1.25,1.25,,2010-12,,,1.23,2010-12,214.20M,219.20M,0.49,,2010-12,AOR,Restated
2010-09,1.941B,1.941B,1.481B,460.70M,166.10M,166.10M,31.90M,,,30.80M,-27.40M,-116.80M,89.60M,371.10M,30.80M,-27.40M,-33.90M,-27.40M,250.20M,59.70M,190.50M,87.50M,,-5.90M,272.10M,178.00M,281.00M,,2010-09,0.87,,0.87,1.28,,2010-09,,,0.85,2010-09,212.80M,217.70M,0.49,,2010-09,AOR,Restated
2010-06,2.252B,2.252B,1.611B,641.30M,247.50M,247.50M,29.30M,,,30.00M,-30.00M,44.10M,320.90M,320.40M,30.00M,-30.00M,32.50M,-30.00M,338.90M,77.60M,261.30M,0.00,,-8.10M,253.20M,214.40M,368.90M,,2010-06,1.19,,1.19,1.19,,2010-06,,,1.17,2010-06,212.30M,216.90M,0.49,,2010-06,AOR,Restated
2010-03,2.249B,2.249B,1.629B,620.30M,,240.40M,26.30M,,,29.50M,-29.50M,13.00M,279.70M,340.60M,29.50M,-29.50M,32.20M,-29.50M,343.30M,84.90M,258.40M,,,-6.40M,252.00M,217.30M,372.80M,,2010-03,1.19,,1.19,1.19,,2010-03,,,1.16,2010-03,212.10M,216.90M,0.49,,2010-03,AOR,Restated
2009-12,2.174B,2.174B,1.569B,604.90M,,244.10M,27.20M,0.00,,31.60M,-31.60M,11.40M,282.70M,322.20M,31.60M,-31.60M,26.90M,-31.60M,340.30M,83.50M,256.80M,,,-5.00M,251.80M,217.10M,371.90M,,2009-12,1.19,,1.19,1.19,,2009-12,,,1.16,2009-12,211.70M,217.00M,0.45,,2009-12,AOR,Restated
2009-09,2.129B,2.129B,1.545B,584.30M,236.20M,236.20M,29.40M,0.00,0.00,27.90M,-27.90M,-9.30M,256.30M,328.00M,27.90M,-27.90M,32.20M,-27.90M,332.30M,86.30M,246.00M,-2.10M,,0.00,243.90M,225.50M,360.20M,,2009-09,1.17,,1.17,1.16,,2009-09,,,1.15,2009-09,210.80M,215.60M,0.45,,2009-09,AOR,Restated
2009-06,1.976B,1.976B,1.428B,548.70M,364.30M,364.30M,24.10M,0.00,22.20M,27.50M,-27.50M,-5.70M,404.90M,143.80M,27.50M,-27.50M,28.50M,-27.50M,144.80M,25.40M,119.40M,-1.40M,,-4.80M,113.20M,217.10M,172.30M,,2009-06,0.55,,0.55,0.54,,2009-06,,,0.54,2009-06,209.80M,214.00M,0.45,,2009-06,AOR,Restated
2009-03,1.955B,1.955B,1.440B,515.50M,,230.60M,29.60M,0.00,,30.00M,-30.00M,5.10M,265.30M,250.20M,30.00M,-30.00M,27.00M,-30.00M,257.40M,66.50M,190.90M,16.30M,,-1.60M,205.60M,197.10M,287.40M,,2009-03,0.90,,0.90,0.98,,2009-03,,,0.89,2009-03,209.60M,212.30M,0.45,,2009-03,AOR,Restated
2008-12,2.195B,2.195B,1.630B,565.60M,,421.20M,33.20M,,,36.50M,-36.50M,2.90M,457.30M,108.30M,36.50M,-36.50M,24.50M,-36.50M,102.10M,7.10M,95.00M,-21.40M,,-5.00M,68.60M,200.60M,138.60M,,2008-12,0.43,,0.43,0.33,,2008-12,,,0.42,2008-12,209.40M,212.10M,0.44,,2008-12,,Restated
2008-09,2.528B,2.528B,1.928B,599.80M,,162.70M,33.00M,,,,,-313.90M,-118.20M,718.00M,,,318.90M,,706.50M,172.10M,529.60M,-268.00M,,-4.80M,261.60M,200.30M,863.00M,,2008-09,2.50,,2.50,1.24,,2008-09,,,2.42,2008-09,210.40M,217.10M,0.44,,2008-09,,Restated
2008-06,2.808B,2.808B,2.073B,735.00M,,321.70M,33.10M,-312.60M,,,,312.60M,667.40M,67.60M,,,-266.10M,,74.50M,16.10M,50.80M,19.30M,,-7.60M,70.10M,226.60M,67.60M,,2008-06,0.24,,1.400,0.33,,2008-06,,,1.353,2008-06,211.20M,218.20M,0.44,,2008-06,,
2008-03,2.605B,2.605B,1.904B,701.50M,,311.80M,34.30M,-17.20M,,,,17.20M,363.30M,338.20M,,,25.20M,,341.50M,83.90M,253.10M,61.20M,,-4.50M,314.30M,224.10M,338.20M,,2008-03,1.19,,1.251,1.48,,2008-03,,,1.209,2008-03,212.30M,219.20M,0.44,,2008-03,,
2007-12,2.474B,2.474B,1.788B,685.10M,,298.20M,30.30M,15.40M,,,,-15.40M,313.10M,372.00M,,,40.70M,,356.30M,93.20M,257.00M,6.70M,,-6.10M,263.70M,218.00M,372.00M,,2007-12,1.20,,1.147,1.23,,2007-12,,,1.109,2007-12,214.80M,222.30M,0.38,,2007-12,,
2007-09,2.166B,2.166B,1.624B,542.40M,,145.80M,31.60M,35.20M,,,,-0.20M,188.40M,354.00M,,,65.30M,,385.50M,73.00M,306.30M,-13.50M,,-6.20M,292.80M,257.90M,354.00M,,2007-09,1.43,,1.298,1.36,,2007-09,,,1.242,2007-09,215.60M,222.90M,0.38,,2007-09,,
2007-06,2.416B,2.416B,1.750B,666.70M,,295.00M,33.00M,13.70M,,,,-13.70M,314.30M,352.40M,,,43.20M,,337.70M,57.10M,275.50M,9.40M,,-5.10M,284.90M,179.90M,352.40M,,2007-06,1.28,,1.227,1.32,,2007-06,,,1.189,2007-06,216.10M,223.10M,0.38,,2007-06,,
2007-03,2.473B,2.473B,1.824B,648.90M,,293.10M,35.10M,4.00M,,,,-4.00M,324.20M,324.70M,,,36.40M,,319.30M,84.30M,227.60M,,,-7.40M,227.60M,210.10M,324.70M,,2007-03,1.05,,1.036,1.05,,2007-03,,,1.007,2007-03,216.50M,223.40M,0.38,,2007-03,,
2006-12,2.268B,2.268B,1.650B,618.10M,,275.40M,32.10M,6.80M,,,,-6.80M,300.70M,317.40M,,,34.10M,,305.60M,79.50M,221.00M,9.30M,,-5.10M,230.30M,192.10M,317.40M,,2006-12,1.02,,0.9968,1.06,,2006-12,,,0.9675,2006-12,216.70M,223.40M,0.34,,2006-12,,
2006-09,2.262B,2.262B,1.670B,592.30M,,272.30M,37.20M,-55.20M,,,,55.20M,364.70M,227.60M,,,-25.50M,,219.00M,51.60M,160.30M,-25.70M,,-7.10M,128.40M,194.20M,227.60M,,2006-09,0.69,,0.8827,0.59,,2006-09,,,0.8574,2006-09,219.00M,225.10M,0.34,,2006-09,,
2006-06,2.246B,2.246B,1.644B,602.20M,,280.00M,39.10M,8.80M,,,,-8.80M,310.30M,291.90M,,,34.70M,,288.40M,75.50M,206.50M,3.80M,,-6.40M,210.30M,195.10M,291.90M,,2006-06,0.92,,0.8909,0.94,,2006-06,,,0.8717,2006-06,223.00M,229.20M,0.34,,2006-06,,
2006-03,2.230B,2.230B,1.668B,561.80M,,271.80M,37.50M,30.10M,,,,-30.10M,279.20M,282.60M,,,54.40M,,281.60M,74.90M,196.50M,7.50M,,-10.20M,204.00M,185.10M,282.60M,,2006-03,0.88,,0.7808,0.92,,2006-03,,,0.7633,2006-03,222.80M,228.50M,0.34,,2006-03,,
2005-12,2.016B,2.016B,1.492B,524.10M,,250.90M,37.60M,17.90M,,,,-17.90M,270.60M,253.50M,,,45.70M,,255.00M,67.10M,181.80M,-1.10M,,-6.10M,180.70M,182.50M,253.50M,,2005-12,0.82,,0.7606,0.81,,2005-12,,,0.7419,2005-12,222.00M,227.10M,0.32,,2005-12,,
2005-09,1.696B,1.696B,1.178B,517.20M,,242.50M,32.80M,0.30M,,,,-0.30M,275.00M,242.20M,,,28.70M,,244.10M,63.70M,174.80M,,,-5.60M,179.00M,174.50M,242.20M,,2005-09,-2.318,,-2.320,-2.318,,2005-09,,,-2.319,2005-09,221.50M,226.90M,0.32,,2005-09,,
2005-06,2.078B,2.078B,1.532B,546.70M,,261.10M,33.30M,10.50M,,,,-10.50M,283.90M,262.80M,,,36.80M,,263.20M,64.30M,190.60M,,,-8.30M,190.60M,175.30M,262.80M,,2005-06,0.84,,0.8050,0.84,,2005-06,,,0.7859,2005-06,226.70M,232.40M,0.32,,2005-06,,
2005-03,2.003B,2.003B,1.469B,534.40M,,257.20M,33.10M,8.10M,,,,-8.10M,282.20M,252.20M,,,33.30M,,247.60M,67.80M,175.30M,,,-4.50M,175.30M,177.10M,252.20M,,2005-03,0.77,,0.7442,0.77,,2005-03,,,0.7249,2005-03,228.10M,234.30M,0.32,,2005-03,,
2004-12,1.991B,1.991B,1.476B,515.50M,,252.80M,33.10M,8.70M,,,,-8.70M,277.20M,238.30M,,,34.20M,,236.00M,64.90M,166.80M,,,-4.30M,166.80M,179.40M,238.30M,,2004-12,0.74,,0.7121,0.74,,2004-12,,,0.6928,2004-12,226.40M,232.30M,0.29,,2004-12,,
2004-09,1.598B,1.598B,1.107B,491.40M,,230.70M,33.00M,16.10M,,,,-16.10M,247.60M,243.80M,,,43.10M,,242.60M,59.60M,172.40M,,,-10.60M,168.10M,173.30M,243.80M,,2004-09,-1.923,,-1.977,-1.923,,2004-09,,,-1.976,2004-09,225.00M,230.40M,0.29,,2004-09,,
2004-06,1.892B,1.892B,1.388B,504.20M,,243.70M,31.10M,4.30M,,,,-4.30M,270.50M,233.70M,,,28.50M,,228.40M,63.40M,163.00M,,,-2.00M,163.00M,173.00M,233.70M,,2004-06,0.73,,0.7162,0.73,,2004-06,,,0.6965,2004-06,224.50M,229.40M,0.29,,2004-06,,
2004-03,1.856B,1.856B,1.370B,486.90M,,250.40M,32.00M,5.60M,,,,-5.60M,276.80M,210.10M,,,27.60M,,199.80M,54.90M,141.20M,,,-3.70M,141.20M,176.60M,210.10M,,2004-03,0.63,,0.6118,0.63,,2004-03,,,0.6022,2004-03,223.70M,228.80M,0.23,,2004-03,,
2003-12,1.685B,1.685B,1.230B,454.70M,,231.40M,30.00M,5.50M,,,,-5.50M,255.90M,198.80M,,,25.10M,,187.50M,51.30M,131.80M,,,-4.40M,131.80M,174.40M,198.80M,,2003-12,0.59,,0.5720,0.59,,2003-12,,,0.5624,2003-12,221.90M,227.00M,0.23,,2003-12,,
