,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,15.24B,15.24B,11.28B,3.962B,1.711B,554.00M,,256.00M,27.00M,-229.00M,-231.00M,2.034B,1.928B,27.00M,256.00M,-229.00M,191.00M,-229.00M,1.89B,522.00M,1.368B,,-71.00M,,1.297B,1.297B,2.727B,581.00M,2.146B,1.64,,1.64,1.64,1.62,,1.62,1.62,789.90M,800.40M,0.7
2017-12,15.68B,15.68B,11.80B,3.885B,1.72B,630.00M,,272.00M,25.00M,-247.00M,-263.00M,2.087B,1.798B,25.00M,272.00M,-247.00M,154.00M,-247.00M,1.705B,1.219B,486.00M,,-89.00M,,397.00M,397.00M,2.535B,558.00M,1.977B,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,789.10M,798.20M,0.7
2017-09,15.06B,15.06B,11.11B,3.956B,1.582B,592.00M,,258.00M,35.00M,-223.00M,-250.00M,1.924B,2.032B,35.00M,258.00M,-223.00M,131.00M,-223.00M,1.94B,506.00M,1.434B,,-104.00M,,1.33B,1.33B,2.741B,543.00M,2.198B,1.69,,1.69,1.69,1.67,,1.67,1.67,788.30M,797.10M,0.7
2017-06,15.28B,15.28B,11.16B,4.116B,1.59B,619.00M,,251.00M,25.00M,-226.00M,-257.00M,1.952B,2.164B,25.00M,251.00M,-226.00M,126.00M,-226.00M,2.064B,532.00M,1.532B,,-93.00M,,1.439B,1.439B,2.842B,527.00M,2.315B,1.83,,1.83,1.83,1.8,,1.8,1.8,788.70M,798.20M,0.66
2017-03,13.82B,13.82B,10.14B,3.679B,1.537B,586.00M,,236.00M,23.00M,-213.00M,-588.00M,1.535B,2.144B,23.00M,236.00M,-213.00M,123.00M,-213.00M,2.054B,586.00M,1.468B,,-82.00M,,1.386B,1.386B,2.802B,512.00M,2.29B,1.75,0.0,1.75,1.75,1.73,0.0,1.73,1.73,793.50M,802.30M,0.66
2016-12,14.66B,14.66B,10.73B,3.925B,1.754B,665.00M,,420.00M,54.00M,-366.00M,-182.00M,2.237B,1.688B,54.00M,420.00M,-366.00M,,-366.00M,1.273B,149.00M,1.124B,-11.00M,-100.00M,,1.013B,1.024B,2.199B,506.00M,1.693B,1.28,-0.01,1.28,1.27,1.26,-0.01,1.26,1.25,800.80M,809.00M,0.66
2016-09,14.35B,14.35B,10.34B,4.012B,1.39B,582.00M,,252.00M,27.00M,-225.00M,-211.00M,1.761B,2.251B,27.00M,252.00M,-225.00M,,-225.00M,2.026B,492.00M,1.534B,37.00M,-91.00M,,1.48B,1.443B,2.774B,496.00M,2.278B,1.76,0.04,1.76,1.8,1.74,0.04,1.74,1.78,822.40M,831.20M,0.66
2016-06,14.87B,14.87B,10.74B,4.133B,1.451B,588.00M,,248.00M,23.00M,-225.00M,-243.00M,1.796B,2.337B,23.00M,248.00M,-225.00M,,-225.00M,2.112B,587.00M,1.525B,-47.00M,-99.00M,,1.379B,1.426B,2.854B,494.00M,2.36B,1.73,-0.06,1.73,1.67,1.71,-0.06,1.71,1.65,825.30M,833.60M,0.66
2016-03,13.36B,13.36B,9.654B,3.703B,1.363B,541.00M,,241.00M,18.00M,-223.00M,-146.00M,1.758B,1.945B,18.00M,241.00M,-223.00M,,-223.00M,1.722B,469.00M,1.253B,11.00M,-81.00M,,1.183B,1.172B,2.429B,466.00M,1.963B,1.42,0.01,1.42,1.43,1.41,0.01,1.41,1.42,825.00M,831.30M,0.64
2015-12,14.30B,14.30B,10.65B,3.647B,1.625B,611.00M,,238.00M,32.00M,-206.00M,1.019B,3.255B,392.00M,32.00M,238.00M,-206.00M,,-206.00M,186.00M,363.00M,-177.00M,3.534B,-79.00M,,3.278B,-256.00M,886.00M,462.00M,424.00M,-0.3,4.16,-0.3,3.86,-0.3,4.16,-0.3,3.86,844.50M,852.00M,0.64
2015-09,13.79B,13.79B,9.80B,3.988B,1.359B,546.00M,,223.00M,39.00M,-184.00M,-219.00M,1.686B,2.302B,39.00M,223.00M,-184.00M,,-184.00M,2.118B,592.00M,1.526B,-65.00M,-99.00M,,1.362B,1.427B,2.827B,486.00M,2.341B,1.63,-0.08,1.63,1.55,1.61,-0.08,1.61,1.54,876.40M,885.00M,0.64
2015-06,14.69B,14.69B,10.47B,4.218B,1.426B,558.00M,,245.00M,28.00M,-217.00M,-181.00M,1.803B,2.415B,28.00M,245.00M,-217.00M,,-217.00M,2.198B,626.00M,1.572B,81.00M,-111.00M,,1.542B,1.461B,2.90B,457.00M,2.443B,1.67,0.09,1.67,1.76,1.64,0.09,1.64,1.73,877.30M,889.40M,0.64
2015-03,13.32B,13.32B,9.506B,3.814B,1.476B,564.00M,,239.00M,22.00M,-217.00M,-408.00M,1.632B,2.182B,22.00M,239.00M,-217.00M,,-217.00M,1.965B,530.00M,1.435B,62.00M,-71.00M,,1.426B,1.364B,2.662B,458.00M,2.204B,1.53,0.07,1.53,1.6,1.51,0.07,1.51,1.58,890.30M,904.20M,0.64
2014-12,14.98B,14.98B,10.73B,4.249B,1.62B,624.00M,,377.00M,111.00M,-266.00M,-275.00M,1.969B,2.28B,111.00M,377.00M,-266.00M,,-266.00M,2.014B,634.00M,1.38B,195.00M,-102.00M,,1.473B,1.278B,2.859B,468.00M,2.391B,1.64,0.0,1.64,1.64,1.62,0.0,1.62,1.62,900.10M,915.80M,0.59
2014-09,14.61B,14.61B,10.16B,4.448B,1.501B,640.00M,,235.00M,50.00M,-185.00M,-305.00M,1.836B,2.612B,50.00M,235.00M,-185.00M,,-185.00M,2.427B,575.00M,1.852B,99.00M,-97.00M,,1.854B,1.755B,3.079B,417.00M,2.662B,1.96,0.11,1.96,2.07,1.93,0.11,1.93,2.04,899.30M,913.10M,0.59
2014-06,17.19B,17.19B,12.93B,4.26B,1.623B,666.00M,,245.00M,39.00M,-206.00M,-384.00M,1.905B,2.355B,39.00M,245.00M,-206.00M,,-206.00M,2.149B,359.00M,1.79B,,-110.00M,,1.68B,1.68B,2.862B,468.00M,2.394B,1.87,,1.87,1.87,1.84,,1.84,1.84,900.10M,914.70M,0.59
2014-03,14.74B,14.74B,10.69B,4.055B,1.596B,624.00M,,243.00M,18.00M,-225.00M,-263.00M,1.957B,2.098B,18.00M,243.00M,-225.00M,,-225.00M,1.873B,567.00M,1.306B,,-93.00M,,1.213B,1.213B,2.583B,467.00M,2.116B,1.35,,1.35,1.35,1.32,,1.32,1.32,900.90M,917.00M,0.59
2013-12,10.73B,10.73B,7.431B,3.302B,1.367B,471.00M,,257.00M,41.00M,-216.00M,-206.00M,1.632B,1.67B,41.00M,257.00M,-216.00M,,-216.00M,1.454B,322.00M,1.132B,435.00M,-104.00M,,1.463B,1.028B,2.111B,400.00M,1.711B,1.61,0.02,1.61,1.63,1.58,0.02,1.58,1.6,901.30M,918.10M,0.59
2013-09,15.46B,15.46B,11.02B,4.442B,1.633B,630.00M,,248.00M,22.00M,-226.00M,-187.00M,2.076B,2.366B,22.00M,248.00M,-226.00M,,-226.00M,2.14B,614.00M,1.526B,17.00M,-111.00M,,1.432B,1.415B,2.84B,452.00M,2.388B,1.57,0.02,1.57,1.59,1.55,0.02,1.55,1.57,900.80M,915.50M,0.535
2013-06,16.01B,16.01B,11.55B,4.454B,1.737B,631.00M,,272.00M,55.00M,-217.00M,-421.00M,1.947B,2.507B,55.00M,272.00M,-217.00M,,-217.00M,2.29B,645.00M,1.645B,8.00M,-93.00M,,1.56B,1.552B,3.001B,439.00M,2.562B,1.72,0.01,1.72,1.73,1.7,0.01,1.7,1.71,901.10M,914.10M,0.535
2013-03,14.40B,14.40B,10.46B,3.934B,1.627B,610.00M,,255.00M,19.00M,-236.00M,-309.00M,1.928B,2.006B,19.00M,255.00M,-236.00M,,-236.00M,1.77B,418.00M,1.352B,-4.00M,-82.00M,,1.266B,1.27B,2.469B,444.00M,2.025B,1.41,-0.01,1.41,1.4,1.39,-0.01,1.39,1.39,901.30M,913.80M,0.535
2012-12,16.44B,16.44B,12.29B,4.157B,1.795B,712.00M,,279.00M,19.00M,-260.00M,-101.00M,2.406B,1.751B,19.00M,279.00M,-260.00M,,-260.00M,1.491B,454.00M,1.037B,1.112B,-92.00M,,2.057B,945.00M,2.247B,477.00M,1.77B,1.05,1.24,1.05,2.29,1.04,1.22,1.04,2.26,891.90M,891.90M,0.535
2012-09,15.04B,15.04B,11.00B,4.039B,1.619B,590.00M,,260.00M,44.00M,-216.00M,-211.00M,1.998B,2.041B,44.00M,260.00M,-216.00M,,-216.00M,1.825B,484.00M,1.341B,168.00M,-94.00M,,1.415B,1.247B,2.507B,422.00M,2.085B,1.39,0.19,1.39,1.58,1.37,0.19,1.37,1.56,893.60M,905.30M,0.535
2012-06,13.81B,13.81B,9.934B,3.873B,1.509B,525.00M,,190.00M,22.00M,-168.00M,-340.00M,1.694B,2.179B,22.00M,190.00M,-168.00M,,-168.00M,2.011B,453.00M,1.558B,-138.00M,-92.00M,,1.328B,1.466B,2.508B,307.00M,2.201B,1.64,-0.15,1.64,1.49,1.62,-0.15,1.62,1.47,892.10M,904.20M,0.48
2012-03,12.42B,12.42B,8.93B,3.486B,1.529B,544.00M,,164.00M,35.00M,-129.00M,-300.00M,1.773B,1.713B,35.00M,164.00M,-129.00M,,-129.00M,1.584B,320.00M,1.264B,-859.00M,-75.00M,,330.00M,1.189B,2.066B,318.00M,1.748B,1.33,-0.96,1.33,0.37,1.31,-0.96,1.31,0.36,890.90M,903.90M,0.48
2011-12,14.38B,14.38B,10.41B,3.966B,1.623B,524.00M,,177.00M,110.00M,-67.00M,,1.574B,2.392B,110.00M,177.00M,-67.00M,,-67.00M,1.778B,403.00M,1.375B,37.00M,-87.00M,,1.325B,1.288B,2.256B,301.00M,1.955B,1.49,0.0,1.49,1.49,1.47,0.0,1.47,1.47,888.10M,899.90M,0.48
2011-09,14.24B,14.24B,10.34B,3.897B,1.512B,465.00M,231.00M,166.00M,27.00M,-139.00M,,1.977B,1.92B,27.00M,166.00M,-139.00M,231.00M,-139.00M,2.012B,628.00M,1.384B,37.00M,-97.00M,,1.324B,1.128B,2.502B,324.00M,2.178B,1.45,0.04,1.271,1.49,1.43,0.04,1.254,1.47,888.80M,901.90M,0.48
2011-06,14.47B,14.47B,10.47B,4.001B,1.576B,494.00M,,164.00M,23.00M,-141.00M,-219.00M,1.851B,2.15B,23.00M,164.00M,-141.00M,,-141.00M,2.009B,612.00M,1.397B,33.00M,-112.00M,,1.318B,1.285B,2.495B,322.00M,2.173B,1.48,0.0,1.48,1.48,1.45,0.0,1.45,1.45,892.90M,909.80M,0.48
2011-03,12.68B,12.68B,9.164B,3.516B,1.456B,470.00M,98.00M,165.00M,17.00M,-148.00M,,1.926B,1.59B,17.00M,165.00M,-148.00M,98.00M,-148.00M,1.54B,486.00M,1.054B,47.00M,-89.00M,,1.012B,897.93M,2.021B,316.00M,1.705B,1.08,0.05,1.005,1.13,1.06,0.05,0.9867,1.11,898.70M,914.90M,0.425
2010-12,12.81B,12.81B,9.54B,3.273B,1.405B,367.00M,,191.00M,22.00M,-169.00M,2.00M,1.774B,1.499B,22.00M,191.00M,-169.00M,,-169.00M,1.396B,331.00M,1.065B,,-54.00M,,1.199B,1.011B,1.879B,292.00M,1.587B,1.13,0.2,1.13,1.33,1.12,0.19,1.12,1.31,901.90M,916.40M,0.425
2010-09,13.62B,13.62B,9.667B,3.953B,1.478B,433.00M,,182.00M,21.00M,-161.00M,-114.00M,1.797B,2.156B,21.00M,182.00M,-161.00M,,-161.00M,1.767B,468.00M,1.299B,,-101.00M,,1.198B,1.198B,2.291B,342.00M,1.949B,1.32,0.0,1.32,1.32,1.3,0.0,1.3,1.3,905.60M,919.50M,0.425
2010-06,13.80B,13.80B,10.02B,3.787B,1.491B,459.00M,,149.00M,,-149.00M,-45.00M,1.905B,1.882B,,149.00M,-149.00M,,-149.00M,1.733B,521.00M,1.212B,,-102.00M,,1.11B,1.11B,2.221B,339.00M,1.882B,1.22,0.0,1.22,1.22,1.2,0.0,1.2,1.2,910.40M,925.40M,0.425
2010-03,12.04B,12.04B,8.732B,3.308B,1.424B,397.00M,,186.00M,15.00M,-171.00M,-36.00M,1.785B,1.523B,15.00M,186.00M,-171.00M,,-171.00M,1.352B,405.00M,947.00M,,-81.00M,,866.00M,866.00M,1.865B,327.00M,1.538B,0.95,0.0,0.95,0.95,0.93,0.0,0.93,0.93,913.60M,929.30M,0.425
2009-12,13.98B,13.60B,10.32B,3.288B,1.555B,421.00M,,183.00M,,-95.00M,,1.569B,1.719B,,183.00M,-95.00M,,-95.00M,1.624B,455.00M,1.169B,,-96.00M,,1.073B,1.073B,2.14B,333.00M,1.807B,1.17,0.0,1.17,1.17,1.15,0.0,1.15,1.15,915.60M,931.20M,0.385
2009-09,13.19B,13.38B,9.836B,3.539B,1.424B,344.00M,,170.00M,,-170.00M,,1.768B,1.771B,,170.00M,-170.00M,,-170.00M,1.601B,456.00M,1.145B,,-87.00M,,1.058B,1.058B,2.087B,316.00M,1.771B,1.15,0.0,1.15,1.15,1.14,0.0,1.14,1.14,917.00M,929.00M,0.385
2009-06,13.06B,13.20B,9.601B,3.595B,1.574B,384.00M,,177.00M,,-177.00M,,1.958B,1.637B,,177.00M,-177.00M,,-177.00M,1.46B,394.00M,1.066B,,-90.00M,,976.00M,976.00M,1.94B,303.00M,1.637B,1.06,0.0,1.06,1.06,1.05,0.0,1.05,1.05,919.00M,929.00M,0.385
2009-03,12.20B,12.25B,9.107B,3.142B,1.483B,409.00M,,175.00M,,-175.00M,,1.892B,1.25B,,175.00M,-175.00M,,-175.00M,1.075B,276.00M,799.00M,,-77.00M,,722.00M,722.00M,1.556B,306.00M,1.25B,0.79,0.0,0.79,0.79,0.78,0.0,0.78,0.78,918.00M,926.00M,0.385
2008-12,14.50B,14.77B,10.83B,3.942B,1.649B,490.00M,,171.00M,,-171.00M,,2.139B,1.803B,,171.00M,-171.00M,,-171.00M,1.632B,403.00M,1.229B,,-84.00M,,1.145B,1.145B,2.153B,350.00M,1.803B,1.24,0.0,1.24,1.24,1.22,0.0,1.22,1.22,923.00M,932.00M,0.385
2008-09,14.97B,15.08B,10.94B,4.15B,1.665B,436.00M,,177.00M,,-177.00M,,2.101B,2.049B,,177.00M,-177.00M,,-177.00M,1.872B,502.00M,1.37B,,-101.00M,,1.269B,1.269B,2.375B,326.00M,2.049B,1.36,0.0,1.36,1.36,1.33,0.0,1.33,1.33,933.00M,951.00M,0.32
2008-06,15.81B,15.94B,11.64B,4.308B,1.775B,434.00M,,176.00M,,-176.00M,,2.209B,2.099B,,176.00M,-176.00M,,-176.00M,1.923B,548.00M,1.375B,,-100.00M,,1.275B,1.275B,2.425B,326.00M,2.099B,1.35,0.0,1.35,1.35,1.32,0.0,1.32,1.32,944.00M,966.00M,0.32
2008-03,13.83B,13.96B,10.24B,3.72B,1.635B,411.00M,,165.00M,,-165.00M,,2.046B,1.674B,,165.00M,-165.00M,,-165.00M,1.509B,430.00M,1.079B,,-79.00M,,1.00B,1.00B,1.993B,319.00M,1.674B,1.05,0.0,1.05,1.05,1.03,0.0,1.03,1.03,952.00M,975.00M,0.32
2007-12,14.50B,14.71B,10.73B,3.985B,1.711B,481.00M,,174.00M,,-174.00M,,2.192B,1.793B,,174.00M,-174.00M,,-174.00M,1.619B,481.00M,1.138B,,-78.00M,,1.06B,1.06B,2.103B,310.00M,1.793B,1.1,0.0,1.1,1.1,1.08,0.0,1.08,1.08,958.00M,983.00M,0.32
2007-09,13.72B,13.86B,10.07B,3.795B,1.508B,399.00M,,179.00M,,-179.00M,,1.907B,1.888B,,179.00M,-179.00M,,-179.00M,1.709B,434.00M,1.275B,,-78.00M,,1.197B,1.197B,2.196B,308.00M,1.888B,1.24,0.0,1.24,1.24,1.21,0.0,1.21,1.21,963.00M,989.00M,0.32
2007-06,13.77B,13.90B,10.13B,3.775B,1.494B,416.00M,138.00M,,,,,1.91B,1.865B,,,,138.00M,,1.702B,479.00M,1.148B,,-75.00M,,1.148B,1.049B,2.142B,277.00M,1.865B,1.19,0.0,1.087,1.19,1.16,0.0,1.06,1.16,966.00M,990.00M,0.265
2007-03,11.94B,12.28B,8.996B,3.282B,1.396B,382.00M,342.00M,,,,,1.778B,1.504B,,,,342.00M,,1.354B,442.00M,819.00M,,-93.00M,,819.00M,588.64M,1.782B,278.00M,1.504B,0.85,0.0,0.612,0.85,0.82,0.0,0.588,0.82,968.00M,993.00M,0.265
2006-12,13.36B,12.79B,9.521B,3.266B,1.432B,406.00M,,,,,,1.838B,1.428B,,,,,,1.275B,337.00M,1.131B,,-73.00M,,865.00M,865.00M,1.689B,261.00M,1.428B,0.89,0.0,0.89,0.89,0.87,0.0,0.87,0.87,971.00M,1.00B,0.265
2006-09,11.97B,12.16B,8.794B,3.369B,1.338B,384.00M,191.00M,,,,,1.722B,1.647B,,,,191.00M,,1.491B,423.00M,996.00M,,-72.00M,,996.00M,859.19M,1.899B,252.00M,1.647B,1.02,0.0,0.8804,1.02,0.99,0.0,0.854,0.99,980.00M,1.006B,0.265
2006-06,12.05B,12.26B,8.775B,3.489B,1.378B,370.00M,218.00M,,,,,1.748B,1.741B,,,,218.00M,,1.586B,415.00M,1.103B,,-68.00M,,1.103B,942.04M,1.997B,256.00M,1.741B,1.12,0.0,0.9563,1.12,1.09,0.0,0.9305,1.09,983.00M,1.009B,0.265
2006-03,10.45B,10.62B,7.65B,2.965B,1.314B,369.00M,169.00M,,,,,1.683B,1.282B,,,,169.00M,,1.14B,319.00M,768.00M,,-53.00M,,768.00M,646.29M,1.546B,264.00M,1.282B,0.78,0.0,0.6563,0.78,0.76,0.0,0.6394,0.76,984.00M,1.009B,0.22
2005-12,11.17B,11.26B,8.239B,3.022B,1.378B,423.00M,,,,,,1.801B,1.221B,,,,,,1.078B,294.00M,721.00M,,-63.00M,,626.00M,721.00M,1.477B,256.00M,1.221B,0.73,-0.09,0.73,0.64,0.72,-0.09,0.72,0.63,985.00M,1.008B,0.22
2005-09,10.82B,10.90B,7.891B,3.014B,1.295B,335.00M,82.00M,,,,,1.63B,1.384B,,,,82.00M,,1.249B,356.00M,821.00M,,-72.00M,,821.00M,762.37M,1.649B,265.00M,1.384B,0.83,0.0,0.7709,0.83,0.81,0.0,0.7522,0.81,992.00M,1.015B,0.22
2005-06,10.97B,11.15B,7.99B,3.162B,1.355B,318.00M,178.00M,,,,,1.673B,1.489B,,,,178.00M,,1.369B,326.00M,971.00M,,-72.00M,,971.00M,835.39M,1.726B,237.00M,1.489B,0.98,0.0,0.8437,0.98,0.95,0.0,0.8168,0.95,995.00M,1.018B,0.22
2005-03,9.309B,9.407B,6.815B,2.592B,1.213B,291.00M,98.00M,,,,,1.504B,1.088B,,,,98.00M,,988.00M,277.00M,651.00M,,-60.00M,,651.00M,580.48M,1.314B,226.00M,1.088B,0.655,0.0,0.5839,0.655,0.64,0.0,0.5706,0.64,992.00M,1.016B,0.22
2004-12,9.64B,10.38B,7.189B,3.196B,1.273B,342.00M,,,,,,2.162B,1.034B,,,,,,938.00M,266.00M,612.00M,,-60.00M,,612.00M,612.00M,1.268B,234.00M,1.034B,0.5987,,0.5987,0.5987,0.5987,,0.5987,0.5987,1.022B,1.022B,0.175
2004-09,9.248B,9.339B,6.802B,2.537B,1.108B,299.00M,91.00M,,,,,1.407B,1.13B,,,,91.00M,,1.041B,287.00M,693.00M,,-61.00M,,693.00M,627.09M,1.36B,230.00M,1.13B,0.35,0.0,0.3168,0.35,0.34,0.0,0.3074,0.34,1.984B,2.02B,0.175
2004-06,9.455B,9.622B,6.976B,2.646B,1.114B,315.00M,167.00M,,,,,1.429B,1.217B,,,,167.00M,,1.065B,248.00M,817.00M,,-61.00M,,817.00M,688.89M,1.469B,252.00M,1.217B,0.41,0.0,0.3454,0.41,0.405,0.0,0.3416,0.405,1.984B,2.02B,0.175
2004-03,8.357B,8.646B,6.275B,2.371B,1.14B,311.00M,289.00M,,,,,1.451B,920.00M,,,,289.00M,,833.00M,230.00M,551.00M,,-52.00M,,551.00M,341.80M,1.182B,262.00M,920.00M,0.555,0.0,0.345,0.555,0.54,0.0,0.3341,0.54,996.00M,1.016B,0.175
2003-12,8.487B,8.588B,6.31B,2.278B,1.10B,251.00M,,,,,,1.351B,927.00M,,,,,,831.00M,202.00M,756.00M,,-41.00M,,588.00M,588.00M,1.156B,229.00M,927.00M,3.065,0.0,3.065,3.065,2.925,0.0,2.925,2.925,1.15B,1.15B,0.175
2003-09,7.875B,7.954B,5.713B,2.241B,933.00M,260.00M,79.00M,,,,,1.193B,1.048B,,,,79.00M,,953.00M,267.00M,639.00M,,-47.00M,8.00M,639.00M,582.13M,1.251B,203.00M,1.048B,0.67,0.0,0.6095,0.67,0.635,0.0,0.5786,0.635,940.00M,1.008B,0.135
2003-06,7.708B,7.79B,5.619B,2.171B,857.00M,281.00M,82.00M,,,,,1.138B,1.033B,,,,82.00M,,940.00M,263.00M,632.00M,,-45.00M,8.00M,632.00M,572.94M,1.22B,187.00M,1.033B,0.665,0.0,0.6019,0.665,0.63,0.0,0.5709,0.63,936.00M,1.00B,0.135
2003-03,6.653B,6.702B,4.866B,1.836B,764.00M,235.00M,49.00M,,,,,999.00M,837.00M,,,,49.00M,,746.00M,209.00M,502.00M,,-35.00M,,502.00M,466.73M,1.017B,180.00M,837.00M,0.525,0.0,0.4875,0.525,0.5,0.0,0.4648,0.5,940.00M,1.002B,0.1225
2002-12,7.138B,7.215B,5.248B,1.967B,862.00M,278.00M,,,,,,1.14B,827.00M,,,,,,734.00M,165.00M,686.00M,,-36.00M,,533.00M,533.00M,1.017B,190.00M,827.00M,0.56,0.0,0.56,0.56,0.53,0.0,0.53,0.53,941.20M,1.009B,0.1225
2002-09,7.25B,7.299B,5.238B,2.061B,789.00M,270.00M,49.00M,,,,,1.059B,1.002B,,,,49.00M,,909.00M,258.00M,612.00M,,-39.00M,7.00M,612.00M,576.91M,1.175B,173.00M,1.002B,0.64,0.0,0.6029,0.64,0.605,0.0,0.5703,0.605,946.00M,1.01B,0.1225
