,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2001-03,224.41M,224.41M,164.96M,59.46M,22.70M,5.777M,1.582M,,,,28.48M,30.97M,,,1.582M,,31.49M,8.942M,22.54M,,,,22.54M,21.41M,49.42M,,2001-03,0.245,0.00,,,2001-03,0.24,0.00,,,2001-03,92.02M,,2001-03,,
2000-12,218.81M,218.81M,156.79M,62.02M,24.12M,6.745M,-6.929M,,,7.766M,38.63M,23.38M,,,-6.929M,,22.77M,7.057M,15.71M,,,,15.71M,20.49M,42.82M,,2000-12,0.17,0.00,,,2000-12,0.165,0.00,,,2000-12,91.67M,,2000-12,,
2000-09,237.05M,237.05M,168.21M,68.84M,27.11M,6.989M,1.164M,,,,34.10M,34.74M,,,1.164M,,34.36M,10.65M,23.71M,,,,23.71M,22.90M,52.87M,,2000-09,0.26,0.00,,,2000-09,0.255,0.00,,,2000-09,91.63M,,2000-09,,
2000-06,226.21M,226.21M,160.20M,66.01M,25.82M,6.219M,16.26M,,,-15.90M,16.14M,49.86M,,,16.26M,,49.00M,15.19M,33.81M,,,,33.81M,22.59M,67.90M,,2000-06,0.37,0.00,,,2000-06,0.365,0.00,,,2000-06,91.59M,,2000-06,,
2000-03,235.48M,235.48M,160.88M,74.60M,26.19M,6.248M,0.973M,,,,32.43M,42.17M,,,0.973M,,41.37M,12.83M,28.55M,,,,28.55M,27.88M,60.32M,,2000-03,0.31,0.00,,,2000-03,0.305,0.00,,,2000-03,92.09M,,2000-03,,
1999-12,224.66M,224.66M,78.35M,146.31M,23.50M,8.181M,-4.083M,,,,100.85M,45.45M,,,-4.083M,,33.22M,9.347M,23.88M,,,,23.88M,26.81M,64.41M,,1999-12,0.255,0.00,,,1999-12,0.255,0.00,,,1999-12,93.11M,,1999-12,,
1999-09,212.09M,212.09M,150.92M,61.16M,26.56M,8.603M,-0.872M,,,0.852M,36.01M,25.15M,,,-0.872M,,23.57M,6.427M,17.14M,,,,17.14M,17.77M,44.19M,,1999-09,0.185,0.00,,,1999-09,0.18,0.00,,,1999-09,93.90M,,1999-09,,
1999-06,200.80M,200.80M,122.40M,78.40M,26.50M,9.10M,16.50M,,,,54.60M,23.80M,,,16.50M,,37.30M,12.70M,24.60M,,,,24.60M,13.72M,42.80M,,1999-06,0.26,0.00,,,1999-06,0.26,0.00,,,1999-06,94.07M,,1999-06,,
1999-03,208.34M,208.34M,134.89M,73.46M,28.79M,8.423M,0.813M,,,,37.22M,36.24M,,,0.813M,,34.58M,11.41M,23.17M,,,,23.17M,22.63M,55.13M,,1999-03,0.245,0.00,,,1999-03,0.245,0.00,,,1999-03,94.03M,,1999-03,,
1998-12,205.50M,205.50M,116.50M,89.00M,26.40M,7.90M,0.00,,,,53.80M,35.20M,,,0.00,,32.90M,10.20M,22.70M,,,,22.70M,22.70M,54.70M,,1998-12,0.235,0.00,,,1998-12,0.235,0.00,,,1998-12,94.52M,,1998-12,,
1998-09,196.20M,196.20M,119.20M,77.00M,25.40M,7.90M,0.40M,,,,52.80M,24.20M,,,0.40M,,24.10M,6.50M,17.60M,,,,17.60M,17.31M,43.70M,,1998-09,0.165,0.00,,,1998-09,0.165,0.00,,,1998-09,106.67M,,1998-09,,
1998-06,204.10M,204.10M,137.92M,66.18M,27.09M,6.889M,0.516M,,,,33.98M,32.20M,,,0.516M,,31.96M,10.15M,21.81M,,,,21.81M,21.46M,50.84M,,1998-06,0.205,0.00,,,1998-06,0.205,0.00,,,1998-06,106.14M,,1998-06,,
