,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-12,2.864B,2.864B,123.00M,763.00M,886.00M,113.00M,-2.18B,-1.181B,-1.034B,1.047B,-49.00M,-137.00M,88.00M,-22.00M,,-5.00M,,61.00M,1.50B,187.00M,429.00M,0.04,-0.02,,1.278,0.02,0.04,-0.02,,1.274,0.02,1.145B,1.148B,0.24
2008-09,3.607B,3.607B,133.00M,1.499B,1.632B,118.00M,-111.00M,1.639B,-162.00M,681.00M,265.00M,-42.00M,307.00M,0.00,,-4.00M,,303.00M,375.15M,221.00M,896.00M,0.26,0.0,,0.3231,0.26,0.26,0.0,,0.3229,0.26,1.143B,1.148B,0.24
2008-06,3.275B,3.275B,,1.662B,1.662B,123.00M,-149.00M,1.636B,-152.00M,388.00M,621.00M,312.00M,309.00M,6.00M,,-6.00M,,309.00M,399.85M,239.00M,1.298B,0.26,0.0,,0.3453,0.27,0.26,0.0,,0.3447,0.27,1.135B,1.143B,0.24
2008-03,3.747B,3.747B,130.00M,1.604B,1.734B,122.00M,-126.00M,1.73B,-73.00M,767.00M,1.119B,361.00M,758.00M,-3.00M,,-9.00M,,746.00M,834.35M,231.00M,2.008B,0.65,0.0,,0.7252,0.65,0.65,0.0,,0.7246,0.65,1.134B,1.144B,0.24
2007-12,3.797B,3.797B,,1.368B,1.368B,,-124.00M,1.244B,-192.00M,752.00M,1.028B,328.00M,700.00M,0.00,,,,520.00M,784.44M,376.00M,2.066B,0.61,0.0,,0.6837,0.42,0.61,0.0,,0.6834,0.42,1.145B,1.151B,0.24
2007-09,3.60B,3.60B,,1.28B,1.28B,,-218.00M,1.062B,-9.00M,669.00M,894.00M,252.00M,642.00M,-2.00M,,,,640.00M,798.55M,224.00M,2.003B,0.57,0.0,,0.7091,0.57,0.56,0.0,,0.6972,0.56,1.125B,1.141B,0.24
2007-06,2.032B,2.032B,,752.00M,752.00M,,-47.00M,705.00M,-2.00M,452.00M,658.00M,210.00M,448.00M,-3.00M,,,,445.00M,480.00M,99.00M,1.368B,0.63,0.0,,0.6751,0.63,0.62,0.0,,0.6643,0.62,709.78M,722.66M,0.2333
2007-03,1.902B,1.902B,4.00M,787.00M,791.00M,28.00M,-110.00M,709.00M,38.00M,427.00M,645.00M,208.00M,437.00M,-3.00M,0.0,,,434.00M,511.53M,127.00M,1.239B,0.61,0.0,0.0,0.7149,0.61,0.61,-0.01,0.0,0.7135,0.6,710.15M,719.98M,0.233
2006-12,1.875B,1.875B,,736.00M,736.00M,,-17.00M,719.00M,,451.00M,622.00M,195.00M,427.00M,1.362B,,,,1.789B,438.67M,148.00M,1.228B,0.6,1.68,,0.6165,2.28,0.59,1.66,,0.6063,2.25,708.96M,716.88M,0.233
2006-09,1.614B,1.614B,,644.00M,644.00M,,-89.00M,555.00M,1.00M,351.00M,422.00M,124.00M,298.00M,54.00M,,,,352.00M,360.85M,127.00M,1.031B,0.42,0.08,,0.508,0.49,0.41,0.07,,0.4969,0.49,713.95M,723.27M,0.233
2006-06,1.724B,1.724B,,656.00M,656.00M,,,656.00M,23.00M,358.00M,591.00M,200.00M,391.00M,57.00M,,,,448.00M,391.00M,102.00M,1.143B,0.52,0.07,,0.52,0.59,0.52,0.07,,0.52,0.59,756.00M,765.00M,0.223
2006-03,1.604B,1.604B,,604.00M,604.00M,,,604.00M,-4.00M,339.00M,535.00M,175.00M,360.00M,62.00M,,,,422.00M,337.12M,117.00M,1.009B,0.47,0.08,,0.44,0.55,0.47,0.08,,0.4404,0.55,763.85M,773.63M,0.223
2005-12,1.547B,1.547B,,589.00M,589.00M,,,589.00M,18.00M,344.00M,500.00M,161.00M,339.00M,66.00M,,,,405.00M,339.00M,156.00M,929.00M,0.44,0.09,,0.44,0.53,0.44,0.08,,0.44,0.52,767.37M,776.57M,0.223
2005-09,1.531B,1.531B,,585.00M,585.00M,,,585.00M,15.00M,346.00M,490.00M,157.00M,333.00M,56.00M,,,,389.00M,333.00M,89.00M,837.00M,0.44,0.07,,0.44,0.51,0.44,0.07,,0.44,0.51,761.00M,769.00M,0.223
2005-06,1.523B,1.523B,,581.00M,581.00M,,,581.00M,23.00M,329.00M,505.00M,162.00M,343.00M,55.00M,,,,398.00M,343.00M,103.00M,810.00M,0.45,0.07,,0.45,0.52,0.45,0.07,,0.45,0.52,765.00M,772.00M,0.212
2005-03,1.633B,1.633B,,618.00M,618.00M,,,618.00M,12.00M,455.00M,566.00M,187.00M,379.00M,,,,,379.00M,379.00M,178.00M,837.00M,0.49,0.0,,0.49,0.49,0.49,0.0,,0.49,0.49,771.00M,779.00M,0.212
2004-12,942.00M,942.00M,,386.00M,386.00M,,,386.00M,19.00M,39.00M,295.00M,131.00M,164.00M,,,,,351.00M,164.00M,113.00M,471.00M,0.22,0.24,,0.22,0.46,0.21,0.24,,0.21,0.45,764.21M,779.51M,0.212
2004-09,1.527B,1.527B,,564.00M,564.00M,,,564.00M,14.00M,428.00M,528.00M,174.00M,354.00M,,,,,354.00M,354.00M,133.00M,729.00M,0.46,0.0,,0.46,0.46,0.46,0.0,,0.46,0.46,772.00M,778.00M,0.212
2004-06,1.587B,1.587B,,570.00M,570.00M,,,570.00M,12.00M,421.00M,565.00M,194.00M,371.00M,,,,,371.00M,371.00M,115.00M,745.00M,0.48,0.0,,0.48,0.48,0.48,0.0,,0.48,0.48,772.00M,779.00M,0.212
2004-03,1.498B,1.498B,,574.00M,574.00M,,,574.00M,33.00M,268.00M,473.00M,109.00M,364.00M,,,,,364.00M,364.00M,119.00M,646.00M,0.47,0.0,,0.47,0.47,0.47,0.0,,0.47,0.47,771.00M,778.00M,0.201
2003-12,1.521B,1.521B,,548.00M,548.00M,,,548.00M,9.00M,419.00M,469.00M,162.00M,307.00M,,,,,307.00M,307.00M,123.00M,635.00M,0.4,0.0,,0.4,0.4,0.39,0.0,,0.39,0.39,770.00M,777.00M,0.201
2003-09,1.47B,1.47B,,533.00M,533.00M,,,533.00M,9.00M,407.00M,391.00M,131.00M,260.00M,,,,,260.00M,260.00M,113.00M,559.00M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,766.00M,774.00M,0.201
2003-06,1.394B,1.394B,,498.00M,498.00M,,-25.00M,473.00M,9.00M,398.00M,451.00M,156.00M,295.00M,,,,,295.00M,311.35M,105.00M,648.00M,0.39,0.0,,0.4118,0.39,0.39,0.0,,0.4116,0.39,751.00M,757.00M,0.201
2003-03,1.23B,1.23B,,423.00M,423.00M,,,423.00M,7.00M,386.00M,451.00M,156.00M,295.00M,,,,,295.00M,295.00M,89.00M,641.00M,0.41,0.0,,0.41,0.41,0.41,0.0,,0.41,0.41,722.00M,726.00M,0.201
2002-12,1.246B,1.246B,,379.00M,379.00M,,,379.00M,13.00M,412.00M,156.00M,56.00M,100.00M,,,,,100.00M,100.00M,85.00M,376.00M,-0.12,0.26,,-0.12,0.14,-0.12,0.26,,-0.12,0.14,737.88M,737.88M,0.201
2002-09,1.054B,1.054B,,397.00M,397.00M,,,397.00M,-188.00M,418.00M,123.00M,44.00M,79.00M,,,,,79.00M,79.00M,56.00M,354.00M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,721.00M,727.00M,0.201
2002-06,1.278B,1.278B,,418.00M,418.00M,,,418.00M,25.00M,423.00M,547.00M,186.00M,361.00M,,,,,361.00M,361.00M,39.00M,799.00M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,722.00M,729.00M,0.201
2002-03,1.222B,1.222B,,384.00M,384.00M,,,384.00M,31.00M,412.00M,546.00M,184.00M,362.00M,,,,,362.00M,362.00M,52.00M,796.00M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,722.00M,730.00M,0.201
2001-12,1.419B,1.419B,,383.00M,383.00M,,,383.00M,41.00M,438.00M,500.00M,169.00M,331.00M,,,,,331.00M,331.00M,82.00M,803.00M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,731.00M,738.00M,0.191
2001-09,1.217B,1.217B,,419.00M,419.00M,,,419.00M,22.00M,387.00M,356.00M,113.00M,243.00M,,,,,243.00M,243.00M,75.00M,891.00M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,731.00M,741.00M,0.191
2001-06,1.295B,1.295B,,393.00M,393.00M,,,393.00M,46.00M,430.00M,601.00M,216.00M,385.00M,,,,,385.00M,385.00M,63.00M,1.096B,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,731.00M,742.00M,0.191
2001-03,1.313B,1.313B,,394.00M,394.00M,,,394.00M,45.00M,455.00M,602.00M,218.00M,384.00M,,,-28.00M,,384.00M,384.00M,64.00M,1.18B,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,732.00M,743.00M,0.191
2000-12,,,,,,,,,,,,,372.00M,,,,,372.00M,372.00M,63.00M,,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,733.00M,748.00M,0.191
2000-09,,,,,,,,,,,,,363.00M,,,,,363.00M,363.00M,62.00M,,0.5,0.0,,0.5,0.5,0.49,0.0,,0.49,0.49,734.00M,747.00M,0.17
2000-06,1.243B,1.243B,,366.00M,366.00M,,,366.00M,45.00M,463.00M,562.00M,206.00M,356.00M,,,-28.00M,,356.00M,356.00M,61.00M,1.206B,0.49,0.0,,0.49,0.49,0.48,0.0,,0.48,0.48,733.00M,745.00M,0.17
2000-03,1.184B,1.184B,,359.00M,359.00M,,,359.00M,40.00M,447.00M,534.00M,196.00M,338.00M,,,-28.00M,,338.00M,338.00M,61.00M,1.12B,0.46,0.0,,0.46,0.46,0.46,0.0,,0.46,0.46,732.00M,741.00M,0.17
1999-12,,,,,,,,,,,,,328.00M,,,,,328.00M,328.00M,59.00M,,0.44,0.0,,0.44,0.44,0.43,0.0,,0.43,0.43,736.00M,753.00M,0.16
1999-09,,,,,,,,,,,,,773.00M,,,,,773.00M,773.00M,50.00M,,1.04,0.0,,1.04,1.04,1.02,0.0,,1.02,1.02,741.00M,754.00M,0.14
1999-06,1.067B,1.067B,,311.00M,311.00M,,,311.00M,50.00M,416.00M,511.00M,188.00M,323.00M,,,-28.00M,,323.00M,323.00M,57.00M,934.00M,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,761.00M,773.00M,0.14
1999-03,1.052B,1.052B,,312.00M,312.00M,,,312.00M,50.00M,427.00M,500.00M,184.00M,316.00M,,,-28.00M,,316.00M,316.00M,49.00M,930.00M,0.41,0.0,,0.41,0.41,0.41,0.0,,0.41,0.41,766.00M,779.00M,0.14
1998-12,1.031B,1.031B,,315.00M,315.00M,,,315.00M,50.00M,433.00M,493.00M,180.00M,313.00M,,,-25.00M,,313.00M,313.00M,49.00M,960.00M,0.41,0.0,,0.41,0.41,0.4,0.0,,0.4,0.4,766.00M,781.00M,0.14
1998-09,987.00M,987.00M,,294.00M,294.00M,,,294.00M,51.00M,415.00M,476.00M,175.00M,301.00M,,,-25.00M,,301.00M,301.00M,48.00M,967.00M,0.4,0.0,,0.4,0.4,0.39,0.0,,0.39,0.39,751.00M,779.00M,0.14
1998-06,969.00M,969.00M,,287.00M,287.00M,,,287.00M,46.00M,408.00M,467.00M,172.00M,295.00M,,,-25.00M,,295.00M,295.00M,46.00M,929.00M,0.4,0.0,,0.4,0.4,0.38,0.0,,0.38,0.38,748.00M,784.00M,0.13
