,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,526.46M,526.46M,299.84M,226.63M,69.99M,66.91M,,1.139M,,,,-0.865M,136.04M,90.59M,,,,1.139M,,89.44M,8.944M,80.49M,,,80.49M,79.47M,124.08M,33.49M,90.59M,,0.41,0.00,,0.4047,0.41,,0.39,0.00,,0.3852,0.39,,194.02M,213.49M,,,,
2004-03,430.60M,430.60M,254.63M,175.98M,66.24M,64.69M,,0.721M,,,,,130.94M,45.04M,,,,0.721M,,44.72M,4.472M,40.25M,,,40.25M,39.60M,76.16M,31.12M,45.04M,,0.20,0.00,,0.1967,0.20,,0.20,0.00,,0.1968,0.20,,193.85M,199.89M,,,,
2003-12,357.59M,357.59M,229.96M,127.64M,60.49M,60.96M,,-13.43M,,,,,121.45M,6.184M,,,,-13.43M,,-8.792M,2.70M,-11.49M,,,-11.49M,-3.432M,42.93M,36.74M,6.184M,,-0.05,0.00,,-0.0084,-0.05,,-0.05,0.00,,-0.0094,-0.05,,193.54M,198.70M,,,,
2003-09,329.17M,329.17M,230.62M,98.55M,60.06M,61.25M,,-26.56M,,,,,121.31M,-22.76M,,,,-26.56M,,-51.31M,2.20M,-53.51M,,,-53.51M,-37.58M,14.02M,36.78M,-22.76M,,-0.28,0.00,,-0.1959,-0.28,,-0.28,0.00,,-0.1959,-0.28,,189.48M,189.48M,,,,
2003-06,331.53M,331.53M,242.92M,88.61M,61.51M,63.80M,,-11.98M,,,,,125.32M,-36.71M,,,,-11.98M,,-50.79M,1.70M,-52.49M,,,-52.49M,-45.30M,2.73M,39.44M,-36.71M,,-0.28,0.00,,-0.2412,-0.28,,-0.28,0.00,,-0.2412,-0.28,,185.46M,185.46M,,,,
2003-03,334.58M,334.58M,250.47M,84.11M,67.40M,68.58M,,-22.18M,,,,,135.99M,-51.88M,,,,-22.18M,,-75.30M,1.20M,-76.50M,,,-76.50M,-63.19M,-12.36M,39.53M,-51.88M,,-0.41,0.00,,-0.3380,-0.41,,-0.41,0.00,,-0.3380,-0.41,,184.89M,184.89M,,,,
2002-12,333.60M,333.60M,277.41M,56.18M,65.62M,74.30M,,-59.14M,,,,,139.92M,-83.73M,,,,-59.14M,,-144.62M,279.14M,-423.77M,,,-423.77M,-388.28M,-40.06M,43.67M,-83.73M,,-2.32,0.00,,-2.126,-2.32,,-2.32,0.00,,-2.126,-2.32,,182.94M,182.94M,,,,
2002-09,330.73M,330.73M,256.23M,74.50M,74.32M,78.00M,,-137.62M,,,,,152.32M,-77.82M,,,,-137.62M,,-216.53M,-49.70M,-166.83M,,,-166.83M,-60.80M,-40.31M,37.51M,-77.82M,,-0.91,0.00,,-0.3308,-0.91,,-0.91,0.00,,-0.3308,-0.91,,183.06M,183.06M,,,,
2002-06,309.90M,309.90M,239.19M,70.70M,75.61M,72.37M,,-1.124M,,,,,147.98M,-77.28M,,,,-1.124M,,-79.26M,-28.54M,-50.73M,,,-50.73M,-50.01M,-36.36M,40.91M,-77.28M,,-0.28,0.00,,-0.2761,-0.28,,-0.28,0.00,,-0.2761,-0.28,,182.93M,182.93M,,,,
2002-03,248.01M,248.01M,217.55M,30.46M,75.05M,69.25M,,-5.555M,,,,,144.30M,-113.85M,,,,-5.555M,,-120.53M,-43.39M,-77.14M,,,-77.14M,-73.58M,-76.24M,37.60M,-113.85M,,-0.42,0.00,,-0.4005,-0.42,,-0.42,0.00,,-0.4005,-0.42,,182.33M,182.33M,,,,
2001-12,220.21M,220.21M,268.86M,-48.65M,70.96M,69.39M,,3.822M,,,,,140.35M,-189.00M,,,,3.822M,,-181.60M,-69.01M,-112.59M,,,-112.59M,-114.96M,-151.38M,37.62M,-189.00M,,-0.64,0.00,,-0.6532,-0.64,,-0.64,0.00,,-0.6532,-0.64,,179.29M,179.29M,,,,
2001-09,249.36M,249.36M,246.51M,2.843M,59.93M,64.67M,,-50.04M,,,,,124.60M,-121.75M,,,,-50.04M,,-167.52M,-64.12M,-103.40M,,,-103.40M,-72.52M,-86.42M,35.33M,-121.75M,,-0.59,0.00,,-0.4142,-0.59,,-0.59,0.00,,-0.4142,-0.59,,175.69M,175.69M,,,,
2001-06,365.82M,365.82M,311.26M,54.56M,65.13M,61.32M,,,,,,,126.45M,-71.89M,,,,,,-54.12M,-13.94M,-40.18M,,,-40.18M,-40.18M,-36.56M,35.33M,-71.89M,,-0.23,0.00,,-0.23,-0.23,,-0.23,0.00,,-0.23,-0.23,,174.54M,174.54M,,,,
2001-03,605.19M,605.19M,385.61M,219.58M,74.77M,71.20M,,,,,,,145.97M,73.61M,,,,,,77.09M,23.12M,53.96M,,,53.96M,53.96M,104.00M,30.39M,73.61M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,173.79M,179.75M,,,,
2000-12,821.65M,821.65M,469.71M,351.94M,96.48M,79.30M,,,,,,,175.77M,176.17M,,,,,,188.62M,56.59M,132.04M,,0.00,132.04M,132.04M,202.50M,26.33M,176.17M,,0.76,0.00,0.00,0.76,0.76,,0.73,0.00,0.0002,0.73,0.73,,173.59M,179.54M,,,,
2000-09,859.48M,859.48M,457.98M,401.50M,95.15M,78.96M,,,,,,,174.11M,227.39M,,,,,,233.46M,70.04M,163.42M,,,163.42M,163.42M,251.11M,23.72M,227.39M,,0.94,0.00,,0.94,0.94,,0.90,0.00,,0.90,0.90,,174.37M,181.94M,,,,
2000-06,747.46M,747.46M,376.42M,371.04M,91.98M,73.64M,,,,,,-27.11M,165.62M,205.42M,,,,,,184.13M,55.24M,128.89M,,,128.89M,128.89M,232.94M,27.52M,205.42M,,0.74,0.00,,0.74,0.74,,0.71,0.00,,0.71,0.71,,173.16M,181.70M,,,,
2000-03,648.13M,648.13M,348.84M,299.29M,78.96M,69.02M,,,,,,,147.98M,151.31M,,,,,,155.85M,46.75M,109.09M,,,109.09M,109.09M,175.60M,24.29M,151.31M,,0.63,0.00,,0.63,0.63,,0.60,0.00,,0.60,0.60,,172.13M,180.87M,,,,
1999-12,548.50M,548.50M,287.90M,260.60M,72.10M,63.70M,,,,,,,157.60M,103.00M,,,,,,107.50M,32.30M,75.20M,,,75.20M,75.20M,124.80M,21.80M,103.00M,,0.44,0.00,,0.44,0.44,,0.42,0.00,,0.42,0.42,,170.70M,179.12M,,,,
1999-09,497.00M,497.00M,260.80M,236.20M,70.50M,60.30M,,,,,,,151.30M,84.90M,,,,,,89.60M,26.90M,62.70M,,,62.70M,62.70M,105.41M,20.51M,84.90M,,0.37,0.00,,0.37,0.37,,0.35,0.00,,0.35,0.35,,171.10M,179.03M,,,,
1999-06,400.90M,400.90M,236.94M,163.96M,59.39M,56.83M,,,,,,,116.22M,47.75M,,,,,,51.15M,15.34M,35.80M,,,35.80M,35.80M,69.74M,21.99M,47.75M,,0.105,0.00,,0.105,0.105,,0.10,0.00,,0.10,0.10,,340.49M,356.12M,,,,
1999-03,344.45M,344.45M,197.80M,146.65M,54.50M,47.70M,,3.80M,,,,,124.30M,22.35M,,,,3.80M,,25.70M,7.70M,18.00M,,,18.00M,15.34M,44.45M,22.10M,22.35M,,0.055,0.00,,0.0472,0.055,,0.05,0.00,,0.0425,0.05,,340.06M,355.99M,,,,
1998-12,316.17M,316.17M,133.26M,182.90M,49.35M,47.54M,,,,,,,173.30M,9.608M,,,,,,13.14M,1.317M,11.82M,,,11.82M,11.82M,30.26M,20.65M,9.608M,,0.035,0.00,,0.035,0.035,,0.03,0.00,,0.03,0.03,,335.88M,346.69M,,,,
1998-09,335.23M,335.23M,239.13M,96.10M,47.29M,49.57M,,,,,,,96.86M,-0.761M,,,,,,1.875M,0.60M,1.275M,,,1.275M,1.275M,18.58M,19.35M,-0.761M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,336.08M,342.50M,,,,
1998-06,406.24M,406.24M,246.46M,159.78M,57.55M,49.16M,,,,,,,106.71M,53.07M,,,,,,55.67M,16.31M,39.36M,,,39.36M,39.36M,72.44M,19.37M,53.07M,,0.12,0.00,,0.12,0.12,,0.115,0.00,,0.115,0.115,,334.60M,342.53M,,,,
1998-03,431.57M,431.57M,251.95M,179.62M,58.71M,48.92M,,,,,,,107.64M,71.99M,,,,,,75.21M,25.57M,49.64M,,,49.64M,49.64M,89.02M,17.03M,71.99M,,0.15,0.00,,0.15,0.15,,0.145,0.00,,0.145,0.145,,334.60M,343.71M,,,,
1997-12,391.70M,391.70M,211.00M,180.70M,54.20M,44.90M,,4.20M,,,,,114.30M,66.40M,,,,4.20M,,70.00M,23.80M,46.20M,,,46.20M,43.43M,81.60M,15.20M,66.40M,,0.135,0.00,,0.1271,0.135,,0.135,0.00,,0.1271,0.135,,348.97M,348.97M,,,,
1997-09,336.70M,336.70M,176.00M,160.70M,51.70M,41.70M,,5.20M,,,,,108.10M,52.60M,,,,5.20M,,57.40M,18.20M,39.20M,,,39.20M,35.65M,67.30M,14.67M,52.60M,,0.12,0.00,,0.1097,0.12,,0.115,0.00,,0.1047,0.115,,344.19M,344.19M,,,,
1997-06,289.54M,289.54M,164.65M,124.89M,47.45M,42.64M,,,,,,,90.08M,34.81M,,,,,,39.48M,14.48M,25.00M,,,25.00M,25.00M,49.47M,14.66M,34.81M,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,345.13M,345.13M,,,,
1997-03,248.30M,248.30M,152.94M,95.37M,40.78M,33.31M,,,,,,,74.09M,21.28M,,,,,,26.40M,9.24M,17.16M,,,17.16M,17.16M,35.95M,14.67M,21.28M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,343.24M,343.24M,,,,
1996-12,241.29M,241.29M,159.52M,81.76M,49.24M,33.74M,,,,,,,82.99M,-1.223M,,,,,,4.40M,1.452M,2.948M,,,2.948M,2.948M,12.13M,13.35M,-1.223M,,0.0179,,,0.0179,0.0179,,0.0179,0.00,,0.0179,0.0179,,164.96M,339.89M,,,,
1996-09,261.67M,261.67M,163.75M,97.92M,41.54M,35.02M,,,,,,,76.56M,21.37M,,,,,,25.94M,6.374M,19.57M,,,19.57M,19.57M,34.11M,12.74M,21.37M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,339.79M,339.79M,,,,
1996-06,319.69M,319.69M,214.72M,104.98M,42.56M,38.43M,,,,,,0.003M,80.98M,23.99M,,,,,,27.54M,9.64M,17.90M,,,17.90M,17.90M,36.48M,12.49M,23.99M,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,340.00M,340.00M,,,,
1996-03,348.97M,348.97M,186.64M,162.33M,46.93M,36.74M,,,,,,,83.67M,78.66M,,,,,,81.78M,28.62M,53.16M,,,53.16M,53.16M,90.98M,12.32M,78.66M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,339.88M,339.88M,,,,
1995-12,436.07M,436.07M,243.90M,192.17M,65.26M,51.03M,,,,,,,110.70M,81.48M,,,,,,72.63M,26.81M,45.82M,,,45.82M,45.82M,96.10M,14.63M,81.48M,,0.2772,,,0.2772,0.2772,,0.2772,0.00,,0.2772,0.2772,,165.27M,309.01M,,,,
1995-09,285.57M,285.57M,149.65M,135.92M,39.93M,27.51M,,,,,,,67.44M,68.48M,,,,,,71.85M,25.87M,45.98M,,,45.98M,45.98M,78.74M,10.26M,68.48M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,314.08M,314.08M,,,,
1995-06,256.13M,256.13M,135.21M,120.92M,37.18M,25.43M,,,,,,,62.61M,58.31M,,,,,,61.24M,22.49M,38.75M,,,38.75M,38.75M,67.82M,9.508M,58.31M,,0.0625,0.00,,0.0625,0.0625,,0.0625,0.00,,0.0625,0.0625,,619.33M,619.33M,,,,
1995-03,213.25M,213.25M,117.62M,95.63M,34.43M,19.51M,,,,,,,53.94M,41.69M,,,,,,44.20M,15.47M,28.73M,,,28.73M,28.73M,50.44M,8.748M,41.69M,,0.0475,0.00,,0.0475,0.0475,,0.0475,0.00,,0.0475,0.0475,,606.59M,606.59M,,,,
1994-12,190.09M,190.09M,105.96M,84.13M,34.15M,19.35M,,,,,,,53.50M,30.63M,,,,,,32.56M,10.09M,22.47M,,,22.47M,22.47M,39.72M,9.088M,30.63M,,0.1545,,,0.1545,0.1545,,0.1545,0.00,,0.1545,0.1545,,145.41M,591.81M,,,,
1994-09,178.84M,178.84M,99.96M,78.88M,32.15M,17.93M,,,,,,,50.08M,28.79M,,,,,,30.09M,9.729M,20.36M,,,20.36M,20.36M,37.58M,8.781M,28.79M,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,592.14M,592.14M,,,,
1994-06,156.50M,156.50M,87.34M,69.16M,31.76M,17.30M,,,,,,,49.07M,20.09M,,,,,,20.92M,6.277M,14.65M,,,14.65M,14.65M,28.87M,8.78M,20.09M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,587.66M,587.66M,,,,
1994-03,152.01M,152.01M,85.66M,66.35M,31.87M,15.86M,,,,,,,47.73M,18.62M,,,,,,19.24M,5.772M,13.47M,,,13.47M,13.47M,27.27M,8.651M,18.62M,,0.0225,0.00,,0.0225,0.0225,,0.0225,0.00,,0.0225,0.0225,,595.62M,595.62M,,,,
1993-12,147.30M,147.30M,73.60M,73.70M,47.20M,,,1.00M,,,,,55.80M,17.90M,,,,1.00M,,18.30M,5.50M,12.80M,,,12.10M,12.10M,26.50M,8.60M,17.90M,,0.0848,,,0.0799,0.0848,,0.0848,,,0.0799,0.0848,,142.75M,142.75M,,,,
1993-09,140.30M,140.30M,69.60M,70.70M,47.80M,,,1.10M,,,,,56.40M,14.30M,,,,1.10M,,14.40M,4.30M,10.10M,,,10.10M,9.328M,23.20M,8.90M,14.30M,,0.0175,0.00,,0.0123,0.0175,,0.0175,0.00,,0.0123,0.0175,,149.10M,149.10M,,,,
1993-06,139.30M,139.30M,72.20M,67.10M,47.60M,,,0.80M,,,,,56.00M,11.10M,,,,0.80M,,11.00M,3.30M,7.70M,,,7.70M,7.14M,19.70M,8.60M,11.10M,,0.015,0.00,,0.0109,0.015,,0.015,0.00,,0.0109,0.015,,137.71M,137.71M,,,,
1993-03,127.80M,127.80M,65.00M,62.80M,46.30M,,,0.70M,,,,,54.70M,8.10M,,,,0.70M,,7.70M,2.30M,5.40M,,,5.40M,4.909M,16.50M,8.40M,8.10M,,0.01,0.00,,0.0064,0.01,,0.01,0.00,,0.0064,0.01,,136.34M,136.34M,,,,
1992-12,129.40M,129.40M,67.90M,61.50M,45.80M,,,0.60M,,,,,55.20M,6.30M,,,,0.60M,,5.90M,0.80M,5.10M,,,5.10M,4.581M,15.70M,9.40M,6.30M,,0.0386,,,0.0347,0.0386,,0.0386,,,0.0347,0.0386,,132.18M,132.18M,,,,
1992-09,131.50M,131.50M,69.20M,62.30M,47.70M,,,0.60M,,,,,56.30M,6.00M,,,,0.60M,,5.50M,-0.20M,5.70M,,,5.70M,5.34M,14.60M,8.60M,6.00M,,0.0125,0.00,,0.0097,0.0125,,0.0125,0.00,,0.0097,0.0125,,130.50M,130.50M,,,,
1992-06,134.80M,134.80M,71.60M,63.20M,48.30M,,,0.50M,,,,,57.00M,6.20M,,,,0.50M,,5.70M,1.10M,4.60M,,,4.60M,4.196M,14.90M,8.70M,6.20M,,0.01,0.00,,0.0069,0.01,,0.01,0.00,,0.0069,0.01,,130.01M,130.01M,,,,
1992-03,133.90M,133.90M,68.50M,65.40M,47.70M,,,0.80M,,,,,56.30M,9.10M,,,,0.80M,,8.90M,1.80M,7.10M,,,7.10M,6.462M,17.70M,8.60M,9.10M,,0.015,0.00,,0.0101,0.015,,0.015,0.00,,0.0101,0.015,,129.74M,129.74M,,,,
1991-12,130.50M,130.50M,65.80M,64.70M,47.00M,,,0.60M,,,,,56.00M,8.70M,,,,0.60M,,8.20M,0.80M,7.40M,,,7.40M,6.859M,17.70M,9.00M,8.70M,,0.0591,,,0.0547,0.0591,,0.0591,,,0.0547,0.0591,,125.30M,125.30M,,,,
1991-09,130.30M,130.30M,65.90M,64.40M,46.10M,,,0.50M,,,,,55.70M,8.70M,,,,0.50M,,7.80M,0.80M,7.00M,,,7.00M,6.551M,18.30M,9.60M,8.70M,,0.015,0.00,,0.0114,0.015,,0.015,0.00,,0.0114,0.015,,123.48M,123.48M,,,,
1991-06,130.50M,130.50M,67.70M,62.80M,48.00M,,,0.20M,,,,,57.00M,5.80M,,,,0.20M,,4.70M,0.40M,4.30M,,,4.30M,4.117M,14.80M,9.00M,5.80M,,0.01,0.00,,0.0085,0.01,,0.01,0.00,,0.0085,0.01,,121.18M,121.18M,,,,
1991-03,117.60M,117.60M,60.50M,57.10M,47.50M,,,0.20M,,,,,56.50M,0.60M,,,,0.20M,,,,-0.50M,,,-0.50M,-0.62M,9.60M,9.00M,0.60M,,-0.0025,0.00,,-0.0035,-0.0025,,-0.0025,0.00,,-0.0035,-0.0025,,120.80M,120.80M,,,,
1990-12,120.30M,120.30M,66.60M,53.70M,47.20M,,,-1.70M,,,,,53.30M,0.40M,,,,-1.70M,,-2.90M,-1.10M,-1.80M,,,-1.80M,-0.7448M,6.50M,6.10M,0.40M,,-0.0152,,,-0.0063,-0.0152,,-0.0152,,,-0.0063,-0.0152,,118.66M,118.66M,,,,
1990-09,117.00M,117.00M,63.30M,53.70M,50.90M,,,0.30M,,,,,60.40M,-6.70M,,,,0.30M,,,,-7.90M,,,-7.90M,-8.08M,2.90M,9.60M,-6.70M,,-0.0175,0.00,,-0.0190,-0.0175,,-0.0175,0.00,,-0.0190,-0.0175,,118.65M,118.65M,,,,
1990-06,108.50M,108.50M,58.40M,50.10M,49.40M,,,0.10M,,,,,58.90M,-8.80M,,,,0.10M,,-10.20M,-3.30M,-6.90M,,,-6.90M,-6.968M,0.90M,9.70M,-8.80M,,-0.015,0.00,,-0.0156,-0.015,,-0.015,0.00,,-0.0156,-0.015,,118.65M,118.65M,,,,
1990-03,113.20M,113.20M,60.20M,53.00M,49.40M,,,0.20M,,,,,58.60M,-5.60M,,,,0.20M,,-6.90M,-2.20M,-4.70M,,,-4.70M,-4.836M,3.60M,9.20M,-5.60M,,-0.01,0.00,,-0.0111,-0.01,,-0.01,0.00,,-0.0111,-0.01,,118.63M,118.63M,,,,
1989-12,111.70M,111.70M,60.40M,51.30M,48.20M,,,0.40M,,,,,54.20M,-2.90M,,,,0.40M,,-3.80M,-1.80M,-2.00M,,,-2.00M,-2.24M,3.10M,6.00M,-2.90M,,-0.0171,,,-0.0191,-0.0171,,-0.0171,,,-0.0191,-0.0171,,117.01M,117.01M,,,,
1989-09,122.30M,122.30M,61.00M,61.30M,48.10M,,,1.90M,,,,,57.40M,3.90M,,,,1.90M,,4.10M,1.30M,2.80M,,,2.80M,1.502M,13.20M,9.30M,3.90M,,0.0075,0.00,,-0.0036,0.0075,,0.0075,0.00,,-0.0036,0.0075,,116.94M,116.94M,,,,
1989-06,128.30M,128.30M,,,,,,,,,,,,128.30M,,,,,,,,5.10M,,,5.10M,,128.30M,,128.30M,,0.0125,0.00,,0.0125,0.0125,,0.0125,0.00,,0.0125,0.0125,,115.10M,115.10M,,,,
1989-03,121.20M,121.20M,,,,,,,,,,,,121.20M,,,,,,,,4.40M,,,4.40M,,121.20M,,121.20M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,114.92M,114.92M,,,,
1988-12,126.60M,126.60M,,,,,,,,,,,,-315.90M,,,,,,,,-9.40M,,,-9.40M,,-315.90M,,-315.90M,,,,,,,,,,,,,,115.10M,115.10M,,,,
1988-09,119.00M,119.00M,,,,,,,,,,,,119.00M,,,,,,,,3.90M,,,3.90M,,119.00M,,119.00M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,114.74M,114.74M,,,,
1988-06,108.50M,108.50M,,,,,,,,,,,,108.50M,,,,,,,,1.10M,,,1.10M,,108.50M,,108.50M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,113.67M,113.67M,,,,
1988-03,108.30M,108.30M,,,,,,,,,,,,108.30M,,,,,,,,1.20M,,,1.20M,,108.30M,,108.30M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,96.65M,96.65M,,,,
1987-12,136.50M,136.50M,,,,,,,,,,,,-273.30M,,,,,,,,-14.50M,,,-14.50M,,-273.30M,,-273.30M,,,,,,,,,,,,,,96.65M,96.65M,,,,
1987-09,83.10M,83.10M,,,,,,,,,,,,83.10M,,,,,,,,-0.20M,,,-0.20M,,83.10M,,83.10M,,-0.0025,0.00,,-0.0025,-0.0025,,-0.0025,0.00,,-0.0025,-0.0025,,96.31M,96.31M,,,,
1987-06,79.10M,79.10M,,,,,,,,,,,,79.10M,,,,,,,,-2.90M,,,-2.90M,,79.10M,,79.10M,,-0.0075,0.00,,-0.0075,-0.0075,,-0.0075,0.00,,-0.0075,-0.0075,,95.47M,95.47M,,,,
1987-03,78.90M,78.90M,,,,,,,,,,,,78.90M,,,,,,,,-3.90M,,,-3.90M,,78.90M,,78.90M,,-0.0125,0.00,,-0.0125,-0.0125,,-0.0125,0.00,,-0.0125,-0.0125,,93.14M,93.14M,,,,
1986-12,73.60M,73.60M,,,,,,,,,,,,-239.10M,,,,,,,,0.10M,,,0.10M,,-239.10M,,-239.10M,,,,,,,,,,,,,,94.15M,94.15M,,,,
1986-09,83.00M,83.00M,,,,,,,,,,,,83.00M,,,,,,,,,,,,,83.00M,,83.00M,,,,,,,,,,,,,,92.89M,92.89M,,,,
1986-06,74.30M,74.30M,,,,,,,,,,,,74.30M,,,,,,,,,,,,,74.30M,,74.30M,,,,,,,,,,,,,,91.01M,91.01M,,,,
1986-03,75.20M,75.20M,,,,,,,,,,,,75.20M,,,,,,,,0.10M,,,0.10M,,75.20M,,75.20M,,,,,,,,,,,,,,90.62M,90.62M,,,,
1985-12,73.90M,73.90M,,,,,,,,,,,,-243.30M,,,,,,,,0.40M,,,0.40M,,-243.30M,,-243.30M,,,,,,,,,,,,,,91.01M,91.01M,,,,
1985-09,78.20M,78.20M,,,,,,,,,,,,78.20M,,,,,,,,0.40M,,,0.40M,,78.20M,,78.20M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,90.45M,90.45M,,,,
1985-06,85.90M,85.90M,,,,,,,,,,,,85.90M,,,,,,,,3.80M,,,3.80M,,85.90M,,85.90M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,90.28M,90.28M,,,,
1985-03,98.40M,98.40M,,,,,,,,,,,,98.40M,,,,,,,,15.60M,,,15.60M,,98.40M,,98.40M,,0.0425,0.00,,0.0425,0.0425,,0.0425,0.00,,0.0425,0.0425,,88.93M,88.93M,,,,
1984-12,106.30M,106.30M,,,,,,,,,,,,-211.00M,,,,,,,,9.90M,,,9.90M,,-211.00M,,-211.00M,,,,,,,,,,,,,,89.13M,89.13M,,,,
1984-09,104.00M,104.00M,,,,,,,,,,,,104.00M,,,,,,,,13.60M,,,13.60M,,104.00M,,104.00M,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,88.77M,88.77M,,,,
1984-06,93.60M,93.60M,,,,,,,,,,,,93.60M,,,,,,,,10.60M,,,10.60M,,93.60M,,93.60M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,88.50M,88.50M,,,,
1984-03,85.40M,85.40M,,,,,,,,,,,,85.40M,,,,,,,,9.10M,,,9.10M,,85.40M,,85.40M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,86.86M,86.86M,,,,
