,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,5.14B,5.14B,4.26B,880.00M,541.00M,20.00M,-791.00M,137.00M,,-137.00M,,561.00M,319.00M,,137.00M,-137.00M,-791.00M,-137.00M,-609.00M,30.00M,-639.00M,,,-18.00M,-657.00M,-79.57M,-310.00M,162.00M,-472.00M,,-9.50,,,-1.144,-9.50,,-9.50,,,-1.144,-9.50,,69.10M,69.10M,1.15,,AOR,Restated
2018-03,4.911B,4.911B,4.099B,812.00M,505.00M,20.00M,-144.00M,42.00M,8.00M,-34.00M,,525.00M,287.00M,8.00M,42.00M,-34.00M,-144.00M,-34.00M,109.00M,15.00M,94.00M,,,0.00,94.00M,218.18M,328.00M,177.00M,151.00M,,1.31,,,3.054,1.31,,1.30,,,3.022,1.30,,71.20M,72.10M,1.10,,AOR,Restated
2017-12,5.702B,5.702B,4.717B,985.00M,566.00M,27.00M,-125.00M,58.00M,,-58.00M,,593.00M,392.00M,,58.00M,-58.00M,-125.00M,-58.00M,209.00M,481.00M,-272.00M,,,4.00M,-268.00M,-193.00M,434.00M,167.00M,267.00M,,-3.74,,,-2.691,-3.74,,-3.74,,,-2.703,-3.74,,71.50M,72.30M,1.10,,AOR,Restated
2017-09,5.418B,5.418B,4.503B,915.00M,521.00M,18.00M,-45.00M,63.00M,,-63.00M,,539.00M,376.00M,,63.00M,-63.00M,-45.00M,-63.00M,268.00M,-4.00M,272.00M,,,4.00M,276.00M,303.00M,499.00M,168.00M,331.00M,,3.78,,,4.150,3.78,,3.72,,,4.085,3.72,,72.90M,74.00M,1.10,,AOR,Restated
2017-06,5.347B,5.347B,4.471B,876.00M,526.00M,17.00M,-59.00M,62.00M,,-62.00M,,543.00M,333.00M,,62.00M,-62.00M,-59.00M,-62.00M,212.00M,33.00M,179.00M,,,10.00M,189.00M,238.82M,430.00M,156.00M,274.00M,,2.55,,,3.223,2.55,,2.52,,,3.183,2.52,,74.00M,75.10M,1.10,,AOR,Restated
2017-03,4.786B,4.786B,3.96B,826.00M,499.00M,17.00M,-46.00M,66.00M,,-66.00M,,516.00M,310.00M,,66.00M,-66.00M,-46.00M,-66.00M,198.00M,40.00M,158.00M,,,-5.00M,153.00M,189.71M,427.00M,163.00M,264.00M,,2.05,,,2.541,2.05,,2.01,,,2.493,2.01,,74.80M,76.00M,1.00,,AOR,Restated
2016-12,5.656B,5.656B,4.696B,960.00M,545.00M,17.00M,-57.00M,33.00M,,-33.00M,,562.00M,398.00M,,33.00M,-33.00M,-57.00M,-33.00M,308.00M,122.00M,186.00M,,,-6.00M,180.00M,214.42M,500.00M,159.00M,341.00M,,2.40,,,2.858,2.40,,2.36,,,2.811,2.36,,75.20M,76.30M,1.00,,AOR,Restated
2016-09,5.248B,5.248B,4.308B,940.00M,519.00M,18.00M,-29.00M,69.00M,,-69.00M,,537.00M,403.00M,,69.00M,-69.00M,-29.00M,-69.00M,305.00M,61.00M,244.00M,,,-6.00M,238.00M,261.20M,538.00M,164.00M,374.00M,,3.14,,,3.446,3.14,,3.10,,,3.402,3.10,,75.70M,76.90M,1.00,,AOR,Restated
2016-06,5.198B,5.198B,4.229B,969.00M,543.00M,18.00M,-40.00M,82.00M,,-82.00M,,561.00M,408.00M,,82.00M,-82.00M,-40.00M,-82.00M,286.00M,-56.00M,342.00M,,,-22.00M,320.00M,344.00M,532.00M,164.00M,368.00M,,4.20,,,4.515,4.20,,4.15,,,4.460,4.15,,76.20M,77.40M,1.00,,AOR,Restated
2016-03,4.616B,4.616B,3.793B,823.00M,473.00M,18.00M,-47.00M,70.00M,,-70.00M,,491.00M,332.00M,,70.00M,-70.00M,-47.00M,-70.00M,215.00M,59.00M,156.00M,,,-6.00M,150.00M,184.10M,453.00M,168.00M,285.00M,,1.94,,,2.381,1.94,,1.92,,,2.356,1.92,,77.30M,78.30M,0.90,,AOR,Restated
2015-12,5.56B,5.56B,4.588B,972.00M,560.00M,19.00M,-56.00M,55.00M,,-55.00M,,579.00M,393.00M,,55.00M,-55.00M,-56.00M,-55.00M,282.00M,93.00M,189.00M,,,-9.00M,180.00M,217.53M,509.00M,172.00M,337.00M,,2.31,,,2.791,2.31,,2.28,,,2.754,2.28,,78.10M,79.10M,0.90,,AOR,Restated
2015-09,5.277B,5.277B,4.347B,930.00M,529.00M,18.00M,-54.00M,62.00M,,-62.00M,,547.00M,383.00M,,62.00M,-62.00M,-54.00M,-62.00M,267.00M,17.00M,250.00M,,,-15.00M,235.00M,285.56M,494.00M,165.00M,329.00M,,2.98,,,3.622,2.98,,2.95,,,3.584,2.95,,78.80M,79.70M,0.90,,AOR,Restated
2015-06,5.208B,5.208B,4.303B,905.00M,556.00M,18.00M,-58.00M,40.00M,42.00M,2.00M,,574.00M,331.00M,42.00M,40.00M,2.00M,-58.00M,2.00M,275.00M,90.00M,185.00M,,,-8.00M,177.00M,216.02M,485.00M,170.00M,315.00M,,2.24,,,2.733,2.24,,2.21,,,2.698,2.21,,79.10M,80.00M,0.90,,AOR,Restated
2015-03,4.846B,4.846B,3.993B,853.00M,498.00M,19.00M,-33.00M,96.00M,,-96.00M,,517.00M,336.00M,,96.00M,-96.00M,-33.00M,-96.00M,207.00M,9.00M,198.00M,,,-7.00M,191.00M,222.57M,464.00M,161.00M,303.00M,,2.42,,,2.821,2.42,,2.38,,,2.775,2.38,,78.80M,80.00M,0.75,,AOR,Restated
2014-12,6.003B,6.003B,4.977B,1.026B,694.00M,16.00M,-35.00M,110.00M,,-110.00M,,710.00M,316.00M,,110.00M,-110.00M,-35.00M,-110.00M,171.00M,63.00M,108.00M,,,-27.00M,81.00M,103.11M,444.00M,163.00M,281.00M,,1.04,,,1.322,1.04,,1.02,,,1.296,1.02,,78.30M,80.20M,0.75,,AOR,Restated
2014-09,4.824B,4.824B,3.997B,827.00M,448.00M,6.00M,-38.00M,74.00M,,-74.00M,,454.00M,373.00M,,74.00M,-74.00M,-38.00M,-74.00M,261.00M,26.00M,235.00M,,,-5.00M,230.00M,264.21M,471.00M,136.00M,335.00M,,2.92,,,3.356,2.92,,2.88,,,3.310,2.88,,78.40M,79.60M,0.75,,AOR,Restated
2014-06,4.682B,4.682B,3.895B,787.00M,457.00M,5.00M,-34.00M,56.00M,,-56.00M,,462.00M,325.00M,,56.00M,-56.00M,-34.00M,-56.00M,235.00M,50.00M,185.00M,,,-6.00M,179.00M,205.77M,425.00M,134.00M,291.00M,,2.29,,,2.632,2.29,,2.25,,,2.586,2.25,,78.30M,79.60M,0.75,,AOR,Restated
2014-03,4.363B,4.363B,3.608B,755.00M,439.00M,6.00M,-29.00M,67.00M,,-67.00M,,445.00M,310.00M,,67.00M,-67.00M,-29.00M,-67.00M,214.00M,50.00M,164.00M,,,-4.00M,160.00M,182.22M,408.00M,127.00M,281.00M,,2.06,,,2.345,2.06,,2.02,,,2.300,2.02,,78.10M,79.40M,0.625,,AOR,Restated
2013-12,5.09B,5.09B,4.181B,909.00M,494.00M,6.00M,-55.00M,126.00M,,-126.00M,,500.00M,409.00M,,126.00M,-126.00M,-55.00M,-126.00M,228.00M,41.00M,187.00M,,,-6.00M,181.00M,226.11M,497.00M,143.00M,354.00M,,2.31,,,2.885,2.31,,2.26,,,2.822,2.26,,78.40M,80.20M,0.625,,AOR,Restated
2013-09,4.683B,4.683B,3.837B,846.00M,460.00M,5.00M,-68.00M,59.00M,,-59.00M,,465.00M,381.00M,,59.00M,-59.00M,-68.00M,-59.00M,254.00M,55.00M,199.00M,,,-3.00M,196.00M,249.28M,455.00M,142.00M,313.00M,,2.46,,,3.128,2.46,,2.42,,,3.078,2.42,,79.70M,81.00M,0.625,,AOR,Restated
2013-06,4.748B,4.748B,3.931B,817.00M,453.00M,5.00M,-31.00M,83.00M,,-83.00M,,458.00M,359.00M,,83.00M,-83.00M,-31.00M,-83.00M,245.00M,39.00M,206.00M,,,-8.00M,198.00M,224.07M,454.00M,126.00M,328.00M,,2.48,,,2.807,2.48,,2.44,,,2.761,2.44,,79.80M,81.10M,0.625,,AOR,Restated
2013-03,4.248B,4.248B,3.522B,726.00M,421.00M,9.00M,-42.00M,64.00M,,-64.00M,,430.00M,296.00M,,64.00M,-64.00M,-42.00M,-64.00M,190.00M,-67.00M,257.00M,,,-5.00M,252.00M,279.30M,383.00M,129.00M,254.00M,,3.18,,,3.524,3.18,,3.12,,,3.458,3.12,,79.30M,80.70M,0.50,,AOR,Restated
2012-12,4.791B,4.791B,3.979B,812.00M,485.00M,7.00M,-62.00M,84.00M,,-84.00M,,492.00M,320.00M,,84.00M,-84.00M,-62.00M,-84.00M,174.00M,46.00M,128.00M,,,-6.00M,122.00M,167.61M,384.00M,126.00M,258.00M,,1.55,,,2.130,1.55,,1.52,,,2.089,1.52,,78.70M,80.20M,0.50,,AOR,Restated
2012-09,4.494B,4.494B,3.791B,703.00M,420.00M,8.00M,-62.00M,86.00M,,-86.00M,,428.00M,275.00M,,86.00M,-86.00M,-62.00M,-86.00M,127.00M,47.00M,80.00M,,,-6.00M,74.00M,113.06M,341.00M,128.00M,213.00M,,0.95,,,1.449,0.95,,0.94,,,1.432,0.94,,78.30M,79.30M,0.50,,AOR,Restated
2012-06,4.51B,4.51B,3.782B,728.00M,447.00M,8.00M,-79.00M,70.00M,,-70.00M,,455.00M,273.00M,,70.00M,-70.00M,-79.00M,-70.00M,124.00M,4.00M,120.00M,,,-7.00M,113.00M,189.45M,340.00M,146.00M,194.00M,,1.45,,,2.430,1.45,,1.43,,,2.400,1.43,,78.00M,78.80M,0.50,,AOR,Restated
2012-03,4.348B,4.348B,3.698B,650.00M,405.00M,7.00M,-34.00M,71.00M,,-71.00M,,412.00M,238.00M,,71.00M,-71.00M,-34.00M,-71.00M,133.00M,36.00M,97.00M,,,-5.00M,92.00M,116.80M,355.00M,151.00M,204.00M,,1.19,,,1.511,1.19,,1.17,,,1.486,1.17,,77.30M,78.50M,0.50,,AOR,Restated
2011-12,4.911B,4.911B,4.198B,713.00M,422.00M,7.00M,-78.00M,76.00M,,-76.00M,,429.00M,284.00M,,76.00M,-76.00M,-78.00M,-76.00M,130.00M,-83.00M,213.00M,,,-8.00M,205.00M,255.70M,342.00M,136.00M,206.00M,,2.66,,,3.320,2.66,,2.62,,,3.269,2.62,,76.80M,78.10M,0.50,,AOR,Restated
2011-09,4.625B,4.625B,4.052B,573.00M,394.00M,7.00M,-36.00M,78.00M,,-78.00M,,401.00M,172.00M,,78.00M,-78.00M,-36.00M,-78.00M,58.00M,-123.00M,181.00M,,,-4.00M,177.00M,200.40M,272.00M,136.00M,136.00M,,2.31,0.00,,2.614,2.31,,2.27,0.00,,2.570,2.27,,76.90M,78.10M,0.50,,AOR,Restated
2011-06,4.73B,4.73B,4.061B,669.00M,425.00M,7.00M,-14.00M,593.00M,,-593.00M,,432.00M,237.00M,,593.00M,-593.00M,-14.00M,-593.00M,-370.00M,-206.00M,-164.00M,,,3.00M,-161.00M,-151.90M,368.00M,145.00M,223.00M,,-2.10,0.00,,-1.982,-2.10,,-2.10,0.00,,-1.982,-2.10,,76.80M,76.80M,0.50,,AOR,Restated
2011-03,4.401B,4.401B,3.778B,623.00M,380.00M,7.00M,-8.00M,74.00M,,-74.00M,,387.00M,236.00M,,74.00M,-74.00M,-8.00M,-74.00M,154.00M,-24.00M,178.00M,,,-9.00M,169.00M,174.20M,369.00M,141.00M,228.00M,,2.21,0.00,,2.278,2.21,,2.17,0.00,,2.237,2.17,,76.70M,77.90M,0.43,,AOR,Restated
2010-12,5.041B,5.041B,4.375B,666.00M,441.00M,7.00M,-16.00M,70.00M,,-70.00M,,448.00M,218.00M,,70.00M,-70.00M,-16.00M,-70.00M,132.00M,-46.00M,178.00M,,,-7.00M,171.00M,181.40M,343.00M,141.00M,202.00M,,2.22,,,2.356,2.22,,2.18,,,2.313,2.18,,76.50M,78.20M,0.43,,AOR,Restated
2010-09,4.519B,4.519B,3.871B,648.00M,391.00M,7.00M,-16.00M,158.00M,,-158.00M,,398.00M,250.00M,,158.00M,-158.00M,-16.00M,-158.00M,76.00M,-7.00M,83.00M,,,-4.00M,79.00M,89.40M,375.00M,141.00M,234.00M,,1.04,0.00,,1.176,1.04,,1.02,0.00,,1.154,1.02,,76.50M,77.70M,0.43,,AOR,Restated
2010-06,4.534B,4.534B,3.773B,761.00M,401.00M,7.00M,-22.00M,124.00M,,-124.00M,,408.00M,353.00M,,124.00M,-124.00M,-22.00M,-124.00M,207.00M,-8.00M,215.00M,,,-10.00M,205.00M,219.30M,470.00M,139.00M,331.00M,,2.69,0.00,,2.878,2.69,,2.64,0.00,,2.824,2.64,,76.20M,77.70M,0.43,,AOR,Restated
2010-03,4.272B,4.272B,3.633B,639.00M,371.00M,7.00M,-32.00M,58.00M,,-58.00M,,378.00M,261.00M,,58.00M,-58.00M,-32.00M,-58.00M,171.00M,-3.00M,174.00M,,,-10.00M,164.00M,184.80M,363.00M,134.00M,229.00M,,2.17,0.00,,2.446,2.17,,2.13,0.00,,2.401,2.13,,75.40M,76.80M,0.43,,AOR,Restated
2009-12,4.864B,4.864B,4.176B,688.00M,427.00M,7.00M,-230.00M,-69.00M,,69.00M,,434.00M,254.00M,,-69.00M,69.00M,-230.00M,69.00M,93.00M,-10.00M,102.00M,,,-7.00M,95.00M,244.50M,161.00M,137.00M,24.00M,,1.26,0.00,,3.248,1.26,,1.24,0.00,,3.187,1.24,,75.20M,76.80M,0.43,,AOR,Restated
2009-09,4.497B,4.497B,3.877B,620.00M,400.00M,7.00M,-24.00M,109.00M,,-109.00M,,407.00M,213.00M,,109.00M,-109.00M,-24.00M,-109.00M,80.00M,-13.00M,93.00M,,,-6.00M,87.00M,102.60M,319.00M,130.00M,189.00M,,1.17,0.00,,1.379,1.17,,1.15,0.00,,1.356,1.15,,74.70M,75.70M,0.43,,AOR,Restated
2009-06,4.169B,4.169B,3.615B,554.00M,390.00M,7.00M,-23.00M,70.00M,,-70.00M,,397.00M,157.00M,,70.00M,-70.00M,-23.00M,-70.00M,64.00M,-22.00M,86.00M,,,-8.00M,78.00M,92.95M,277.00M,143.00M,134.00M,,1.05,0.00,,1.251,1.05,,1.04,0.00,,1.239,1.04,,74.50M,75.00M,0.43,,AOR,Restated
2009-03,3.569B,3.569B,3.045B,524.00M,327.00M,7.00M,-71.00M,62.00M,,-62.00M,,334.00M,190.00M,,62.00M,-62.00M,-71.00M,-62.00M,57.00M,-16.00M,73.00M,,,-5.00M,68.00M,114.15M,234.00M,115.00M,119.00M,,0.92,0.00,,1.542,0.92,,0.91,0.00,,1.528,0.91,,74.20M,74.70M,0.43,,AOR,Restated
2008-12,4.315B,4.315B,3.842B,473.00M,379.00M,7.00M,-143.00M,53.00M,,-53.00M,,386.00M,87.00M,,53.00M,-53.00M,-143.00M,-53.00M,-109.00M,-160.00M,51.00M,,,-7.00M,44.00M,136.95M,74.00M,130.00M,-56.00M,,0.61,0.00,,1.863,0.61,,0.61,0.00,,1.853,0.61,,74.20M,74.80M,0.43,,AOR,Restated
2008-09,4.902B,4.902B,4.217B,685.00M,477.00M,7.00M,-27.00M,52.00M,,-52.00M,,484.00M,201.00M,,52.00M,-52.00M,-27.00M,-52.00M,122.00M,-46.00M,168.00M,,,-5.00M,163.00M,180.55M,331.00M,157.00M,174.00M,,2.18,0.00,,2.415,2.18,,2.15,0.00,,2.382,2.15,,74.60M,75.50M,0.43,,,Restated
2008-06,5.076B,5.076B,4.324B,752.00M,502.00M,7.00M,-64.00M,49.00M,,-49.00M,,509.00M,243.00M,,49.00M,-49.00M,-64.00M,-49.00M,130.00M,2.00M,128.00M,,,-11.00M,117.00M,180.02M,336.00M,157.00M,179.00M,,1.55,0.00,,2.387,1.55,,1.53,0.00,,2.356,1.53,,75.30M,76.30M,0.43,,,Restated
2008-03,4.614B,4.614B,4.00B,614.00M,440.00M,7.00M,-15.00M,49.00M,,-49.00M,,447.00M,167.00M,,49.00M,-49.00M,-15.00M,-49.00M,103.00M,3.00M,100.00M,,,-6.00M,94.00M,108.56M,305.00M,153.00M,152.00M,,1.23,0.00,,1.421,1.23,,1.22,0.00,,1.408,1.22,,76.30M,77.30M,0.43,,,Restated
2007-12,5.325B,5.325B,4.487B,838.00M,484.00M,7.00M,-78.00M,,,,,491.00M,347.00M,,,,-68.00M,,237.00M,39.00M,209.00M,0.00,,-3.00M,187.00M,252.16M,388.00M,158.00M,230.00M,,2.41,0.00,,3.253,2.41,,2.38,0.00,,3.211,2.38,,77.30M,78.40M,0.43,,,Restated
2007-09,4.84B,4.84B,4.148B,692.00M,414.00M,7.00M,-6.00M,,,,,421.00M,271.00M,,,,-12.00M,,196.00M,8.00M,175.00M,,,-7.00M,175.00M,180.76M,414.00M,143.00M,271.00M,,2.24,0.00,,2.314,2.24,,2.20,0.00,,2.272,2.20,,78.30M,79.80M,0.43,,,
2007-06,4.854B,4.854B,4.121B,733.00M,463.00M,7.00M,-16.00M,,,,,470.00M,263.00M,,,,-18.00M,,200.00M,29.00M,161.00M,,,-8.00M,161.00M,174.68M,412.00M,149.00M,263.00M,,2.04,0.00,,2.214,2.04,,2.00,0.00,,2.170,2.00,,78.80M,80.50M,0.43,,,
2007-03,4.389B,4.389B,3.761B,628.00M,375.00M,10.00M,-17.00M,,,,,385.00M,243.00M,,,,-19.00M,,171.00M,41.00M,124.00M,-7.00M,,-4.00M,117.00M,136.92M,386.00M,143.00M,243.00M,,1.57,-0.09,,1.734,1.48,,1.55,-0.09,,1.712,1.46,,78.70M,79.90M,0.43,,,
2006-12,4.954B,4.954B,4.259B,695.00M,480.00M,10.00M,-15.00M,,,,,490.00M,205.00M,,,,-15.00M,,133.00M,-2.00M,133.00M,-24.00M,,-2.00M,109.00M,142.00M,366.00M,161.00M,205.00M,,1.71,-0.32,,1.825,1.39,,1.67,-0.32,,1.783,1.37,,78.10M,79.50M,0.43,,,
2006-09,4.843B,4.843B,4.139B,704.00M,462.00M,10.00M,-7.00M,,,,,472.00M,232.00M,,,,-7.00M,,182.00M,46.00M,134.00M,-17.00M,,-2.00M,117.00M,139.23M,384.00M,152.00M,232.00M,,1.71,-0.22,,1.777,1.49,,1.68,-0.22,,1.746,1.47,,78.30M,79.60M,0.43,,,
2006-06,4.734B,4.734B,4.034B,700.00M,465.00M,9.00M,-21.00M,,,,,474.00M,226.00M,,,,-20.00M,,137.00M,35.00M,100.00M,-9.00M,,-3.00M,91.00M,115.64M,367.00M,141.00M,226.00M,,1.28,-0.12,,1.480,1.16,,1.26,-0.12,,1.457,1.14,,78.00M,79.40M,0.43,,,
2006-03,3.536B,3.536B,2.979B,557.00M,344.00M,,-12.00M,,,,,344.00M,213.00M,,,,-11.00M,,165.00M,47.00M,118.00M,,,-1.00M,118.00M,126.58M,309.00M,96.00M,213.00M,,1.73,0.00,,1.856,1.73,,1.70,0.00,,1.823,1.70,,68.10M,69.50M,0.43,,,
2005-12,3.954B,3.954B,3.317B,637.00M,387.00M,1.00M,-31.00M,,,,,388.00M,249.00M,,,,-31.00M,,153.00M,29.00M,126.00M,,,2.00M,126.00M,151.12M,357.00M,108.00M,249.00M,,1.88,0.00,,2.251,1.88,,1.84,0.00,,2.205,1.84,,67.70M,68.90M,0.43,,,
2005-09,3.599B,3.599B,3.046B,553.00M,339.00M,,-12.00M,,,,,339.00M,214.00M,,,,-12.00M,,171.00M,56.00M,114.00M,,,-1.00M,114.00M,122.07M,324.00M,110.00M,214.00M,,1.70,0.00,,1.820,1.70,,1.66,0.00,,1.778,1.66,,67.00M,68.30M,0.43,,,
2005-06,3.556B,3.556B,3.036B,520.00M,322.00M,,-24.00M,,,,,322.00M,198.00M,,,,-24.00M,,140.00M,41.00M,96.00M,,,-3.00M,96.00M,112.97M,308.00M,110.00M,198.00M,,1.44,0.00,,1.694,1.44,,1.42,0.00,,1.670,1.42,,66.80M,67.90M,0.43,,,
2005-03,3.208B,3.208B,2.724B,484.00M,297.00M,,-7.00M,,,,,297.00M,187.00M,,,,-7.00M,,133.00M,45.00M,86.00M,,,-2.00M,86.00M,90.63M,301.00M,114.00M,187.00M,,1.28,0.00,,1.349,1.28,,1.26,0.00,,1.328,1.26,,66.80M,67.90M,0.43,,,
2004-12,3.632B,3.632B,3.619B,13.00M,-161.00M,,8.00M,,,,,-159.00M,172.00M,,,,10.00M,,133.00M,38.00M,97.00M,,,,97.00M,91.29M,281.00M,109.00M,172.00M,,1.46,0.00,,1.374,1.46,,1.44,0.00,,1.356,1.44,,66.50M,67.70M,0.43,,,
2004-09,3.318B,3.318B,2.604B,714.00M,526.00M,,-7.00M,,,,,526.00M,188.00M,,,,-7.00M,,149.00M,48.00M,101.00M,,,,101.00M,105.74M,298.00M,110.00M,188.00M,,1.53,0.00,,1.601,1.53,,1.50,0.00,,1.570,1.50,,66.40M,67.60M,0.43,,,
2004-06,3.264B,3.264B,2.539B,725.00M,516.00M,,-10.00M,,,,,516.00M,209.00M,,,,-10.00M,,169.00M,62.00M,106.00M,,,-1.00M,106.00M,112.33M,323.00M,114.00M,209.00M,,1.56,0.00,,1.653,1.56,,1.53,0.00,,1.621,1.53,,68.00M,69.50M,0.43,,,
2004-03,3.007B,3.007B,2.32B,687.00M,483.00M,,-1.00M,,,,,483.00M,204.00M,,,,-4.00M,,164.00M,61.00M,101.00M,,,1.00M,101.00M,101.63M,316.00M,112.00M,204.00M,,1.47,0.00,,1.479,1.47,,1.43,0.00,,1.439,1.43,,68.80M,70.70M,0.43,,,
2003-12,3.359B,3.359B,2.579B,780.00M,535.00M,,25.00M,,,,,535.00M,245.00M,,,,25.00M,,202.00M,68.00M,124.00M,,,-4.00M,124.00M,107.42M,342.00M,97.00M,245.00M,,1.82,0.00,,1.579,1.82,,1.77,0.00,,1.535,1.77,,68.70M,70.70M,0.34,,,
