,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-09,619.00M,619.00M,229.00M,390.00M,239.00M,35.00M,,9.00M,,,,,,283.00M,107.00M,,,,,,90.00M,30.00M,60.00M,,,60.00M,60.00M,150.30M,43.30M,107.00M,,0.155,0.00,0.155,0.155,,0.15,0.00,0.15,0.15,,392.60M,406.00M,0.00,,,
2001-06,639.00M,639.00M,237.30M,401.70M,242.00M,35.40M,,9.30M,-0.10M,,,,,286.70M,115.00M,,,,-0.10M,,98.10M,32.40M,65.70M,,,65.70M,65.77M,155.30M,40.30M,115.00M,,0.165,0.00,0.1652,0.165,,0.16,0.00,0.1602,0.16,,392.40M,406.20M,0.00,,,
2001-03,634.20M,634.20M,214.10M,420.10M,243.40M,35.40M,18.20M,9.90M,2.00M,,,,,306.90M,113.20M,,,,2.00M,,95.70M,31.60M,64.10M,,,64.10M,62.76M,155.60M,42.40M,113.20M,,0.165,0.00,0.1616,0.165,,0.16,0.00,0.1567,0.16,,392.00M,405.20M,0.00,,,
2000-12,612.00M,612.00M,197.70M,414.30M,232.60M,33.20M,19.00M,8.70M,1.20M,,,,,293.50M,120.80M,,,,1.20M,,100.90M,34.40M,66.50M,,,66.50M,65.71M,165.20M,44.40M,120.80M,,0.17,0.00,0.1680,0.17,,0.165,0.00,0.1630,0.165,,395.20M,403.07M,0.04,,,
2000-09,548.40M,548.40M,177.50M,370.90M,214.80M,29.40M,17.20M,8.60M,-1.40M,,,,,270.00M,100.90M,,,,-1.40M,,75.80M,25.80M,50.00M,,,50.00M,50.92M,140.70M,39.80M,100.90M,,0.13,0.00,0.1324,0.13,,0.125,0.00,0.1273,0.125,,390.60M,403.80M,0.00,,,
2000-06,566.50M,566.50M,183.40M,383.10M,220.00M,30.80M,19.60M,9.50M,2.60M,,,,,279.90M,103.20M,,,,2.60M,,79.80M,27.10M,52.70M,,,52.70M,50.98M,147.60M,44.40M,103.20M,,0.135,0.00,0.1306,0.135,,0.13,0.00,0.1257,0.13,,389.80M,401.00M,0.00,,,
2000-03,562.10M,562.10M,182.40M,379.70M,218.60M,28.60M,19.20M,8.20M,-0.40M,,,,,274.60M,105.10M,,,,-0.40M,,78.50M,26.70M,51.80M,,,51.80M,52.06M,145.50M,40.40M,105.10M,,0.135,0.00,0.1357,0.135,,0.13,0.00,0.1307,0.13,,389.00M,399.20M,0.00,,,
1999-12,559.10M,559.10M,186.00M,373.10M,213.40M,26.80M,18.00M,8.50M,-9.80M,,,,,266.70M,106.40M,,,,-9.80M,,67.30M,23.50M,43.80M,,,43.80M,50.18M,150.80M,44.40M,106.40M,,0.115,0.00,0.1314,0.115,,0.115,0.00,0.1314,0.115,,389.20M,389.20M,0.0325,,,
1999-09,498.90M,498.90M,170.10M,328.80M,191.10M,26.90M,15.60M,8.40M,-57.20M,,,,,242.00M,86.80M,,,,-57.20M,,0.20M,0.10M,0.10M,,,0.10M,34.42M,125.60M,38.80M,86.80M,,0.0003,,0.0888,0.0003,,0.0003,,0.0866,0.0003,,387.60M,397.60M,0.00,,,
1999-06,523.30M,523.30M,181.80M,341.50M,201.60M,26.30M,15.90M,8.50M,-63.40M,,,,,252.30M,89.20M,,,,-63.40M,,-6.20M,-2.50M,-3.70M,,,-3.70M,34.34M,127.80M,38.60M,89.20M,,-0.01,0.00,0.0881,-0.01,,-0.01,0.00,0.0858,-0.01,,387.60M,397.20M,0.00,,,
1999-03,522.40M,522.40M,185.80M,336.60M,202.30M,25.20M,18.30M,8.50M,-81.90M,,,,,254.30M,82.30M,,,,-81.90M,,-31.50M,-10.70M,-20.80M,,,-20.80M,33.28M,123.30M,41.00M,82.30M,,-0.055,0.00,0.0847,-0.055,,-0.055,0.00,0.0818,-0.055,,387.20M,395.20M,0.00,,,
1998-12,321.30M,321.30M,125.90M,195.40M,110.10M,19.60M,,,-96.60M,,,,,158.80M,36.60M,,,,-96.60M,,-72.20M,-26.20M,-46.00M,,,-46.00M,15.55M,65.70M,29.10M,36.60M,,-0.12,0.00,0.0370,-0.12,,-0.12,0.00,0.0354,-0.12,,392.02M,395.99M,0.03,,,
1998-09,261.00M,261.00M,103.50M,157.50M,87.10M,13.00M,,,4.40M,,,,,108.40M,49.10M,,,,4.40M,,53.50M,18.70M,34.80M,,,34.80M,31.94M,57.40M,8.30M,49.10M,,0.09,0.00,0.0826,0.09,,0.09,0.00,0.0826,0.09,,386.67M,386.67M,0.00,,,
1998-06,267.30M,267.30M,103.60M,163.70M,89.40M,15.40M,,,3.30M,,,,,112.70M,51.00M,,,,3.30M,,54.30M,19.00M,35.30M,,,35.30M,33.15M,58.90M,3.60M,51.00M,,0.095,0.00,0.0892,0.095,,0.09,0.00,0.0845,0.09,,371.58M,392.22M,0.00,,,
1998-03,253.60M,253.60M,89.90M,163.70M,86.30M,13.00M,,,4.10M,,,,,111.50M,52.20M,,,,4.10M,,55.40M,19.40M,36.00M,,,36.00M,33.34M,64.40M,12.20M,52.20M,,0.095,0.00,0.0880,0.095,,0.095,0.00,0.0880,0.095,,378.95M,378.95M,0.00,,,
1997-12,254.40M,254.40M,84.60M,169.80M,79.60M,14.60M,,,8.40M,,,,,118.50M,51.30M,,,,8.40M,,54.90M,18.00M,36.90M,,,36.90M,31.25M,75.60M,24.30M,51.30M,,0.095,0.00,0.0805,0.095,,0.095,0.00,0.0805,0.095,,389.11M,389.11M,0.0275,,,
1997-09,238.10M,238.10M,90.00M,148.10M,82.60M,14.30M,,,2.30M,,,,,104.70M,43.40M,,,,2.30M,,45.80M,16.80M,29.00M,,,29.00M,27.54M,51.20M,7.80M,43.40M,,0.075,0.00,0.0712,0.075,,0.075,0.00,0.0712,0.075,,386.67M,386.67M,0.00,,,
1997-06,248.00M,248.00M,92.80M,155.20M,88.10M,14.40M,,,1.80M,,,,,110.20M,45.00M,,,,1.80M,,46.70M,17.30M,29.40M,,-0.10M,29.40M,28.27M,52.70M,7.70M,45.00M,,0.08,0.00,0.0769,0.08,,0.075,0.00,0.0721,0.075,,367.50M,392.00M,0.00,,,
1997-03,239.50M,239.50M,88.00M,151.50M,84.00M,13.70M,,,4.00M,,,,,107.40M,44.10M,,,,4.00M,,47.80M,17.80M,30.00M,,-0.30M,30.00M,27.49M,53.80M,9.70M,44.10M,,0.08,0.00,0.0733,0.08,,0.075,0.00,0.0687,0.075,,375.00M,400.00M,0.00,,,
1996-12,243.50M,243.50M,103.20M,140.30M,91.60M,16.50M,,,25.30M,,,,,121.20M,19.10M,,,,25.30M,,46.20M,15.40M,30.80M,,,30.80M,13.93M,32.20M,13.10M,19.10M,,0.08,0.00,0.0361,0.08,,0.075,0.00,0.0342,0.075,,384.46M,413.67M,0.025,,,
1996-09,223.60M,223.60M,86.90M,136.70M,78.20M,14.30M,,,2.20M,,,,,100.00M,36.70M,,,,2.20M,,39.00M,14.80M,24.20M,,,24.20M,22.83M,44.20M,7.50M,36.70M,,0.065,0.00,0.0613,0.065,,0.065,0.00,0.0613,0.065,,372.31M,372.31M,0.00,,,
1996-06,225.40M,225.40M,85.30M,140.10M,94.40M,,,,2.50M,,,,,101.50M,38.60M,,,,2.50M,,40.10M,15.60M,24.50M,,-1.00M,24.50M,22.97M,45.70M,7.10M,38.60M,,0.065,0.00,0.0609,0.065,,0.065,0.00,0.0609,0.065,,376.92M,376.92M,0.00,,,
1996-03,217.60M,217.60M,82.30M,135.30M,76.20M,12.30M,,,1.90M,,,,,95.50M,39.80M,,,,1.90M,,40.90M,15.90M,25.00M,,-0.90M,25.00M,23.84M,46.80M,7.00M,39.80M,,0.065,0.00,0.0620,0.065,,0.065,0.00,0.0620,0.065,,384.62M,384.62M,0.00,,,
1995-12,224.10M,224.10M,86.10M,138.00M,75.10M,11.50M,,,2.10M,,,,,96.00M,42.00M,,,,2.10M,,43.30M,17.60M,25.70M,,-0.80M,25.70M,24.44M,51.40M,9.40M,42.00M,,0.065,0.00,0.0619,0.065,,0.065,0.00,0.0619,0.065,,401.60M,401.60M,0.0112,,,
1995-09,205.40M,205.40M,82.30M,123.10M,72.30M,9.70M,,,1.40M,,,,,88.50M,34.60M,,,,1.40M,,34.50M,14.40M,20.10M,,-1.40M,20.10M,19.26M,41.10M,6.50M,34.60M,,0.055,0.00,0.0527,0.055,,0.055,0.00,0.0527,0.055,,365.45M,365.45M,0.00,,,
1995-06,228.50M,228.50M,91.40M,137.10M,80.50M,11.70M,,,1.60M,,,,,98.40M,38.70M,,,,1.60M,,37.30M,16.90M,20.40M,,-2.90M,20.40M,19.44M,44.90M,6.20M,38.70M,,0.055,0.00,0.0524,0.055,,0.055,0.00,0.0524,0.055,,370.91M,370.91M,0.00,,,
1995-03,214.00M,214.00M,81.00M,133.00M,73.50M,10.80M,,,0.80M,,,,,90.90M,42.10M,,,,0.80M,,38.80M,18.00M,20.80M,,-4.10M,20.80M,20.32M,48.70M,6.60M,42.10M,,0.055,0.00,0.0537,0.055,,0.055,0.00,0.0537,0.055,,378.18M,378.18M,0.00,,,
1994-12,204.60M,204.60M,77.70M,126.90M,69.10M,10.40M,,,1.90M,,,,,86.30M,40.60M,,,,1.90M,,39.20M,17.90M,21.30M,,-3.30M,21.30M,20.16M,47.40M,6.80M,40.60M,,0.0525,0.00,0.0497,0.0525,,0.0525,0.00,0.0497,0.0525,,412.19M,412.19M,0.01,,,
1994-09,174.30M,174.30M,73.10M,101.20M,57.10M,10.20M,,,0.50M,,,,,72.00M,29.20M,,,,0.50M,,28.60M,11.90M,16.70M,,-1.10M,16.70M,16.40M,34.70M,5.50M,29.20M,,0.045,0.00,0.0442,0.045,,0.045,0.00,0.0442,0.045,,371.11M,371.11M,0.00,,,
1994-06,154.20M,154.20M,66.20M,88.00M,48.60M,9.80M,,,2.20M,,,,,62.70M,25.30M,,,,2.20M,,27.40M,10.40M,17.00M,,,17.00M,15.64M,29.60M,4.30M,25.30M,,0.045,0.00,0.0414,0.045,,0.045,0.00,0.0414,0.045,,377.78M,377.78M,0.00,,,
1994-03,148.80M,148.80M,63.20M,85.60M,46.60M,9.20M,,,2.60M,,,,,60.10M,25.50M,,,,2.60M,,27.90M,10.60M,17.30M,,,17.30M,15.69M,29.80M,4.30M,25.50M,,0.045,0.00,0.0408,0.045,,0.045,0.00,0.0408,0.045,,384.44M,384.44M,0.00,,,
1993-12,145.20M,145.20M,61.60M,83.60M,52.20M,,,,1.20M,,,,,57.10M,26.50M,,,,1.20M,,27.70M,9.90M,17.80M,,,17.80M,17.03M,31.40M,4.90M,26.50M,,0.045,0.00,0.0431,0.045,,0.045,0.00,0.0431,0.045,,397.18M,397.18M,0.0088,,,
1993-09,136.90M,136.90M,60.10M,76.80M,51.70M,,,,1.20M,,,,,55.50M,21.30M,,,,1.20M,,22.60M,8.60M,14.00M,,,14.00M,13.26M,25.10M,3.60M,21.30M,,0.04,0.00,0.0379,0.04,,0.04,0.00,0.0379,0.04,,350.00M,350.00M,0.00,,,
1993-06,140.00M,140.00M,61.00M,79.00M,53.40M,,,,0.80M,,,,,57.20M,21.80M,,,,0.80M,,22.60M,8.60M,14.00M,,,14.00M,13.50M,25.80M,4.00M,21.80M,,0.04,0.00,0.0386,0.04,,0.04,0.00,0.0386,0.04,,350.00M,350.00M,0.00,,,
1993-03,135.20M,135.20M,57.80M,77.40M,51.40M,,,,0.90M,,,,,55.10M,22.30M,,,,0.90M,,23.40M,8.90M,14.50M,,,14.50M,13.94M,26.00M,3.70M,22.30M,,0.04,0.00,0.0385,0.04,,0.04,0.00,0.0385,0.04,,362.50M,362.50M,0.00,,,
1992-12,130.00M,130.00M,56.40M,73.60M,47.30M,,,,0.70M,,,,,50.80M,22.80M,,,,0.70M,,23.50M,8.90M,14.60M,,,14.60M,14.17M,26.30M,3.50M,22.80M,,0.035,0.00,0.0340,0.035,,0.035,0.00,0.0340,0.035,,423.07M,423.07M,0.00,,,
1992-09,117.40M,117.40M,52.20M,65.20M,45.70M,,,,1.00M,,,,,48.50M,16.70M,,,,1.00M,,17.80M,6.80M,11.00M,,,11.00M,10.38M,19.50M,2.80M,16.70M,,0.03,0.00,0.0283,0.03,,0.03,0.00,0.0283,0.03,,366.67M,366.67M,0.00,,,
1992-06,117.10M,117.10M,49.70M,67.40M,45.50M,,,,1.00M,,,,,50.60M,16.80M,,,,1.00M,,17.90M,6.80M,11.10M,,,11.10M,10.48M,21.90M,2.80M,16.80M,,0.03,0.00,0.0283,0.03,,0.03,0.00,0.0283,0.03,,370.00M,370.00M,0.00,,,
1992-03,112.60M,112.60M,49.70M,62.90M,43.20M,,,,0.40M,,,,,45.50M,17.40M,,,,0.40M,,17.80M,6.80M,11.00M,,,11.00M,10.75M,19.70M,2.30M,17.40M,,0.03,0.00,0.0293,0.03,,0.03,0.00,0.0293,0.03,,366.67M,366.67M,0.00,,,
1991-12,100.60M,100.60M,42.50M,58.10M,37.00M,,,,0.70M,,,,,42.00M,16.10M,,,,0.70M,,16.80M,6.40M,10.40M,,,10.40M,9.967M,21.10M,5.00M,16.10M,,0.03,0.00,0.0287,0.03,,0.025,0.00,0.0240,0.025,,336.11M,422.65M,0.0063,,,
1991-09,89.90M,89.90M,41.00M,48.90M,35.20M,,,,0.60M,,,,,37.40M,11.50M,,,,0.60M,,12.10M,4.60M,7.50M,,,7.50M,7.128M,14.10M,2.60M,11.50M,,0.02,0.00,0.0190,0.02,,0.02,0.00,0.0190,0.02,,375.00M,375.00M,,,,
1991-06,88.60M,88.60M,40.40M,48.20M,34.30M,,,,0.20M,,,,,36.40M,11.80M,,,,0.20M,,11.90M,4.50M,7.40M,,,7.40M,7.276M,14.00M,2.20M,11.80M,,0.02,0.00,0.0197,0.02,,0.02,0.00,0.0197,0.02,,370.00M,370.00M,,,,
1991-03,85.70M,85.70M,37.30M,48.40M,34.20M,,,,0.40M,,,,,36.20M,12.20M,,,,0.40M,,12.60M,4.80M,7.80M,,,7.80M,7.552M,14.20M,2.00M,12.20M,,0.025,0.00,0.0242,0.025,,0.025,0.00,0.0242,0.025,,312.00M,312.00M,,,,
1990-12,77.60M,77.60M,35.50M,42.10M,31.10M,,,,0.80M,,,,,33.10M,9.00M,,,,0.80M,,9.90M,3.80M,6.10M,,,6.10M,5.607M,11.00M,2.00M,9.00M,,0.015,0.00,0.0138,0.015,,0.015,0.00,0.0138,0.015,,402.31M,402.31M,,,,
1990-09,67.60M,67.60M,30.60M,37.00M,27.30M,,,,1.10M,,,,,29.00M,8.00M,,,,1.10M,,9.20M,3.50M,5.70M,,,5.70M,5.018M,9.80M,1.80M,8.00M,,0.015,0.00,0.0132,0.015,,0.015,0.00,0.0132,0.015,,380.00M,380.00M,,,,
1990-06,67.80M,67.80M,30.40M,37.40M,27.20M,,,,0.40M,,,,,28.90M,8.50M,,,,0.40M,,8.90M,3.40M,5.50M,,,5.50M,5.253M,10.20M,1.70M,8.50M,,0.015,0.00,0.0143,0.015,,0.015,0.00,0.0143,0.015,,366.67M,366.67M,,,,
1990-03,67.60M,67.60M,29.50M,38.10M,26.50M,,,,0.10M,,,,,28.10M,10.00M,,,,0.10M,,10.20M,3.90M,6.30M,,,6.30M,6.238M,11.60M,1.60M,10.00M,,0.02,0.00,0.0198,0.02,,0.02,0.00,0.0198,0.02,,315.00M,315.00M,,,,
1989-12,60.50M,60.50M,27.40M,33.10M,23.60M,,,,0.10M,,,,,25.20M,7.90M,,,,0.10M,,7.80M,3.00M,4.80M,,,4.80M,4.738M,9.50M,1.60M,7.90M,,0.01,0.00,0.0099,0.01,,0.01,0.00,0.0099,0.01,,456.00M,456.00M,,,,
1989-09,54.70M,54.70M,24.50M,30.20M,21.20M,,,,0.20M,,,,,22.80M,7.40M,,,,0.20M,,7.60M,2.90M,4.70M,,,4.70M,4.576M,9.00M,1.60M,7.40M,,0.015,0.00,0.0146,0.015,,0.015,0.00,0.0146,0.015,,313.33M,313.33M,,,,
1989-06,56.80M,56.80M,25.70M,31.10M,21.70M,,,,-0.40M,,,,,23.30M,7.80M,,,,-0.40M,,7.30M,2.70M,4.60M,,,4.60M,4.852M,9.40M,1.60M,7.80M,,0.015,0.00,0.0158,0.015,,0.015,0.00,0.0158,0.015,,306.67M,306.67M,,,,
1989-03,53.90M,53.90M,,,,,,,,,,,,,53.90M,,,,,,,,5.10M,,,5.10M,,53.90M,,53.90M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,374.78M,374.78M,,,,
1988-12,47.70M,47.70M,,,,,,,,,,,,,-104.50M,,,,,,,,3.90M,,,3.90M,,-104.50M,,-104.50M,,,,,,,,,,,,375.22M,375.22M,,,,
1988-09,44.40M,44.40M,,,,,,,,,,,,,44.40M,,,,,,,,3.90M,,,3.90M,,44.40M,,44.40M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,374.54M,374.54M,,,,
1988-06,43.90M,43.90M,,,,,,,,,,,,,43.90M,,,,,,,,3.80M,,,3.80M,,43.90M,,43.90M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,374.54M,374.54M,,,,
1988-03,42.70M,42.70M,,,,,,,,,,,,,42.70M,,,,,,,,4.20M,,,4.20M,,42.70M,,42.70M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,374.10M,374.10M,,,,
1987-12,37.20M,37.20M,,,,,,,,,,,,,-88.90M,,,,,,,,2.90M,,,2.90M,,-88.90M,,-88.90M,,,,,,,,,,,,374.54M,374.54M,,,,
1987-09,36.90M,36.90M,,,,,,,,,,,,,36.90M,,,,,,,,3.20M,,,3.20M,,36.90M,,36.90M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,373.66M,373.66M,,,,
1987-06,36.90M,36.90M,,,,,,,,,,,,,36.90M,,,,,,,,3.00M,,,3.00M,,36.90M,,36.90M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,373.73M,373.73M,,,,
1987-03,37.20M,37.20M,,,,,,,,,,,,,37.20M,,,,,,,,3.50M,,,3.50M,,37.20M,,37.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,361.36M,361.36M,,,,
1986-12,29.70M,29.70M,,,,,,,,,,,,,-73.10M,,,,,,,,2.30M,,,2.30M,,-73.10M,,-73.10M,,,,,,,,,,,,361.36M,361.36M,,,,
1986-09,30.40M,30.40M,,,,,,,,,,,,,30.40M,,,,,,,,2.50M,,,2.50M,,30.40M,,30.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,361.31M,361.31M,,,,
1986-06,30.40M,30.40M,,,,,,,,,,,,,30.40M,,,,,,,,2.50M,,,2.50M,,30.40M,,30.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,359.06M,359.06M,,,,
1986-03,30.70M,30.70M,,,,,,,,,,,,,30.70M,,,,,,,,2.80M,,,2.80M,,30.70M,,30.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,359.06M,359.06M,,,,
1985-12,25.60M,25.60M,,,,,,,,,,,,,-61.40M,,,,,,,,1.90M,,,1.90M,,-61.40M,,-61.40M,,,,,,,,,,,,359.06M,359.06M,,,,
1985-09,25.90M,25.90M,,,,,,,,,,,,,25.90M,,,,,,,,2.10M,,,2.10M,,25.90M,,25.90M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,358.67M,358.67M,,,,
1985-06,24.60M,24.60M,,,,,,,,,,,,,24.60M,,,,,,,,2.10M,,,2.10M,,24.60M,,24.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,358.14M,358.14M,,,,
1985-03,25.50M,25.50M,,,,,,,,,,,,,25.50M,,,,,,,,2.30M,,,2.30M,,25.50M,,25.50M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,358.14M,358.14M,,,,
1984-12,20.00M,20.00M,,,,,,,,,,,,,-52.50M,,,,,,,,1.50M,,,1.50M,,-52.50M,,-52.50M,,,,,,,,,,,,358.14M,358.14M,,,,
1984-09,21.30M,21.30M,,,,,,,,,,,,,21.30M,,,,,,,,1.70M,,,1.70M,,21.30M,,21.30M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,356.42M,356.42M,,,,
1984-06,21.00M,21.00M,,,,,,,,,,,,,21.00M,,,,,,,,1.70M,,,1.70M,,21.00M,,21.00M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,356.42M,356.42M,,,,
1984-03,22.00M,22.00M,,,,,,,,,,,,,22.00M,,,,,,,,1.90M,,,1.90M,,22.00M,,22.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,356.42M,356.42M,,,,
