,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2006-03,31.01M,,-8.729M,,,32.68M,32.68M,-2.43M,,,,-16.58M,-18.80M,-0.098M,,,15.44M,-20.03M,32.50M,,2006-03,,-74.36M,-2.847M,25.00M,-17.60M,-51.58M,,2006-03,,3.728M,13.17M,-39.99M,-26.82M,,-10.62M,,7.197M,-26.52M,,2006-03,76.74M,31.15M,,2006-03,13.17M,,-39.99M,,,,2006-03,
2005-12,47.77M,,2.616M,,,34.85M,34.85M,10.11M,,,0.001M,63.41M,-12.99M,-1.309M,,,-34.70M,14.41M,109.76M,,2005-12,37.58M,-27.71M,-33.19M,0.00,0.00,-60.90M,,2005-12,,-6.022M,10.12M,-76.72M,-66.60M,,-10.61M,,-0.467M,-83.69M,,2005-12,111.58M,76.74M,,2005-12,10.12M,,-76.72M,,,,2005-12,
2005-09,76.35M,,-1.23M,,,35.67M,35.67M,-3.328M,,,-0.001M,-5.579M,7.552M,-8.811M,,,-1.246M,-8.084M,99.38M,,2005-09,-20.92M,-75.75M,32.68M,-25.00M,9.60M,-58.47M,,2005-09,,3.611M,12.91M,-20.94M,-8.025M,,-10.65M,,4.326M,-10.74M,,2005-09,81.41M,111.58M,,2005-09,12.91M,,-20.94M,,,,2005-09,
2005-06,61.47M,,-1.695M,,,34.44M,34.44M,-1.445M,,,,-62.40M,7.583M,13.97M,,,26.71M,-14.14M,78.64M,,2005-06,20.92M,-33.17M,-0.211M,,-10.00M,-55.07M,,2005-06,,1.712M,3.507M,-36.86M,-33.35M,,-9.288M,,-4.326M,-45.25M,,2005-06,103.10M,81.41M,,2005-06,3.507M,,-36.86M,,,,2005-06,
2005-03,7.077M,,1.208M,,,33.29M,33.29M,0.373M,,,,-0.854M,-13.10M,-0.228M,,,2.249M,-11.93M,30.02M,,2005-03,,-47.19M,-3.927M,,,-39.43M,,2005-03,,-2.15M,6.724M,-44.27M,-37.55M,,-9.409M,,,-49.11M,,2005-03,161.62M,103.10M,,2005-03,6.724M,,-44.27M,,,,2005-03,
2004-12,36.99M,,-11.18M,,,32.96M,32.96M,33.99M,,,,63.37M,-1.015M,0.01M,,,-37.50M,24.86M,117.63M,,2004-12,8.693M,-46.00M,0.00,,,-46.00M,,2004-12,,3.627M,1.50M,-41.07M,-39.57M,,-9.536M,,,-45.48M,,2004-12,135.48M,161.62M,,2004-12,1.50M,,-41.07M,,,,2004-12,
2004-09,54.00M,,-4.447M,,,33.09M,33.09M,-3.048M,,,,-26.14M,19.38M,12.46M,,,12.02M,17.72M,97.32M,,2004-09,10.89M,-27.52M,0.00,,,-27.52M,,2004-09,,-5.717M,0.396M,-5.413M,-5.017M,,-9.636M,,0.253M,-20.12M,,2004-09,85.80M,135.48M,,2004-09,0.396M,,-5.413M,,,,2004-09,
2004-06,44.72M,,-0.953M,,,33.19M,33.19M,3.952M,,,,-34.01M,-1.14M,6.071M,,,16.66M,-12.42M,68.48M,,2004-06,14.18M,-26.38M,0.00,,,-26.38M,,2004-06,,-0.936M,0.775M,0.00,0.775M,,-8.667M,,-0.253M,-9.081M,,2004-06,52.78M,85.80M,,2004-06,0.775M,,0.00,,,,2004-06,
2004-03,-6.545M,,-2.519M,,,33.61M,33.61M,3.647M,,,,8.697M,-16.44M,-5.164M,,,-31.88M,-44.78M,-16.58M,,2004-03,11.92M,-17.85M,-5.567M,,,-23.42M,,2004-03,,0.224M,1.116M,-25.02M,-23.90M,,-8.668M,,,-32.35M,,2004-03,125.13M,52.78M,,2004-03,1.116M,,-25.02M,,,,2004-03,
2003-12,36.22M,,-11.60M,,,35.79M,35.79M,4.441M,,,,76.44M,-3.899M,-6.125M,,,-25.51M,40.90M,105.76M,,2003-12,29.48M,-8.726M,-0.095M,,-14.92M,-23.74M,,2003-12,,-3.864M,0.651M,,-12.60M,,-8.798M,,0.00,-25.26M,,2003-12,53.57M,125.13M,,2003-12,0.651M,,,,,,2003-12,
2003-09,38.65M,,5.553M,,,35.76M,35.76M,4.696M,,,,-15.30M,21.74M,7.808M,,,11.48M,25.73M,110.39M,,2003-09,-6.196M,-31.98M,0.093M,,14.92M,-16.97M,,2003-09,,-38.16M,0.201M,,0.201M,,-8.795M,,0.00,-46.76M,,2003-09,6.907M,53.57M,,2003-09,0.201M,,,,,,2003-09,
2003-06,46.52M,,-6.239M,,,34.61M,34.61M,4.099M,,,,-74.11M,9.941M,10.99M,,,15.60M,-37.58M,41.41M,,2003-06,6.196M,-22.44M,0.289M,,-6.158M,-28.31M,,2003-06,,-14.38M,0.185M,,0.185M,,-8.794M,,12.58M,-10.41M,,2003-06,4.226M,6.907M,,2003-06,0.185M,,,,,,2003-06,
2003-03,-20.89M,,7.583M,,,33.44M,33.44M,3.415M,,,,11.08M,-9.744M,-8.628M,,,3.348M,-3.94M,19.61M,,2003-03,,-28.01M,-8.905M,,6.158M,-30.76M,,2003-03,,23.00M,,,,,-7.327M,,,15.68M,,2003-03,-0.304M,4.226M,,2003-03,,,,,,,2003-03,
2002-12,16.08M,,-0.447M,,,35.72M,35.72M,6.04M,,,,53.50M,-0.233M,-8.517M,,,-30.91M,13.84M,71.23M,,2002-12,,-43.41M,11.16M,,-97.24M,-31.76M,,2002-12,,-45.92M,-0.035M,,-0.035M,,-7.323M,,,-53.27M,,2002-12,6.077M,14.50M,,2002-12,-0.035M,,,,,,2002-12,
2002-09,27.42M,,11.33M,,,34.65M,34.65M,5.628M,,,,0.908M,10.50M,1.346M,,,-7.098M,5.658M,84.67M,,2002-09,-68.53M,-109.95M,-23.38M,,97.24M,-36.10M,,2002-09,,-40.00M,0.065M,,0.065M,,-7.323M,,,-47.26M,,2002-09,4.756M,6.077M,,2002-09,0.065M,,,,,,2002-09,
2002-06,64.87M,,-34.16M,,,34.39M,34.39M,9.151M,,,,-80.24M,-2.085M,4.69M,,,31.62M,-46.01M,28.24M,,2002-06,68.53M,28.78M,-34.19M,,-1.353M,-6.764M,,2002-06,,-21.49M,0.46M,,0.46M,,-6.834M,,,-27.86M,,2002-06,11.14M,4.756M,,2002-06,0.46M,,,,,,2002-06,
2002-03,-22.06M,,11.76M,,,33.94M,33.94M,3.67M,,,,14.60M,-22.51M,-5.05M,,,5.067M,-7.898M,19.41M,,2002-03,,-28.11M,-1.55M,,1.353M,-28.30M,,2002-03,,25.30M,0.15M,,0.15M,,-6.798M,,,18.65M,,2002-03,1.379M,11.14M,,2002-03,0.15M,,,,,,2002-03,
2001-12,-53.70M,,,,,,,,,,,,,,,,,,93.88M,,2001-12,,-44.73M,-4.343M,,-44.11M,-47.21M,,2001-12,,-31.09M,1.134M,,1.134M,,-6.795M,,2.15M,-34.60M,,2001-12,-3.672M,23.60M,,2001-12,1.134M,,,,,,2001-12,
2001-09,124.71M,,,,,,,,,,-9.914M,,,,,,,,114.80M,,2001-09,,-47.52M,-8.713M,,6.421M,-49.81M,,2001-09,,-61.82M,0.909M,,0.909M,,-6.779M,,-0.108M,-67.79M,,2001-09,-0.863M,-3.672M,,2001-09,0.909M,,,,,,2001-09,
2001-06,39.00M,,,,,,,,,,8.668M,,,,,,,,47.67M,,2001-06,,-50.97M,-195.42M,,39.41M,-206.98M,,2001-06,,-69.09M,0.143M,,0.143M,,-6.731M,,-0.417M,-76.09M,,2001-06,234.53M,-0.863M,,2001-06,0.143M,,,,,,2001-06,
2001-03,-4.652M,,,,,,,,,,1.246M,,,,,,,,-3.406M,,2001-03,,-51.16M,-13.30M,,-1.725M,-66.18M,,2001-03,,316.72M,0.435M,,0.435M,,-6.622M,,-1.625M,308.90M,,2001-03,-4.778M,234.53M,,2001-03,0.435M,,,,,,2001-03,
2000-12,20.52M,,,,,,,,,,,,,,,,-93.46M,-106.56M,57.46M,,2000-12,,-52.92M,-2.656M,,1.396M,-54.18M,,2000-12,,-7.542M,0.67M,,0.67M,,-6.548M,,,-13.42M,,2000-12,5.355M,-4.778M,,2000-12,0.67M,,,,,,2000-12,
2000-09,42.05M,,,,,,,,,,,,,,,,41.09M,41.09M,83.14M,,2000-09,,-44.58M,0.00,,2.755M,-41.82M,,2000-09,,-32.91M,0.133M,,0.133M,,-6.547M,,,-39.33M,,2000-09,3.363M,5.355M,,2000-09,0.133M,,,,,,2000-09,
2000-06,42.12M,,,,,,,,,,,,,,,,3.409M,3.409M,45.53M,,2000-06,,-39.30M,-22.45M,,1.97M,-59.79M,,2000-06,,23.76M,0.605M,,0.605M,,-6.078M,,,18.28M,,2000-06,-0.662M,3.363M,,2000-06,0.605M,,,,,,2000-06,
2000-03,7.33M,,,,,,,,,,,,,,,,19.41M,19.41M,26.74M,,2000-03,,-34.00M,-14.22M,,2.205M,-46.02M,,2000-03,,20.65M,0.631M,,0.631M,,-6.075M,,,15.21M,,2000-03,3.403M,-0.662M,,2000-03,0.631M,,,,,,2000-03,
1999-12,32.58M,,,,,,,,,,-51.94M,,,,,,14.20M,-17.30M,78.50M,,1999-12,,-112.20M,,,60.80M,-51.40M,,1999-12,,-10.40M,-1.00M,-6.80M,-7.80M,,-6.10M,,,-24.30M,,1999-12,0.60M,3.40M,,1999-12,-1.00M,,-6.80M,,,,1999-12,
1999-09,44.00M,,,,,,,,,,45.10M,,,,,,,,89.10M,,1999-09,,-40.00M,,,-52.70M,-92.70M,,1999-09,,16.00M,0.30M,-5.90M,-5.60M,,-6.10M,,,4.30M,,1999-09,-0.20M,0.60M,,1999-09,0.30M,,-5.90M,,,,1999-09,
1999-06,41.26M,,,,,,,,,,6.90M,,,,,,-21.28M,-21.28M,26.88M,,1999-06,-0.184M,-33.88M,,,-8.53M,-42.41M,,1999-06,,10.46M,2.008M,,2.008M,,-6.037M,,,6.431M,,1999-06,8.987M,-0.20M,,1999-06,2.008M,,,,,,1999-06,
1999-03,7.94M,,,,,,,,,,,,,,,,21.28M,21.28M,29.22M,,1999-03,0.184M,-28.82M,,,0.73M,-28.09M,,1999-03,,-1.36M,0.692M,,0.692M,,-6.063M,,,-6.731M,,1999-03,14.59M,8.987M,,1999-03,0.692M,,,,,,1999-03,
1998-12,30.71M,,-3.90M,,,28.16M,28.16M,,,,-31.58M,32.80M,8.60M,5.40M,,25.90M,,72.70M,92.60M,,1998-12,,-329.00M,,,-36.80M,-365.80M,,1998-12,,283.30M,0.20M,,0.20M,,-6.00M,,-1.80M,275.70M,,1998-12,0.00,14.60M,,1998-12,0.20M,,,,,,1998-12,
1998-09,45.90M,,-0.40M,,,24.30M,24.30M,,,,31.60M,-15.00M,9.60M,-3.10M,,-12.70M,,-21.20M,80.20M,,1998-09,,-57.30M,,,-1.30M,-58.60M,,1998-09,,-20.70M,1.40M,,1.40M,,-6.10M,,0.10M,-25.30M,,1998-09,15.90M,0.00,,1998-09,1.40M,,,,,,1998-09,
1998-06,36.40M,,-0.10M,,,23.70M,23.70M,,,,3.80M,-44.90M,-3.10M,8.40M,,12.70M,,-26.90M,36.90M,,1998-06,,-31.00M,,,1.50M,-29.50M,,1998-06,,9.90M,0.10M,,0.10M,,-5.60M,,0.00,4.40M,,1998-06,0.00,15.90M,,1998-06,0.10M,,,,,,1998-06,
