,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2021-03,,10.53B,600.00M,11.13B,6.458B,,9.609B,16.07B,,1.594B,234.00M,,1.828B,2.647B,142.00M,,,34.04B,,,,,36.75B,,36.75B,-22.82B,13.94B,59.98B,13.54B,73.52B,2.125B,,5.922B,,11.29B,,114.59B,148.63B,,4.14B,2.64B,6.78B,5.775B,12.56B,,5.198B,5.198B,1.337B,6.535B,14.20B,14.20B,,-1.00M,36.54B,,51.21B,3.379B,54.58B,,4.153B,4.153B,,17.35B,,124.00M,14.49B,90.57B,127.12B,,56.79B,162.22B,169.36B,,,,,-28.26B,21.39B,,AOR,
2020-12,,13.21B,600.00M,13.81B,7.132B,,11.61B,18.74B,,1.649B,190.00M,,1.839B,2.206B,463.00M,,,39.16B,0.00,381.00M,9.416B,19.68B,8.381B,,37.86B,-23.14B,14.73B,59.62B,13.80B,73.41B,226.00M,,7.509B,151.00M,11.69B,227.00M,116.80B,155.97B,,4.908B,3.301B,8.209B,6.847B,15.06B,0.00,7.183B,7.183B,1.357B,8.54B,12.83B,12.83B,,,39.87B,5.391B,54.36B,3.574B,57.93B,5.472B,4.301B,9.773B,279.00M,20.34B,40.00M,129.00M,1.376B,95.38B,135.24B,,56.56B,162.72B,169.34B,,,,,-29.34B,20.60B,,AOR,
2020-09,,14.39B,1.20B,15.59B,6.099B,,11.77B,17.87B,,1.662B,287.00M,,1.949B,2.188B,160.00M,,1.00M,39.84B,,,,,37.15B,,37.15B,-22.47B,14.67B,58.36B,13.96B,72.32B,1.944B,,6.423B,,11.29B,,114.28B,154.13B,,3.985B,2.375B,6.36B,4.73B,11.09B,25.00M,10.26B,10.29B,1.336B,11.62B,11.68B,11.68B,,-2.00M,37.99B,,55.13B,3.635B,58.76B,,3.82B,3.82B,,16.73B,,126.00M,15.48B,94.80B,132.79B,,56.37B,162.81B,169.38B,,,,,-28.58B,21.21B,,AOR,
2020-06,,12.04B,2.063B,14.10B,6.543B,,12.90B,19.45B,,1.581B,288.00M,,1.869B,2.26B,147.00M,,-1.00M,39.95B,,,,,36.44B,,36.44B,-21.96B,14.48B,57.83B,14.27B,72.10B,1.921B,,7.351B,,11.13B,,114.25B,154.20B,,4.719B,2.627B,7.346B,4.509B,11.86B,115.00M,9.174B,9.289B,1.343B,10.63B,12.47B,12.47B,,,38.44B,,55.45B,3.684B,59.13B,,3.787B,3.787B,,16.48B,,137.00M,15.67B,95.07B,133.51B,,56.14B,162.56B,169.39B,,,,,-28.76B,20.55B,,AOR,
2020-03,,11.22B,647.00M,11.86B,6.927B,,13.74B,20.67B,,1.488B,298.00M,,1.786B,2.509B,152.00M,,2.00M,38.93B,,,,,35.96B,,35.96B,-21.46B,14.50B,57.52B,14.67B,72.18B,1.911B,,7.708B,,11.24B,,114.47B,153.40B,,4.172B,2.348B,6.52B,4.777B,11.30B,2.519B,9.124B,11.64B,1.327B,12.97B,13.38B,13.38B,,,40.67B,,52.68B,3.799B,56.48B,,3.769B,3.769B,,16.47B,,129.00M,15.88B,92.60B,133.28B,,56.09B,162.63B,169.44B,,,,,-29.28B,20.00B,,AOR,Restated
2019-12,,8.172B,696.00M,8.868B,7.87B,,15.92B,23.80B,,1.399B,220.00M,,1.619B,2.101B,141.00M,,,38.42B,0.00,365.00M,9.364B,18.58B,8.717B,,37.02B,-22.02B,15.00B,58.22B,15.24B,73.46B,222.00M,,8.988B,94.00M,7.654B,321.00M,113.77B,152.19B,,4.896B,2.839B,7.735B,4.357B,12.09B,304.00M,8.493B,8.797B,1.38B,10.18B,12.03B,12.03B,,,37.70B,5.212B,54.10B,3.879B,57.98B,5.23B,3.851B,9.081B,299.00M,19.14B,506.00M,144.00M,1.238B,93.50B,131.20B,,55.90B,162.95B,169.41B,,,,,-28.60B,20.84B,,AOR,Restated
2019-09,,10.09B,733.00M,10.82B,6.753B,,14.21B,20.96B,,1.361B,351.00M,,1.712B,2.515B,138.00M,,-1.00M,38.12B,,,,,36.57B,,36.57B,-21.61B,14.96B,57.95B,15.61B,73.56B,2.221B,,7.739B,,7.529B,,111.50B,149.62B,,4.042B,2.154B,6.196B,4.235B,10.43B,2.988B,5.542B,8.53B,1.377B,9.907B,11.22B,11.22B,,1.00M,35.07B,,57.80B,3.79B,61.59B,,3.382B,3.382B,,15.92B,,139.00M,15.56B,96.46B,131.52B,,55.81B,160.71B,169.47B,,,,,-29.09B,17.96B,,AOR,Restated
2019-06,,45.40B,874.00M,46.27B,7.414B,,17.32B,24.74B,,1.421B,324.00M,,1.745B,2.409B,135.00M,,,77.52B,,,,,36.84B,,36.84B,-21.64B,15.20B,35.28B,2.73B,38.01B,2.228B,,8.441B,,7.936B,,77.14B,154.65B,,4.724B,2.439B,7.163B,4.458B,11.62B,7.871B,6.722B,14.59B,1.319B,15.91B,11.26B,11.26B,,1.00M,42.35B,,58.44B,3.946B,62.39B,,3.474B,3.474B,,16.47B,,131.00M,12.19B,94.52B,136.88B,,55.40B,160.47B,169.38B,,,,,-28.84B,17.64B,,AOR,Restated
2019-03,,17.13B,872.00M,18.01B,6.987B,,20.96B,27.94B,,1.402B,369.00M,,1.771B,2.478B,137.00M,,,52.70B,,,,,37.33B,,37.33B,-22.02B,15.31B,36.28B,2.956B,39.24B,2.403B,,8.361B,,7.947B,,78.22B,130.93B,,5.711B,2.484B,8.195B,3.952B,12.15B,2.993B,7.256B,10.25B,1.313B,11.56B,12.13B,12.13B,,1.00M,38.87B,,39.73B,3.59B,43.32B,,3.481B,3.481B,,16.47B,,126.00M,12.18B,75.45B,114.32B,,55.29B,159.40B,169.02B,,,,,-29.18B,16.48B,,AOR,Restated
2018-12,,11.38B,618.00M,12.00B,7.432B,,23.13B,30.56B,,1.415B,266.00M,1.00M,1.682B,2.378B,225.00M,,1.00M,49.15B,0.00,448.00M,9.64B,18.29B,4.081B,,32.46B,-21.67B,10.79B,36.26B,3.088B,39.35B,226.00M,,9.507B,347.00M,7.892B,296.00M,74.24B,123.38B,,6.558B,3.046B,9.604B,3.941B,13.54B,2.995B,7.212B,10.21B,0.00,10.21B,11.16B,11.16B,,,38.23B,4.306B,35.60B,0.00,35.60B,3.696B,3.445B,7.141B,320.00M,18.89B,206.00M,134.00M,1.718B,68.22B,106.45B,,55.15B,159.21B,168.07B,,,,,-29.49B,16.80B,,AOR,Restated
