,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,1.219B,1.219B,1.068B,151.05M,104.20M,0.506M,,,,,104.20M,46.84M,,,,0.506M,,46.37M,16.23M,30.14M,,,30.14M,29.81M,55.49M,8.643M,46.84M,,0.275,0.00,0.2720,0.275,,0.27,0.00,0.2671,0.27,,109.60M,111.63M,0.00,,,
2002-09,1.212B,1.212B,1.060B,151.52M,106.06M,0.325M,,,,,106.06M,45.46M,,,,0.325M,,44.64M,15.62M,29.02M,,,29.02M,28.81M,54.60M,9.135M,45.46M,,0.27,0.00,0.2680,0.27,,0.26,0.00,0.2581,0.26,,107.43M,111.67M,0.00,,,
2002-06,1.169B,1.169B,1.021B,148.10M,104.55M,0.377M,,,,,104.55M,43.55M,,,,0.377M,,42.96M,15.04M,27.92M,,,27.92M,27.67M,52.71M,9.165M,43.55M,,0.255,0.00,0.2528,0.255,,0.25,0.00,0.2478,0.25,,109.49M,111.68M,0.00,,,
2002-03,1.147B,1.147B,1.000B,146.54M,104.18M,0.375M,,,,,104.18M,42.36M,,,,0.375M,,41.35M,14.47M,26.88M,,,26.88M,26.64M,50.58M,8.216M,42.36M,,0.25,0.00,0.2477,0.25,,0.245,0.00,0.2428,0.245,,107.52M,109.71M,0.00,,,
2001-12,1.028B,1.028B,890.66M,137.52M,96.52M,0.444M,,,,,96.52M,41.00M,,,,0.444M,,39.80M,13.93M,25.87M,,,25.87M,25.58M,49.57M,8.571M,41.00M,,0.24,0.00,0.2373,0.24,,0.235,0.00,0.2324,0.235,,107.79M,110.09M,0.00,,,
2001-09,976.52M,976.52M,835.38M,141.14M,102.38M,0.55M,,,,,102.38M,38.77M,,,,0.55M,,37.14M,13.56M,23.58M,,,23.58M,23.23M,47.56M,8.792M,38.77M,,0.22,0.00,0.2167,0.22,,0.215,0.00,0.2118,0.215,,107.26M,109.74M,0.00,,,
2001-06,1.041B,1.041B,911.96M,129.46M,92.69M,0.601M,,,,,92.69M,36.77M,,,,0.601M,,35.46M,12.94M,22.52M,,,22.52M,22.14M,46.80M,10.03M,36.77M,,0.21,0.00,0.2064,0.21,,0.205,0.00,0.2015,0.205,,107.24M,109.85M,0.00,,,
2001-03,1.010B,1.010B,888.46M,121.41M,86.29M,0.664M,,,,,86.29M,35.13M,,,,0.664M,,33.95M,12.39M,21.56M,,,21.56M,21.14M,45.88M,10.76M,35.13M,,0.2025,0.00,0.1985,0.2025,,0.1975,0.00,0.1936,0.1975,,106.47M,109.16M,0.00,,,
2000-12,929.18M,929.18M,816.53M,112.66M,79.47M,0.526M,,,,,79.47M,33.19M,,,,0.526M,,31.65M,11.55M,20.10M,,,20.10M,19.77M,42.55M,9.359M,33.19M,,0.19,0.00,0.1868,0.19,,0.1875,0.00,0.1844,0.1875,,105.79M,107.20M,0.00,,,
2000-09,870.23M,870.23M,748.37M,121.86M,77.91M,0.525M,,,,,89.19M,32.67M,,,,0.525M,,31.03M,11.48M,19.55M,,,19.55M,19.22M,43.94M,11.28M,32.67M,,0.1875,0.00,0.1843,0.1875,,0.185,0.00,0.1819,0.185,,104.00M,105.69M,0.00,,,
2000-06,857.83M,857.83M,736.36M,121.47M,80.19M,0.473M,,,,,89.76M,31.71M,,,,0.473M,,30.56M,11.46M,19.10M,,,19.10M,18.80M,41.28M,9.576M,31.71M,,0.1825,0.00,0.1797,0.1825,,0.18,0.00,0.1772,0.18,,104.66M,106.11M,0.00,,,
2000-03,881.80M,881.80M,762.46M,119.34M,79.28M,0.677M,,,,,89.13M,30.21M,,,,0.677M,,28.96M,10.86M,18.10M,,,18.10M,17.68M,40.05M,9.846M,30.21M,,0.1725,0.00,0.1685,0.1725,,0.1725,0.00,0.1685,0.1725,,104.93M,104.93M,0.00,,,
1999-12,809.00M,809.00M,696.00M,113.00M,73.70M,-37.50M,,,,,83.10M,29.90M,,,,-37.50M,,-9.30M,-3.50M,-5.80M,,,-5.80M,17.59M,39.30M,9.40M,29.90M,,-0.055,0.00,0.1668,-0.055,,-0.055,0.00,0.1668,-0.055,,105.45M,105.45M,0.00,,,
1999-09,768.00M,768.00M,651.60M,116.40M,79.70M,1.10M,,,,,87.90M,28.50M,,,,1.10M,,27.70M,10.40M,17.30M,,,17.30M,16.61M,36.70M,8.20M,28.50M,,0.1675,0.00,0.1608,0.1675,,0.1625,0.00,0.1560,0.1625,,103.31M,106.50M,0.00,,,
1999-06,771.90M,771.90M,654.30M,117.60M,79.90M,1.00M,,,,,89.00M,28.60M,,,,1.00M,,26.90M,10.10M,16.80M,,,16.80M,16.18M,37.70M,9.10M,28.60M,,0.1625,0.00,0.1565,0.1625,,0.1575,0.00,0.1516,0.1575,,103.38M,106.67M,0.00,,,
1999-03,779.87M,779.87M,659.30M,120.57M,84.20M,,,,,,92.50M,28.07M,,,,,,25.90M,9.70M,16.20M,,,16.20M,16.20M,36.37M,8.30M,28.07M,,0.1575,0.00,0.1575,0.1575,,0.1525,0.00,0.1525,0.1525,,102.86M,106.23M,0.00,,,
1998-12,555.20M,555.20M,480.90M,74.30M,45.20M,1.00M,,,,,51.20M,23.10M,,,,1.00M,,24.10M,8.90M,15.20M,,,15.20M,14.57M,29.10M,6.00M,23.10M,,0.1475,0.00,0.1414,0.1475,,0.145,0.00,0.1390,0.145,,103.05M,104.83M,0.00,,,
1998-09,544.90M,544.90M,471.30M,73.60M,46.50M,-1.60M,,,,,51.60M,22.00M,,,,-1.60M,,23.20M,8.80M,14.40M,,,14.40M,15.39M,27.10M,5.10M,22.00M,,0.14,0.00,0.1497,0.14,,0.1375,0.00,0.1470,0.1375,,102.87M,104.74M,0.00,,,
1998-06,525.00M,525.00M,451.00M,74.00M,44.90M,0.30M,,,,,51.60M,22.40M,,,,0.30M,,22.80M,8.90M,13.90M,,,13.90M,13.72M,29.10M,6.70M,22.40M,,0.135,0.00,0.1332,0.135,,0.1325,0.00,0.1308,0.1325,,102.96M,104.91M,0.00,,,
1998-03,524.80M,524.80M,449.70M,75.10M,47.30M,0.10M,,,,,53.40M,21.70M,,,,0.10M,,21.80M,8.50M,13.30M,,,13.30M,13.24M,27.80M,6.10M,21.70M,,0.13,0.00,0.1294,0.13,,0.1275,0.00,0.1269,0.1275,,102.31M,104.31M,0.00,,,
1997-12,506.40M,506.40M,435.70M,70.70M,45.30M,0.80M,,,,,50.40M,20.30M,,,,0.80M,,21.00M,8.20M,12.80M,,,12.80M,12.31M,25.40M,5.10M,20.30M,,0.125,0.00,0.1202,0.125,,0.1225,0.00,0.1178,0.1225,,102.40M,104.49M,0.00,,,
1997-09,479.00M,479.00M,405.80M,73.20M,48.10M,0.60M,,,,,53.10M,20.10M,,,,0.60M,,20.70M,8.10M,12.60M,,,12.60M,12.23M,25.10M,5.00M,20.10M,,0.1225,0.00,0.1189,0.1225,,0.12,0.00,0.1165,0.12,,102.83M,105.07M,0.00,,,
1997-06,430.20M,430.20M,368.40M,61.80M,38.40M,1.30M,,,,,43.20M,18.60M,,,,1.30M,,19.80M,7.80M,12.00M,,,12.00M,11.21M,23.40M,4.80M,18.60M,,0.1175,0.00,0.1098,0.1175,,0.115,0.00,0.1074,0.115,,102.13M,104.35M,0.00,,,
1997-03,437.70M,437.70M,378.30M,59.40M,37.30M,1.10M,,,,,41.70M,17.70M,,,,1.10M,,18.90M,7.50M,11.40M,,,11.40M,10.74M,22.10M,4.40M,17.70M,,0.11,0.00,0.1036,0.11,,0.11,0.00,0.1036,0.11,,103.64M,103.64M,0.00,,,
1996-12,433.60M,433.60M,375.60M,58.00M,36.50M,1.00M,,,,,41.10M,16.90M,,,,1.00M,,18.00M,7.10M,10.90M,,,10.90M,10.29M,21.50M,4.60M,16.90M,,0.105,0.00,0.0992,0.105,,0.105,0.00,0.0992,0.105,,103.81M,103.81M,0.00,,,
1996-09,404.00M,404.00M,346.40M,57.60M,36.30M,1.00M,,,,,41.20M,16.40M,,,,1.00M,,17.60M,7.00M,10.60M,,,10.60M,9.998M,21.30M,4.90M,16.40M,,0.1025,0.00,0.0967,0.1025,,0.1025,0.00,0.0967,0.1025,,103.40M,103.65M,0.00,,,
1996-06,436.80M,436.80M,379.00M,57.80M,36.70M,0.50M,,,,,41.20M,16.60M,,,,0.50M,,17.20M,6.80M,10.40M,,,10.40M,10.10M,21.10M,4.50M,16.60M,,0.10,0.00,0.0971,0.10,,0.10,0.00,0.0971,0.10,,104.00M,104.00M,0.00,,,
1996-03,487.00M,487.00M,430.30M,56.70M,36.50M,0.20M,,,,,40.50M,16.20M,,,,0.20M,,16.40M,6.50M,9.90M,,,9.90M,9.779M,20.20M,4.00M,16.20M,,0.095,0.00,0.0938,0.095,,0.095,0.00,0.0938,0.095,,104.21M,104.21M,0.00,,,
1995-12,471.10M,471.10M,417.90M,53.20M,34.00M,0.50M,,,,,37.90M,15.30M,,,,0.50M,,15.90M,6.30M,9.60M,,,9.60M,9.298M,19.20M,3.90M,15.30M,,0.0925,0.00,0.0896,0.0925,,0.0925,0.00,0.0896,0.0925,,103.78M,103.78M,0.00,,,
1995-09,469.40M,469.40M,416.20M,53.20M,35.50M,0.30M,,,,,38.50M,14.70M,,,,0.30M,,14.80M,5.90M,8.90M,,,8.90M,8.720M,17.70M,3.00M,14.70M,,0.0875,0.00,0.0857,0.0875,,0.0875,0.00,0.0857,0.0875,,101.76M,101.76M,0.00,,,
1995-06,444.60M,444.60M,390.90M,53.70M,35.50M,-0.20M,,,,,39.60M,14.10M,,,,-0.20M,,13.90M,5.50M,8.40M,,,8.40M,8.521M,18.20M,4.10M,14.10M,,0.0825,0.00,0.0837,0.0825,,0.0825,0.00,0.0837,0.0825,,101.82M,101.82M,0.00,,,
1995-03,396.70M,396.70M,347.40M,49.30M,33.80M,0.50M,,,,,37.30M,12.00M,,,,0.50M,,12.60M,5.00M,7.60M,,,7.60M,7.298M,15.50M,3.50M,12.00M,,0.075,0.00,0.0720,0.075,,0.075,0.00,0.0720,0.075,,101.33M,101.33M,0.00,,,
1994-12,412.40M,412.40M,365.00M,47.40M,31.70M,-0.10M,,,,,35.30M,12.10M,,,,-0.10M,,12.10M,4.80M,7.30M,,,7.30M,7.360M,15.70M,3.60M,12.10M,,0.0725,0.00,0.0731,0.0725,,0.0725,0.00,0.0731,0.0725,,100.69M,100.69M,0.00,,,
1994-09,368.80M,368.80M,329.70M,39.10M,40.00M,-1.40M,,,,,42.90M,-3.80M,,,,-1.40M,,-5.20M,-2.10M,-3.10M,,,-3.10M,-2.26M,-0.90M,2.90M,-3.80M,,-0.03,0.00,-0.0215,-0.03,,-0.03,0.00,-0.0217,-0.03,,99.00M,100.69M,0.00,,,
1994-06,263.80M,263.80M,224.50M,39.30M,24.60M,0.20M,,,,,27.30M,12.00M,,,,0.20M,,12.10M,4.80M,7.30M,,,7.30M,7.179M,15.60M,3.60M,12.00M,,0.0725,0.00,0.0713,0.0725,,0.0725,0.00,0.0713,0.0725,,100.69M,100.69M,0.00,,,
1994-03,272.60M,272.60M,236.00M,36.60M,22.50M,0.20M,,,,,24.70M,11.90M,,,,0.20M,,12.20M,4.90M,7.30M,,,7.30M,7.18M,14.30M,2.40M,11.90M,,0.0725,0.00,0.0713,0.0725,,0.0725,0.00,0.0713,0.0725,,100.69M,100.69M,0.00,,,
1993-12,260.60M,260.60M,224.30M,36.30M,22.50M,0.70M,,,,,24.60M,11.70M,,,,0.70M,,12.40M,5.10M,7.30M,,,7.30M,6.88M,13.80M,2.10M,11.70M,,0.0725,0.00,0.0683,0.0725,,0.0725,0.00,0.0683,0.0725,,100.69M,100.69M,0.00,,,
1993-09,326.50M,326.50M,274.40M,52.10M,35.50M,0.40M,,,,,38.90M,13.20M,,,,0.40M,,13.70M,5.70M,8.00M,,,8.00M,7.76M,16.60M,3.40M,13.20M,,0.0725,0.00,0.0703,0.0725,,0.0725,0.00,0.0703,0.0725,,110.47M,110.47M,0.00,,,
1993-06,258.30M,258.30M,221.00M,37.30M,23.30M,0.50M,,,,,25.80M,11.50M,,,,0.50M,,12.20M,5.10M,7.10M,,,7.10M,6.80M,14.00M,2.50M,11.50M,,0.0725,0.00,0.0694,0.0725,,0.0725,0.00,0.0694,0.0725,,97.93M,97.93M,0.00,,,
1993-03,273.10M,273.10M,239.30M,33.80M,23.00M,1.30M,,,,,23.00M,10.80M,,,,1.30M,,12.10M,5.10M,7.00M,,,7.00M,6.22M,12.10M,1.30M,10.80M,,0.0725,0.00,0.0644,0.0725,,0.0725,0.00,0.0644,0.0725,,96.55M,96.55M,0.00,,,
1992-12,284.90M,284.90M,253.10M,31.80M,19.80M,1.10M,,,,,21.40M,10.40M,,,,1.10M,,11.50M,4.80M,6.70M,,,6.70M,6.04M,12.00M,1.60M,10.40M,,0.07,0.00,0.0631,0.07,,0.07,0.00,0.0631,0.07,,95.71M,95.71M,0.00,,,
1992-09,299.30M,299.30M,266.60M,32.70M,20.40M,1.70M,,,,,23.10M,9.60M,,,,1.70M,,11.20M,4.70M,6.50M,,,6.50M,5.48M,12.30M,2.70M,9.60M,,0.0675,0.00,0.0569,0.0675,,0.0675,0.00,0.0569,0.0675,,96.28M,96.28M,0.00,,,
1992-06,283.40M,283.40M,251.80M,31.60M,20.20M,1.20M,,,,,22.00M,9.60M,,,,1.20M,,10.80M,4.50M,6.30M,,,6.30M,5.58M,11.40M,1.80M,9.60M,,0.065,0.00,0.0576,0.065,,0.065,0.00,0.0576,0.065,,96.92M,96.92M,0.00,,,
1992-03,270.10M,270.10M,238.30M,31.80M,20.50M,3.90M,,,,,21.70M,10.10M,,,,3.90M,,14.00M,5.90M,8.10M,,,8.10M,5.76M,11.30M,1.20M,10.10M,,0.085,0.00,0.0604,0.085,,0.085,0.00,0.0604,0.085,,95.29M,95.29M,0.00,,,
1991-12,253.70M,253.70M,222.60M,31.10M,19.80M,0.60M,,,,,21.80M,9.30M,,,,0.60M,,9.90M,4.20M,5.70M,,,5.70M,5.34M,11.30M,2.00M,9.30M,,0.06,0.00,0.0562,0.06,,0.06,0.00,0.0562,0.06,,95.00M,95.00M,0.00,,,
1991-09,234.40M,234.40M,203.00M,31.40M,20.30M,0.60M,,,,,22.20M,9.20M,,,,0.60M,,9.90M,4.10M,5.80M,,,5.80M,5.44M,11.10M,1.90M,9.20M,,0.0575,0.00,0.0540,0.0575,,0.0575,0.00,0.0540,0.0575,,101.44M,101.44M,0.00,,,
1991-06,262.80M,262.80M,232.10M,30.70M,20.40M,0.20M,,,,,22.00M,8.70M,,,,0.20M,,8.80M,3.70M,5.10M,,,5.10M,4.98M,10.30M,1.60M,8.70M,,0.055,0.00,0.0537,0.055,,0.055,0.00,0.0537,0.055,,92.73M,92.73M,0.00,,,
1991-03,276.20M,276.20M,247.80M,28.40M,19.50M,1.10M,,,,,21.10M,7.30M,,,,1.10M,,8.50M,3.60M,4.90M,,,4.90M,4.24M,8.90M,1.60M,7.30M,,0.0525,0.00,0.0454,0.0525,,0.0525,0.00,0.0454,0.0525,,93.33M,93.33M,0.00,,,
1990-12,262.90M,262.90M,235.80M,27.10M,18.20M,0.90M,,,,,20.00M,7.10M,,,,0.90M,,7.90M,3.30M,4.60M,,,4.60M,4.06M,8.90M,1.80M,7.10M,,0.05,0.00,0.0441,0.05,,0.05,0.00,0.0441,0.05,,92.00M,92.00M,0.00,,,
1990-09,230.30M,230.30M,204.30M,26.00M,18.60M,1.10M,,,,,20.20M,5.80M,,,,1.10M,,6.90M,2.90M,4.00M,,,4.00M,3.34M,7.40M,1.60M,5.80M,,0.0425,0.00,0.0355,0.0425,,0.0425,0.00,0.0355,0.0425,,94.47M,94.47M,0.00,,,
1990-06,221.10M,221.10M,196.10M,25.00M,17.50M,0.10M,,,,,18.90M,6.10M,,,,0.10M,,6.20M,2.60M,3.60M,,,3.60M,3.54M,7.50M,1.40M,6.10M,,0.04,0.00,0.0393,0.04,,0.04,0.00,0.0393,0.04,,90.00M,90.00M,0.00,,,
1990-03,218.80M,218.80M,196.30M,22.50M,15.70M,0.30M,,,,,16.90M,5.60M,,,,0.30M,,5.90M,2.50M,3.40M,,,3.40M,3.22M,6.80M,1.20M,5.60M,,0.04,0.00,0.0379,0.04,,0.04,0.00,0.0379,0.04,,85.00M,85.00M,0.00,,,
1989-12,211.50M,211.50M,191.10M,20.40M,14.90M,1.50M,,,,,16.20M,4.20M,,,,1.50M,,5.70M,2.40M,3.30M,,,3.30M,2.40M,5.50M,1.30M,4.20M,,0.0375,0.00,0.0273,0.0375,,0.0375,0.00,0.0273,0.0375,,88.00M,88.00M,0.00,,,
1989-09,209.00M,209.00M,,,,,,,,,,-569.90M,,,,,,,,3.10M,,,3.10M,,-569.90M,,-569.90M,,,,,,,,,,,,86.06M,86.06M,0.00,,,
1989-06,228.60M,228.60M,,,,,,,,,,228.60M,,,,,,,,2.60M,,,2.60M,,228.60M,,228.60M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,83.82M,83.82M,0.00,,,
1989-03,190.70M,190.70M,,,,,,,,,,190.70M,,,,,,,,2.40M,,,2.40M,,190.70M,,190.70M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,83.82M,83.82M,0.00,,,
1988-12,165.30M,165.30M,,,,,,,,,,165.30M,,,,,,,,2.10M,,,2.10M,,165.30M,,165.30M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,83.65M,83.65M,0.00,,,
1988-09,167.60M,167.60M,,,,,,,,,,-579.80M,,,,,,,,1.70M,,,1.70M,,-579.80M,,-579.80M,,,,,,,,,,,,75.82M,75.82M,0.00,,,
1988-06,189.80M,189.80M,,,,,,,,,,189.80M,,,,,,,,1.60M,,,1.60M,,189.80M,,189.80M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,75.28M,75.28M,0.00,,,
1988-03,194.60M,194.60M,,,,,,,,,,194.60M,,,,,,,,1.60M,,,1.60M,,194.60M,,194.60M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,75.28M,75.28M,0.00,,,
1987-12,206.40M,206.40M,,,,,,,,,,206.40M,,,,,,,,1.70M,,,1.70M,,206.40M,,206.40M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,75.23M,75.23M,0.00,,,
1987-09,85.90M,85.90M,,,,,,,,,,-230.30M,,,,,,,,1.80M,,,1.80M,,-230.30M,,-230.30M,,,,,,,,,,,,75.28M,75.28M,0.00,,,
1987-06,84.60M,84.60M,,,,,,,,,,84.60M,,,,,,,,0.70M,,,0.70M,,84.60M,,84.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,75.20M,75.20M,0.00,,,
1987-03,78.40M,78.40M,,,,,,,,,,78.40M,,,,,,,,0.50M,,,0.50M,,78.40M,,78.40M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,75.20M,75.20M,0.00,,,
1986-12,71.30M,71.30M,,,,,,,,,,71.30M,,,,,,,,0.50M,,,0.50M,,71.30M,,71.30M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,75.18M,75.18M,0.00,,,
1986-09,56.20M,56.20M,,,,,,,,,,-148.80M,,,,,,,,-0.20M,,,-0.20M,,-148.80M,,-148.80M,,,,,,,,,,,,75.18M,75.18M,0.00,,,
1986-06,50.30M,50.30M,,,,,,,,,,50.30M,,,,,,,,0.60M,,,0.60M,,50.30M,,50.30M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,75.18M,75.18M,0.00,,,
1986-03,51.70M,51.70M,,,,,,,,,,51.70M,,,,,,,,0.10M,,,0.10M,,51.70M,,51.70M,,0.0025,0.00,0.0025,0.0025,,0.0025,0.00,0.0025,0.0025,,75.17M,75.17M,0.00,,,
1985-12,49.40M,49.40M,,,,,,,,,,49.40M,,,,,,,,0.40M,,,0.40M,,49.40M,,49.40M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,79.34M,79.34M,0.00,,,
1985-09,58.60M,58.60M,,,,,,,,,,-159.10M,,,,,,,,0.30M,,,0.30M,,-159.10M,,-159.10M,,,,,,,,,,,,79.34M,79.34M,0.00,,,
1985-06,49.80M,49.80M,,,,,,,,,,49.80M,,,,,,,,0.70M,,,0.70M,,49.80M,,49.80M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,79.34M,79.34M,0.00,,,
1985-03,55.20M,55.20M,,,,,,,,,,55.20M,,,,,,,,0.60M,,,0.60M,,55.20M,,55.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,79.34M,79.34M,0.00,,,
1984-12,56.90M,56.90M,,,,,,,,,,56.90M,,,,,,,,0.30M,,,0.30M,,56.90M,,56.90M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,79.34M,79.34M,0.00,,,
1984-09,53.80M,53.80M,,,,,,,,,,-139.20M,,,,,,,,-5.90M,,,-5.90M,,-139.20M,,-139.20M,,,,,,,,,,,,79.34M,79.34M,0.00,,,
1984-06,39.40M,39.40M,,,,,,,,,,39.40M,,,,,,,,-1.50M,,,-1.50M,,39.40M,,39.40M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,79.34M,79.34M,0.00,,,
1984-03,41.40M,41.40M,,,,,,,,,,41.40M,,,,,,,,-1.80M,,,-1.80M,,41.40M,,41.40M,,-0.0225,0.00,-0.0225,-0.0225,,-0.0225,0.00,-0.0225,-0.0225,,79.34M,79.34M,0.00,,,
