,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-10,1.538B,,,405.00M,405.00M,-269.00M,,,55.00M,-33.00M,-620.00M,67.00M,144.00M,-50.00M,47.00M,-445.00M,,1.284B,,-1.018B,27.00M,-991.00M,-1.405B,1.109B,,-1.287B,,,,980.00M,77.00M,-849.00M,-772.00M,,-214.00M,277.00M,174.00M,,736.00M,171.00M,-2.00M,905.00M,,77.00M,,,-849.00M,,,,,
2005-07,1.768B,,-124.00M,368.00M,368.00M,-96.00M,,,161.00M,-70.00M,179.00M,-288.00M,-77.00M,-408.00M,80.00M,-584.00M,,1.493B,,-1.014B,61.00M,-953.00M,-708.00M,727.00M,,-934.00M,,,,-3.00M,140.00M,-522.00M,-382.00M,,-214.00M,,-502.00M,,683.00M,57.00M,-4.00M,736.00M,,140.00M,,,-522.00M,,,,,
2005-04,1.247B,,124.00M,361.00M,361.00M,88.00M,,,,-444.00M,-1.219B,2.439B,-119.00M,864.00M,15.00M,1.536B,,3.356B,,-821.00M,37.00M,-784.00M,-138.00M,-650.00M,,-1.572B,,,,-3.00M,50.00M,-1.433B,-1.383B,,-217.00M,,-1.603B,,506.00M,181.00M,-4.00M,683.00M,,50.00M,,,-1.433B,,,,,
2005-01,1.041B,,32.00M,348.00M,348.00M,96.00M,,,,314.00M,115.00M,-1.751B,35.00M,54.00M,-27.00M,-1.26B,,257.00M,,-1.17B,25.00M,-1.145B,0.00,1.066B,,-79.00M,,,,-3.00M,150.00M,-584.00M,-434.00M,,-187.00M,,-352.00M,,675.00M,-174.00M,5.00M,506.00M,,150.00M,,,-584.00M,,,,,
2004-10,1.317B,,32.00M,335.00M,335.00M,35.00M,,,,-254.00M,-304.00M,-412.00M,70.00M,-211.00M,35.00M,-1.076B,,643.00M,,-1.241B,13.00M,-1.228B,-15.00M,-720.00M,,-1.963B,,,,493.00M,43.00M,-76.00M,-33.00M,,-186.00M,,274.00M,,1.692B,-1.046B,29.00M,675.00M,,43.00M,,,-76.00M,,,,,
2004-07,1.545B,,34.00M,324.00M,324.00M,66.00M,,,-8.00M,81.00M,389.00M,274.00M,-2.00M,-122.00M,9.00M,629.00M,,2.59B,,-857.00M,25.00M,-832.00M,-712.00M,1.433B,,-111.00M,,,,-3.00M,63.00M,-1.53B,-1.467B,,-189.00M,,-1.659B,,862.00M,820.00M,10.00M,1.692B,,63.00M,,,-1.53B,,,,,
2004-04,1.098B,,27.00M,312.00M,312.00M,122.00M,,,8.00M,-407.00M,-1.049B,2.534B,-74.00M,544.00M,27.00M,1.575B,,3.142B,,-680.00M,33.00M,-647.00M,,-1.679B,,-2.326B,,,,-2.00M,29.00M,-916.00M,-887.00M,,-157.00M,,-1.046B,,1.103B,-230.00M,-11.00M,862.00M,,29.00M,,,-916.00M,,,,,
2004-01,951.00M,,,290.00M,290.00M,,,,,388.00M,-78.00M,-1.358B,,-472.00M,78.00M,-1.442B,,404.00M,,-1.00B,45.00M,-955.00M,-200.00M,-228.00M,,-1.981B,,,,-2.00M,114.00M,-663.00M,-549.00M,,-159.00M,,-710.00M,,4.944B,-2.287B,-6.00M,1.103B,,114.00M,,,-663.00M,,,,,
2003-10,1.147B,,,281.00M,281.00M,,,,,-60.00M,-360.00M,489.00M,,-36.00M,59.00M,92.00M,,1.52B,,-837.00M,33.00M,-804.00M,-14.00M,23.00M,,-795.00M,,,,-1.00M,22.00M,-867.00M,-845.00M,,-160.00M,,-1.006B,,5.209B,-281.00M,16.00M,4.944B,,22.00M,,,-867.00M,,,,,
2003-07,1.299B,,,257.00M,257.00M,,,,,3.00M,649.00M,-412.00M,,7.00M,47.00M,294.00M,,1.85B,,-915.00M,45.00M,-870.00M,-1.00M,51.00M,,-820.00M,,,,-2.00M,79.00M,-24.00M,55.00M,,-138.00M,,-85.00M,,4.264B,945.00M,0.00,5.209B,,79.00M,,,-24.00M,,,,,
2003-04,907.00M,,,248.00M,248.00M,,,,,-306.00M,-904.00M,2.071B,,753.00M,2.00M,1.616B,,2.771B,,-756.00M,142.00M,-614.00M,,39.00M,,-575.00M,,,,-4.00M,12.00M,,12.00M,,-138.00M,,-130.00M,,2.188B,2.066B,10.00M,4.264B,,12.00M,,,,,,,,
2003-01,686.00M,,,238.00M,238.00M,,,,,187.00M,-18.00M,-1.027B,,-42.00M,-87.00M,-987.00M,,110.00M,,-795.00M,23.00M,-772.00M,-4.00M,291.00M,1.00M,-484.00M,,,,-2.00M,54.00M,-1.00B,-946.00M,,-140.00M,,-1.088B,,3.98B,-1.462B,3.00M,640.00M,,54.00M,,,-1.00B,,,,,
2002-10,940.00M,,,231.00M,231.00M,,,,,31.00M,-1.103B,124.00M,,-342.00M,187.00M,-1.103B,,68.00M,,-681.00M,82.00M,-599.00M,-172.00M,88.00M,-76.00M,-759.00M,,,,-1.00M,46.00M,-1.00B,-954.00M,,-117.00M,,-1.072B,,5.734B,-1.763B,9.00M,3.98B,,46.00M,,,-1.00B,,,,,
2002-07,1.182B,,,225.00M,225.00M,,,,,-135.00M,222.00M,-316.00M,,192.00M,47.00M,10.00M,,1.417B,,-634.00M,-34.00M,-668.00M,-59.00M,2.00M,68.00M,-657.00M,,,,5.00M,109.00M,,109.00M,,-117.00M,,-3.00M,,4.982B,757.00M,-5.00M,5.734B,,109.00M,,,,,,,,
2002-04,856.00M,,,209.00M,209.00M,,,,,-121.00M,-693.00M,2.613B,,422.00M,-79.00M,2.142B,,3.207B,,-639.00M,56.00M,-583.00M,,-125.00M,7.00M,-701.00M,,,,-1.00M,117.00M,,117.00M,,-118.00M,,-2.00M,,2.477B,2.504B,1.00M,4.982B,,117.00M,,,,,,,,
2002-01,710.00M,,,200.00M,200.00M,,,,,101.00M,520.00M,-8.00M,,120.00M,59.00M,792.00M,,1.702B,,-839.00M,114.00M,-725.00M,-126.00M,-62.00M,-20.00M,-933.00M,,,,11.00M,166.00M,,166.00M,,-116.00M,,61.00M,,1.654B,830.00M,-7.00M,2.477B,,166.00M,,,,,,,,
2001-10,778.00M,,,198.00M,198.00M,,,,,-78.00M,-59.00M,374.00M,,-75.00M,66.00M,228.00M,,1.204B,,-831.00M,33.00M,-798.00M,0.00,-4.00M,7.00M,-795.00M,,,,5.00M,47.00M,,47.00M,,-93.00M,,-41.00M,,1.287B,368.00M,-1.00M,1.654B,,47.00M,,,,,,,,
2001-07,924.00M,,,189.00M,189.00M,,,,,63.00M,65.00M,-287.00M,,-122.00M,4.00M,-277.00M,,836.00M,,-907.00M,4.00M,-903.00M,-64.00M,5.00M,2.00M,-960.00M,,,,12.00M,133.00M,,133.00M,,-94.00M,,51.00M,,1.363B,-73.00M,-3.00M,1.287B,,133.00M,,,,,,,,
2001-04,632.00M,,,177.00M,177.00M,,,,,-205.00M,-692.00M,1.999B,,349.00M,-39.00M,1.412B,,2.221B,,-816.00M,39.00M,-777.00M,,1.00M,-2.00M,-778.00M,,,,-250.00M,99.00M,,99.00M,,-93.00M,,-244.00M,,167.00M,1.199B,-3.00M,1.363B,,99.00M,,,,,,,,
2001-01,465.00M,,,164.00M,164.00M,,,,,77.00M,-85.00M,-693.00M,,32.00M,43.00M,-626.00M,,3.00M,,-917.00M,29.00M,-888.00M,-7.00M,5.00M,-9.00M,-899.00M,,,,740.00M,133.00M,,133.00M,,-93.00M,,780.00M,,284.00M,-116.00M,-1.00M,167.00M,,133.00M,,,,,,,,
2000-10,650.00M,,,154.00M,154.00M,,,,,-130.00M,-187.00M,43.00M,,-116.00M,83.00M,-307.00M,,497.00M,,-1.075B,16.00M,-1.059B,-14.00M,-12.00M,-4.00M,-1.089B,,,,10.00M,22.00M,,22.00M,,-93.00M,,-61.00M,,940.00M,-653.00M,-3.00M,284.00M,,22.00M,,,,,,,,
2000-07,837.00M,,,146.00M,146.00M,,,,,-33.00M,111.00M,-327.00M,,-132.00M,-29.00M,-410.00M,,573.00M,,-893.00M,31.00M,-862.00M,0.00,4.00M,2.00M,-856.00M,,,,7.00M,109.00M,,109.00M,,-93.00M,,23.00M,,1.202B,-260.00M,-2.00M,940.00M,,109.00M,,,,,,,,
2000-04,629.00M,,,137.00M,137.00M,,,,,-160.00M,-914.00M,1.731B,,367.00M,-67.00M,957.00M,,1.723B,,-673.00M,19.00M,-654.00M,-5.00M,-6.00M,-21.00M,-686.00M,,,,,87.00M,,87.00M,,-92.00M,,-5.00M,,168.00M,1.032B,2.00M,1.202B,,87.00M,,,,,,,,
2000-01,578.00M,,,125.00M,125.00M,,,,,90.00M,-179.00M,-575.00M,,56.00M,,-631.00M,,72.00M,,-759.00M,37.00M,-722.00M,,28.00M,-11.00M,-806.00M,,,,18.00M,28.00M,,28.00M,,-92.00M,0.00,-46.00M,,946.00M,-780.00M,2.00M,168.00M,,28.00M,,,,,,,,
1999-10,573.00M,,,117.00M,117.00M,,,,34.00M,-101.00M,-287.00M,254.00M,,-86.00M,,-220.00M,,504.00M,,-598.00M,18.00M,-580.00M,,-28.00M,-5.00M,-613.00M,,,,497.00M,98.00M,,98.00M,,-60.00M,2.00M,537.00M,,518.00M,428.00M,0.00,946.00M,,98.00M,,,,,,,,
1999-07,680.00M,,,114.00M,114.00M,,,,13.00M,-43.00M,-22.00M,-57.00M,,-118.00M,,-240.00M,,567.00M,,-674.00M,13.00M,-661.00M,,-2.00M,-6.00M,-669.00M,,,,-1.00M,78.00M,,78.00M,,-59.00M,0.00,18.00M,,604.00M,-84.00M,-2.00M,518.00M,,78.00M,,,,,,,,
1999-04,489.00M,,,107.00M,107.00M,,,,-47.00M,-31.00M,-654.00M,1.198B,,241.00M,,754.00M,,1.303B,,-550.00M,19.00M,-531.00M,,,-3.00M,-534.00M,,,,-252.00M,63.00M,,63.00M,,-44.00M,5.00M,-228.00M,,62.00M,541.00M,1.00M,604.00M,,63.00M,,,,,,,,
1999-01,418.00M,,,96.00M,96.00M,,,,54.00M,-10.00M,-131.00M,-558.00M,,4.00M,,-695.00M,,-120.00M,,-834.00M,15.00M,-819.00M,,1.00M,264.00M,-554.00M,,,,243.00M,17.00M,,17.00M,,-43.00M,4.00M,221.00M,,0.00,-453.00M,0.00,62.00M,,17.00M,,,,,,,,
1998-10,392.00M,,,97.00M,97.00M,,,,-1.00M,-37.00M,-375.00M,339.00M,,15.00M,,-58.00M,,430.00M,,-595.00M,8.00M,-587.00M,,-1.00M,-3.00M,-591.00M,,,,-1.00M,66.00M,,66.00M,,-44.00M,2.00M,23.00M,,0.00,-138.00M,-1.00M,0.00,,66.00M,,,,,,,,
1998-07,467.00M,,,93.00M,93.00M,,,,1.00M,58.00M,212.00M,-176.00M,,-108.00M,,-14.00M,,547.00M,,-467.00M,10.00M,-457.00M,,1.00M,-1.00M,-457.00M,,,,0.00,37.00M,,37.00M,,-45.00M,-3.00M,-11.00M,,0.00,79.00M,-3.00M,0.00,,37.00M,,,,,,,,
1998-04,337.00M,,,87.00M,87.00M,,,,,74.00M,-404.00M,818.00M,,148.00M,,636.00M,,1.06B,,-424.00M,12.00M,-412.00M,,1.00M,-258.00M,-669.00M,,,,-4.00M,47.00M,,47.00M,,-36.00M,8.00M,15.00M,,172.00M,406.00M,,0.00,,47.00M,,,,,,,,
1998-01,307.40M,,,78.30M,78.30M,-28.70M,,,-0.10M,-43.40M,-129.30M,-375.90M,,73.30M,,-475.30M,,-118.40M,,-496.10M,39.10M,-457.00M,,287.10M,21.00M,-148.90M,,,,-2.80M,16.20M,,16.20M,,-37.10M,4.50M,-19.20M,,0.00,-286.50M,0.30M,172.00M,,16.20M,,,,,,,,
1997-10,235.90M,,,70.50M,70.50M,0.00,,,0.00,-118.60M,-284.10M,285.70M,,26.20M,,-90.80M,,215.60M,,-400.10M,21.50M,-378.60M,,68.50M,55.50M,-254.60M,,,,14.50M,41.80M,0.20M,42.00M,,-36.60M,4.00M,23.90M,,0.00,-15.10M,0.10M,0.00,,41.80M,,,0.20M,,,,,
1997-07,357.90M,,,66.80M,66.80M,0.00,,,0.20M,-32.00M,52.30M,-239.40M,,5.60M,,-213.50M,,211.40M,,-318.90M,14.50M,-304.40M,,33.50M,-61.40M,-332.30M,,,,-0.90M,18.00M,0.00,18.00M,,-36.40M,-0.70M,-20.00M,,0.00,-140.90M,0.00,0.00,,18.00M,,,0.00,,,,,
1997-04,258.80M,,,67.40M,67.40M,0.70M,,,-0.10M,28.00M,-523.90M,906.60M,,-17.10M,,393.60M,,720.40M,,-265.90M,9.90M,-256.00M,,15.90M,4.90M,-235.20M,,,,-35.80M,46.00M,-0.20M,45.80M,,-28.90M,2.20M,-16.70M,,146.00M,468.50M,-0.40M,0.00,,46.00M,,,-0.20M,,,,,
1997-01,251.40M,,,63.50M,63.50M,10.30M,,,24.90M,-1.90M,-51.10M,-312.10M,,-10.50M,,-375.60M,,-25.50M,,-319.30M,4.30M,-315.00M,,-218.50M,-7.10M,-540.60M,,,,-9.00M,10.60M,,10.60M,,-28.60M,22.80M,-4.20M,,0.00,-570.30M,-0.20M,0.00,,10.60M,,,,,,,,
1996-10,221.40M,,,59.20M,59.20M,13.50M,,,0.10M,-66.60M,-138.30M,152.60M,,21.90M,,-30.40M,,263.80M,,-342.30M,8.00M,-334.30M,,-188.60M,1.50M,-521.40M,,,,934.40M,37.80M,0.20M,38.00M,,-28.80M,-2.70M,940.90M,,0.00,683.30M,0.30M,0.00,,37.80M,,,0.20M,,,,,
1996-07,270.20M,,,56.30M,56.30M,5.20M,,,0.10M,-38.70M,12.70M,37.50M,,-106.60M,,-95.10M,,236.70M,,-253.30M,4.30M,-249.00M,,66.10M,-28.90M,-211.80M,,,,-33.30M,13.10M,0.00,13.10M,,-28.70M,9.10M,-39.80M,,0.00,-14.90M,-0.10M,0.00,,13.10M,,,0.00,,,,,
1996-04,195.00M,,,53.00M,53.00M,,,,-0.10M,49.20M,-348.30M,556.00M,,120.20M,,377.10M,,625.00M,,-279.10M,5.40M,-273.70M,,,40.50M,-233.20M,,,,-422.10M,42.50M,-0.20M,42.30M,,-23.90M,6.80M,-396.90M,,53.30M,-5.10M,,0.00,,42.50M,,,-0.20M,,,,,
1996-01,185.40M,,,51.80M,51.80M,5.60M,,,-25.50M,3.60M,32.00M,-408.00M,,,,-342.70M,,-125.40M,,-335.40M,5.40M,-330.00M,,29.90M,9.30M,-290.80M,,,,418.70M,5.50M,,5.50M,,-23.80M,19.60M,420.00M,,0.00,3.80M,0.00,0.00,,5.50M,,,,,,,,
1995-10,175.40M,,,46.90M,46.90M,6.80M,,,5.10M,-64.90M,-195.60M,124.00M,,,,-136.50M,,97.70M,,-263.70M,9.60M,-254.10M,,10.20M,-3.10M,-247.00M,,,,180.20M,19.70M,,19.70M,,-23.80M,3.30M,179.40M,,0.00,30.10M,0.40M,0.00,,19.70M,,,,,,,,
1995-07,212.90M,,,43.20M,43.20M,5.60M,,,-0.50M,-48.70M,-22.20M,56.80M,,,,-14.10M,,247.10M,,-331.70M,4.30M,-327.40M,,17.00M,23.10M,-287.30M,,,,-11.40M,28.60M,0.20M,28.80M,,-23.80M,16.90M,10.50M,,0.00,-29.70M,,0.00,,28.60M,,,0.20M,,,,,
1995-04,157.80M,,,39.30M,39.30M,,,,20.90M,40.10M,-243.50M,479.00M,,,,275.60M,,493.60M,,-347.30M,10.10M,-337.20M,,-0.20M,-14.50M,-351.90M,,,,-90.30M,14.70M,-0.20M,14.50M,,-18.30M,-0.10M,-94.20M,,1.20M,47.50M,,0.00,,14.70M,,,-0.20M,,,,,
1995-01,146.00M,,,35.40M,35.40M,,,,,-8.60M,-34.20M,-237.30M,,5.70M,,-274.40M,,-95.50M,,-299.60M,8.40M,-291.20M,,-376.90M,355.80M,-312.30M,,,,98.10M,29.70M,,29.70M,,-18.10M,10.10M,119.80M,,0.00,-288.00M,,0.00,,29.70M,,,,,,,,
1994-10,140.80M,,,33.80M,33.80M,,,,0.10M,-42.80M,-147.60M,211.50M,,-3.50M,,17.60M,,192.30M,,-276.90M,25.50M,-251.40M,,46.60M,-34.00M,-238.80M,,,,0.20M,6.50M,,6.50M,,-18.10M,2.90M,-8.50M,,0.00,-55.00M,,0.00,,6.50M,,,,,,,,
1994-07,178.00M,,,32.00M,32.00M,,,,-0.20M,-22.70M,-12.40M,-23.90M,,-59.70M,,-118.70M,,91.10M,,-102.50M,3.10M,-99.40M,,217.10M,-142.20M,-24.50M,,,,-0.20M,28.20M,,28.20M,,-18.10M,,9.90M,,0.00,76.50M,,0.00,,28.20M,,,,,,,,
1994-04,139.70M,,,28.40M,28.40M,,,,0.10M,5.10M,-211.00M,318.60M,,65.70M,,178.40M,,346.60M,,-421.70M,12.70M,-409.00M,,209.20M,21.10M,-178.70M,,,,-0.30M,13.50M,,13.50M,,-13.50M,,-0.30M,,100.00M,167.60M,,0.00,,13.50M,,,,,,,,
1994-01,112.70M,,,24.80M,24.80M,,,,,-13.00M,-113.10M,-82.20M,,12.90M,,-195.40M,,-45.20M,,-272.10M,11.60M,-260.50M,,219.40M,7.40M,-33.70M,,,,-0.90M,28.60M,,28.60M,,-13.40M,3.20M,17.50M,,0.00,-61.40M,,0.00,,28.60M,,,,,,,,
1993-10,103.40M,,,23.00M,23.00M,,,,,-13.80M,-54.40M,89.80M,,-10.00M,,11.60M,,138.00M,,-206.50M,-1.30M,-207.80M,,126.70M,-14.90M,-96.00M,,,,-0.40M,3.40M,,3.40M,,-13.50M,3.20M,-7.30M,,0.00,34.70M,,0.00,,3.40M,,,,,,,,
1993-07,134.50M,,,21.50M,21.50M,,,,,-16.70M,-31.20M,-23.00M,,-19.90M,,-90.80M,,65.20M,,-193.10M,24.80M,-168.30M,,-11.10M,-5.60M,-185.00M,,,,-0.30M,27.30M,,27.30M,,-13.40M,0.10M,13.70M,,0.00,-106.10M,,0.00,,27.30M,,,,,,,,
1993-04,106.80M,,,20.50M,20.50M,,,,,6.80M,-155.00M,216.40M,,43.00M,,111.20M,,238.50M,,-192.50M,,-192.50M,,39.10M,18.80M,-134.60M,,,,-0.40M,17.50M,,17.50M,,-10.00M,,7.10M,,121.70M,111.00M,,0.00,,17.50M,,,,,,,,
1993-01,97.20M,,,18.80M,18.80M,,,,0.10M,-20.30M,-41.30M,-47.90M,,5.90M,,-103.60M,,18.00M,,-136.20M,0.60M,-135.60M,,60.40M,-16.00M,-91.20M,,,,-0.30M,27.60M,,27.60M,,-9.90M,8.00M,25.40M,,0.00,-47.80M,,0.00,,27.60M,,,,,,,,
1992-10,84.30M,,,17.20M,17.20M,,,,-0.10M,-16.10M,-58.80M,35.50M,,5.40M,,-34.00M,,67.40M,,-136.00M,4.40M,-131.60M,,-167.60M,-14.10M,-313.30M,,,,-0.40M,2.80M,,2.80M,,-10.00M,-4.90M,-12.50M,,0.00,-258.40M,,0.00,,2.80M,,,,,,,,
1992-07,101.90M,,,18.20M,18.20M,,,,-0.10M,4.00M,-56.70M,-1.50M,,-4.90M,,-59.10M,,60.90M,,-80.40M,-1.40M,-81.80M,,38.80M,-24.00M,-67.00M,,,,-1.00M,16.80M,,16.80M,,-9.50M,-6.90M,-0.60M,,0.00,-6.70M,,0.00,,16.80M,,,,,,,,
1992-04,79.50M,,,15.30M,15.30M,,,,0.10M,-36.20M,-120.80M,232.90M,,21.00M,,96.90M,,191.80M,,-79.90M,1.40M,-78.50M,,-677.40M,0.10M,-755.80M,,,,804.60M,11.10M,,11.10M,,-6.40M,-29.20M,780.10M,,218.50M,216.10M,,0.00,,11.10M,,,,,,,,
1992-01,67.70M,,,14.30M,14.30M,-2.10M,,,-0.20M,-13.80M,-5.20M,-46.70M,,12.90M,,-52.80M,,26.90M,,-107.80M,,-107.00M,,-90.60M,-0.60M,-198.20M,,,,-0.50M,17.20M,,17.20M,,-6.30M,8.10M,18.50M,,0.00,-152.80M,,0.00,,17.20M,,,,,,,,
1991-10,58.40M,,,13.80M,13.80M,0.10M,,,-0.10M,-4.50M,-39.50M,42.70M,,23.00M,,21.70M,,93.90M,,-116.10M,,-116.10M,,-96.20M,0.00,-212.30M,,,,-0.40M,1.70M,,1.70M,,-6.30M,,-5.00M,,0.00,-123.40M,,0.00,,1.70M,,,,,,,,
1991-07,71.80M,,,12.60M,12.60M,-0.40M,,,0.10M,-1.30M,-21.00M,-23.10M,,-14.20M,,-59.60M,,24.50M,,-115.50M,,-115.50M,,-24.10M,0.60M,-139.00M,,,,-0.60M,3.40M,,3.40M,,-6.20M,-0.10M,-3.50M,,0.00,-118.00M,,0.00,,3.40M,,,,,,,,
1991-04,51.30M,,,11.60M,11.60M,0.30M,,,,-10.50M,-87.50M,135.30M,,20.80M,,58.10M,,121.30M,,-92.30M,,-92.30M,,-0.50M,,-92.80M,,,,-0.40M,480.30M,,480.30M,,-3.60M,0.10M,476.40M,,107.90M,504.90M,,0.00,,480.30M,,,,,,,,
1991-01,41.40M,,,10.30M,10.30M,1.20M,,,0.10M,,-30.30M,-0.80M,,8.90M,,-32.60M,,20.40M,,-136.20M,,-136.00M,,36.50M,14.00M,-85.50M,,,,-0.50M,10.00M,,10.00M,,-3.50M,7.50M,13.50M,,0.00,-51.60M,,0.00,,10.00M,,,,,,,,
1990-10,36.10M,,,8.90M,8.90M,0.60M,,,-0.10M,,-22.00M,30.70M,,1.40M,,10.10M,,55.60M,,-109.10M,,-109.10M,,-33.90M,-21.50M,-164.50M,,,,-0.30M,1.50M,,1.50M,,-3.50M,-0.20M,-2.50M,,0.00,-111.40M,,0.00,,1.50M,,,,,,,,
1990-07,47.30M,,,8.00M,8.00M,-0.80M,,,0.10M,,-0.40M,-20.60M,,-16.70M,,-37.70M,,16.90M,,-80.10M,,-80.10M,,19.00M,0.00,-61.10M,,,,229.50M,6.10M,,6.10M,,-3.50M,-9.90M,222.20M,,0.00,178.00M,,0.00,,6.10M,,,,,,,,
1990-04,38.60M,,,7.20M,7.20M,-0.30M,,,-0.10M,,-74.90M,101.80M,,15.50M,,42.40M,,87.80M,,-72.70M,,-72.70M,,14.90M,0.10M,-57.70M,,,,-0.30M,5.50M,,5.50M,,-2.30M,-9.60M,-6.70M,,69.50M,23.40M,,0.00,,5.50M,,,,,,,,
