,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,290.14M,,290.14M,1.210B,1.210B,1.414B,134.69M,,,3.049B,0.00,323.76M,1.352B,1.694B,3.370B,-1.939B,1.431B,582.34M,648.01M,1.230B,,84.00M,63.53M,2.809B,5.858B,,583.47M,16.69M,600.16M,266.70M,866.86M,330.00M,23.07M,247.35M,600.42M,600.42M,,,,1.789B,1.388B,1.388B,154.35M,154.35M,173.74M,86.08M,,1.717B,3.505B,,54.83M,6.802B,1.000B,5.370B,,,-221.09M,2.267B,,AOR,Restated
2015-09,258.15M,,258.15M,1.291B,1.291B,1.368B,124.13M,63.51M,,3.105B,,,,,3.283B,-1.910B,1.373B,678.31M,,678.31M,,23.64M,627.52M,2.702B,5.807B,,582.48M,16.04M,598.52M,308.63M,907.15M,,,,361.59M,361.59M,,,,1.549B,1.451B,1.451B,127.71M,127.71M,233.57M,84.80M,,1.812B,3.361B,,54.83M,6.730B,988.51M,5.194B,,,-217.86M,2.361B,,AOR,Restated
2015-06,819.79M,,819.79M,1.198B,1.198B,1.303B,142.83M,60.30M,,3.524B,,,,,3.150B,-1.826B,1.325B,486.61M,,486.61M,,17.36M,474.64M,2.303B,5.827B,,498.42M,10.83M,509.24M,255.91M,765.15M,,,,56.77M,56.77M,,,,1.047B,1.349B,1.349B,95.46M,95.46M,236.26M,78.92M,,1.680B,2.727B,,54.83M,6.615B,975.15M,4.462B,,,-162.72M,3.021B,,AOR,Restated
2015-03,243.43M,,243.43M,1.198B,1.198B,1.328B,114.78M,61.89M,,2.947B,,,,,3.099B,-1.792B,1.307B,481.54M,,481.54M,,13.49M,462.34M,2.264B,5.211B,,513.55M,74.79M,588.34M,246.14M,834.49M,,,,256.95M,256.95M,,,,1.298B,371.07M,371.07M,92.14M,92.14M,239.95M,77.28M,,703.16M,2.001B,,54.83M,6.473B,952.28M,4.175B,,,-172.72M,3.133B,,AOR,Restated
2014-12,226.64M,,226.64M,1.173B,1.173B,1.356B,150.20M,61.39M,,2.968B,0.00,337.57M,1.269B,1.508B,3.115B,-1.791B,1.324B,506.90M,263.93M,770.84M,,16.72M,203.60M,2.316B,5.283B,,554.09M,12.26M,566.34M,245.30M,811.64M,5.00M,51.90M,23.40M,80.30M,80.30M,,,,1.262B,403.33M,403.33M,95.46M,95.46M,238.44M,74.23M,,737.23M,1.999B,,54.83M,6.336B,948.34M,4.033B,,,-96.67M,3.210B,,AOR,Restated
2014-09,319.73M,,319.73M,1.235B,1.235B,1.307B,110.09M,72.45M,,3.044B,,,,,3.001B,-1.742B,1.259B,540.41M,,540.41M,,20.02M,463.06M,2.283B,5.326B,,498.24M,19.22M,517.46M,241.03M,758.50M,,,,72.00M,72.00M,,,,1.157B,385.19M,385.19M,113.84M,113.84M,194.20M,80.27M,,693.23M,1.850B,,54.83M,6.262B,936.33M,3.832B,,,-24.82M,3.396B,,AOR,Restated
2014-06,331.71M,,331.71M,1.178B,1.178B,1.317B,137.37M,66.47M,,3.031B,,,,,2.957B,-1.708B,1.249B,554.72M,,554.72M,,16.38M,460.57M,2.281B,5.311B,,513.83M,8.70M,522.53M,214.48M,737.01M,,,,134.97M,134.97M,,,,1.126B,432.48M,432.48M,112.32M,112.32M,192.03M,83.73M,,736.84M,1.863B,,54.83M,6.106B,923.06M,3.758B,,,38.69M,3.364B,,AOR,Restated
2014-03,375.56M,,375.56M,1.160B,1.160B,1.266B,129.52M,64.56M,,2.996B,,,,,2.886B,-1.675B,1.211B,522.06M,,522.06M,,31.54M,474.18M,2.239B,5.234B,,493.92M,98.93M,592.85M,220.69M,813.54M,,,,136.63M,136.63M,,,,1.166B,438.07M,438.07M,114.81M,114.81M,186.62M,80.48M,,739.50M,1.906B,,54.83M,5.975B,900.74M,3.690B,,,7.721M,3.248B,,AOR,Restated
2013-12,430.64M,,430.64M,1.102B,1.102B,1.306B,130.65M,75.82M,,3.044B,0.00,277.26M,1.259B,1.405B,2.941B,-1.733B,1.209B,525.47M,303.41M,828.88M,,16.21M,168.39M,2.222B,5.266B,,510.63M,6.33M,516.96M,218.84M,735.80M,0.00,66.86M,30.43M,97.29M,97.29M,,,,1.196B,445.51M,445.51M,113.58M,113.58M,184.60M,76.40M,,743.70M,1.939B,,54.83M,5.823B,893.06M,3.549B,,,28.91M,3.250B,,AOR,Restated
2013-09,540.00M,,540.00M,1.082B,1.082B,1.257B,110.51M,59.63M,,3.049B,,,,,2.840B,-1.704B,1.136B,568.95M,,568.95M,,58.05M,439.13M,2.202B,5.252B,,435.16M,18.04M,453.20M,206.93M,660.13M,,,,100.52M,100.52M,,,,1.074B,448.13M,448.13M,120.70M,120.70M,239.09M,80.57M,,807.92M,1.882B,,54.83M,5.731B,876.92M,3.392B,,,18.25M,3.289B,,AOR,Restated
2013-06,488.74M,,488.74M,1.076B,1.076B,1.222B,119.67M,56.29M,,2.962B,,,,,2.791B,-1.672B,1.119B,513.54M,,513.54M,,53.41M,382.24M,2.068B,5.030B,,452.18M,9.104M,461.28M,182.68M,643.96M,,,,95.51M,95.51M,,,,986.88M,452.45M,452.45M,118.33M,118.33M,230.28M,77.66M,,801.06M,1.788B,,54.83M,5.586B,855.11M,3.332B,,,0.365M,3.165B,,AOR,Restated
2013-03,485.52M,,485.52M,1.032B,1.032B,1.231B,122.03M,53.35M,,2.923B,,,,,2.779B,-1.645B,1.133B,521.58M,,521.58M,,56.22M,379.10M,2.090B,5.014B,,431.85M,64.47M,496.32M,196.56M,692.88M,,,,95.36M,95.36M,,,,989.42M,454.53M,454.53M,119.00M,119.00M,232.59M,89.31M,,806.12M,1.796B,,54.83M,5.434B,827.17M,3.219B,,,31.86M,3.129B,,AOR,Restated
2012-12,452.06M,,452.06M,940.02M,940.02M,1.302B,150.66M,55.97M,,2.901B,0.00,265.22M,1.224B,1.271B,2.760B,-1.616B,1.145B,543.67M,242.74M,786.40M,,51.54M,131.44M,2.114B,5.015B,,428.78M,12.94M,441.72M,204.80M,646.52M,,,,97.60M,97.60M,,,,1.080B,467.05M,467.05M,119.28M,119.28M,230.90M,93.45M,,817.23M,1.897B,,54.83M,5.279B,812.57M,3.176B,,,53.58M,3.024B,,AOR,Restated
2012-09,420.80M,,420.80M,1.022B,1.022B,1.270B,112.93M,49.36M,,2.875B,,,,,2.681B,-1.588B,1.093B,526.63M,372.88M,899.51M,,116.08M,,2.109B,4.984B,,439.60M,10.29M,449.89M,243.41M,693.30M,,,,82.39M,82.39M,,,,1.083B,479.70M,479.70M,109.01M,109.01M,343.47M,101.14M,,932.18M,2.015B,,54.83M,5.179B,786.80M,3.145B,,,-8.268M,2.867B,,AOR,Restated
2012-06,249.75M,,249.75M,1.015B,1.015B,1.266B,119.60M,48.39M,,2.699B,,,,,2.633B,-1.555B,1.078B,523.39M,352.05M,875.44M,,109.62M,,2.063B,4.761B,,473.04M,11.48M,484.52M,162.87M,647.39M,,,,75.04M,75.04M,,,,962.91M,473.50M,473.50M,103.03M,103.03M,327.71M,99.46M,,904.24M,1.867B,,54.83M,5.080B,768.96M,3.075B,,,-34.82M,2.795B,,AOR,Restated
2012-03,338.76M,,338.76M,977.44M,977.44M,1.244B,102.17M,43.41M,,2.706B,,,,,2.606B,-1.534B,1.072B,514.42M,350.70M,865.12M,,108.11M,,2.045B,4.751B,,447.66M,81.24M,528.89M,169.85M,698.74M,,,,332.14M,332.14M,,,,1.231B,191.55M,191.55M,102.03M,102.03M,353.21M,92.25M,,646.80M,1.878B,,54.83M,4.947B,723.80M,2.935B,,,-8.584M,2.781B,,AOR,Restated
2011-12,335.49M,,335.49M,888.70M,888.70M,1.269B,154.66M,47.41M,,2.695B,0.00,252.16M,1.186B,1.127B,2.565B,-1.505B,1.060B,509.18M,247.43M,756.61M,,100.83M,103.42M,2.021B,4.716B,,477.65M,23.16M,500.80M,178.65M,679.46M,50.00M,69.00M,222.50M,341.51M,341.51M,,,,1.388B,175.06M,175.06M,100.22M,100.22M,328.58M,95.49M,,603.86M,1.992B,,54.83M,4.806B,700.83M,2.904B,,,-28.74M,2.629B,,AOR,Restated
2011-09,360.66M,,360.66M,944.98M,944.98M,1.114B,108.13M,49.63M,,2.578B,,,,,2.489B,-1.482B,1.008B,546.70M,315.72M,862.43M,,102.90M,,1.973B,4.551B,,447.69M,15.81M,463.50M,148.87M,612.37M,,,,444.01M,444.01M,,,,1.375B,163.42M,163.42M,114.87M,114.87M,266.24M,92.54M,,544.53M,1.919B,,54.83M,4.705B,673.18M,2.890B,,,-3.24M,2.539B,,AOR,Restated
2011-06,465.70M,,465.70M,870.44M,870.44M,996.60M,125.16M,48.36M,,2.506B,,,,,2.446B,-1.464B,981.34M,394.29M,229.08M,623.38M,,89.46M,,1.694B,4.200B,,394.09M,13.02M,407.11M,128.09M,535.20M,,,,285.76M,285.76M,,,,1.079B,200.47M,200.47M,83.61M,83.61M,262.78M,86.50M,,546.86M,1.626B,,54.83M,4.569B,652.91M,2.855B,,,65.81M,2.488B,,AOR,Restated
2011-03,334.70M,,334.70M,809.85M,809.85M,981.37M,88.84M,46.94M,,2.262B,,,,,2.403B,-1.438B,965.13M,390.36M,224.60M,614.96M,,91.64M,,1.672B,3.933B,,362.00M,54.14M,416.14M,118.33M,534.47M,,,,76.56M,76.56M,,,,781.97M,413.34M,413.34M,87.14M,87.14M,251.75M,82.61M,,752.22M,1.534B,,54.83M,4.446B,648.06M,2.890B,,,57.14M,2.317B,,AOR,Restated
2010-12,313.45M,,313.45M,762.90M,762.90M,991.58M,125.52M,44.63M,,2.238B,0.00,249.12M,1.133B,995.25M,2.378B,-1.414B,963.67M,387.23M,224.70M,611.93M,3.461M,87.24M,,1.666B,3.904B,,344.30M,5.882M,350.18M,445.30M,795.48M,,,,73.83M,73.83M,,,,869.30M,420.45M,420.45M,82.50M,82.50M,244.46M,82.45M,,747.40M,1.617B,,54.83M,4.327B,637.69M,2.857B,,,42.95M,2.205B,,AOR,Restated
2010-09,286.51M,,286.51M,784.92M,784.92M,935.22M,81.05M,59.86M,,2.148B,,,,,2.327B,-1.385B,942.35M,374.78M,231.58M,606.36M,3.332M,89.63M,,1.642B,3.789B,,402.57M,16.11M,418.68M,120.71M,539.39M,,,,77.65M,77.65M,,,,895.26M,427.50M,427.50M,71.32M,71.32M,246.63M,79.86M,,745.45M,1.641B,,54.83M,4.233B,626.38M,2.878B,,,32.54M,2.069B,,AOR,Restated
2010-06,388.06M,,388.06M,725.20M,725.20M,867.30M,98.86M,43.03M,,2.122B,,,,,2.293B,-1.358B,934.66M,379.15M,208.23M,587.37M,3.11M,84.34M,,1.609B,3.732B,,347.50M,1.766M,349.27M,353.60M,702.87M,,,,95.64M,95.64M,,,,798.51M,412.71M,412.71M,64.26M,64.26M,236.23M,75.40M,,713.20M,1.512B,,54.83M,4.121B,612.82M,2.655B,,,10.98M,2.145B,,AOR,Restated
2010-03,548.47M,,548.47M,688.63M,688.63M,852.52M,95.71M,42.49M,,2.228B,,,,,2.276B,-1.337B,939.44M,356.16M,212.17M,568.33M,3.533M,71.65M,,1.583B,3.811B,,314.04M,42.87M,356.91M,284.45M,641.37M,,,,92.54M,92.54M,,,,733.91M,425.00M,425.00M,62.56M,62.56M,230.60M,63.63M,,718.16M,1.452B,,54.83M,4.032B,603.64M,2.427B,,,31.53M,2.295B,,AOR,Restated
2009-12,459.87M,,459.87M,624.91M,624.91M,889.68M,115.03M,42.02M,,2.132B,0.00,237.87M,1.078B,950.19M,2.266B,-1.313B,953.27M,351.18M,207.38M,558.57M,3.508M,79.47M,,1.595B,3.726B,,300.79M,6.732M,307.52M,381.37M,688.89M,,,,87.91M,87.91M,,,,776.80M,437.50M,437.50M,62.22M,62.22M,222.62M,63.48M,,722.33M,1.499B,,54.83M,3.967B,596.36M,2.466B,,,12.37M,2.164B,,AOR,Restated
2009-09,672.04M,,672.04M,638.53M,638.53M,851.48M,75.06M,47.69M,,2.285B,,,,,2.217B,-1.278B,938.28M,328.13M,103.28M,431.42M,3.341M,87.21M,,1.460B,3.745B,,279.66M,2.791M,282.45M,311.49M,593.94M,,,,79.91M,79.91M,,,,673.84M,454.90M,454.90M,34.21M,34.21M,218.87M,61.68M,,707.98M,1.382B,,54.83M,3.904B,586.52M,2.250B,,,6.582M,2.302B,,AOR,Restated
2009-06,416.29M,,416.29M,582.43M,582.43M,899.84M,72.48M,53.98M,,2.025B,,,,,2.181B,-1.253B,928.80M,218.84M,102.74M,321.58M,19.64M,110.72M,,1.381B,3.406B,,255.37M,2.564M,257.94M,256.09M,514.02M,,,,67.59M,67.59M,,,,581.61M,467.40M,467.40M,35.87M,35.87M,210.21M,,,713.48M,1.295B,,54.83M,3.794B,576.43M,2.294B,,,-20.57M,2.111B,,AOR,Restated
2009-03,257.57M,,257.57M,559.32M,559.32M,956.56M,76.24M,54.60M,,1.904B,,,,,2.150B,-1.223B,927.67M,209.19M,104.50M,313.68M,19.18M,105.67M,,1.366B,3.271B,,254.34M,36.82M,291.16M,229.21M,520.37M,,,,50.42M,50.42M,,,,570.78M,479.90M,479.90M,33.97M,33.97M,198.98M,,,712.84M,1.284B,,54.83M,3.736B,569.72M,2.320B,,,-54.59M,1.987B,,AOR,Restated
2008-12,396.29M,,396.29M,589.42M,589.42M,1.010B,95.92M,52.56M,,2.144B,0.00,192.92M,1.048B,890.51M,2.132B,-1.202B,930.31M,213.16M,109.57M,322.72M,20.83M,97.44M,,1.371B,3.515B,,290.80M,1.78M,292.58M,427.94M,720.52M,,,,41.22M,41.22M,,,,761.73M,488.23M,488.23M,33.22M,33.22M,198.43M,0.00,,719.88M,1.482B,,54.83M,3.671B,564.73M,2.218B,,,-38.52M,2.034B,,AOR,Restated
2008-09,364.42M,,364.42M,721.39M,721.39M,961.09M,63.03M,61.40M,,2.171B,,,,,2.117B,-1.188B,928.50M,231.94M,,231.94M,,72.76M,131.92M,1.365B,3.536B,,314.44M,,314.44M,374.48M,688.92M,,,,29.35M,29.35M,,,16.59M,734.86M,496.56M,496.56M,23.53M,23.53M,,,153.39M,673.49M,1.408B,,54.83M,3.594B,555.41M,2.122B,,,46.10M,2.128B,,,
2008-06,258.23M,,258.23M,677.70M,677.70M,968.29M,74.46M,59.26M,,2.038B,,,,,2.098B,-1.169B,929.51M,229.56M,,229.56M,,66.06M,127.51M,1.353B,3.391B,,326.58M,,326.58M,320.89M,647.48M,,,,17.45M,17.45M,,,1.447M,666.37M,504.90M,504.90M,22.44M,22.44M,,,150.68M,678.01M,1.344B,,54.83M,3.485B,546.10M,2.104B,,,64.73M,2.046B,,,
2008-03,117.43M,,117.43M,644.93M,644.93M,966.33M,67.01M,58.82M,,1.855B,,,,,2.032B,-1.147B,885.56M,228.48M,,228.48M,,61.59M,125.67M,1.301B,3.156B,,339.54M,,339.54M,248.60M,588.15M,,,,334.11M,334.11M,,,71.25M,993.51M,4.895M,4.895M,21.44M,21.44M,,,145.76M,172.10M,1.166B,,54.83M,3.403B,532.98M,2.063B,,,62.27M,1.990B,,,
2007-12,113.44M,20.07M,133.51M,602.65M,602.65M,946.33M,61.67M,56.66M,,1.801B,0.00,178.32M,977.84M,848.12M,2.004B,-1.126B,878.34M,233.03M,,233.03M,,54.66M,127.18M,1.293B,3.094B,,297.93M,,297.93M,411.36M,709.29M,,,,106.65M,106.65M,,,10.46M,826.40M,4.895M,4.895M,20.73M,20.73M,,,143.90M,169.52M,995.92M,,54.83M,3.317B,475.35M,1.821B,94.68M,-22.51M,72.17M,2.098B,,,
