,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,1.203B,1.203B,800.84M,402.56M,302.37M,2.13M,,,,302.37M,100.19M,,,,1.351M,,101.29M,41.34M,59.95M,,,,59.95M,58.68M,123.38M,23.19M,100.19M,,0.65,0.00,,0.6361,0.65,,0.64,0.00,,0.6263,0.64,,91.87M,93.59M,0.18,,,
2002-06,1.195B,1.195B,795.23M,399.56M,305.30M,-1.268M,,,,305.30M,94.26M,,,,-1.809M,,91.96M,37.47M,54.50M,,,,54.50M,55.26M,117.86M,23.60M,94.26M,,0.59,0.00,,0.5982,0.59,,0.57,0.00,,0.5780,0.57,,92.75M,95.38M,0.18,,,
2002-03,1.125B,1.125B,742.24M,383.03M,293.07M,9.333M,,,,293.07M,89.96M,,,,9.333M,,98.74M,40.28M,58.46M,,,,58.46M,52.86M,114.14M,24.18M,89.96M,,0.63,0.00,,0.5695,0.63,,0.61,0.00,,0.5513,0.61,,92.62M,95.43M,0.175,,,
2001-12,1.110B,1.110B,706.89M,403.61M,298.72M,1.404M,,,,298.72M,104.89M,,,,0.551M,,104.92M,43.40M,61.51M,,,,61.51M,60.67M,132.00M,27.11M,104.89M,,0.66,0.00,,0.6509,0.66,,0.65,0.00,,0.6411,0.65,,92.61M,94.46M,0.175,,,
2001-09,1.199B,1.199B,803.51M,395.85M,300.47M,0.814M,,,,300.47M,95.38M,,,,0.475M,,94.40M,38.37M,56.02M,,,,56.02M,55.53M,120.22M,24.84M,95.38M,,0.60,0.00,,0.5948,0.60,,0.59,0.00,,0.5849,0.59,,93.36M,94.91M,0.175,,,
2001-06,1.225B,1.225B,830.12M,394.92M,301.23M,-46.62M,,,,301.23M,93.69M,,,,-68.11M,,23.16M,8.342M,14.82M,,,,14.82M,44.65M,119.47M,25.79M,93.69M,,0.16,0.00,,0.4781,0.16,,0.15,0.00,,0.4631,0.15,,93.76M,95.25M,0.175,,,
2001-03,1.219B,1.219B,824.51M,394.91M,311.22M,-5.428M,,,,311.22M,83.69M,,,,-5.428M,,74.80M,32.63M,42.18M,,,,42.18M,45.43M,109.16M,25.47M,83.69M,,0.45,0.00,,0.4850,0.45,,0.45,0.00,,0.4845,0.45,,93.03M,94.30M,0.17,,,
2000-12,1.210B,1.210B,700.50M,509.41M,306.65M,-10.86M,,,,413.54M,95.86M,,,,-6.258M,,84.80M,36.88M,47.92M,,,,47.92M,54.44M,120.14M,24.28M,95.86M,,0.51,0.00,,0.5801,0.51,,0.51,0.00,,0.5794,0.51,,92.95M,93.96M,0.17,,,
2000-09,1.273B,1.273B,863.85M,409.18M,317.61M,2.963M,,,,317.61M,91.58M,,,,-1.639M,,83.98M,35.88M,48.11M,,,,48.11M,46.33M,118.28M,26.71M,91.58M,,0.52,0.00,,0.5009,0.52,,0.51,0.00,,0.4911,0.51,,93.10M,94.07M,0.17,,,
2000-06,1.242B,1.242B,780.60M,461.42M,361.56M,26.79M,,,,388.52M,72.90M,,,,26.79M,,93.55M,37.89M,55.66M,,,,55.66M,39.59M,99.86M,26.96M,72.90M,,0.60,0.00,,0.4272,0.60,,0.59,0.00,,0.4198,0.59,,93.05M,94.45M,0.17,,,
2000-03,1.222B,1.222B,811.05M,411.40M,307.67M,0.091M,,,,336.62M,74.78M,,,,0.091M,,69.26M,28.05M,41.21M,,,,41.21M,41.16M,103.73M,28.95M,74.78M,,0.44,0.00,,0.4394,0.44,,0.44,0.00,,0.4394,0.44,,92.92M,94.42M,0.16,,,
1999-12,1.224B,1.224B,931.30M,292.60M,215.90M,-0.60M,,,,239.40M,53.20M,,,,-0.60M,,47.20M,19.10M,28.10M,,,,28.10M,28.46M,76.70M,23.50M,53.20M,,0.31,0.00,,0.3139,0.31,,0.30,0.00,,0.3038,0.30,,92.20M,94.67M,0.16,,,
1999-09,1.175B,1.175B,726.80M,448.60M,342.40M,1.40M,,,,368.30M,80.30M,,,,1.40M,,76.90M,31.10M,45.80M,,,,45.80M,44.96M,106.20M,25.90M,80.30M,,0.49,0.00,,0.4810,0.49,,0.49,0.00,,0.4810,0.49,,93.47M,93.47M,0.16,,,
1999-06,1.146B,1.146B,705.60M,440.58M,328.50M,0.40M,,,,353.10M,87.48M,,,,0.40M,,85.00M,34.40M,50.60M,,,,50.60M,50.36M,112.08M,24.60M,87.48M,,0.54,0.00,,0.5374,0.54,,0.53,0.00,,0.5275,0.53,,93.70M,95.47M,0.16,,,
1999-03,1.091B,1.091B,663.80M,427.00M,306.60M,,,,,330.80M,96.20M,,,,,,94.60M,38.30M,56.30M,,,,56.30M,56.30M,120.40M,24.20M,96.20M,,0.61,0.00,,0.61,0.61,,0.60,0.00,,0.60,0.60,,92.30M,93.83M,0.15,,,
1998-12,1.143B,1.143B,830.60M,312.30M,185.20M,-2.20M,,,,198.90M,113.40M,,,,-2.20M,,110.90M,44.90M,66.00M,,,,66.00M,67.32M,127.10M,13.70M,113.40M,,0.70,0.00,,0.7140,0.70,,0.69,0.00,,0.7038,0.69,,94.20M,95.67M,0.15,,,
1998-09,1.12B,1.12B,693.70M,426.30M,309.10M,-0.40M,,,,330.10M,96.20M,,,,-0.40M,,94.30M,38.20M,56.10M,,,,56.10M,56.34M,117.20M,21.00M,96.20M,,0.58,0.00,,0.5825,0.58,,0.57,0.00,,0.5724,0.57,,96.72M,98.42M,0.15,,,
1998-06,1.119B,1.119B,692.60M,426.40M,301.20M,0.40M,,,,325.60M,100.80M,,,,0.40M,,99.60M,40.30M,59.30M,,,,59.30M,59.06M,125.20M,22.20M,100.80M,,0.61,0.00,,0.6075,0.61,,0.60,0.00,,0.5976,0.60,,97.21M,98.83M,0.15,,,
1998-03,1.057B,1.057B,650.00M,407.10M,287.60M,0.20M,,,,309.60M,97.50M,,,,0.20M,,96.10M,38.90M,57.20M,,,,57.20M,57.08M,119.50M,22.00M,97.50M,,0.59,0.00,,0.5888,0.59,,0.58,0.00,,0.5788,0.58,,96.95M,98.62M,0.135,,,
1997-12,1.033B,1.033B,616.80M,416.10M,289.50M,0.20M,,,,308.80M,107.30M,,,,0.20M,,106.20M,43.00M,63.20M,,,,63.20M,63.08M,126.60M,19.30M,107.30M,,0.635,0.00,,0.6338,0.635,,0.63,0.00,,0.6288,0.63,,99.54M,100.30M,0.135,,,
1997-09,1.067B,1.067B,674.30M,392.60M,277.30M,0.50M,,,,296.80M,95.80M,,,,0.50M,,94.90M,38.40M,56.50M,,,,56.50M,56.20M,115.30M,18.90M,95.80M,,0.57,0.00,,0.5670,0.57,,0.56,0.00,,0.5570,0.56,,99.12M,100.89M,0.135,,,
1997-06,1.051B,1.051B,660.20M,391.00M,273.00M,0.20M,,,,293.00M,98.00M,,,,0.20M,,96.80M,39.20M,57.60M,,,,57.60M,57.48M,118.60M,20.60M,98.00M,,0.57,0.00,,0.5688,0.57,,0.57,0.00,,0.5688,0.57,,101.05M,101.05M,0.135,,,
1997-03,985.60M,985.60M,611.40M,374.20M,261.30M,1.00M,,,,282.20M,92.00M,,,,1.00M,,91.80M,37.20M,54.60M,,,,54.60M,54.00M,112.90M,20.90M,92.00M,,0.53,0.00,,0.5242,0.53,,0.52,0.00,,0.5143,0.52,,103.02M,105.00M,0.125,,,
1996-12,904.10M,904.10M,547.50M,356.60M,244.30M,2.00M,,,,263.30M,93.30M,,,,2.00M,,94.90M,38.30M,56.60M,,,,56.60M,55.40M,112.30M,19.00M,93.30M,,0.55,0.00,,0.5383,0.55,,0.54,0.00,,0.5286,0.54,,102.98M,104.97M,0.125,,,
1996-09,901.90M,901.90M,565.20M,336.70M,233.70M,1.70M,,,,250.80M,85.90M,,,,1.70M,,87.40M,35.10M,52.30M,,,,52.30M,51.28M,103.00M,17.10M,85.90M,,0.51,0.00,,0.5001,0.51,,0.51,0.00,,0.5001,0.51,,102.55M,102.55M,0.125,,,
1996-06,888.60M,888.60M,560.60M,328.00M,227.20M,0.70M,,,,245.60M,82.40M,,,,0.70M,,82.80M,33.30M,49.50M,,,,49.50M,49.08M,100.80M,18.40M,82.40M,,0.49,0.00,,0.4858,0.49,,0.48,0.00,,0.4759,0.48,,101.02M,103.12M,0.125,,,
1996-03,842.60M,842.60M,522.40M,320.20M,216.50M,0.10M,,,,236.30M,83.90M,,,,0.10M,,83.80M,33.70M,50.10M,,,,50.10M,50.04M,103.70M,19.80M,83.90M,,0.49,0.00,,0.4894,0.49,,0.49,0.00,,0.4894,0.49,,102.24M,102.24M,0.115,,,
1995-12,806.60M,806.60M,487.90M,318.70M,215.60M,0.40M,,,,232.10M,86.60M,,,,0.40M,,85.60M,34.40M,51.20M,,,,51.20M,50.96M,103.10M,16.50M,86.60M,,0.51,0.00,,0.5076,0.51,,0.49,0.00,,0.4877,0.49,,100.23M,104.69M,0.115,,,
1995-09,850.00M,850.00M,532.50M,317.50M,216.90M,-0.40M,,,,233.40M,84.10M,,,,-0.40M,,82.10M,33.00M,49.10M,,,,49.10M,49.34M,100.60M,16.50M,84.10M,,0.48,0.00,,0.4823,0.48,,0.48,0.00,,0.4823,0.48,,102.29M,102.29M,0.115,,,
1995-06,813.50M,813.50M,508.30M,305.20M,219.10M,-0.20M,,,,237.90M,67.30M,,,,-0.20M,,66.00M,26.50M,39.50M,,,,39.50M,39.62M,86.10M,18.80M,67.30M,,0.39,0.00,,0.3912,0.39,,0.39,0.00,,0.3912,0.39,,101.28M,101.28M,0.115,,,
1995-03,806.80M,806.80M,496.00M,310.80M,213.50M,0.30M,,,,232.60M,78.20M,,,,0.30M,,78.40M,31.50M,46.90M,,,,46.90M,46.72M,97.30M,19.10M,78.20M,,0.46,0.00,,0.4582,0.46,,0.46,0.00,,0.4582,0.46,,101.96M,101.96M,0.10,,,
1994-12,768.90M,768.90M,467.90M,301.00M,203.80M,-53.40M,,,,230.90M,70.10M,,,,-53.40M,,16.20M,15.20M,1.00M,,,,1.00M,33.04M,97.20M,27.10M,70.10M,,0.01,0.00,,0.3217,0.01,,0.01,0.00,,0.3217,0.01,,102.80M,102.80M,0.10,,,
1994-09,779.30M,779.30M,492.60M,286.70M,200.30M,-0.70M,,,,213.50M,73.20M,,,,-0.70M,,72.10M,29.10M,43.00M,,,,43.00M,43.42M,86.40M,4.60M,73.20M,,0.42,0.00,,0.4241,0.42,,0.42,0.00,,0.4241,0.42,,102.38M,102.38M,0.10,,,
1994-06,768.60M,768.60M,482.00M,286.60M,197.60M,0.40M,,,,215.40M,71.20M,,,,0.40M,,70.90M,28.60M,42.30M,,,,42.30M,42.06M,89.00M,17.80M,71.20M,,0.42,0.00,,0.4176,0.42,,0.42,0.00,,0.4176,0.42,,100.71M,100.71M,0.10,,,
1994-03,706.40M,706.40M,433.50M,272.90M,185.40M,-0.30M,,,,202.60M,70.30M,,,,-0.30M,,69.50M,28.00M,41.50M,,,,41.50M,41.68M,87.50M,17.20M,70.30M,,0.41,0.00,,0.4118,0.41,,0.41,0.00,,0.4118,0.41,,101.22M,101.22M,0.09,,,
1993-12,663.00M,663.00M,397.00M,266.00M,183.80M,-0.90M,,,,196.40M,69.60M,,,,-0.90M,,68.10M,27.10M,41.00M,,0.60M,,41.60M,41.54M,82.20M,12.60M,69.60M,,0.42,0.01,0.00,0.4257,0.43,,0.40,0.01,0.0055,0.4054,0.41,,95.24M,100.97M,0.09,,,
1993-09,698.80M,698.80M,431.90M,266.90M,184.20M,,,,,199.70M,67.20M,,,,,,66.80M,28.10M,38.70M,,,,38.70M,38.70M,83.00M,15.80M,67.20M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,101.84M,101.84M,0.09,,,
1993-06,660.40M,660.40M,403.30M,257.10M,182.30M,-0.30M,,,,197.70M,59.40M,,,,-0.30M,,58.60M,23.20M,35.40M,,,,35.40M,35.58M,79.80M,20.40M,59.40M,,0.34,0.00,,0.3417,0.34,,0.34,0.00,,0.3417,0.34,,104.12M,104.12M,0.09,,,
1993-03,606.20M,606.20M,367.40M,238.80M,172.40M,0.90M,,,,182.80M,56.00M,,,,0.90M,,56.50M,22.40M,34.10M,,-1.40M,,32.70M,33.56M,66.40M,10.40M,56.00M,,0.33,-0.02,0.00,0.3249,0.31,,0.33,-0.02,-0.0133,0.3249,0.31,,105.48M,105.48M,0.0825,,,
1992-12,598.60M,598.60M,345.10M,253.50M,170.80M,-0.10M,,,,193.60M,59.90M,,,,-0.10M,,59.30M,23.50M,35.80M,,,,35.80M,35.86M,82.70M,22.80M,59.90M,,0.34,0.00,,0.3406,0.34,,0.34,0.00,,0.3406,0.34,,105.22M,105.22M,0.0825,,,
1992-09,627.20M,627.20M,399.90M,227.30M,165.40M,-0.10M,,,,165.40M,61.90M,,,,-0.10M,,61.40M,24.30M,37.10M,,,,37.10M,37.16M,66.20M,4.30M,61.90M,,0.35,0.00,,0.3506,0.35,,0.35,0.00,,0.3506,0.35,,106.00M,106.00M,0.0825,,,
1992-06,606.30M,606.30M,378.10M,228.20M,154.40M,0.30M,,,,167.50M,60.70M,,,,0.30M,,60.10M,24.10M,36.00M,,,,36.00M,35.82M,73.80M,13.10M,60.70M,,0.34,0.00,,0.3383,0.34,,0.34,0.00,,0.3383,0.34,,105.88M,105.88M,0.0825,,,
1992-03,532.30M,532.30M,336.90M,195.40M,140.60M,1.00M,,,,149.50M,45.90M,,,,1.00M,,46.40M,18.10M,28.30M,,,,28.30M,27.69M,54.80M,8.90M,45.90M,,0.27,0.00,,0.2642,0.27,,0.27,0.00,,0.2642,0.27,,104.81M,104.81M,0.0775,,,
1991-12,519.70M,519.70M,322.90M,196.80M,133.50M,2.00M,,,,141.50M,55.30M,,,,2.00M,,56.90M,22.20M,34.70M,,,,34.70M,33.48M,63.30M,8.00M,55.30M,,0.33,0.00,,0.3184,0.33,,0.33,0.00,,0.3184,0.33,,104.83M,104.83M,0.0775,,,
1991-09,541.20M,541.20M,346.70M,194.50M,136.30M,1.40M,,,,144.00M,50.50M,,,,1.40M,,51.50M,19.90M,31.60M,,,,31.60M,30.74M,58.20M,7.70M,50.50M,,0.29,0.00,,0.2821,0.29,,0.29,0.00,,0.2821,0.29,,108.97M,108.97M,0.0775,,,
1991-06,540.30M,540.30M,345.90M,194.40M,132.90M,1.50M,,,,141.10M,53.30M,,,,1.50M,,54.40M,21.30M,33.10M,,,,33.10M,32.19M,61.50M,8.20M,53.30M,,0.31,0.00,,0.3015,0.31,,0.31,0.00,,0.3015,0.31,,106.77M,106.77M,0.0775,,,
1991-03,475.90M,475.90M,300.10M,175.80M,121.60M,2.00M,,,,130.70M,45.10M,,,,2.00M,,46.50M,18.20M,28.30M,,,,28.30M,27.08M,54.20M,9.10M,45.10M,,0.27,0.00,,0.2584,0.27,,0.27,0.00,,0.2584,0.27,,104.81M,104.81M,0.0725,,,
1990-12,488.60M,488.60M,299.90M,188.70M,127.20M,2.40M,,,,134.20M,54.50M,,,,2.40M,,56.40M,22.10M,34.30M,,,,34.30M,32.84M,61.50M,7.00M,54.50M,,0.32,0.00,,0.3063,0.32,,0.32,0.00,,0.3063,0.32,,106.88M,106.88M,0.0725,,,
1990-09,503.50M,503.50M,324.80M,178.70M,119.60M,1.60M,,,,128.10M,50.60M,,,,1.60M,,51.80M,20.30M,31.50M,,,,31.50M,30.53M,59.10M,8.50M,50.60M,,0.29,0.00,,0.2810,0.29,,0.29,0.00,,0.2810,0.29,,108.62M,108.62M,0.0725,,,
1990-06,495.70M,495.70M,319.50M,176.20M,115.20M,0.80M,,,,124.00M,52.20M,,,,0.80M,,52.80M,20.70M,32.10M,,,,32.10M,31.61M,61.00M,8.80M,52.20M,,0.29,0.00,,0.2856,0.29,,0.29,0.00,,0.2856,0.29,,110.69M,110.69M,0.0725,,,
1990-03,447.40M,447.40M,281.80M,165.60M,110.40M,1.60M,,,,119.20M,46.40M,,,,1.60M,,47.50M,18.60M,28.90M,,,,28.90M,27.93M,55.20M,8.80M,46.40M,,0.27,0.00,,0.2609,0.27,,0.27,0.00,,0.2609,0.27,,107.04M,107.04M,0.065,,,
1989-12,448.60M,448.60M,278.60M,170.00M,109.40M,1.20M,,,,116.80M,53.20M,,,,1.20M,,53.90M,21.00M,32.90M,,,,32.90M,32.17M,60.60M,7.40M,53.20M,,0.30,0.00,,0.2933,0.30,,0.30,0.00,,0.2933,0.30,,109.78M,109.78M,0.065,,,
1989-09,438.40M,438.40M,281.70M,156.70M,102.00M,1.00M,,,,110.10M,46.60M,,,,1.00M,,47.40M,18.60M,28.80M,,,,28.80M,28.19M,54.70M,8.10M,46.60M,,0.27,0.00,,0.2643,0.27,,0.27,0.00,,0.2643,0.27,,106.67M,106.67M,0.065,,,
1989-06,446.90M,446.90M,286.30M,160.60M,102.80M,1.10M,,,,111.70M,48.90M,,,,1.10M,,49.90M,19.60M,30.30M,,,,30.30M,29.63M,57.80M,8.90M,48.90M,,0.28,0.00,,0.2738,0.28,,0.28,0.00,,0.2738,0.28,,108.21M,108.21M,0.065,,,
1989-03,393.60M,393.60M,,,,,,,,,393.60M,,,,,,,,27.60M,,,,27.60M,,393.60M,,393.60M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,110.32M,110.32M,0.055,,,
1988-12,384.60M,384.60M,,,,,,,,,-973.10M,,,,,,,,25.90M,,,,25.90M,,-973.10M,,-973.10M,,,,,,,,,,,,,,108.69M,108.69M,0.055,,,
1988-09,408.10M,408.10M,,,,,,,,,408.10M,,,,,,,,29.80M,,,,29.80M,,408.10M,,408.10M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,110.70M,110.70M,0.055,,,
1988-06,395.90M,395.90M,,,,,,,,,395.90M,,,,,,,,29.10M,,,,29.10M,,395.90M,,395.90M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,110.85M,110.85M,0.055,,,
1988-03,346.90M,346.90M,,,,,,,,,346.90M,,,,,,,,24.10M,,,,24.10M,,346.90M,,346.90M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,112.60M,112.60M,0.05,,,
1987-12,337.70M,337.70M,,,,,,,,,-825.80M,,,,,,,,24.00M,,,,24.00M,,-825.80M,,-825.80M,,,,,,,,,,,,,,110.85M,110.85M,0.05,,,
1987-09,351.10M,351.10M,,,,,,,,,351.10M,,,,,,,,23.30M,,,,23.30M,,351.10M,,351.10M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,115.58M,115.58M,0.05,,,
1987-06,345.30M,345.30M,,,,,,,,,345.30M,,,,,,,,24.20M,,,,24.20M,,345.30M,,345.30M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,115.58M,115.58M,0.05,,,
1987-03,286.80M,286.80M,,,,,,,,,286.80M,,,,,,,,19.00M,,,,19.00M,,286.80M,,286.80M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,115.59M,115.59M,0.045,,,
1986-12,295.40M,295.40M,,,,,,,,,-734.90M,,,,,,,,21.30M,0.00,,,21.30M,,-734.90M,,-734.90M,,,0.00,,,0.00,,,0.00,,,0.00,,115.59M,115.59M,0.045,,,
1986-09,305.10M,305.10M,,,,,,,,,305.10M,,,,,,,,18.50M,,,,18.50M,,305.10M,,305.10M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,115.84M,115.84M,0.045,,,
1986-06,298.50M,298.50M,,,,,,,,,298.50M,,,,,,,,18.80M,,,,18.80M,,298.50M,,298.50M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,115.86M,115.86M,0.045,,,
1986-03,260.60M,260.60M,,,,,,,,,260.60M,,,,,,,,16.20M,11.30M,,,27.50M,,260.60M,,260.60M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,115.68M,115.68M,0.0425,,,
1985-12,248.50M,248.50M,,,,,,,,,-712.10M,,,,,,,,15.50M,,,,15.50M,,-712.10M,,-712.10M,,,,,,,,,,,,,,115.68M,115.68M,,,,
1985-09,286.60M,286.60M,,,,,,,,,286.60M,,,,,,,,18.70M,,,,18.70M,,286.60M,,286.60M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,115.63M,115.63M,,,,
1985-06,294.50M,294.50M,,,,,,,,,294.50M,,,,,,,,18.90M,,,,18.90M,,294.50M,,294.50M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,115.66M,115.66M,,,,
1985-03,261.90M,261.90M,,,,,,,,,261.90M,,,,,,,,14.80M,,,,14.80M,,261.90M,,261.90M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,115.41M,115.41M,,,,
1984-12,263.20M,263.20M,,,,,,,,,-662.40M,,,,,,,,18.50M,,,,18.50M,,-662.40M,,-662.40M,,,,,,,,,,,,,,115.41M,115.41M,,,,
1984-09,270.20M,270.20M,,,,,,,,,270.20M,,,,,,,,18.20M,,,,18.20M,,270.20M,,270.20M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,115.37M,115.37M,,,,
1984-06,282.40M,282.40M,,,,,,,,,282.40M,,,,,,,,18.20M,,,,18.20M,,282.40M,,282.40M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,115.36M,115.36M,,,,
1984-03,243.60M,243.60M,,,,,,,,,243.60M,,,,,,,,14.10M,,,,14.10M,,243.60M,,243.60M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,112.95M,112.95M,,,,
