,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.58B,2.58B,559.00M,2.021B,756.00M,270.00M,1.026B,334.00M,,10.00M,,,,,-32.00M,72.00M,1.442B,579.00M,,,-32.00M,,-32.00M,547.00M,140.00M,407.00M,0.00,,,407.00M,407.00M,758.00M,179.00M,579.00M,0.4,0.0,,0.4,0.4,0.4,0.0,,0.4,0.4,1.01B,1.029B,
2017-12,2.707B,2.707B,590.00M,2.117B,784.00M,264.00M,1.048B,317.00M,,10.00M,,,,,-228.00M,79.00M,1.454B,663.00M,,,-228.00M,,-228.00M,561.00M,3.158B,-2.597B,-4.00M,,,-2.601B,-2.597B,1.138B,172.00M,966.00M,-2.51,0.0,,-2.51,-2.51,-2.51,0.0,,-2.51,-2.51,1.034B,1.034B,
2017-09,2.498B,2.498B,557.00M,1.941B,719.00M,254.00M,973.00M,316.00M,,10.00M,,,,,120.00M,68.00M,1.367B,574.00M,,,120.00M,,120.00M,694.00M,174.00M,520.00M,0.00,,,520.00M,520.00M,747.00M,173.00M,574.00M,0.49,0.0,,0.49,0.49,0.48,0.0,,0.48,0.48,1.062B,1.078B,
2017-06,2.419B,2.419B,560.00M,1.859B,727.00M,267.00M,994.00M,313.00M,,9.00M,,,,,-18.00M,63.00M,1.379B,480.00M,,,-18.00M,,-18.00M,462.00M,433.00M,29.00M,,,,29.00M,29.00M,648.00M,168.00M,480.00M,0.03,0.0,,0.03,0.03,0.03,0.0,,0.03,0.03,1.076B,1.091B,
2017-03,2.303B,2.303B,514.00M,1.789B,648.00M,245.00M,893.00M,278.00M,,9.00M,,,,,11.00M,62.00M,1.242B,547.00M,,,11.00M,,11.00M,558.00M,-477.00M,1.035B,,,,1.035B,1.035B,710.00M,163.00M,547.00M,0.96,,,0.96,0.96,0.94,,,0.94,0.94,1.083B,1.102B,
2016-12,2.714B,2.714B,536.00M,2.178B,931.00M,248.00M,1.179B,292.00M,,10.00M,,,,,-60.00M,59.00M,1.54B,638.00M,,,-60.00M,,-60.00M,2.004B,-3.944B,5.948B,-12.00M,,,5.936B,5.948B,2.365B,176.00M,2.189B,5.38,-0.01,,5.38,5.37,5.31,-0.01,,5.31,5.3,1.103B,1.117B,
2016-09,2.217B,2.217B,498.00M,1.719B,600.00M,224.00M,824.00M,288.00M,,9.00M,,,,,-9.00M,56.00M,1.177B,542.00M,,,-9.00M,,-9.00M,533.00M,115.00M,418.00M,-5.00M,,,413.00M,418.00M,714.00M,172.00M,542.00M,0.37,0.0,,0.37,0.37,0.36,0.0,,0.36,0.36,1.126B,1.139B,
2016-06,2.23B,2.23B,493.00M,1.737B,622.00M,218.00M,840.00M,295.00M,,7.00M,,,,,-8.00M,64.00M,1.206B,531.00M,,,-8.00M,,-8.00M,523.00M,86.00M,437.00M,-2.00M,,,435.00M,437.00M,698.00M,167.00M,531.00M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,1.144B,1.149B,
2016-03,2.137B,2.137B,477.00M,1.66B,538.00M,209.00M,747.00M,239.00M,,8.00M,,,,,-23.00M,52.00M,1.046B,614.00M,,,-23.00M,,-23.00M,591.00M,109.00M,482.00M,,,,482.00M,482.00M,781.00M,167.00M,614.00M,0.42,,,0.42,0.42,0.41,,,0.41,0.41,1.159B,1.17B,
2015-12,2.322B,2.322B,493.00M,1.829B,595.00M,260.00M,855.00M,229.00M,,11.00M,,,,,-268.00M,72.00M,1.167B,662.00M,,,-268.00M,,-268.00M,650.00M,127.00M,523.00M,-46.00M,,,477.00M,523.00M,1.186B,171.00M,1.015B,0.44,-0.04,,0.44,0.4,0.43,-0.04,,0.43,0.39,1.19B,1.202B,
2015-09,2.099B,2.099B,433.00M,1.666B,565.00M,207.00M,772.00M,241.00M,,10.00M,,,,,87.00M,65.00M,1.088B,578.00M,,,87.00M,,87.00M,665.00M,120.00M,545.00M,-6.00M,,,539.00M,545.00M,760.00M,182.00M,578.00M,0.45,0.0,,0.45,0.45,0.45,0.0,,0.45,0.45,1.21B,1.223B,
2015-06,2.11B,2.11B,434.00M,1.676B,588.00M,353.00M,941.00M,232.00M,,10.00M,,,,,124.00M,65.00M,1.248B,428.00M,,,124.00M,,124.00M,552.00M,122.00M,430.00M,-347.00M,,,83.00M,430.00M,602.00M,174.00M,428.00M,0.35,-0.28,,0.35,0.07,0.35,-0.28,,0.35,0.07,1.217B,1.225B,
2015-03,2.061B,2.061B,411.00M,1.65B,519.00M,302.00M,821.00M,221.00M,,10.00M,,,,,10.00M,69.00M,1.121B,529.00M,,,10.00M,,10.00M,539.00M,90.00M,449.00M,177.00M,,,626.00M,449.00M,689.00M,160.00M,529.00M,0.37,0.14,,0.37,0.51,0.37,0.14,,0.37,0.51,1.216B,1.229B,
2014-12,2.323B,2.323B,442.00M,1.881B,627.00M,211.00M,838.00M,236.00M,,10.00M,,,,,-16.00M,66.00M,1.15B,731.00M,,,-16.00M,,-16.00M,738.00M,9.00M,729.00M,294.00M,,,1.023B,729.00M,1.043B,164.00M,879.00M,0.76,0.24,,0.76,0.76,0.75,0.24,,0.75,0.75,1.23B,1.23B,
2014-09,2.15B,2.15B,413.00M,1.737B,624.00M,203.00M,827.00M,246.00M,,10.00M,,,,,17.00M,58.00M,1.141B,596.00M,,,17.00M,,17.00M,613.00M,104.00M,509.00M,164.00M,,,673.00M,509.00M,606.00M,-97.00M,596.00M,0.41,0.13,,0.41,0.54,0.41,0.13,,0.41,0.54,1.242B,1.251B,
2014-06,4.103B,4.103B,1.181B,2.922B,885.00M,448.00M,1.333B,468.00M,,38.00M,,,,,10.00M,229.00M,2.068B,854.00M,,,10.00M,,10.00M,864.00M,144.00M,720.00M,-44.00M,,,676.00M,720.00M,1.087B,233.00M,854.00M,0.57,-0.03,,0.57,0.54,0.57,-0.04,,0.57,0.53,1.258B,1.267B,
2014-03,4.262B,4.262B,1.351B,2.911B,805.00M,465.00M,1.27B,480.00M,,79.00M,,,,,-5.00M,204.00M,2.033B,878.00M,,,-5.00M,,-5.00M,873.00M,3.199B,-2.326B,,,,-2.326B,-2.326B,1.26B,382.00M,878.00M,-1.82,,,-1.82,-1.82,-1.82,,,-1.82,-1.82,1.276B,1.276B,
2013-12,-3.26B,-3.26B,-2.095B,-1.165B,-79.00M,-362.00M,-441.00M,-403.00M,,-109.00M,,,,,-82.00M,-317.00M,-1.27B,105.00M,,,-82.00M,,-82.00M,133.00M,72.00M,61.00M,,,,850.00M,61.00M,208.00M,-373.00M,317.00M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,1.292B,1.31B,
2013-09,3.892B,3.892B,1.224B,2.668B,755.00M,415.00M,1.17B,433.00M,,81.00M,,,,,74.00M,185.00M,1.869B,799.00M,,,74.00M,,74.00M,873.00M,184.00M,689.00M,,,,689.00M,689.00M,1.156B,357.00M,799.00M,0.53,,,0.53,0.53,0.53,,,0.53,0.53,1.295B,1.31B,
2013-06,3.877B,3.877B,1.211B,2.666B,771.00M,419.00M,1.19B,451.00M,,82.00M,,,,,6.00M,193.00M,1.916B,750.00M,,,6.00M,,6.00M,756.00M,116.00M,640.00M,,,,640.00M,640.00M,1.097B,347.00M,750.00M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,1.297B,1.313B,
2013-03,3.748B,3.748B,1.152B,2.596B,697.00M,408.00M,1.105B,434.00M,,82.00M,,,,,9.00M,175.00M,1.796B,800.00M,,,9.00M,,9.00M,809.00M,132.00M,677.00M,,,,677.00M,677.00M,1.129B,329.00M,800.00M,0.52,,,0.52,0.52,0.51,,,0.51,0.51,1.295B,1.319B,
2012-12,3.993B,3.993B,1.224B,2.769B,793.00M,436.00M,1.229B,416.00M,,84.00M,0.00,,,,-3.00M,167.00M,1.896B,873.00M,,,-3.00M,7.00M,-3.00M,877.00M,127.00M,750.00M,,,,750.00M,750.00M,1.45B,318.00M,1.132B,0.58,,,0.58,0.58,0.57,,,0.57,0.57,1.295B,1.319B,
2012-09,3.404B,3.404B,1.022B,2.382B,726.00M,369.00M,1.095B,389.00M,,83.00M,0.00,,,,5.00M,148.00M,1.715B,667.00M,,,5.00M,0.00,5.00M,672.00M,75.00M,597.00M,,,,597.00M,597.00M,978.00M,311.00M,667.00M,0.46,,,0.46,0.46,0.45,,,0.45,0.45,1.292B,1.314B,
2012-06,3.398B,3.398B,987.00M,2.411B,717.00M,390.00M,1.107B,394.00M,,84.00M,118.00M,,,,38.00M,131.00M,1.716B,695.00M,,,38.00M,118.00M,38.00M,851.00M,159.00M,692.00M,,,,692.00M,596.07M,985.00M,290.00M,695.00M,0.54,,,0.4657,0.54,0.53,,,0.4567,0.53,1.291B,1.309B,
2012-03,3.277B,3.277B,983.00M,2.294B,677.00M,372.00M,1.049B,374.00M,,84.00M,,,,,31.00M,134.00M,1.641B,653.00M,,,31.00M,,31.00M,684.00M,114.00M,570.00M,,,,570.00M,570.00M,934.00M,281.00M,653.00M,0.44,,,0.44,0.44,0.44,,,0.44,0.44,1.288B,1.308B,
2011-12,3.38B,3.38B,1.035B,2.345B,672.00M,346.00M,1.018B,344.00M,,85.00M,1.663B,,,,-25.00M,,1.592B,753.00M,,,-25.00M,1.707B,-25.00M,2.435B,456.00M,1.979B,,,,1.979B,627.43M,2.588B,273.00M,2.315B,1.54,0.0,,0.4995,1.54,1.51,0.0,,0.4853,1.51,1.299B,1.319B,
2011-09,2.966B,2.966B,920.00M,2.046B,623.00M,336.00M,959.00M,319.00M,,85.00M,0.00,146.00M,,,79.00M,,1.509B,537.00M,,,79.00M,,79.00M,616.00M,125.00M,491.00M,,,,491.00M,491.00M,803.00M,266.00M,537.00M,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,1.29B,1.309B,
2011-06,2.76B,2.76B,773.00M,1.987B,608.00M,392.00M,1.00B,297.00M,,53.00M,-256.00M,118.00M,,,28.00M,,1.468B,519.00M,,,28.00M,-256.00M,28.00M,291.00M,8.00M,283.00M,,,,283.00M,532.09M,727.00M,208.00M,519.00M,0.22,0.0,,0.412,0.22,0.22,0.0,,0.4094,0.22,1.297B,1.315B,
2011-03,2.546B,2.546B,729.00M,1.817B,533.00M,293.00M,826.00M,275.00M,,44.00M,,107.00M,,,3.00M,,1.252B,565.00M,,,3.00M,,3.00M,568.00M,92.00M,476.00M,,,,476.00M,476.00M,758.00M,193.00M,565.00M,0.37,0.0,,0.37,0.37,0.36,0.0,,0.36,0.36,1.297B,1.32B,
2010-12,2.495B,2.495B,701.81M,1.793B,538.95M,300.50M,839.44M,245.74M,,41.90M,20.44M,,,,34.31M,,1.223B,570.21M,,,34.31M,-17.56M,34.31M,586.96M,27.73M,559.23M,,,,559.23M,539.75M,810.04M,191.82M,618.21M,0.43,,,0.4152,0.43,0.42,,,0.4054,0.42,1.314B,1.334B,
2010-09,2.249B,2.249B,640.27M,1.609B,483.65M,261.66M,745.32M,226.80M,,45.96M,-3.005M,97.96M,,,26.82M,,1.116B,493.18M,,,26.82M,-3.005M,26.82M,517.00M,85.07M,431.93M,,,,431.93M,434.44M,687.52M,194.34M,493.18M,0.33,0.0,,0.3319,0.33,0.33,0.0,,0.3319,0.33,1.309B,1.328B,
2010-06,2.215B,2.215B,615.37M,1.600B,478.24M,262.10M,740.34M,225.32M,,48.90M,-8.863M,92.03M,,,14.82M,,1.107B,493.43M,,,14.82M,-8.863M,14.82M,499.39M,87.19M,412.19M,,,,412.19M,419.51M,681.24M,187.82M,493.43M,0.31,0.0,,0.3156,0.31,0.31,0.0,,0.3155,0.31,1.310B,1.330B,
2010-03,2.196B,2.196B,606.56M,1.590B,446.16M,276.74M,722.90M,210.14M,,53.25M,-8.569M,106.03M,,,6.046M,,1.092B,497.18M,,,6.046M,-8.569M,6.046M,494.66M,97.00M,397.65M,,,,397.65M,404.54M,685.20M,188.02M,497.18M,0.31,0.0,,0.3153,0.31,0.3,0.0,,0.3052,0.3,1.301B,1.326B,
2009-12,2.371B,2.371B,670.70M,1.700B,526.40M,620.42M,1.147B,197.94M,,62.62M,-1.25M,112.23M,,,1.413B,,1.520B,180.62M,,,1.413B,-1.25M,1.413B,1.593B,237.89M,1.355B,,,,1.355B,1.356B,381.41M,200.78M,180.62M,1.05,0.0,,1.051,1.05,1.03,0.0,,1.031,1.03,1.295B,1.322B,
2009-09,2.238B,2.238B,643.91M,1.594B,491.46M,272.18M,763.64M,205.21M,,72.80M,-12.67M,96.68M,,,-4.606M,,1.138B,455.61M,,,-4.606M,-12.67M,-4.606M,438.34M,88.60M,349.74M,,,,349.74M,359.85M,670.68M,215.07M,455.61M,0.27,0.0,,0.2778,0.27,0.27,0.0,,0.2777,0.27,1.294B,1.311B,
2009-06,2.098B,2.098B,591.77M,1.506B,464.50M,257.50M,722.00M,198.40M,,63.80M,-17.65M,92.68M,,,-4.529M,,1.077B,429.34M,,,-4.529M,-17.65M,-4.529M,407.16M,79.82M,327.34M,,,,327.34M,341.53M,627.15M,197.80M,429.34M,0.25,0.0,,0.261,0.25,0.25,0.0,,0.2609,0.25,1.289B,1.300B,
2009-03,2.021B,2.021B,573.39M,1.447B,403.32M,268.29M,671.61M,201.52M,,63.47M,-6.611M,81.23M,,,18.09M,,1.018B,429.38M,,,18.09M,-6.611M,18.09M,440.86M,83.74M,357.11M,,,,357.11M,362.47M,626.66M,197.29M,429.38M,0.28,0.0,,0.2842,0.28,0.28,0.0,,0.2842,0.28,1.284B,1.288B,
2008-12,2.036B,2.036B,579.59M,1.456B,418.36M,205.08M,623.44M,171.21M,,72.44M,-49.12M,86.58M,,,19.80M,,953.67M,502.58M,,,19.80M,,19.80M,473.27M,106.08M,367.19M,,,,367.19M,405.30M,704.48M,201.90M,502.58M,0.29,0.0,,0.3198,0.29,0.29,0.0,,0.3197,0.29,1.279B,1.284B,
2008-09,2.118B,2.118B,560.96M,1.557B,451.75M,248.91M,700.66M,190.84M,,52.72M,0.00,88.27M,,,38.57M,,1.032B,524.08M,,,38.57M,,38.57M,562.64M,70.42M,492.22M,,,,492.22M,492.22M,702.65M,178.58M,524.08M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,1.289B,1.297B,
2008-06,2.196B,2.196B,562.10M,1.634B,,,846.48M,186.79M,,54.92M,,,,,,,1.088B,545.37M,,,,,,568.13M,107.79M,460.34M,,,,460.34M,460.34M,718.73M,173.36M,545.37M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,1.312B,1.325B,
2008-03,2.192B,2.192B,525.41M,1.667B,514.55M,281.72M,796.28M,176.76M,,54.83M,0.00,86.16M,,,26.74M,,1.114B,552.78M,,,26.74M,,26.74M,579.52M,119.80M,459.72M,,,,459.72M,459.72M,718.76M,165.98M,552.78M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,1.334B,1.344B,
2007-12,2.181B,2.181B,505.97M,1.675B,,,825.86M,169.32M,,53.31M,0.00,,,,,0.00,1.048B,626.14M,,,,0.00,,671.46M,140.58M,530.89M,,,,530.89M,530.89M,785.96M,159.82M,626.14M,0.39,0.0,,0.39,0.39,0.38,0.0,,0.38,0.38,1.353B,1.422B,
2007-09,1.889B,1.889B,446.52M,1.443B,,,772.69M,164.88M,,51.89M,-1.391B,,,,,1.391B,2.380B,-937.69M,,,,-1.391B,,-902.06M,33.58M,-935.64M,,,,-935.64M,-31.53M,-785.97M,151.72M,-937.69M,-0.69,0.0,,-0.0227,-0.69,-0.69,0.0,,-0.0227,-0.69,1.355B,1.355B,
2007-06,1.834B,1.834B,416.79M,1.418B,,,761.25M,147.93M,,51.55M,,,,,,,960.73M,456.91M,,,,,,488.14M,112.32M,375.82M,,,,375.82M,375.82M,603.63M,146.72M,456.91M,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,1.361B,1.379B,
2007-03,1.768B,1.768B,393.69M,1.374B,,,721.61M,137.60M,,47.35M,,,,,,,906.56M,467.83M,,,,,,493.30M,116.13M,377.18M,,,,377.18M,377.18M,611.28M,143.45M,467.83M,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,1.367B,1.384B,
2006-12,1.720B,1.720B,356.32M,1.364B,,,737.05M,131.25M,,45.40M,,,,,,,913.70M,449.88M,,,,,,483.60M,137.13M,346.47M,,,,346.47M,346.47M,593.50M,143.62M,449.88M,0.25,0.0,,0.25,0.25,0.25,0.0,,0.25,0.25,1.379B,1.402B,
2006-09,1.449B,1.449B,320.00M,1.129B,,,622.01M,120.40M,,47.20M,,,,,,,789.61M,339.03M,,,,,,379.71M,98.81M,280.90M,,,,280.90M,280.90M,474.26M,135.22M,339.03M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,1.406B,1.426B,
2006-06,1.411B,1.411B,292.48M,1.118B,,,620.92M,123.97M,,62.00M,,,,,,,806.89M,311.41M,,,,,,336.12M,86.12M,249.99M,,,-0.001M,249.99M,249.99M,453.84M,142.43M,311.41M,0.18,0.0,,0.18,0.18,0.17,0.0,,0.17,0.17,1.412B,1.436B,
2006-03,1.390B,1.390B,283.60M,1.107B,,,618.24M,119.07M,,46.89M,,,,,,,784.20M,322.62M,,,,,,347.64M,99.35M,248.28M,,,,248.28M,248.28M,445.91M,123.29M,322.62M,0.18,0.0,,0.18,0.18,0.17,0.0,,0.17,0.17,1.406B,1.438B,
2005-12,1.329B,1.329B,239.52M,1.089B,,,563.62M,103.88M,,51.42M,,,,,,,718.93M,370.41M,,,,,,395.05M,115.83M,279.22M,,,-0.001M,279.22M,279.22M,482.74M,112.33M,370.41M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,1.394B,1.426B,
2005-09,1.106B,1.106B,200.38M,905.14M,,,440.32M,78.88M,,29.20M,,,,,,,548.40M,356.74M,,,,,,386.96M,131.99M,254.97M,,,-0.002M,254.97M,254.97M,453.96M,97.23M,356.74M,0.19,0.0,,0.19,0.19,0.18,0.0,,0.18,0.18,1.357B,1.387B,
2005-06,1.086B,1.086B,191.84M,894.46M,,,418.04M,71.64M,,25.79M,,,,,,,515.48M,378.99M,,,,,,411.11M,119.52M,291.56M,,,-0.028M,291.56M,291.56M,467.94M,88.95M,378.99M,0.22,0.0,,0.22,0.22,0.21,0.0,,0.21,0.21,1.351B,1.379B,
2005-03,1.032B,1.032B,186.37M,845.36M,,,407.74M,73.79M,,22.52M,,,,,,5.731M,509.78M,335.57M,,,,,,356.26M,99.95M,256.29M,,,-0.018M,256.29M,256.29M,415.23M,79.66M,335.57M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,1.343B,1.382B,
2004-12,935.78M,935.78M,176.40M,759.38M,,,402.64M,64.57M,,19.74M,,,,,,,474.65M,284.72M,,,,,,301.22M,95.78M,205.38M,,,-0.059M,205.38M,205.38M,361.78M,77.06M,284.72M,0.075,0.0,,0.075,0.075,0.075,0.0,,0.075,0.075,2.669B,2.777B,
2004-09,805.88M,805.88M,157.12M,648.76M,,,313.03M,63.40M,,16.46M,,,,,,1.957M,394.84M,253.91M,,,,,,264.84M,80.75M,182.35M,,,-1.742M,182.35M,182.35M,319.89M,65.97M,253.91M,0.07,0.0,,0.07,0.07,0.065,0.0,,0.065,0.065,2.646B,2.740B,
2004-06,773.41M,773.41M,146.53M,626.88M,,,292.09M,59.98M,,15.77M,,,,,,5.186M,373.02M,253.86M,,,,,,274.25M,81.60M,190.40M,,,-2.261M,190.40M,190.40M,314.11M,60.25M,253.86M,0.145,0.0,,0.145,0.145,0.14,0.0,,0.14,0.14,1.316B,1.365B,
2004-03,756.24M,756.24M,134.36M,621.88M,,,283.33M,52.70M,,13.96M,,,,,,5.146M,355.13M,266.75M,,,,,,287.92M,85.76M,200.10M,,,-2.06M,200.10M,200.10M,322.99M,56.24M,266.75M,0.155,0.0,,0.155,0.155,0.15,0.0,,0.15,0.15,1.305B,1.348B,
2003-12,648.39M,648.39M,115.46M,532.94M,,,268.77M,46.43M,,12.99M,-1.00M,,,,,1.606M,329.79M,203.14M,,,,-1.00M,,211.55M,67.04M,142.46M,,0.00,-2.045M,142.46M,143.15M,243.53M,40.39M,203.14M,0.11,0.0,0.0,0.1105,0.11,0.105,0.0,0.0,0.1055,0.105,1.293B,1.333B,
2003-09,530.94M,530.94M,109.35M,421.59M,,,210.65M,39.74M,,13.82M,,,,,,1.51M,265.72M,155.87M,,,,,,161.41M,51.14M,108.66M,,-5.413M,-1.611M,103.25M,108.66M,200.19M,44.32M,155.87M,0.085,-0.005,0.0,0.085,0.08,0.085,-0.005,-0.0042,0.085,0.08,1.285B,1.324B,
2003-06,509.27M,509.27M,99.15M,410.12M,,,204.09M,38.82M,,11.98M,-29.96M,,,,,33.15M,288.04M,122.08M,,,,-29.96M,,132.96M,39.54M,91.87M,,,-1.544M,91.87M,112.92M,162.09M,40.01M,122.08M,0.035,0.0,,0.0433,0.035,0.035,0.0,,0.043,0.035,2.547B,2.625B,
2003-03,476.49M,476.49M,92.10M,384.39M,,,186.76M,34.33M,,11.87M,-0.23M,,,,,3.29M,236.25M,148.14M,,,,-0.23M,,155.59M,49.02M,104.19M,,,-2.378M,104.19M,104.35M,182.44M,34.29M,148.14M,0.0825,0.0,,0.0826,0.0825,0.08,0.0,,0.0801,0.08,1.255B,1.285B,
2002-12,413.93M,413.93M,82.66M,331.26M,,,172.08M,31.82M,,12.06M,0.00,,,,,1.379M,217.34M,113.92M,,,,0.00,,135.66M,48.94M,87.00M,,,-2.025M,87.00M,87.00M,141.21M,27.29M,113.92M,0.0699,,,0.0699,0.0699,0.0699,,,0.0699,0.0699,1.245B,1.245B,
