,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.50B,2.50B,1.545B,955.00M,501.00M,241.00M,19.00M,,52.00M,13.00M,-39.00M,,761.00M,194.00M,13.00M,52.00M,-39.00M,-620.00M,-39.00M,-465.00M,124.00M,-589.00M,,,24.00M,-589.00M,-134.94M,-90.00M,323.00M,-413.00M,-0.72,,,-0.1846,-0.72,-0.72,,,-0.1846,-0.72,848.00M,848.00M,0.18
2017-12,2.637B,2.637B,1.605B,1.032B,401.00M,241.00M,22.00M,,43.00M,12.00M,-31.00M,,664.00M,368.00M,12.00M,43.00M,-31.00M,229.00M,-31.00M,566.00M,1.978B,-1.412B,,,25.00M,-1.412B,-1.455B,915.00M,306.00M,609.00M,-1.66,,,-1.71,-1.66,-1.66,,,-1.71,-1.66,865.00M,865.00M,0.155
2017-09,2.607B,2.607B,1.557B,1.05B,375.00M,215.00M,18.00M,,37.00M,10.00M,-27.00M,,608.00M,442.00M,10.00M,37.00M,-27.00M,64.00M,-27.00M,479.00M,89.00M,390.00M,,,24.00M,390.00M,368.84M,810.00M,294.00M,516.00M,0.41,,,0.386,0.41,0.39,,,0.369,0.39,883.00M,1.009B,0.155
2017-06,2.497B,2.497B,1.51B,987.00M,378.00M,206.00M,18.00M,,38.00M,11.00M,-27.00M,,602.00M,385.00M,11.00M,38.00M,-27.00M,234.00M,-27.00M,592.00M,153.00M,439.00M,,,24.00M,439.00M,276.50M,911.00M,281.00M,630.00M,0.46,,,0.281,0.46,0.42,,,0.2628,0.42,908.00M,1.034B,0.155
2017-03,2.375B,2.375B,1.424B,951.00M,319.00M,202.00M,17.00M,,37.00M,12.00M,-25.00M,,538.00M,413.00M,12.00M,37.00M,-25.00M,-368.00M,-25.00M,20.00M,-66.00M,86.00M,,,,86.00M,348.80M,334.00M,277.00M,57.00M,0.07,,,0.3541,0.07,0.07,,,0.32,0.07,925.00M,1.051B,0.155
2016-12,2.476B,2.476B,1.469B,1.007B,358.00M,167.00M,18.00M,1.00M,37.00M,11.00M,-26.00M,,543.00M,464.00M,11.00M,37.00M,-26.00M,1.966B,-26.00M,2.404B,832.00M,1.572B,,,25.00M,1.572B,363.57M,2.746B,305.00M,2.441B,1.64,,,0.3572,1.64,1.47,,,0.3364,1.47,942.00M,1.066B,0.135
2016-09,2.507B,2.507B,1.466B,1.041B,302.00M,187.00M,17.00M,,41.00M,9.00M,-32.00M,,506.00M,535.00M,9.00M,41.00M,-32.00M,-246.00M,-32.00M,257.00M,-27.00M,284.00M,,,24.00M,284.00M,426.20M,598.00M,300.00M,298.00M,0.27,,,0.4154,0.27,0.26,,,0.389,0.26,978.00M,1.102B,0.135
2016-06,2.36B,2.36B,1.409B,951.00M,499.00M,192.00M,15.00M,2.678B,40.00M,6.00M,-34.00M,,706.00M,245.00M,6.00M,40.00M,-34.00M,1.492B,-34.00M,1.703B,-504.00M,2.207B,,,24.00M,2.207B,1.321B,2.038B,295.00M,1.743B,2.06,,,1.2229999999999999,2.06,1.87,,,1.12,1.87,1.059B,1.182B,0.135
2016-03,2.047B,2.047B,1.283B,764.00M,303.00M,190.00M,14.00M,-80.00M,41.00M,6.00M,-35.00M,,507.00M,257.00M,6.00M,41.00M,-35.00M,-894.00M,-35.00M,-672.00M,-304.00M,-368.00M,,,24.00M,-368.00M,194.20M,-336.00M,295.00M,-631.00M,-0.36,,,0.1497,-0.36,-0.36,,,0.1497,-0.36,1.103B,1.103B,0.135
2015-12,2.231B,2.231B,1.374B,857.00M,548.00M,208.00M,14.00M,,39.00M,5.00M,-34.00M,,770.00M,87.00M,5.00M,39.00M,-34.00M,116.00M,-34.00M,169.00M,-55.00M,224.00M,,,25.00M,224.00M,201.20M,510.00M,302.00M,208.00M,0.17,,,0.1502,0.17,0.17,,,0.1521,0.17,1.153B,1.274B,0.12
2015-09,2.272B,2.272B,1.38B,892.00M,307.00M,181.00M,12.00M,,38.00M,6.00M,-32.00M,,500.00M,392.00M,6.00M,38.00M,-32.00M,-142.00M,-32.00M,218.00M,6.00M,212.00M,,,24.00M,212.00M,356.83M,548.00M,292.00M,256.00M,0.16,,,0.2797,0.16,0.15,,,0.2689,0.15,1.21B,1.218B,0.12
2015-06,2.343B,2.343B,1.368B,975.00M,337.00M,191.00M,16.00M,,33.00M,5.00M,-28.00M,,544.00M,431.00M,5.00M,33.00M,-28.00M,203.00M,-28.00M,606.00M,110.00M,496.00M,,,24.00M,496.00M,363.48M,938.00M,299.00M,639.00M,0.38,,,0.2736,0.38,0.36,,,0.2633,0.36,1.246B,1.371B,0.12
2015-03,2.265B,2.265B,1.336B,929.00M,316.00M,189.00M,12.00M,,30.00M,5.00M,-25.00M,,517.00M,412.00M,5.00M,30.00M,-25.00M,106.00M,-25.00M,493.00M,86.00M,407.00M,,,24.00M,407.00M,372.31M,814.00M,291.00M,523.00M,0.3,,,0.2726,0.3,0.29,,,0.2651,0.29,1.266B,1.394B,0.12
2014-12,2.404B,2.404B,1.408B,996.00M,222.00M,210.00M,8.00M,-20.00M,32.00M,5.00M,-27.00M,,440.00M,556.00M,5.00M,32.00M,-27.00M,808.00M,-27.00M,1.337B,349.00M,988.00M,,,24.00M,988.00M,450.77M,1.667B,298.00M,1.369B,0.76,,,0.3386,0.76,0.7,,,0.3163,0.7,1.275B,1.40B,0.1
2014-09,2.54B,2.54B,1.451B,1.089B,261.00M,199.00M,9.00M,,31.00M,5.00M,-26.00M,,469.00M,620.00M,5.00M,31.00M,-26.00M,815.00M,-26.00M,1.409B,395.00M,1.014B,,,24.00M,1.014B,463.20M,1.743B,303.00M,1.44B,0.77,,,0.341,0.77,0.72,,,0.3296,0.72,1.284B,1.411B,0.1
2014-06,2.482B,2.482B,1.45B,1.032B,322.00M,208.00M,8.00M,-34.00M,30.00M,4.00M,-26.00M,,538.00M,494.00M,4.00M,30.00M,-26.00M,-127.00M,-26.00M,341.00M,172.00M,169.00M,,,24.00M,169.00M,280.15M,673.00M,302.00M,371.00M,0.11,,,0.1954,0.11,0.11,,,0.1945,0.11,1.302B,1.315B,0.1
2014-03,2.289B,2.289B,1.354B,935.00M,397.00M,198.00M,8.00M,-17.00M,30.00M,12.00M,-18.00M,,603.00M,332.00M,12.00M,30.00M,-18.00M,167.00M,-18.00M,481.00M,180.00M,301.00M,,,,301.00M,269.07M,808.00M,297.00M,511.00M,0.21,,,0.1865,0.21,0.2,,,0.1767,0.2,1.359B,1.37B,0.1
2013-12,1.956B,1.956B,1.186B,770.00M,336.00M,169.00M,8.00M,-73.00M,28.00M,3.00M,-25.00M,,556.00M,214.00M,3.00M,28.00M,-25.00M,378.00M,-25.00M,567.00M,146.00M,421.00M,,,,421.00M,197.51M,844.00M,249.00M,595.00M,0.3,,,0.1418,0.3,0.3,,,0.1433,0.3,1.413B,1.426B,0.1
2013-09,2.067B,2.067B,1.166B,901.00M,265.00M,184.00M,8.00M,-5.00M,28.00M,1.00M,-27.00M,-14.00M,443.00M,458.00M,1.00M,28.00M,-27.00M,118.00M,-27.00M,549.00M,141.00M,408.00M,,,,408.00M,436.23M,825.00M,248.00M,577.00M,0.28,,,0.2994,0.28,0.28,,,0.2993,0.28,1.454B,1.463B,0.1
2013-06,1.982B,1.982B,1.099B,883.00M,266.00M,179.00M,8.00M,-6.00M,28.00M,2.00M,-26.00M,,453.00M,430.00M,2.00M,28.00M,-26.00M,425.00M,-26.00M,829.00M,191.00M,638.00M,,,,638.00M,642.62M,1.107B,250.00M,857.00M,0.43,,,0.4331,0.43,0.43,,,0.4331,0.43,1.469B,1.478B,0.1
2013-03,1.814B,1.814B,1.044B,770.00M,259.00M,178.00M,7.00M,-2.00M,36.00M,2.00M,-34.00M,-15.00M,429.00M,341.00M,2.00M,36.00M,-34.00M,221.00M,-34.00M,528.00M,34.00M,494.00M,,,,494.00M,466.86M,819.00M,255.00M,564.00M,0.33,,,0.3116,0.33,0.33,,,0.3117,0.33,1.472B,1.481B,0.09
2012-12,2.146B,2.146B,1.348B,798.00M,357.00M,218.00M,6.00M,-164.00M,35.00M,4.00M,-31.00M,-20.00M,561.00M,237.00M,4.00M,35.00M,-31.00M,-24.00M,-31.00M,182.00M,27.00M,155.00M,,,,155.00M,291.26M,484.00M,267.00M,217.00M,0.19,,,0.2827,0.19,0.19,,,0.2819,0.19,1.47B,1.482B,0.09
2012-09,2.038B,2.038B,1.149B,889.00M,289.00M,182.00M,4.00M,-3.00M,32.00M,3.00M,-29.00M,-20.00M,455.00M,434.00M,3.00M,32.00M,-29.00M,222.00M,-29.00M,627.00M,94.00M,533.00M,,,,533.00M,536.40M,907.00M,248.00M,659.00M,0.36,,,0.3623,0.36,0.36,,,0.3623,0.36,1.483B,1.494B,0.075
2012-06,1.908B,1.908B,1.10B,808.00M,286.00M,185.00M,4.00M,-5.00M,24.00M,3.00M,-21.00M,-21.00M,454.00M,354.00M,3.00M,24.00M,-21.00M,241.00M,-21.00M,574.00M,100.00M,474.00M,,,,474.00M,478.96M,840.00M,242.00M,598.00M,0.31,,,0.3133,0.31,0.31,,,0.3133,0.31,1.506B,1.518B,0.075
2012-03,1.92B,1.92B,1.096B,824.00M,273.00M,184.00M,5.00M,-1.00M,20.00M,4.00M,-16.00M,-22.00M,440.00M,384.00M,4.00M,20.00M,-16.00M,224.00M,-16.00M,592.00M,118.00M,474.00M,,,,474.00M,470.80M,852.00M,240.00M,612.00M,0.31,,,0.3079,0.31,0.31,,,0.3079,0.31,1.516B,1.53B,0.075
2011-12,1.887B,1.887B,1.052B,835.00M,278.00M,174.00M,4.00M,-266.00M,17.00M,4.00M,-13.00M,,237.00M,598.00M,4.00M,17.00M,-13.00M,-15.00M,-13.00M,570.00M,67.00M,503.00M,,,,503.00M,748.32M,834.00M,247.00M,587.00M,0.32,0.0,,0.4786,0.32,0.31,0.0,,0.4668,0.31,1.547B,1.565B,0.075
2011-09,2.075B,2.075B,1.097B,978.00M,216.00M,166.00M,4.00M,37.00M,23.00M,6.00M,-17.00M,,386.00M,592.00M,6.00M,23.00M,-17.00M,346.00M,-17.00M,921.00M,110.00M,811.00M,,,,811.00M,791.63M,1.189B,245.00M,944.00M,0.52,0.0,,0.5077,0.52,0.51,0.0,,0.4978,0.51,1.569B,1.588B,0.05
2011-06,2.005B,2.005B,1.116B,889.00M,284.00M,172.00M,4.00M,38.00M,22.00M,5.00M,-17.00M,,460.00M,429.00M,5.00M,22.00M,-17.00M,466.00M,-17.00M,878.00M,123.00M,755.00M,,,,755.00M,722.32M,1.136B,236.00M,900.00M,0.48,0.0,,0.4592,0.48,0.47,0.0,,0.4495,0.47,1.568B,1.591B,0.05
2011-03,1.923B,1.923B,1.049B,874.00M,250.00M,156.00M,3.00M,32.00M,27.00M,4.00M,-23.00M,,409.00M,465.00M,4.00M,27.00M,-23.00M,420.00M,-23.00M,862.00M,114.00M,748.00M,,,,748.00M,728.91M,1.118B,229.00M,889.00M,0.48,0.0,,0.4678,0.48,0.47,0.0,,0.458,0.47,1.565B,1.589B,0.05
2010-12,1.765B,1.765B,998.00M,767.00M,284.00M,166.00M,2.00M,176.00M,28.00M,3.00M,-25.00M,,187.00M,580.00M,3.00M,28.00M,-25.00M,634.00M,-25.00M,1.189B,145.00M,1.044B,,,,1.044B,889.46M,1.441B,224.00M,1.217B,0.67,,,0.5708,0.67,0.66,,,0.5623,0.66,1.558B,1.581B,0.05
2010-09,1.602B,1.602B,878.00M,724.00M,250.00M,148.00M,2.00M,-3.00M,29.00M,3.00M,-26.00M,,400.00M,324.00M,3.00M,29.00M,-26.00M,501.00M,-26.00M,799.00M,14.00M,785.00M,,,,785.00M,787.95M,1.042B,214.00M,828.00M,0.5,0.0,,0.5019,0.5,0.5,0.0,,0.5019,0.5,1.557B,1.58B,0.05
2010-06,1.712B,1.712B,885.00M,827.00M,246.00M,144.00M,2.00M,59.00M,26.00M,2.00M,-24.00M,,392.00M,435.00M,2.00M,26.00M,-24.00M,533.00M,-24.00M,944.00M,31.00M,913.00M,,,,913.00M,855.94M,1.178B,208.00M,970.00M,0.59,0.0,,0.5534,0.59,0.58,0.0,,0.5439,0.58,1.558B,1.581B,0.05
2010-03,1.553B,1.553B,822.00M,731.00M,235.00M,145.00M,2.00M,109.00M,26.00M,3.00M,-23.00M,,382.00M,349.00M,3.00M,26.00M,-23.00M,587.00M,-23.00M,913.00M,97.00M,816.00M,,,,816.00M,710.54M,1.147B,208.00M,939.00M,0.52,0.0,,0.4522,0.52,0.52,0.0,,0.4532,0.52,1.555B,1.579B,0.05
2009-12,1.532B,1.532B,883.00M,649.00M,244.00M,145.00M,2.00M,6.00M,24.00M,3.00M,-21.00M,,391.00M,258.00M,3.00M,24.00M,-21.00M,467.00M,-21.00M,704.00M,-36.00M,740.00M,,,,740.00M,736.10M,926.00M,198.00M,728.00M,0.48,0.0,,0.4775,0.48,0.47,0.0,,0.4675,0.47,1.553B,1.577B,0.05
2009-09,1.479B,1.479B,880.00M,599.00M,219.00M,131.00M,3.00M,31.00M,24.00M,4.00M,-20.00M,,353.00M,246.00M,4.00M,24.00M,-20.00M,449.00M,-20.00M,675.00M,32.00M,643.00M,,,,643.00M,613.47M,929.00M,230.00M,699.00M,0.41,0.0,,0.3909,0.41,0.41,0.0,,0.3912,0.41,1.55B,1.569B,0.05
2009-06,1.395B,1.395B,820.00M,575.00M,211.00M,136.00M,2.00M,35.00M,20.00M,5.00M,-15.00M,,349.00M,226.00M,5.00M,20.00M,-15.00M,396.00M,-15.00M,607.00M,-4.00M,611.00M,,,,611.00M,588.25M,813.00M,186.00M,627.00M,0.39,0.0,,0.3753,0.39,0.39,0.0,,0.3755,0.39,1.55B,1.567B,0.05
2009-03,989.00M,989.00M,719.00M,270.00M,207.00M,151.00M,3.00M,-145.00M,14.00M,7.00M,-7.00M,4.00M,365.00M,-95.00M,7.00M,14.00M,-7.00M,50.00M,-7.00M,-52.00M,-66.00M,14.00M,,,,14.00M,108.25M,140.00M,178.00M,-38.00M,0.01,0.0,,0.0709,0.01,0.01,0.0,,0.0705,0.01,1.548B,1.559B,0.05
2008-12,1.084B,1.084B,777.00M,307.00M,179.00M,153.00M,4.00M,-27.00M,11.00M,11.00M,0.00,,336.00M,-29.00M,11.00M,11.00M,0.00,261.00M,0.00,232.00M,-17.00M,249.00M,,,,249.00M,266.55M,448.00M,205.00M,243.00M,0.17,0.0,,0.1813,0.17,0.17,0.0,,0.1812,0.17,1.548B,1.56B,0.05
2008-09,1.555B,1.555B,820.00M,735.00M,220.00M,160.00M,2.00M,-34.00M,15.00M,22.00M,7.00M,,382.00M,353.00M,22.00M,15.00M,7.00M,357.00M,7.00M,717.00M,-51.00M,768.00M,,,,768.00M,790.10M,898.00M,166.00M,732.00M,0.49,0.0,,0.5042,0.49,0.49,0.0,,0.504,0.49,1.558B,1.578B,0.05
2008-06,1.692B,1.692B,840.00M,852.00M,260.00M,163.00M,3.00M,30.00M,15.00M,22.00M,7.00M,,426.00M,426.00M,22.00M,15.00M,7.00M,397.00M,7.00M,830.00M,-2.381B,3.211B,,,,3.211B,3.192B,1.01B,165.00M,845.00M,2.05,0.0,,2.0380000000000003,2.05,2.01,0.0,,1.9980000000000002,2.01,1.569B,1.60B,0.05
2008-03,1.617B,1.617B,773.00M,844.00M,242.00M,151.00M,2.00M,330.00M,18.00M,30.00M,12.00M,,395.00M,449.00M,30.00M,18.00M,12.00M,642.00M,12.00M,1.103B,74.00M,1.029B,,,,1.029B,721.14M,1.28B,159.00M,1.121B,0.66,0.0,,0.4634,0.66,0.64,0.0,,0.4473,0.64,1.566B,1.598B,0.05
2007-12,1.582B,1.582B,825.00M,757.00M,257.00M,153.00M,3.00M,216.00M,,,,15.00M,428.00M,329.00M,,,,-459.00M,,390.00M,-61.00M,-222.00M,,-1.00M,,717.00M,576.60M,779.00M,154.00M,625.00M,0.46,0.0,,0.3688,0.46,0.45,0.0,,0.3588,0.45,1.540B,1.540B,0.05
2007-09,1.553B,1.553B,811.00M,742.00M,212.00M,145.00M,2.00M,45.00M,,,,-16.00M,343.00M,399.00M,,,,284.00M,,445.00M,66.00M,617.00M,,-1.00M,,617.00M,578.67M,548.00M,149.00M,399.00M,0.39,0.0,,0.3658,0.39,0.38,0.0,,0.3564,0.38,1.582B,1.624B,0.05
2007-06,1.418B,1.418B,759.00M,659.00M,229.00M,137.00M,2.00M,-17.00M,,,,76.00M,444.00M,215.00M,,,,203.00M,,289.00M,19.00M,489.00M,,-1.00M,,489.00M,504.88M,366.00M,151.00M,215.00M,0.31,0.0,,0.3201,0.31,0.3,0.0,,0.3097,0.3,1.577B,1.63B,0.0
2007-03,1.307B,1.307B,716.00M,591.00M,214.00M,130.00M,3.00M,-94.00M,,,,110.00M,457.00M,134.00M,,,,122.00M,,167.00M,56.00M,327.00M,,,,327.00M,389.48M,287.00M,153.00M,134.00M,0.21,0.0,,0.2501,0.21,0.2,0.0,,0.2382,0.2,1.557B,1.635B,0.0
2006-12,1.369B,1.369B,766.00M,603.00M,222.00M,138.00M,3.00M,121.00M,,,,-91.00M,272.00M,331.00M,,,,393.00M,,377.00M,0.00,646.00M,,-3.00M,,646.00M,525.00M,484.00M,153.00M,331.00M,0.42,0.0,,0.3411,0.42,0.4,0.0,,0.3255,0.4,1.533B,1.624B,0.0
2006-09,1.282B,1.282B,716.00M,566.00M,218.00M,127.00M,2.00M,12.00M,,,,13.00M,360.00M,206.00M,,,,244.00M,,245.00M,33.00M,438.00M,,-6.00M,,438.00M,427.62M,348.00M,142.00M,206.00M,0.28,0.0,,0.2734,0.28,0.27,0.0,,0.2636,0.27,1.564B,1.622B,0.0
2006-06,1.261B,1.261B,720.00M,541.00M,194.00M,128.00M,3.00M,59.00M,,,,-61.00M,264.00M,277.00M,,,,315.00M,,283.00M,24.00M,514.00M,,-1.00M,,514.00M,460.00M,429.00M,152.00M,277.00M,0.33,0.0,,0.2953,0.33,0.32,0.0,,0.2864,0.32,1.558B,1.606B,0.0
2006-03,1.262B,1.262B,689.00M,573.00M,223.00M,124.00M,3.00M,-171.00M,,,,185.00M,535.00M,38.00M,,,,29.00M,,56.00M,-2.00M,257.00M,,1.00M,,257.00M,359.60M,182.00M,144.00M,38.00M,0.17,0.0,,0.2379,0.17,0.16,0.0,,0.2239,0.16,1.512B,1.606B,0.0
2005-12,1.20B,1.20B,673.00M,527.00M,203.00M,123.00M,2.00M,53.00M,,,,-24.00M,304.00M,223.00M,,,,252.00M,,255.00M,487.00M,-32.00M,,1.00M,,-32.00M,-63.80M,351.00M,128.00M,223.00M,-0.03,0.0,,-0.0509,-0.03,-0.03,0.0,,-0.05,-0.03,1.518B,1.589B,0.0
2005-09,1.188B,1.188B,643.00M,545.00M,178.00M,118.00M,3.00M,-79.00M,,,,68.00M,367.00M,178.00M,,,,-5.00M,,131.00M,28.00M,203.00M,,-2.00M,,203.00M,265.11M,308.00M,130.00M,178.00M,0.14,0.0,,0.1817,0.14,0.13,0.0,,0.17,0.13,1.488B,1.552B,0.0
2005-06,1.141B,1.141B,658.00M,483.00M,191.00M,104.00M,3.00M,-128.00M,,,,137.00M,435.00M,48.00M,,,,44.00M,,42.00M,44.00M,165.00M,,-5.00M,,165.00M,241.80M,177.00M,129.00M,48.00M,0.11,0.0,,0.1634,0.11,0.11,0.0,,0.1606,0.11,1.438B,1.517B,0.0
2005-03,1.05B,1.05B,621.00M,429.00M,184.00M,98.00M,5.00M,-16.00M,,,,-12.00M,275.00M,154.00M,,,,153.00M,,101.00M,19.00M,250.00M,,1.00M,,250.00M,262.99M,279.00M,125.00M,154.00M,0.18,0.0,,0.1894,0.18,0.17,0.0,,0.1788,0.17,1.389B,1.471B,0.0
2004-12,1.033B,1.033B,668.00M,365.00M,174.00M,98.00M,10.00M,-25.00M,,,,1.844B,2.126B,-1.761B,,,,119.00M,,43.00M,87.00M,97.00M,0.00,-3.00M,,97.00M,112.00M,-1.625B,136.00M,-1.761B,0.08,0.0,,0.0907,0.08,0.08,0.0,,0.0907,0.08,1.404B,1.404B,0.0
2004-09,1.006B,1.006B,602.00M,404.00M,153.00M,88.00M,9.00M,-1.743B,,,,-50.00M,200.00M,204.00M,,,,-1.647B,,-1.619B,985.00M,-2.511B,20.00M,-3.00M,,-2.491B,-1.465B,332.00M,128.00M,204.00M,-1.79,0.01,,-1.042,-1.78,-1.79,0.01,,-1.042,-1.78,1.399B,1.399B,0.0
2004-06,971.00M,971.00M,625.00M,346.00M,166.00M,85.00M,9.00M,-17.00M,,,,47.00M,307.00M,39.00M,,,,90.00M,,36.00M,24.00M,108.00M,,-11.00M,,108.00M,118.20M,168.00M,129.00M,39.00M,0.08,0.0,,0.0874,0.08,0.07,0.0,,0.0768,0.07,1.383B,1.495B,0.0
2004-03,844.00M,844.00M,544.00M,300.00M,160.00M,84.00M,10.00M,-80.00M,,,,19.00M,273.00M,27.00M,,,,27.00M,,-64.00M,-12.00M,55.00M,,,,55.00M,120.00M,157.00M,130.00M,27.00M,0.04,0.0,,0.0879,0.04,0.04,0.0,,0.0852,0.04,1.358B,1.437B,0.0
2003-12,820.00M,820.00M,578.00M,242.00M,152.00M,86.00M,9.00M,-58.00M,,,,,660.00M,-418.00M,,,,-43.00M,,-91.00M,-46.00M,-29.00M,,1.00M,,-29.00M,5.80M,-292.00M,126.00M,-418.00M,-0.07,0.0,,-0.0441,-0.07,-0.07,0.0,,-0.0441,-0.07,1.343B,1.343B,0.0
2003-09,772.00M,772.00M,546.00M,226.00M,147.00M,80.00M,10.00M,-34.00M,,,,,237.00M,-11.00M,,,,41.00M,,-74.00M,-30.00M,33.00M,,2.00M,,33.00M,53.40M,112.00M,123.00M,-11.00M,0.03,0.0,,0.0455,0.03,0.02,0.0,,0.0347,0.02,1.314B,1.39B,0.0
