,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.486B,0.00,1.486B,2.638B,2.638B,,,4.133B,143.57M,8.401B,,,,,14.01B,-8.89B,5.122B,2.186B,867.90M,3.054B,874.36M,9.050B,17.45B,,1.558B,,1.558B,1.133B,2.691B,,59.17M,,59.17M,,,,2.750B,4.232B,,4.232B,,,733.70M,362.02M,,4.966B,7.716B,,152.06M,9.258B,2.051B,1.792B,,,-296.03M,9.373B,,AOR,Restated
2018-03,760.25M,0.00,760.25M,2.372B,2.372B,,,3.709B,238.70M,7.079B,,,,,13.93B,-8.84B,5.091B,2.196B,892.12M,3.088B,863.45M,9.042B,16.12B,,1.330B,,1.330B,940.64M,2.271B,,574.04M,,574.04M,,,,2.845B,3.243B,,3.243B,,,710.88M,346.89M,,3.954B,6.798B,,152.06M,8.696B,2.041B,1.664B,,,-249.37M,8.976B,,AOR,Restated
2017-12,949.10M,50.00M,999.10M,2.029B,2.029B,,,3.462B,335.08M,6.824B,639.88M,1.249B,10.94B,241.82M,13.79B,-8.697B,5.093B,2.196B,914.65M,3.111B,812.99M,9.017B,15.84B,,1.181B,,1.181B,1.091B,2.272B,552.83M,552.83M,,552.83M,,,,2.825B,3.242B,,3.242B,,,689.46M,345.75M,,3.932B,6.756B,,151.96M,8.464B,2.021B,1.643B,,,-254.68M,8.739B,,AOR,Restated
2017-09,1.576B,50.00M,1.626B,2.114B,2.114B,,,3.522B,238.61M,7.501B,,,,,13.71B,-8.61B,5.096B,2.208B,940.30M,3.149B,758.76M,9.003B,16.50B,,1.313B,,1.313B,1.092B,2.405B,,1.150B,,1.150B,,,,3.555B,3.241B,,3.241B,,,861.07M,340.43M,,4.103B,7.658B,,151.94M,8.202B,2.013B,1.644B,,,-217.86M,8.505B,,AOR,Restated
2017-06,1.511B,50.00M,1.561B,2.081B,2.081B,,,3.327B,213.63M,7.183B,,,,,13.52B,-8.46B,5.062B,2.180B,946.98M,3.127B,740.99M,8.930B,16.11B,,1.214B,,1.214B,971.80M,2.186B,,1.139B,,1.139B,,,,3.325B,3.241B,,3.241B,,,834.81M,334.85M,,4.076B,7.401B,,151.92M,8.068B,2.004B,1.554B,,,-292.94M,8.377B,,AOR,Restated
2017-03,1.658B,50.00M,1.708B,1.981B,1.981B,,,3.064B,125.71M,6.878B,,,,,13.44B,-8.31B,5.133B,2.177B,969.49M,3.147B,717.10M,8.997B,15.88B,,1.258B,76.76M,1.335B,854.99M,2.190B,,648.15M,,648.15M,,,,2.838B,3.740B,,3.740B,,,829.68M,334.05M,,4.570B,7.407B,,151.78M,7.866B,1.987B,1.554B,,,-316.99M,8.134B,,AOR,Restated
2016-12,2.046B,150.00M,2.196B,1.632B,1.632B,,,2.480B,198.80M,6.506B,602.22M,1.169B,10.52B,224.68M,13.24B,-8.157B,5.079B,2.053B,866.84M,2.920B,718.91M,8.717B,15.22B,,838.11M,,838.11M,933.90M,1.772B,,617.96M,,617.96M,,,,2.390B,3.739B,,3.739B,,,839.70M,374.84M,,4.579B,6.969B,,151.73M,7.631B,1.975B,1.560B,,,-317.84M,7.880B,,AOR,Restated
2016-09,1.705B,650.00M,2.355B,1.850B,1.850B,,,2.338B,156.83M,6.700B,,,,,13.07B,-8.16B,4.913B,2.027B,757.63M,2.784B,715.43M,8.413B,15.11B,,926.12M,,926.12M,942.57M,1.869B,,29.80M,,29.80M,,,,1.898B,4.338B,,4.338B,,,786.33M,363.27M,,5.125B,7.023B,,151.64M,7.470B,1.954B,1.560B,,,-288.58M,7.727B,,AOR,Restated
2016-06,1.781B,550.00M,2.331B,1.790B,1.790B,,,2.288B,129.27M,6.538B,,,,,12.85B,-8.03B,4.817B,2.031B,740.79M,2.771B,797.76M,8.386B,14.92B,,1.023B,47.06M,1.070B,845.88M,1.916B,,19.95M,,19.95M,,,,1.936B,4.338B,,4.338B,,,730.20M,346.95M,,5.068B,7.004B,,151.59M,7.320B,1.944B,1.560B,,,-281.38M,7.574B,,AOR,Restated
2016-03,2.278B,50.00M,2.328B,1.494B,1.494B,,,2.008B,175.89M,6.006B,,,,,12.69B,-7.88B,4.814B,2.025B,756.72M,2.782B,793.29M,8.389B,14.40B,,758.70M,,758.70M,754.77M,1.513B,,36.66M,,36.66M,,,,1.550B,4.338B,,4.338B,,,729.03M,351.60M,,5.067B,6.617B,,151.43M,7.207B,1.925B,1.561B,,,-296.16M,7.426B,,AOR,Restated
2015-12,1.939B,100.00M,2.039B,1.384B,1.384B,,,2.245B,185.64M,5.854B,585.06M,1.034B,10.23B,197.28M,12.63B,-7.741B,4.891B,2.011B,770.67M,2.782B,799.46M,8.473B,14.33B,,566.53M,,566.53M,767.33M,1.334B,,51.32M,,51.32M,,,,1.385B,4.337B,,4.337B,,,754.77M,372.06M,,5.092B,6.477B,,151.43M,7.317B,1.919B,1.558B,,,-351.36M,7.478B,,AOR,Restated
2015-09,1.895B,100.00M,1.995B,1.716B,1.716B,,,2.361B,392.88M,6.466B,,,,,12.64B,-7.60B,5.041B,2.024B,793.05M,2.817B,946.00M,8.804B,15.27B,,907.33M,,907.33M,885.48M,1.793B,,54.60M,,54.60M,,,,1.847B,4.361B,,4.361B,,,1.014B,338.25M,,5.375B,7.222B,,151.42M,7.438B,1.913B,1.492B,,,-301.91M,7.709B,,AOR,Restated
2015-06,1.576B,112.24M,1.689B,1.792B,1.792B,,,2.267B,407.09M,6.155B,,,,,12.59B,-7.47B,5.121B,2.046B,819.05M,2.865B,927.42M,8.913B,15.07B,,820.56M,,820.56M,818.56M,1.639B,,50.96M,,50.96M,,,,1.690B,4.361B,,4.361B,,,1.042B,314.38M,,5.403B,7.093B,,151.42M,7.331B,1.907B,1.492B,,,-236.71M,7.661B,,AOR,Restated
2015-03,1.154B,111.93M,1.266B,1.711B,1.711B,,,2.406B,480.11M,5.863B,,,,,12.50B,-7.32B,5.184B,2.043B,834.80M,2.878B,930.09M,8.992B,14.86B,,746.18M,,746.18M,735.43M,1.482B,,43.19M,,43.19M,,,,1.525B,4.361B,,4.361B,,,1.064B,294.16M,,5.425B,6.950B,,151.24M,7.326B,1.891B,1.492B,,,-264.50M,7.612B,,AOR,Restated
2014-12,1.024B,100.00M,1.124B,2.068B,2.068B,,,2.745B,504.41M,6.442B,576.51M,1.018B,10.08B,193.59M,12.45B,-7.166B,5.288B,2.069B,862.09M,2.931B,955.64M,9.174B,15.62B,,993.87M,,993.87M,880.09M,1.874B,,223.81M,,223.81M,,,,2.098B,4.361B,,4.361B,,,1.082B,302.65M,,5.443B,7.541B,,151.24M,7.378B,1.883B,1.495B,,,-145.71M,7.772B,,AOR,Restated
2014-09,1.296B,100.00M,1.396B,2.244B,2.244B,,,2.683B,473.16M,6.796B,,,,,11.95B,-7.07B,4.884B,1.983B,819.08M,2.802B,1.011B,8.697B,15.49B,,1.113B,65.10M,1.178B,920.72M,2.099B,,57.40M,,57.40M,,,,2.156B,4.361B,,4.361B,,,960.80M,280.42M,,5.321B,7.478B,,151.23M,7.288B,1.877B,1.495B,,,-85.34M,7.735B,,AOR,Restated
2014-06,1.068B,100.00M,1.168B,2.071B,2.071B,,,2.739B,517.13M,6.495B,,,,,11.90B,-6.93B,4.972B,1.971B,842.44M,2.814B,1.030B,8.816B,15.31B,,1.124B,,1.124B,839.44M,1.964B,,53.71M,,53.71M,,,,2.017B,4.369B,,4.369B,,,978.75M,265.19M,,5.348B,7.365B,,151.17M,7.161B,1.868B,1.495B,,,-3.952M,7.681B,,AOR,Restated
2014-03,1.153B,100.00M,1.253B,1.900B,1.900B,,,2.724B,432.84M,6.310B,,,,,11.74B,-6.78B,4.961B,1.959B,851.01M,2.810B,1.037B,8.808B,15.12B,,1.063B,29.58M,1.092B,773.44M,1.866B,,30.37M,,30.37M,,,,1.896B,4.377B,,4.377B,,,984.61M,258.38M,,5.362B,7.257B,,151.02M,7.133B,1.850B,1.496B,,,-35.80M,7.602B,,AOR,Restated
2013-12,1.483B,28.19M,1.511B,1.811B,1.811B,,,2.606B,482.01M,6.410B,555.31M,941.38M,9.159B,400.37M,11.54B,-6.626B,4.917B,1.974B,874.15M,2.848B,1.028B,8.793B,15.20B,,1.117B,,1.117B,810.64M,1.928B,,32.50M,,32.50M,,,,1.960B,4.377B,,4.377B,,,955.89M,264.51M,,5.333B,7.293B,,151.01M,7.140B,1.843B,1.498B,,,9.08M,7.646B,,AOR,Restated
2013-09,1.723B,48.48M,1.771B,1.918B,1.918B,,,2.440B,339.48M,6.469B,,,,,11.22B,-6.52B,4.697B,1.984B,896.41M,2.880B,1.046B,8.623B,15.09B,,1.137B,,1.137B,817.93M,1.955B,,38.20M,,38.20M,,,,1.993B,4.380B,,4.380B,,,854.81M,258.07M,,5.235B,7.229B,,150.97M,7.089B,1.841B,1.498B,,,22.54M,7.605B,,AOR,Restated
2013-06,630.47M,47.66M,678.12M,1.767B,1.767B,,,2.280B,458.12M,5.183B,,,,,11.01B,-6.40B,4.609B,1.983B,912.71M,2.896B,1.079B,8.583B,13.77B,,979.22M,,979.22M,729.69M,1.709B,,31.67M,,31.67M,,,,1.741B,3.380B,,3.380B,,,874.64M,233.60M,,4.255B,5.995B,,150.96M,7.059B,1.836B,1.499B,,,-9.334M,7.538B,,AOR,Restated
2013-03,902.70M,29.50M,932.20M,1.791B,1.791B,,,2.382B,441.57M,5.547B,,,,,10.73B,-6.28B,4.451B,1.991B,934.40M,2.925B,1.116B,8.492B,14.04B,,1.021B,,1.021B,673.53M,1.695B,,292.38M,,292.38M,,,,1.987B,3.380B,,3.380B,,,869.58M,235.15M,,4.250B,6.237B,,150.81M,7.092B,1.817B,1.499B,,,6.248M,7.567B,,AOR,Restated
2012-12,1.053B,104.17M,1.157B,1.707B,1.707B,,,2.324B,473.38M,5.661B,546.23M,899.94M,8.136B,652.23M,10.44B,-6.156B,4.283B,2.005B,959.24M,2.964B,1.244B,8.491B,14.15B,,1.047B,,1.047B,702.94M,1.750B,,279.91M,,279.91M,,,,2.030B,3.380B,,3.380B,,,856.92M,243.80M,,4.237B,6.267B,,150.80M,7.125B,1.811B,1.502B,,,56.76M,7.642B,,AOR,Restated
2012-09,1.693B,430.27M,2.123B,1.799B,1.799B,798.26M,1.419B,2.217B,481.93M,6.622B,,,,,10.18B,-6.07B,4.106B,2.008B,980.35M,2.989B,1.280B,8.375B,15.00B,,1.187B,,1.187B,482.72M,1.669B,,930.86M,,930.86M,,,,2.887B,3.380B,,3.380B,,,866.45M,230.23M,,4.247B,7.134B,,150.80M,7.129B,1.804B,1.502B,,,51.31M,7.633B,,AOR,Restated
2012-06,1.112B,569.42M,1.681B,1.919B,1.919B,,,2.406B,479.35M,6.486B,,,,,9.919B,-5.96B,3.959B,1.989B,990.22M,2.979B,1.342B,8.280B,14.77B,,1.127B,,1.127B,466.75M,1.594B,,907.11M,,907.11M,,,,2.757B,3.380B,,3.380B,,,846.52M,224.40M,,4.227B,6.984B,,150.73M,7.136B,1.794B,1.502B,,,-20.35M,7.558B,,AOR,Restated
2012-03,1.180B,1.198B,2.378B,1.792B,1.792B,,,2.259B,431.04M,6.859B,,,,,9.667B,-5.85B,3.817B,1.856B,792.03M,2.648B,1.490B,7.955B,14.81B,,1.188B,,1.188B,490.59M,1.679B,,658.04M,,658.04M,,,,2.549B,3.630B,,3.630B,,,839.52M,210.12M,,4.470B,7.019B,,150.57M,7.140B,1.773B,1.503B,,,24.49M,7.586B,,AOR,Restated
2011-12,1.201B,1.363B,2.563B,1.711B,1.711B,,,1.987B,446.76M,6.708B,515.67M,841.18M,7.728B,396.61M,9.481B,-5.725B,3.756B,1.831B,784.64M,2.615B,1.491B,7.862B,14.57B,,958.64M,,958.64M,785.59M,1.744B,,651.83M,,651.83M,,,,2.396B,3.630B,,3.630B,,,837.51M,231.70M,,4.468B,6.864B,,150.50M,7.112B,1.757B,1.506B,,,-38.18M,7.475B,,AOR,Restated
2011-09,1.101B,1.313B,2.414B,1.838B,1.838B,919.31M,1.270B,2.189B,452.95M,6.894B,,,,,9.377B,-5.61B,3.767B,1.830B,802.09M,2.632B,1.514B,7.913B,14.81B,,1.175B,,1.175B,480.76M,1.656B,,357.62M,,357.62M,,,,2.358B,3.930B,,3.930B,,,839.80M,216.44M,,4.770B,7.128B,,150.48M,7.091B,1.749B,1.506B,,,-21.60M,7.463B,,AOR,Restated
2011-06,1.190B,1.093B,2.282B,1.837B,1.837B,,,2.222B,374.92M,6.716B,,,,,9.285B,-5.48B,3.805B,1.846B,826.79M,2.673B,1.540B,8.017B,14.73B,,1.144B,85.40M,1.229B,464.50M,1.693B,,14.67M,,14.67M,,,,2.003B,4.280B,,4.280B,,,775.27M,210.44M,,5.055B,7.058B,,150.40M,7.025B,1.735B,1.506B,,,60.42M,7.465B,,AOR,Restated
2011-03,1.153B,1.143B,2.296B,1.705B,1.705B,,,1.959B,335.63M,6.296B,,,,,9.202B,-5.37B,3.832B,1.848B,844.99M,2.693B,1.524B,8.049B,14.34B,,1.114B,24.49M,1.139B,409.83M,1.549B,,16.96M,,16.96M,,,,1.788B,4.280B,,4.280B,,,823.03M,202.22M,,5.103B,6.891B,,150.24M,6.841B,1.723B,1.507B,,,44.32M,7.251B,,AOR,Restated
2010-12,1.325B,1.154B,2.479B,1.440B,1.440B,,,1.558B,384.74M,5.861B,431.76M,834.66M,7.502B,323.84M,9.092B,-5.240B,3.852B,1.836B,856.12M,2.692B,1.516B,8.061B,13.92B,,896.70M,,896.70M,594.41M,1.491B,,13.33M,,13.33M,,,,1.504B,4.280B,,4.280B,,806.58M,806.58M,210.62M,,5.087B,6.591B,,150.18M,6.796B,1.712B,1.510B,,,-27.78M,7.120B,,AOR,Restated
2010-09,1.850B,156.50M,2.007B,1.469B,1.469B,775.31M,874.29M,1.650B,636.24M,5.761B,,,,,8.998B,-5.15B,3.848B,1.832B,870.64M,2.702B,949.56M,7.500B,13.26B,,817.78M,,817.78M,657.39M,1.475B,,3.092M,,3.092M,,,,1.478B,3.680B,,3.680B,,,672.11M,203.03M,,4.352B,5.831B,,150.16M,6.923B,1.702B,1.510B,,,-37.36M,7.227B,,AOR,Restated
2010-06,801.50M,340.50M,1.142B,1.421B,1.421B,748.11M,1.204B,1.952B,672.47M,5.187B,,,,,8.934B,-5.03B,3.904B,1.828B,886.16M,2.714B,883.12M,7.501B,12.69B,,887.09M,,887.09M,622.27M,1.509B,,2.599M,,2.599M,,,,1.512B,3.080B,,3.080B,,,640.92M,208.71M,,3.721B,5.233B,,150.09M,7.014B,1.691B,1.510B,,,-98.35M,7.246B,,AOR,Restated
2010-03,1.660B,340.50M,2.000B,1.302B,1.302B,,,1.625B,534.42M,5.462B,,,,,8.873B,-4.91B,3.963B,1.831B,905.14M,2.736B,641.01M,7.341B,12.80B,,941.46M,,941.46M,397.74M,1.339B,,15.08M,,15.08M,,,,1.541B,3.080B,,3.080B,,,672.00M,203.71M,,3.752B,5.293B,,149.93M,7.037B,1.688B,1.511B,,,-58.61M,7.306B,,AOR,Restated
2009-12,2.017B,225.00M,2.242B,1.116B,1.116B,,,1.313B,511.33M,5.182B,403.28M,812.13M,7.213B,370.04M,8.798B,-4.785B,4.014B,1.803B,902.92M,2.706B,669.88M,7.390B,12.57B,,707.04M,,707.04M,512.27M,1.219B,,7.748M,,7.748M,,,,1.227B,3.080B,,3.080B,,680.36M,680.36M,193.76M,,3.761B,4.988B,,149.88M,7.120B,1.676B,1.514B,,,-41.06M,7.391B,,AOR,Restated
2009-09,1.958B,263.47M,2.221B,1.157B,1.157B,615.75M,694.36M,1.310B,514.78M,5.203B,,,,,8.761B,-4.69B,4.071B,1.795B,915.99M,2.711B,685.48M,7.467B,12.67B,,749.25M,0.00,749.25M,559.88M,1.309B,,3.428M,,3.428M,,,,1.313B,3.086B,,3.086B,,,687.34M,170.47M,,3.774B,5.086B,,149.86M,7.175B,1.666B,1.514B,,,-63.30M,7.413B,,AOR,Restated
2009-06,2.060B,136.39M,2.197B,960.23M,960.23M,596.05M,672.15M,1.268B,502.81M,4.928B,,,,,8.678B,-4.56B,4.118B,1.776B,922.34M,2.699B,667.13M,7.483B,12.41B,,413.35M,0.00,413.35M,524.50M,937.84M,,11.34M,,11.34M,,,,949.19M,3.086B,,3.086B,,,671.42M,249.03M,,3.758B,4.707B,,149.81M,7.316B,1.655B,1.515B,,,-151.20M,7.455B,,AOR,Restated
2009-03,1.900B,,1.900B,933.76M,933.76M,885.46M,998.50M,1.884B,472.05M,5.190B,,,,,8.586B,-4.46B,4.126B,1.728B,925.99M,2.654B,615.78M,7.397B,12.59B,,406.22M,0.00,406.22M,522.26M,928.47M,,11.70M,,11.70M,,,,940.17M,3.086B,,3.086B,,,695.61M,277.24M,,3.782B,4.722B,,149.65M,7.560B,1.642B,1.515B,,,-249.06M,7.587B,,AOR,Restated
2008-12,2.355B,0.00,2.355B,1.229B,1.229B,,,2.408B,405.39M,6.397B,363.37M,720.26M,6.540B,859.59M,8.484B,-4.352B,4.132B,1.732B,946.54M,2.679B,666.51M,7.477B,13.87B,,534.16M,199.04M,733.20M,931.96M,1.665B,,189.02M,,189.02M,,,,1.854B,3.086B,,3.086B,,,677.37M,327.48M,,3.764B,5.618B,,149.63M,7.861B,1.630B,1.521B,,,-190.26M,7.929B,,AOR,Restated
2008-09,1.654B,24.86M,1.679B,2.553B,2.553B,,,3.146B,254.95M,7.633B,,,,,7.992B,-3.917B,4.075B,1.788B,999.64M,2.788B,840.91M,7.704B,15.34B,,1.712B,,1.712B,1.131B,2.843B,,195.38M,,195.38M,,,83.84M,3.122B,3.086B,,3.086B,,,,292.17M,659.73M,3.746B,6.868B,,149.62M,7.865B,1.619B,1.521B,,,63.28M,8.176B,,,Restated
2008-06,2.792B,,2.792B,2.612B,2.612B,,,2.498B,282.27M,8.184B,,,,,7.746B,-3.917B,3.829B,1.743B,931.98M,2.675B,304.22M,6.809B,14.99B,,1.827B,,1.827B,920.48M,2.747B,,176.44M,,176.44M,,,45.02M,2.969B,3.092B,,3.092B,,,,315.37M,702.76M,3.794B,6.763B,,149.57M,7.295B,1.607B,1.397B,,,260.26M,7.914B,,,Restated
2008-03,734.00M,,734.00M,1.965B,1.965B,,,1.877B,298.27M,4.875B,,,,,7.662B,-4.03B,3.632B,1.698B,894.62M,2.593B,241.30M,6.466B,11.34B,,1.345B,,1.345B,705.80M,2.051B,,187.37M,,187.37M,131.15M,131.15M,,2.370B,2.492B,,2.492B,,,,287.18M,766.40M,3.258B,5.628B,,149.43M,6.881B,280.98M,2.072B,,,186.50M,5.426B,,,Restated
2007-12,1.394B,182.45M,1.576B,1.612B,1.612B,,,1.602B,283.41M,5.073B,231.58M,623.96M,5.903B,390.79M,7.150B,-3.917B,3.233B,847.89M,469.94M,1.318B,202.05M,4.753B,9.826B,,691.67M,,691.67M,867.50M,1.559B,,22.87M,,22.87M,,,,1.582B,2.250B,,2.250B,,,,287.45M,593.42M,2.844B,4.426B,,149.30M,6.622B,256.41M,2.078B,149.05M,14.31M,163.36M,5.113B,,,
2007-09,272.26M,,272.26M,1.630B,1.630B,,,1.605B,256.90M,3.763B,,,,,6.832B,-3.73B,3.102B,812.22M,471.94M,1.284B,150.68M,4.537B,8.300B,,784.33M,,784.33M,861.31M,1.646B,,22.26M,,22.26M,,,,1.668B,922.30M,,922.30M,,,,230.28M,591.17M,1.513B,3.181B,,149.28M,6.433B,244.25M,2.078B,,,139.60M,4.889B,,,
2007-06,624.46M,350.86M,975.32M,1.529B,1.529B,641.71M,923.44M,1.565B,326.78M,4.396B,,,,,6.727B,-3.73B,2.997B,625.12M,303.15M,928.27M,147.11M,4.072B,8.468B,,799.69M,,799.69M,749.64M,1.549B,,23.54M,,23.54M,,,,1.573B,922.30M,,922.30M,,,,235.33M,555.21M,1.478B,3.050B,,149.26M,6.229B,236.15M,1.478B,,,46.88M,5.183B,,,
2007-03,881.61M,487.46M,1.369B,1.432B,1.432B,,,1.408B,218.95M,4.428B,,,,,6.516B,-3.537B,2.979B,625.12M,308.14M,933.26M,145.30M,4.057B,8.486B,,796.32M,,796.32M,654.23M,1.451B,,92.77M,,92.77M,,,136.05M,1.679B,922.30M,,922.30M,,,,201.86M,545.53M,1.468B,3.147B,,149.15M,6.068B,221.20M,1.324B,,,23.06M,5.137B,,,
2006-12,785.65M,1.411B,2.196B,1.067B,1.067B,547.77M,593.42M,1.141B,278.26M,4.683B,170.26M,520.93M,5.592B,110.19M,6.393B,-3.537B,2.856B,143.26M,5.015M,148.28M,205.26M,3.210B,7.893B,,516.64M,,516.64M,905.28M,1.422B,,,,,,,,1.422B,922.30M,,922.30M,,,,243.37M,448.08M,1.370B,2.792B,,149.01M,5.840B,195.54M,1.332B,,,4.47M,4.857B,,,
